TIMESTAMP_START,TIMESTAMP_END,NEE,NEE_VUT_REF_QC,SW_IN_F,VPD_F_MDS,TA_F_MDS,RECO_NT_VUT_REF,GPP_NT_VUT_REF,RECO_DT_VUT_REF,GPP_DT_VUT_REF,SW_IN_POT,PPFD_IN,TS_F_MDS_1,RH
201501010000,201501010030,-9999.0,1,0.0,0.06,3.44,0.0926765,-0.251828,0.321462,0.0,0.0,0.07,0.252,99.23
201501010030,201501010100,-9999.0,1,0.0,0.022,3.31,0.0919511,-0.250149,0.31733,0.0,0.0,0.0,0.249,99.72
201501010100,201501010130,-9999.0,1,0.0,0.0,3.31,0.0919511,-0.249207,0.31733,0.0,0.0,-0.07,0.255,100.0
201501010130,201501010200,-9999.0,1,0.0,0.002,3.42,0.0925648,-0.246988,0.320824,0.0,0.0,0.35,0.258,99.97
201501010200,201501010230,-9999.0,1,0.0,0.007,3.46,0.0927883,-0.243321,0.322101,0.0,0.0,0.0,0.255,99.91
201501010230,201501010300,-9999.0,1,0.0,0.019,3.52,0.0931239,-0.242721,0.324021,0.0,0.0,0.14,0.249,99.76
201501010300,201501010330,-9999.0,1,0.0,0.027,3.54,0.0932359,-0.242871,0.324662,0.0,0.0,-0.28,0.251,99.66
201501010330,201501010400,-9999.0,1,0.0,0.016,3.38,0.0923415,-0.242167,0.319551,0.0,0.0,0.21,0.263,99.8
201501010400,201501010430,-9999.0,1,0.0,0.153,3.13,0.0909497,-0.242586,0.311661,0.0,0.0,0.0,0.261,-9999.0
201501010430,201501010500,-9999.0,1,0.0,0.0,3.1,0.0907831,-0.242376,0.310722,0.0,0.0,0.56,0.257,100.0
201501010500,201501010530,-9999.0,1,0.0,0.153,2.65,0.0882974,-0.245534,0.29684,0.0,0.0,-0.14,0.271,-9999.0
201501010530,201501010600,-9999.0,1,0.0,0.153,2.39,0.0868718,-0.246583,0.288992,0.0,0.0,-0.14,0.273,-9999.0
201501010600,201501010630,-9999.0,1,0.0,0.153,2.48,0.0873644,-0.24595,0.291694,0.0,0.0,-0.42,0.278,-9999.0
201501010630,201501010700,-9999.0,1,0.0,0.153,2.3,0.0863802,-0.246413,0.286305,0.0,0.0,0.0,0.289,-9999.0
201501010700,201501010730,-9999.0,1,0.0,0.153,2.59,0.0879677,-0.2453,0.295018,0.0,0.0,-0.07,0.286,-9999.0
201501010730,201501010800,-9999.0,1,0.0,0.023,2.64,0.0882424,-0.245319,0.296536,0.0,0.0,-0.07,0.278,99.69
201501010800,201501010830,-9999.0,1,0.0,0.074,2.89,0.0896202,-0.243036,0.304196,0.0,0.0,-0.14,0.282,99.01
201501010830,201501010900,-9999.0,1,0.0,0.086,2.71,0.0886274,-0.244999,0.298669,0.0,0.0,0.21,0.282,98.84
201501010900,201501010930,-9999.0,1,0.0,0.049,2.59,0.0879677,-0.244979,0.295018,0.0,0.0,0.98,0.28,99.34
201501010930,201501011000,-9999.0,1,0.83,0.089,2.63,0.0881874,-0.245009,0.296232,0.0,0.367856,4.2,0.284,98.79
201501011000,201501011030,-9999.0,1,3.61,0.078,2.65,0.0882974,-0.241169,0.29684,0.0,28.5292,10.43,0.279,98.95
201501011030,201501011100,-9999.0,1,6.25,0.09,2.83,0.0892889,-0.238512,0.302347,0.0,67.5567,16.8,0.279,98.8
201501011100,201501011130,-9999.0,1,11.45,0.101,2.82,0.0892337,-0.230374,0.30204,0.0,97.0129,26.74,0.282,98.65
201501011130,201501011200,-9999.0,1,16.62,0.034,2.78,0.0890131,-0.223503,0.300811,0.0,116.394,35.56,0.285,99.54
201501011200,201501011230,-9999.0,1,22.48,0.01,2.76,0.0889028,-0.26551,0.300198,0.0,125.367,43.33,0.285,99.86
201501011230,201501011300,-9999.0,1,11.55,0.154,2.48,0.0873644,-0.226751,0.291694,0.0,123.781,21.42,0.281,-9999.0
201501011300,201501011330,-9999.0,1,16.06,0.155,2.31,0.0864348,-0.220146,0.286602,0.0,111.66,30.87,0.28,-9999.0
201501011330,201501011400,-9999.0,1,13.77,0.155,2.17,0.0856718,-0.222084,0.28245,0.0,89.2143,25.76,0.282,-9999.0
201501011400,201501011430,-9999.0,1,7.17,0.153,1.81,0.0837208,-0.226511,0.271939,0.0,56.8261,13.3,0.289,-9999.0
201501011430,201501011500,-9999.0,1,5.75,0.153,1.4,0.081518,-0.227929,0.260261,0.0,15.821,9.59,0.303,-9999.0
201501011500,201501011530,-9999.0,1,3.19,0.153,1.12,0.0800258,-0.228125,0.252464,0.0,0.0,2.87,0.305,-9999.0
201501011530,201501011600,-9999.0,1,1.41,0.154,0.74,0.0780166,-0.229785,0.242114,0.0,0.0,0.0,0.312,-9999.0
201501011600,201501011630,-9999.0,1,0.65,0.153,0.52,0.0768619,-0.228916,0.236243,0.0,0.0,-0.42,0.319,-9999.0
201501011630,201501011700,-9999.0,1,0.34,0.153,0.44,0.0764436,-0.229977,0.23413,0.0,0.0,-0.21,0.321,-9999.0
201501011700,201501011730,-9999.0,1,1.1,0.154,0.44,0.0764436,-0.230376,0.23413,0.0,0.0,-0.14,0.329,-9999.0
201501011730,201501011800,-9999.0,1,2.19,0.154,0.46,0.0765481,-0.2287,0.234658,0.0,0.0,0.35,0.332,-9999.0
201501011800,201501011830,-9999.0,1,1.78,0.154,0.46,0.0765481,-0.231114,0.234658,0.0,0.0,0.49,0.33,-9999.0
201501011830,201501011900,-9999.0,1,1.73,0.154,0.47,0.0766004,-0.232087,0.234921,0.0,0.0,0.63,0.334,-9999.0
201501011900,201501011930,-9999.0,1,1.76,0.154,0.49,0.076705,-0.232183,0.23545,0.0,0.0,-0.14,0.335,-9999.0
201501011930,201501012000,-9999.0,1,1.26,0.154,0.47,0.0766004,-0.230216,0.234921,0.0,0.0,-0.21,0.341,-9999.0
201501012000,201501012030,-9999.0,1,1.0,0.154,0.47,0.0766004,-0.232231,0.234921,0.0,0.0,-0.49,0.34,-9999.0
201501012030,201501012100,-9999.0,1,0.81,0.153,0.57,0.0771238,-0.232451,0.23757,0.0,0.0,-0.63,0.346,-9999.0
201501012100,201501012130,-9999.0,1,0.89,0.153,0.69,0.0777536,-0.233069,0.240772,0.0,0.0,-0.42,0.339,-9999.0
201501012130,201501012200,-9999.0,1,0.94,0.153,0.74,0.0780166,-0.232775,0.242114,0.0,0.0,-0.35,0.332,-9999.0
201501012200,201501012230,-9999.0,1,0.62,0.153,0.81,0.0783853,-0.237699,0.244001,0.0,0.0,-0.63,0.331,-9999.0
201501012230,201501012300,-9999.0,1,0.39,0.153,0.87,0.0787019,-0.236527,0.245625,0.0,0.0,-0.63,0.328,-9999.0
201501012300,201501012330,-9999.0,1,0.31,0.153,0.93,0.0790189,-0.236835,0.247256,0.0,0.0,-0.14,0.329,-9999.0
201501012330,201501020000,-9999.0,1,0.0,0.153,0.98,0.0792834,-0.236302,0.24862,0.0,0.0,-0.49,0.328,-9999.0
201501020000,201501020030,-9999.0,1,0.0,0.153,0.97,0.0792305,-0.238225,0.248347,0.0,0.0,-0.65,0.315,-9999.0
201501020030,201501020100,-9999.0,1,0.0,0.153,1.03,0.0795482,-0.239235,0.249989,0.0,0.0,-0.58,0.317,-9999.0
201501020100,201501020130,-9999.0,1,0.0,0.153,1.05,0.0796543,-0.238195,0.250537,0.0,0.0,-0.86,0.325,-9999.0
201501020130,201501020200,-9999.0,1,0.0,0.153,1.11,0.0799727,-0.240802,0.252188,0.0,0.0,-1.0,0.321,-9999.0
201501020200,201501020230,-9999.0,1,0.0,0.153,1.18,0.0803447,-0.243513,0.254122,0.0,0.0,-0.51,0.328,-9999.0
201501020230,201501020300,-9999.0,1,0.0,0.153,1.25,0.0807174,-0.244389,0.256066,0.0,0.0,-0.86,0.326,-9999.0
201501020300,201501020330,-9999.0,1,0.0,0.153,1.28,0.0808773,-0.245292,0.256901,0.0,0.0,-0.86,0.311,-9999.0
201501020330,201501020400,-9999.0,1,0.0,0.153,1.3,0.080984,-0.249104,0.257459,0.0,0.0,-1.14,0.315,-9999.0
201501020400,201501020430,-9999.0,1,0.0,0.153,1.25,0.0807174,-0.249938,0.256066,0.0,0.0,-0.86,0.32,-9999.0
201501020430,201501020500,-9999.0,1,0.0,0.153,1.23,0.0806108,-0.250355,0.25551,0.0,0.0,-0.65,0.328,-9999.0
201501020500,201501020530,-9999.0,1,0.0,0.153,1.16,0.0802384,-0.251047,0.253569,0.0,0.0,-1.14,0.319,-9999.0
201501020530,201501020600,-9999.0,1,0.0,0.153,1.15,0.0801852,-0.253587,0.253292,0.0,0.0,-0.72,0.315,-9999.0
201501020600,201501020630,-9999.0,1,0.0,0.153,1.11,0.0799727,-0.254893,0.252188,0.0,0.0,-1.0,0.321,-9999.0
201501020630,201501020700,-9999.0,1,0.0,0.153,1.11,0.0799727,-0.254893,0.252188,0.0,0.0,-0.65,0.312,-9999.0
201501020700,201501020730,-9999.0,1,0.0,0.153,1.09,0.0798665,-0.254999,0.251637,0.0,0.0,-0.72,0.324,-9999.0
201501020730,201501020800,-9999.0,1,0.0,0.153,0.93,0.0790189,-0.26296,0.247256,0.0,0.0,0.68,0.318,-9999.0
201501020800,201501020830,-9999.0,1,0.05,0.153,0.93,0.0790189,-0.26296,0.247256,0.0,0.0,0.12,0.328,-9999.0
201501020830,201501020900,-9999.0,1,0.13,0.153,0.99,0.0793364,-0.262643,0.248893,0.0,0.0,0.19,0.331,-9999.0
201501020900,201501020930,-9999.0,1,0.55,0.153,1.1,0.0799196,-0.262059,0.251913,0.0,0.0,0.75,0.326,-9999.0
201501020930,201501021000,-9999.0,1,1.1,0.154,0.98,0.0792834,-0.264639,0.24862,0.0,0.403292,2.22,0.329,-9999.0
201501021000,201501021030,-9999.0,1,2.53,0.153,1.03,0.0795482,-0.261886,0.249989,0.0,28.9759,5.79,0.341,-9999.0
201501021030,201501021100,-9999.0,1,4.24,0.153,1.08,0.0798134,-0.26751,0.251362,0.0,68.3357,8.73,0.334,-9999.0
201501021100,201501021130,-9999.0,1,5.43,0.153,1.1,0.0799196,-0.27138,0.251913,0.0,98.138,10.9,0.337,-9999.0
