TIMESTAMP_START,TIMESTAMP_END,NEE,NEE_VUT_REF_QC,SW_IN_F,VPD_F_MDS,TA_F_MDS,RECO_NT_VUT_REF,GPP_NT_VUT_REF,RECO_DT_VUT_REF,GPP_DT_VUT_REF,SW_IN_POT,PPFD_IN,TS_F_MDS_1,RH
202001010000,202001010030,-9999.0,1,0.0,0.357,-7.9,0.305259,-0.113116,0.124124,0.0,0.0,1.2,0.56,89.4
202001010030,202001010100,-9999.0,1,0.0,0.359,-8.2,0.299613,-0.134035,0.122839,0.0,0.0,1.0,0.56,89.1
202001010100,202001010130,-9999.0,1,0.0,0.351,-7.9,0.305259,-0.113116,0.124124,0.0,0.0,1.1,0.56,89.6
202001010130,202001010200,0.210333,0,0.0,0.371,-7.9,0.305259,0.0949258,0.124124,0.0,0.0,1.2,0.56,89.0
202001010200,202001010230,0.261014,0,0.0,0.365,-8.1,0.301493,0.0404794,0.123268,0.0,0.0,1.3,0.56,89.0
202001010230,202001010300,-9999.0,1,0.0,0.342,-8.6,0.292112,-0.0919178,0.121115,0.0,0.0,1.1,0.56,89.3
202001010300,202001010330,-9999.0,1,0.0,0.303,-10.1,0.264285,-0.123031,0.114542,0.0,0.0,1.0,0.56,89.3
202001010330,202001010400,-9999.0,1,0.0,0.221,-9.8,0.269809,-0.113815,0.11587,0.0,0.0,1.3,0.56,92.4
202001010400,202001010430,-9999.0,1,0.0,0.297,-9.0,0.284643,-0.0999271,0.119379,0.0,0.0,1.3,0.56,90.4
202001010430,202001010500,-9999.0,1,0.0,0.304,-10.3,0.260615,-0.152412,0.113653,0.0,0.0,1.3,0.56,89.1
202001010500,202001010530,-9999.0,1,0.0,0.226,-9.0,0.284643,-0.0999271,0.119379,0.0,0.0,1.3,0.56,92.7
202001010530,202001010600,-9999.0,1,0.0,0.371,-7.4,0.314702,-0.110692,0.126249,0.0,0.0,1.2,0.56,89.4
202001010600,202001010630,-9999.0,1,0.0,0.392,-7.2,0.318491,-0.110193,0.127094,0.0,0.0,1.3,0.56,89.0
202001010630,202001010700,-9999.0,1,0.0,0.396,-7.5,0.31281,-0.105246,0.125826,0.0,0.0,1.1,0.56,88.6
202001010700,202001010730,-9999.0,1,0.0,0.301,-8.3,0.297735,-0.129356,0.122409,0.0,0.0,1.3,0.56,90.8
202001010730,202001010800,-9999.0,1,0.0,0.286,-8.5,0.293985,-0.117601,0.121547,0.0,0.0,1.5,0.56,91.1
202001010800,202001010830,-9999.0,1,0.0,0.292,-8.1,0.301493,-0.117397,0.123268,0.0,0.0,1.2,0.56,91.2
202001010830,202001010900,-9999.0,1,0.0,0.316,-7.8,0.307144,-0.12273,0.12455,0.0,0.0,1.4,0.56,90.7
202001010900,202001010930,-9999.0,1,0.0,0.282,-7.8,0.307144,-0.12273,0.12455,0.0,0.0,1.3,0.56,91.7
202001010930,202001011000,-9999.0,1,0.0,0.304,-7.6,0.31092,-0.107136,0.125401,0.0,0.0,1.2,0.56,91.2
202001011000,202001011030,-9999.0,1,0.0,0.322,-7.7,0.309031,-0.105124,0.124976,0.0,0.0,1.5,0.56,90.6
202001011030,202001011100,-9999.0,1,1.096,0.258,-7.8,0.307144,-0.12273,0.12455,0.0,0.0,2.6,0.56,92.4
202001011100,202001011130,-9999.0,1,1.069,0.292,-8.1,0.301493,-0.117397,0.123268,0.0,0.0,3.8,0.56,91.2
202001011130,202001011200,-9999.0,1,1.893,0.248,-8.3,0.297735,-0.129356,0.122409,0.0,0.0,4.2,0.56,92.4
202001011200,202001011230,-9999.0,1,1.165,0.248,-8.0,0.303375,-0.0931048,0.123696,0.0,0.0,4.2,0.56,92.6
202001011230,202001011300,-9999.0,1,1.498,0.279,-8.4,0.295859,-0.115727,0.121978,0.0,0.0,4.2,0.56,91.4
202001011300,202001011330,-9999.0,1,1.008,0.268,-8.6,0.292112,-0.0919178,0.121115,0.0,0.0,4.0,0.56,91.6
202001011330,202001011400,-9999.0,1,1.006,0.274,-9.2,0.280921,-0.101462,0.118506,0.0,0.0,3.1,0.56,91.0
202001011400,202001011430,-9999.0,1,0.625,0.268,-9.5,0.275354,-0.104096,0.117192,0.0,0.0,2.2,0.56,91.0
202001011430,202001011500,-9999.0,1,0.0,0.259,-9.9,0.267965,-0.119616,0.115428,0.0,0.0,1.3,0.56,91.0
202001011500,202001011530,-9999.0,1,0.0,0.27,-9.8,0.269809,-0.113815,0.11587,0.0,0.0,1.2,0.56,90.7
202001011530,202001011600,-9999.0,1,0.0,0.252,-10.1,0.264285,-0.123031,0.114542,0.0,0.0,1.2,0.56,91.1
202001011600,202001011630,-9999.0,1,0.0,0.248,-10.2,0.262449,-0.124867,0.114098,0.0,0.0,1.2,0.56,91.2
202001011630,202001011700,-9999.0,1,0.0,0.239,-9.9,0.267965,-0.119616,0.115428,0.0,0.0,1.3,0.56,91.7
202001011700,202001011730,-9999.0,1,0.0,0.215,-9.6,0.273503,-0.106298,0.116752,0.0,0.0,1.3,0.56,92.7
202001011730,202001011800,-9999.0,1,0.113,0.23,-9.3,0.279063,-0.0925638,0.118069,0.0,0.0,1.1,0.56,92.4
202001011800,202001011830,-9999.0,1,0.0,0.196,-8.7,0.290242,-0.0929612,0.120682,0.0,0.0,1.3,0.56,93.8
202001011830,202001011900,-9999.0,1,0.0,0.214,-8.2,0.299613,-0.134035,0.122839,0.0,0.0,1.2,0.56,93.5
202001011900,202001011930,-9999.0,1,0.048,0.211,-8.0,0.303375,-0.0931048,0.123696,0.0,0.0,1.3,0.56,93.7
202001011930,202001012000,-9999.0,1,0.0,0.205,-7.3,0.316596,-0.108798,0.126672,0.0,0.0,1.2,0.56,94.2
