TIMESTAMP_START,TIMESTAMP_END,NEE,NEE_VUT_REF_QC,SW_IN_F,VPD_F_MDS,TA_F_MDS,RECO_NT_VUT_REF,GPP_NT_VUT_REF,RECO_DT_VUT_REF,GPP_DT_VUT_REF,SW_IN_POT,PPFD_IN,TS_F_MDS_1,RH
201201010000,201201010030,-9999.0,3,0.0,0.185,0.66,0.916364,-0.241033,0.567569,0.0,0.0,-9999.0,0.9,-9999.0
201201010030,201201010100,-9999.0,3,0.0,0.187,0.66,0.921254,-0.458198,0.571402,0.0,0.0,-9999.0,0.9,-9999.0
201201010100,201201010130,-9999.0,3,0.0,0.203,0.7,0.926055,-0.277642,0.575171,0.0,0.0,-9999.0,0.9,-9999.0
201201010130,201201010200,-9999.0,3,0.0,0.225,0.728,0.928355,-0.523449,0.576979,0.0,0.0,-9999.0,0.9,-9999.0
201201010200,201201010230,-9999.0,3,0.0,0.251,0.74,0.930555,-0.562877,0.578708,0.0,0.0,-9999.0,0.9,-9999.0
201201010230,201201010300,-9999.0,3,0.0,0.279,0.704,0.915119,-0.58399,0.566593,0.0,0.0,-9999.0,0.9,-9999.0
201201010300,201201010330,-9999.0,3,0.0,0.277,0.57,0.899832,-0.404173,0.554647,0.0,0.0,-9999.0,0.9,-9999.0
201201010330,201201010400,-9999.0,3,0.0,0.253,0.4,0.898393,-0.441443,0.553526,0.0,0.0,-9999.0,0.902,-9999.0
201201010400,201201010430,-9999.0,3,0.0,0.205,0.224,0.897059,-0.0439486,0.552486,0.0,0.0,-9999.0,0.904,-9999.0
201201010430,201201010500,-9999.0,3,0.0,0.153,0.058,0.872531,0.697158,0.533448,0.0,0.0,-9999.0,0.906,-9999.0
201201010500,201201010530,-9999.0,3,0.0,0.099,-0.102,0.8484,0.814088,0.514856,0.0,0.0,-9999.0,0.91,-9999.0
201201010530,201201010600,-9999.0,3,0.0,0.072,-0.172,0.840477,1.2945,0.508782,0.0,0.0,-9999.0,0.916,-9999.0
201201010600,201201010630,-9999.0,3,0.0,0.06,-0.198,0.832598,-0.746644,0.502756,0.0,0.0,-9999.0,0.922,-9999.0
201201010630,201201010700,-9999.0,3,0.0,0.06,-0.2,0.824079,-0.557081,0.496258,0.0,0.0,-9999.0,0.93,-9999.0
201201010700,201201010730,-9999.0,3,0.0,0.06,-0.2,0.815611,-0.688676,0.489817,0.0,0.0,-9999.0,0.938,-9999.0
201201010730,201201010800,-9999.0,3,0.0,0.06,-0.2,0.817068,-0.510399,0.490923,0.0,0.0,-9999.0,0.948,-9999.0
201201010800,201201010830,-9999.0,3,0.0,0.06,-0.198,0.818428,-0.521577,0.491958,0.0,0.0,-9999.0,0.958,-9999.0
201201010830,201201010900,-9999.0,3,0.0,0.06,-0.196,0.800078,-0.466624,0.478047,0.0,0.0,-9999.0,0.966,-9999.0
201201010900,201201010930,-9999.0,3,0.0,0.06,-0.18,0.781878,-0.23292,0.464334,0.0,0.0,-9999.0,0.974,-9999.0
201201010930,201201011000,-9999.0,3,1.717,0.061,-0.126,0.746868,-0.00419074,0.438192,0.0636989,7.40247,-9999.0,0.982,-9999.0
201201011000,201201011030,-9999.0,3,16.628,0.061,0.054,0.712901,0.215884,0.413138,0.608848,51.4791,-9999.0,0.988,-9999.0
201201011030,201201011100,-9999.0,3,29.563,0.063,0.344,0.740621,0.556016,0.433562,1.07038,92.6726,-9999.0,0.992,-9999.0
201201011100,201201011130,-9999.0,3,48.977,0.064,0.704,0.769071,0.837217,0.454734,1.74407,123.962,-9999.0,0.996,-9999.0
201201011130,201201011200,-9999.0,3,57.109,0.066,1.108,0.812123,1.00466,0.487168,2.0197,144.811,-9999.0,0.986,-9999.0
201201011200,201201011230,-9999.0,3,59.922,0.09,1.435,0.856466,1.15785,0.521055,2.11416,154.863,-9999.0,0.947,-9999.0
201201011230,201201011300,-9999.0,3,59.552,0.199,1.135,0.86237,0.967768,0.525602,2.10176,153.947,-9999.0,0.87,-9999.0
201201011300,201201011330,-9999.0,3,48.2,0.215,1.167,0.868197,-0.0574423,0.530099,1.71753,142.078,-9999.0,0.873,-9999.0
201201011330,201201011400,-9999.0,3,40.573,0.228,1.172,0.86518,0.145428,0.52777,1.45519,119.46,-9999.0,0.875,-9999.0
201201011400,201201011430,-9999.0,3,26.026,0.235,1.162,0.862169,-0.290424,0.525448,0.945207,86.4779,-9999.0,0.878,-9999.0
201201011430,201201011500,-9999.0,3,13.297,0.248,1.156,0.842553,-0.17468,0.510371,0.488301,43.6977,-9999.0,0.88,-9999.0
201201011500,201201011530,-9999.0,3,0.0,0.262,1.164,0.823201,-0.0576451,0.495589,0.0,3.48532,-9999.0,0.884,-9999.0
201201011530,201201011600,-9999.0,3,0.0,0.267,1.142,0.798544,0.498843,0.476888,0.0,0.0,-9999.0,0.886,-9999.0
201201011600,201201011630,-9999.0,3,0.0,0.266,1.12,0.774329,0.179525,0.45867,0.0,0.0,-9999.0,0.89,-9999.0
201201011630,201201011700,-9999.0,3,0.0,0.269,1.112,0.755647,0.282134,0.444718,0.0,0.0,-9999.0,0.892,-9999.0
201201011700,201201011730,-9999.0,3,0.0,0.276,1.052,0.737236,0.116428,0.431057,0.0,0.0,-9999.0,0.896,-9999.0
201201011730,201201011800,-9999.0,3,0.0,0.269,0.896,0.729675,0.060345,0.425472,0.0,0.0,-9999.0,0.898,-9999.0
