TIMESTAMP_START,TIMESTAMP_END,NEE,NEE_VUT_REF_QC,SW_IN_F,VPD_F_MDS,TA_F_MDS,RECO_NT_VUT_REF,GPP_NT_VUT_REF,RECO_DT_VUT_REF,GPP_DT_VUT_REF,SW_IN_POT,PPFD_IN,TS_F_MDS_1,RH
202001010000,202001010030,-9999.0,1,0.052,3.116,2.24,0.94708,-0.0825595,1.48653,0.00564714,0.0,0.1,0.33,56.6
202001010030,202001010100,0.955621,0,0.0,2.906,2.09,0.935782,-0.0198395,1.47772,0.0,0.0,0.0,0.33,59.1
202001010100,202001010130,1.2316,0,0.021,3.032,2.18,0.942553,-0.289047,1.48301,0.00228275,0.0,0.04,0.34,57.6
202001010130,202001010200,0.837697,0,0.0,2.966,2.24,0.94708,0.109383,1.48653,0.0,0.0,-0.07,0.35,58.7
202001010200,202001010230,1.51162,0,0.0,2.764,1.88,0.920073,-0.0958272,1.46538,0.0,0.0,-0.04,0.34,60.5
202001010230,202001010300,-9999.0,1,0.0,2.6,1.31,0.878087,-0.124133,1.43186,0.0,0.0,-0.06,0.34,61.3
202001010300,202001010330,-9999.0,1,0.016,2.486,2.37,0.956925,-0.0727048,1.49416,0.00173951,0.0,0.03,0.34,65.7
202001010330,202001010400,1.04121,0,0.0,2.983,3.02,1.00688,-0.0343312,1.53231,0.0,0.0,-0.03,0.34,60.7
202001010400,202001010430,1.00177,0,0.005,3.173,3.43,1.03901,0.0372355,1.55633,0.00054378,0.0,0.01,0.34,59.4
202001010430,202001010500,1.23923,0,0.0,3.371,2.99,1.00455,-0.234683,1.53055,0.0,0.0,-0.07,0.33,55.5
202001010500,202001010530,0.996983,0,0.0,3.23,2.42,0.960725,-0.036258,1.4971,0.0,0.0,-0.16,0.33,55.6
202001010530,202001010600,-9999.0,1,0.031,3.172,2.36,0.956167,-0.0734634,1.49358,0.00336874,0.0,0.06,0.33,56.2
202001010600,202001010630,-9999.0,1,0.0,3.002,2.31,0.952375,-0.0787846,1.49064,0.0,0.0,-0.01,0.32,58.4
202001010630,202001010700,0.852772,0,0.026,2.881,2.53,0.969109,0.116337,1.50356,0.00282583,0.0,0.05,0.32,60.7
202001010700,202001010730,1.00899,0,0.021,3.067,2.85,0.993697,-0.0152927,1.52234,0.00228275,0.0,0.04,0.31,59.1
202001010730,202001010800,0.742205,0,0.0,3.19,3.03,1.00766,0.265451,1.53289,0.0,0.0,-0.08,0.31,58.0
202001010800,202001010830,0.691242,0,0.0,3.131,3.0,1.00532,0.314082,1.53113,0.0,0.0,-0.11,0.31,58.7
202001010830,202001010900,1.19904,0,0.042,2.878,2.99,1.00455,-0.194493,1.53055,0.00456256,0.0,0.08,0.3,62.0
202001010900,202001010930,0.77714,0,1.695,2.776,3.28,1.0272,0.250057,1.54755,0.175218,0.0,3.26,0.3,64.1
202001010930,202001011000,1.16562,0,9.433,2.572,3.39,1.03585,-0.12977,1.55399,0.794972,5.56757,18.14,0.3,67.0
202001011000,202001011030,0.57208,0,14.628,2.349,3.79,1.0676,0.495523,1.57741,1.09675,49.446,28.13,0.3,70.7
202001011030,202001011100,-9999.0,1,32.318,2.528,3.99,1.08365,0.298671,1.58911,1.76128,93.0038,62.15,0.3,68.9
202001011100,202001011130,-0.429745,0,52.473,2.63,3.97,1.08204,1.51178,1.58794,2.18101,126.68,100.91,0.3,67.6
202001011130,202001011200,-0.391039,0,49.889,2.755,3.82,1.07,1.46104,1.57916,2.13869,149.898,95.94,0.3,65.7
202001011200,202001011230,-0.607162,0,63.882,2.748,3.91,1.07722,1.68438,1.58443,2.34076,162.261,122.85,0.3,66.0
202001011230,202001011300,-0.640669,0,70.424,2.666,4.16,1.09737,1.73804,1.59904,2.41637,163.557,135.43,0.3,67.6
202001011300,202001011330,-0.517038,0,54.132,2.719,4.18,1.09899,1.61603,1.60021,2.20686,153.764,104.1,0.31,67.0
202001011330,202001011400,-9999.0,1,36.92,2.589,3.7,1.06042,0.292541,1.57214,1.87861,133.05,71.0,0.31,67.5
202001011400,202001011430,0.28978,0,18.413,2.604,3.57,1.05008,0.760304,1.56453,1.27781,101.769,35.41,0.31,67.0
202001011430,202001011500,0.271144,0,11.294,2.641,3.47,1.04217,0.771021,1.55868,0.911318,60.4568,21.72,0.31,66.3
202001011500,202001011530,0.709089,0,5.949,2.58,3.31,1.02955,0.320465,1.5493,0.546843,12.7142,11.44,0.31,66.7
202001011530,202001011600,-9999.0,1,1.638,2.613,3.32,1.03034,-0.0447406,1.54989,0.169609,0.0,3.15,0.31,66.3
202001011600,202001011630,0.932374,0,0.109,2.691,3.0,1.00532,0.0729498,1.53113,0.0118166,0.0,0.21,0.31,64.5
202001011630,202001011700,0.887606,0,0.0,2.614,2.75,0.985982,0.0983763,1.51647,0.0,0.0,-0.04,0.31,64.9
202001011700,202001011730,0.867583,0,0.01,2.595,2.65,0.978296,0.110713,1.5106,0.00108739,0.0,0.02,0.31,64.9
202001011730,202001011800,-9999.0,1,0.0,2.41,2.06,0.93353,-0.0879404,1.47596,0.0,0.0,-0.15,0.31,66.0
202001011800,202001011830,-9999.0,1,0.0,2.442,2.08,0.93503,-0.0864396,1.47713,0.0,0.0,-0.01,0.3,65.6
