TIMESTAMP_START,TIMESTAMP_END,NEE,NEE_VUT_REF_QC,SW_IN_F,VPD_F_MDS,TA_F_MDS,RECO_NT_VUT_REF,GPP_NT_VUT_REF,RECO_DT_VUT_REF,GPP_DT_VUT_REF,SW_IN_POT,PPFD_IN,TS_F_MDS_1,RH
202001010000,202001010030,-9999.0,1,0.0,0.229,-2.686,0.186738,0.0101602,0.0933656,0.0,0.0,-0.02,-0.237,95.4306
202001010030,202001010100,-9999.0,1,0.0,0.2,-2.424,0.189387,0.0109399,0.0975273,0.0,0.0,-0.02,-0.237,96.0823
202001010100,202001010130,0.179611,0,0.0,0.186,-2.294,0.190703,0.0110922,0.0996414,0.0,0.0,-0.02,-0.239,96.3933
202001010130,202001010200,0.0722861,0,0.0,0.183,-2.138,0.192284,0.119998,0.102222,0.0,0.0,-0.02,-0.236,96.4924
202001010200,202001010230,0.105422,0,0.0,0.184,-1.994,0.193745,0.0883233,0.104646,0.0,0.0,-0.02,-0.235,96.5174
202001010230,202001010300,0.0760944,0,0.0,0.173,-1.817,0.195543,0.119449,0.107682,0.0,0.0,-0.02,-0.235,96.7682
202001010300,202001010330,0.111136,0,0.0,0.194,-1.564,0.198117,0.0869808,0.112131,0.0,0.0,-0.02,-0.236,96.4476
202001010330,202001010400,0.0815556,0,0.0,0.229,-1.448,0.199298,0.117743,0.114214,0.0,0.0,-0.02,-0.237,95.8359
202001010400,202001010430,0.122294,0,0.0,0.289,-1.228,0.201541,0.0792471,0.118241,0.0,0.0,-0.02,-0.237,94.8192
202001010430,202001010500,0.0799861,0,0.0,0.246,-1.353,0.200266,0.12028,0.115941,0.0,0.0,-0.0203,-0.232,95.5621
202001010500,202001010530,0.0927167,0,0.0,0.199,-1.489,0.198881,0.106164,0.113475,0.0,0.0,-0.0205,-0.234,96.3664
202001010530,202001010600,0.145253,0,1.161,0.174,-1.434,0.199441,0.0541878,0.114467,0.000734511,0.0,-0.02,-0.233,96.8283
202001010600,202001010630,0.133531,0,0.351,0.169,-1.371,0.200083,0.0665519,0.115612,0.00022207,0.0,-0.02,-0.231,96.9341
202001010630,202001010700,0.129903,0,0.988,0.145,-1.333,0.20047,0.0705672,0.116307,0.000625067,0.0,-0.0203,-0.23,97.3922
202001010700,202001010730,0.0994333,0,1.871,0.173,-0.895,0.204942,0.105508,0.124528,0.00118366,0.0,-0.02,-0.229,96.9731
202001010730,202001010800,0.130839,0,2.687,0.232,-0.436,0.209639,0.0787999,0.13358,0.00169982,0.0,-0.02,-0.227,96.0809
202001010800,202001010830,0.127456,0,2.483,0.171,-0.221,0.211843,0.0843871,0.137977,0.00157078,0.0,-0.02,-0.229,97.1535
202001010830,202001010900,0.077975,0,1.324,0.06,-0.066,0.213433,0.135458,0.14121,0.000837627,0.0,-0.02,-0.227,99.0199
202001010900,202001010930,0.160094,0,2.608,0.238,0.253,0.21671,0.0566161,0.148031,0.00164985,0.0,0.5253,-0.226,96.1768
202001010930,202001011000,-9999.0,1,4.938,0.264,0.636,0.22065,0.0292099,0.156523,0.0031235,0.225532,4.3618,-0.226,95.8684
202001011000,202001011030,-9999.0,1,9.336,0.288,1.124,0.225678,0.022384,0.167833,0.00590423,27.3871,13.994,-0.227,95.6492
202001011030,202001011100,0.0864722,0,22.958,0.272,1.409,0.228618,0.142146,0.174697,0.0145099,66.7419,37.6774,-0.225,95.9821
202001011100,202001011130,0.107206,0,51.223,0.263,1.558,0.230157,0.122951,0.178362,0.0323317,96.5404,81.0785,-0.227,96.1583
202001011130,202001011200,0.0269389,0,30.285,0.36,1.911,0.233803,0.206864,0.187259,0.0191342,116.273,52.4041,-0.225,94.8692
202001011200,202001011230,0.0572556,0,36.125,0.46,2.344,0.238281,0.181025,0.198587,0.0228178,125.601,63.8004,-0.221,93.6464
202001011230,202001011300,0.0238806,0,44.001,0.541,2.604,0.240971,0.217091,0.205613,0.0277825,124.367,77.7867,-0.22,92.6549
202001011300,202001011330,0.0976861,0,38.939,0.641,2.742,0.2424,0.144714,0.209411,0.024592,112.59,71.1337,-0.217,91.3886
202001011330,202001011400,0.0419806,0,32.993,0.814,2.965,0.244709,0.202729,0.215649,0.0208425,90.4718,58.8228,-0.215,89.2301
202001011400,202001011430,0.0909278,0,25.388,0.909,3.064,0.245735,0.154807,0.21846,0.0160439,58.3917,44.487,-0.213,88.0568
202001011430,202001011500,0.0848278,0,10.341,0.872,2.969,0.244751,0.159923,0.215762,0.0065395,17.3635,19.3617,-0.211,88.4646
202001011500,202001011530,0.120903,0,4.841,0.935,3.012,0.245196,0.124293,0.216981,0.00306216,0.0,7.651,-0.212,87.6752
202001011530,202001011600,0.166514,0,1.433,1.011,3.051,0.2456,0.079086,0.218089,0.000906581,0.0,0.9223,-0.216,86.7093
202001011600,202001011630,0.242044,0,0.623,1.222,3.313,0.248314,0.00627036,0.225639,0.000394153,0.0,-0.02,-0.214,84.2374
202001011630,202001011700,0.208531,0,0.0,1.411,3.523,0.250491,0.0419596,0.231819,0.0,0.0,-0.0203,-0.219,82.0618
202001011700,202001011730,0.158717,0,0.0,1.333,3.275,0.247921,0.0892036,0.224533,0.0,0.0,-0.02,-0.219,82.7536
202001011730,202001011800,0.100622,0,0.0,1.228,3.003,0.245103,0.144481,0.216725,0.0,0.0,-0.0203,-0.221,83.8019
202001011800,202001011830,0.131372,0,0.0,1.194,2.852,0.243539,0.112167,0.212472,0.0,0.0,-0.0203,-0.223,84.0799
202001011830,202001011900,0.109964,0,0.0,1.247,2.889,0.243922,0.133958,0.213509,0.0,0.0,-0.02,-0.223,83.4173
202001011900,202001011930,0.180089,0,0.0,1.343,3.009,0.245165,0.0650759,0.216895,0.0,0.0,-0.02,-0.221,82.3001
