TIMESTAMP_START,TIMESTAMP_END,NEE,NEE_VUT_REF_QC,SW_IN_F,VPD_F_MDS,TA_F_MDS,RECO_NT_VUT_REF,GPP_NT_VUT_REF,RECO_DT_VUT_REF,GPP_DT_VUT_REF,SW_IN_POT,PPFD_IN,TS_F_MDS_1,RH
201801010000,201801010030,-9999.0,1,0.0,0.055,-4.777,0.837057,0.559784,0.554659,0.0,0.0,0.0,-0.398,98.7267
201801010030,201801010100,0.2992,0,0.0,0.06,-4.839,0.831142,0.556991,0.553647,0.0,0.0,0.0,-0.338,98.5833
201801010100,201801010130,0.4238,0,0.0,0.077,-4.992,0.816647,0.417168,0.551146,0.0,0.0,0.0,-0.373,98.17
201801010130,201801010200,0.2274,0,0.0,0.08,-5.02,0.814011,0.610799,0.550688,0.0,0.0,0.0,-0.293,98.0933
201801010200,201801010230,0.3931,0,0.0,0.079,-4.968,0.818912,0.450245,0.551539,0.0,0.0,0.0,-0.303,98.12
201801010230,201801010300,0.3848,0,0.0,0.076,-4.943,0.821273,0.461026,0.551948,0.0,0.0,0.0,-0.279,98.2067
201801010300,201801010330,0.5852,0,0.0,0.066,-4.953,0.820328,0.259633,0.551785,0.0,0.0,0.0,-0.28,98.43
201801010330,201801010400,0.5876,0,0.0,0.055,-4.992,0.816647,0.253368,0.551146,0.0,0.0,0.0,-0.255,98.7
201801010400,201801010430,0.838,0,0.0,0.054,-5.037,0.812413,-0.00147951,0.550409,0.0,0.0,0.0,-0.285,98.7067
201801010430,201801010500,0.4526,0,0.0,0.068,-5.12,0.804635,0.375754,0.549048,0.0,0.0,0.0,-0.266,98.38
201801010500,201801010530,0.3406,0,0.0,0.071,-5.228,0.794579,0.477199,0.547274,0.0,0.0,0.0,-0.331,98.29
201801010530,201801010600,0.9349,0,0.0,0.088,-5.428,0.77615,-0.136438,0.543979,0.0,0.0,0.0,-0.315,97.84
201801010600,201801010630,0.2482,0,0.0,0.102,-5.672,0.754008,0.527039,0.539942,0.0,0.0,0.0,-0.289,97.45
201801010630,201801010700,-0.1488,0,0.0,0.112,-5.874,0.73596,0.905121,0.536586,0.0,0.0,0.0,-0.332,97.1533
201801010700,201801010730,0.3415,0,0.0,0.114,-6.179,0.709194,0.386781,0.531494,0.0,0.0,0.0,-0.372,97.05
201801010730,201801010800,0.3177,0,0.0,0.115,-6.427,0.68786,0.388247,0.527332,0.0,0.0,0.0,-0.349,96.9567
201801010800,201801010830,0.2708,0,0.0,0.128,-6.619,0.671607,0.418141,0.524097,0.0,0.0,0.0,-0.314,96.5567
201801010830,201801010900,0.1384,0,0.0,0.123,-6.702,0.664653,0.543267,0.522695,0.0,0.0,0.0,-0.351,96.67
201801010900,201801010930,-0.0964,0,0.0,0.103,-6.69,0.665656,0.779116,0.522898,0.0,0.0,0.0,-0.401,97.23
201801010930,201801011000,-0.146,0,0.0,0.095,-6.708,0.664152,0.827143,0.522594,0.0,0.0,0.0,-0.396,97.44
201801011000,201801011030,0.3842,0,0.0,0.101,-6.752,0.660484,0.293108,0.521849,0.0,0.0,1.9542,-0.382,97.2667
201801011030,201801011100,0.2291,0,0.0,0.109,-6.835,0.653599,0.441008,0.520444,0.0,0.0,5.6452,-0.361,97.0167
201801011100,201801011130,0.2131,0,0.0,0.112,-6.865,0.651121,0.454417,0.519935,0.0,0.0,7.8887,-0.328,96.9433
201801011130,201801011200,-9999.0,1,0.0,0.101,-6.928,0.645935,0.357005,0.518866,0.0,0.0,8.3229,-0.356,97.23
201801011200,201801011230,-9999.0,1,0.272,0.09,-7.03,0.637591,0.356668,0.517133,0.00776815,0.0,8.721,-0.344,97.4933
201801011230,201801011300,-9999.0,1,0.0,0.091,-7.052,0.635801,0.358967,0.516759,0.0,0.0,6.8755,-0.344,97.47
201801011300,201801011330,-9999.0,1,0.0,0.097,-6.915,0.647003,0.356624,0.519087,0.0,0.0,4.0528,-0.363,97.3267
201801011330,201801011400,-9999.0,1,0.0,0.098,-6.95,0.64413,0.355599,0.518493,0.0,0.0,1.5923,-0.357,97.2967
201801011400,201801011430,-9999.0,1,0.0,0.095,-6.973,0.642246,0.358231,0.518102,0.0,0.0,0.1086,-0.342,97.3667
201801011430,201801011500,-9999.0,1,0.0,0.095,-6.967,0.642737,0.354143,0.518204,0.0,0.0,0.0,-0.324,97.3867
201801011500,201801011530,-9999.0,1,0.0,0.095,-6.99,0.640856,0.35548,0.517813,0.0,0.0,0.0,-0.329,97.3833
