TIMESTAMP_START,TIMESTAMP_END,NEE,NEE_VUT_REF_QC,SW_IN_F,VPD_F_MDS,TA_F_MDS,RECO_NT_VUT_REF,GPP_NT_VUT_REF,RECO_DT_VUT_REF,GPP_DT_VUT_REF,SW_IN_POT,PPFD_IN,TS_F_MDS_1,RH
200601010000,200601010030,-9999.0,1,0.0,0.254,-4.309,0.226368,-0.00335737,0.0861535,0.0,0.0,0.0,5.632,94.289
200601010030,200601010100,-9999.0,1,0.0,0.287,-4.155,0.228378,-0.00207603,0.0865342,0.0,0.0,0.0,5.612,93.617
200601010100,200601010130,-9999.0,1,0.0,0.273,-4.06,0.22962,-0.0012847,0.0867685,0.0,0.0,0.0,5.561,93.969
200601010130,200601010200,-9999.0,1,0.0,0.28,-3.83,0.232631,0.00063397,0.087334,0.0,0.0,0.0,5.541,93.914
200601010200,200601010230,-9999.0,1,0.0,0.284,-3.757,0.233587,0.00124371,0.087513,0.0,0.0,0.0,5.629,93.873
200601010230,200601010300,-9999.0,1,0.0,0.306,-3.711,0.234191,0.00162816,0.0876256,0.0,0.0,0.0,5.713,93.407
200601010300,200601010330,-9999.0,1,0.0,0.302,-3.778,0.233312,0.00106825,0.0874615,0.0,0.0,0.0,5.832,93.467
200601010330,200601010400,-9999.0,1,0.0,0.294,-3.866,0.232159,0.000333369,0.0872456,0.0,0.0,0.0,5.996,93.606
200601010400,200601010430,-9999.0,1,0.0,0.293,-3.916,0.231504,-8.39233e-05,0.0871228,0.0,0.0,0.0,6.192,93.592
200601010430,200601010500,-9999.0,1,0.0,0.23,-3.897,0.231753,7.46399e-05,0.0871695,0.0,0.0,0.0,6.165,94.97
200601010500,200601010530,-9999.0,1,0.0,0.201,-3.845,0.232434,0.000508696,0.0872972,0.0,0.0,0.0,6.138,95.619
200601010530,200601010600,-9999.0,1,0.0,0.188,-3.738,0.233837,0.0014025,0.0875595,0.0,0.0,0.00034,6.113,95.941
200601010600,200601010630,-9999.0,1,0.0,0.198,-3.645,0.235057,0.00217995,0.087787,0.0,0.0,0.0,6.087,95.764
200601010630,200601010700,-9999.0,1,0.0,0.208,-3.63,0.235254,0.0023054,0.0878237,0.0,0.0,0.0,6.062,95.549
200601010700,200601010730,-9999.0,1,0.0,0.222,-3.623,0.235345,0.00236395,0.0878408,0.0,0.0,0.0,6.036,95.253
200601010730,200601010800,-9999.0,1,0.0,0.23,-3.706,0.234256,0.0016699,0.0876378,0.0,0.0,0.0,6.011,95.054
200601010800,200601010830,-9999.0,1,0.0,0.245,-3.949,0.231072,-0.000359237,0.0870417,0.0,0.0,0.00034,6.034,94.628
200601010830,200601010900,-9999.0,1,0.066,0.252,-4.154,0.228391,-0.0020677,0.0865367,0.0,0.0,0.12784,6.008,94.39
200601010900,200601010930,-9999.0,1,0.983,0.252,-4.312,0.226329,-0.00338233,0.086146,0.0,0.0,1.8908,5.983,94.329
200601010930,200601011000,-9999.0,1,4.355,0.253,-4.341,0.22595,-0.0036234,0.0860742,0.0,1.23422,8.3757,6.004,94.278
200601011000,200601011030,-9999.0,1,5.043,0.257,-4.35,0.225833,-0.0036982,0.0860519,0.0,24.2681,9.6975,6.004,94.186
200601011030,200601011100,-9999.0,1,7.274,0.253,-4.408,0.225077,-0.00418012,0.0859081,0.0,48.4015,13.988,5.959,94.267
200601011100,200601011130,-9999.0,1,11.842,0.246,-4.378,0.225468,-0.00393088,0.0859825,0.0,63.1148,22.773,5.938,94.437
200601011130,200601011200,-9999.0,1,9.346,0.257,-4.358,0.225729,-0.00376466,0.0860321,0.0,68.1562,17.973,5.917,94.2
200601011200,200601011230,-9999.0,1,10.631,0.257,-4.301,0.226472,-0.00329083,0.0861733,0.0,63.4396,20.445,5.898,94.212
200601011230,200601011300,-9999.0,1,7.529,0.242,-4.279,0.226759,-0.00310789,0.0862277,0.0,49.0455,14.479,5.898,94.563
200601011300,200601011330,-9999.0,1,4.956,0.255,-4.163,0.228274,-0.00214264,0.0865144,0.0,25.2204,9.5304,5.893,94.317
200601011330,200601011400,-9999.0,1,2.742,0.257,-4.079,0.229371,-0.001443,0.0867217,0.0,1.55783,5.2728,5.911,94.321
200601011400,200601011430,-9999.0,1,0.801,0.257,-3.992,0.230509,-0.000717863,0.0869359,0.0,0.0,1.5399,5.929,94.35
200601011430,200601011500,-9999.0,1,0.138,0.246,-3.877,0.232015,0.000241578,0.0872186,0.0,0.0,0.26559,5.921,94.636
200601011500,200601011530,-9999.0,1,0.0,0.216,-3.814,0.23284,0.000767559,0.0873732,0.0,0.0,0.0,5.895,95.303
200601011530,200601011600,-9999.0,1,0.0,0.2,-3.689,0.234479,0.00181204,0.0876794,0.0,0.0,0.0,5.866,95.709
200601011600,200601011630,-9999.0,1,0.0,0.22,-3.299,0.239604,0.00507773,0.08863,0.0,0.0,0.0,5.838,95.4
200601011630,200601011700,-9999.0,1,0.0,0.296,-2.863,0.245353,0.0135714,0.0896842,0.0,0.0,0.0,5.809,94.014
200601011700,200601011730,-9999.0,1,0.0,0.381,-2.83,0.245789,0.0138491,0.0897636,0.0,0.0,0.0,5.773,92.311
200601011730,200601011800,-9999.0,1,0.0,0.404,-2.868,0.245287,0.0135293,0.0896721,0.0,0.0,0.0,5.757,91.826
200601011800,200601011830,-9999.0,1,0.0,0.358,-3.086,0.242411,0.00617754,0.0891461,0.0,0.0,0.0,5.718,92.651
200601011830,200601011900,-9999.0,1,0.0,0.274,-3.399,0.238289,0.00423942,0.0883869,0.0,0.0,0.0,5.679,94.242
200601011900,200601011930,-9999.0,1,0.0,0.261,-3.405,0.23821,0.00418915,0.0883723,0.0,0.0,0.0,5.618,94.504
200601011930,200601012000,-9999.0,1,0.0,0.387,-3.375,0.238604,0.00444053,0.0884453,0.0,0.0,0.0,5.586,91.871
200601012000,200601012030,-9999.0,1,0.0,0.304,-3.563,0.236133,0.00286599,0.0879873,0.0,0.0,0.0,5.534,93.532
200601012030,200601012100,-9999.0,1,0.0,0.45,-3.76,0.233548,0.00121866,0.0875056,0.0,0.0,0.0,5.511,90.266
200601012100,200601012130,-9999.0,1,0.0,0.444,-3.991,0.230522,-0.000709519,0.0869384,0.0,0.0,0.0,5.486,90.239
200601012130,200601012200,-9999.0,1,0.0,0.356,-4.006,0.230326,-0.000834584,0.0869015,0.0,0.0,0.0,5.484,92.159
200601012200,200601012230,-9999.0,1,0.0,0.339,-4.138,0.2286,-0.00193447,0.0865762,0.0,0.0,0.0,5.435,92.451
200601012230,200601012300,-9999.0,1,0.0,0.32,-4.223,0.22749,-0.00264204,0.0863662,0.0,0.0,0.0,5.433,92.832
200601012300,200601012330,-9999.0,1,0.0,0.311,-4.228,0.227425,-0.00268364,0.0863538,0.0,0.0,0.0,5.382,93.043
200601012330,200601020000,-9999.0,1,0.0,0.306,-4.222,0.227503,-0.00263372,0.0863687,0.0,0.0,0.0,5.331,93.154
200601020000,200601020030,-9999.0,1,0.0,0.325,-4.181,0.228039,-0.00229247,0.08647,0.0,0.0,0.0,5.28,92.75
200601020030,200601020100,-9999.0,1,0.0,0.306,-4.184,0.227999,-0.00231747,0.0864626,0.0,0.0,0.0,5.228,93.183
200601020100,200601020130,-9999.0,1,0.0,0.305,-4.152,0.228417,-0.00205104,0.0865416,0.0,0.0,0.0,5.151,93.219
200601020130,200601020200,-9999.0,1,0.0,0.277,-4.207,0.227699,-0.00250891,0.0864058,0.0,0.0,0.00068,5.098,93.817
200601020200,200601020230,-9999.0,1,0.0,0.269,-4.198,0.227817,-0.002434,0.086428,0.0,0.0,0.0,5.157,94.002
200601020230,200601020300,-9999.0,1,0.0,0.292,-4.129,0.228718,-0.00185952,0.0865984,0.0,0.0,0.0,5.234,93.505
200601020300,200601020330,-9999.0,1,0.0,0.332,-3.992,0.230509,-0.000717863,0.0869359,0.0,0.0,0.0,5.37,92.709
200601020330,200601020400,-9999.0,1,0.0,0.327,-4.28,0.226746,-0.00311621,0.0862252,0.0,0.0,0.0,5.554,92.642
200601020400,200601020430,-9999.0,1,0.0,0.341,-4.487,0.224048,-0.0048361,0.085712,0.0,0.0,0.00068,5.854,92.204
200601020430,200601020500,-9999.0,1,0.0,0.377,-4.353,0.225794,-0.00372313,0.0860445,0.0,0.0,0.0,5.804,91.491
200601020500,200601020530,-9999.0,1,0.0,0.345,-4.372,0.225546,-0.00388104,0.0859974,0.0,0.0,0.0,5.755,92.191
200601020530,200601020600,-9999.0,1,0.0,0.31,-4.39,0.225311,-0.00403057,0.0859528,0.0,0.0,0.0,5.702,92.975
200601020600,200601020630,-9999.0,1,0.0,0.283,-4.311,0.226342,-0.003374,0.0861485,0.0,0.0,0.0,5.65,93.634
200601020630,200601020700,-9999.0,1,0.0,0.28,-4.213,0.227621,-0.00255883,0.0863909,0.0,0.0,0.0,5.6,93.748
