TIMESTAMP_START,TIMESTAMP_END,NEE,NEE_VUT_REF_QC,SW_IN_F,VPD_F_MDS,TA_F_MDS,RECO_NT_VUT_REF,GPP_NT_VUT_REF,RECO_DT_VUT_REF,GPP_DT_VUT_REF,SW_IN_POT,PPFD_IN,TS_F_MDS_1,RH
201801010000,201801010030,-9999.0,1,0.0,0.0,-0.775,0.4591,0.1987,0.679208,0.0,0.0,0.0,0.282,100.0
201801010030,201801010100,-9999.0,1,0.0,0.0,-0.958,0.455246,0.195069,0.676167,0.0,0.0,0.0,0.281,100.0
201801010100,201801010130,-9999.0,1,0.0,0.0,-1.08,0.452677,0.192648,0.674133,0.0,0.0,0.0,0.282,100.0
201801010130,201801010200,0.321931,0,0.0,0.0,-1.262,0.448846,0.123701,0.67109,0.0,0.0,0.0,0.284,100.0
201801010200,201801010230,0.741847,0,0.0,0.0,-1.408,0.445773,-0.299112,0.668641,0.0,0.0,0.0,0.285,100.0
201801010230,201801010300,1.25289,0,0.0,0.0,-1.514,0.443544,-0.812258,0.666858,0.0,0.0,0.0,0.283,100.0
201801010300,201801010330,-0.258444,0,0.0,0.0,-1.579,0.442177,0.697786,0.665763,0.0,0.0,0.0,0.285,100.0
201801010330,201801010400,1.31946,0,0.0,0.0,-1.629,0.441125,-0.88111,0.66492,0.0,0.0,0.0,0.284,100.0
201801010400,201801010430,-9999.0,1,0.0,0.0,-1.664,0.440389,0.18106,0.66433,0.0,0.0,0.0,0.284,100.0
201801010430,201801010500,-9999.0,1,0.0,0.0,-1.733,0.438938,0.179691,0.663164,0.0,0.0,0.0,0.28,100.0
201801010500,201801010530,0.258083,0,0.0,0.0,-1.694,0.439758,0.178977,0.663823,0.0,0.0,0.0,0.284,100.0
201801010530,201801010600,0.470014,0,0.0,0.0,-1.655,0.440578,-0.03218,0.664482,0.0,0.0,0.0,0.283,100.0
201801010600,201801010630,0.221764,0,0.0,0.0,-1.631,0.441083,0.216546,0.664887,0.0,0.0,0.0,0.281,100.0
201801010630,201801010700,0.495486,0,0.0,0.0,-1.575,0.442261,-0.0560646,0.665831,0.0,0.0,0.0,0.283,100.0
201801010700,201801010730,-9999.0,1,0.0,0.0,-1.668,0.440305,0.180981,0.664262,0.0,0.0,0.0,0.28,100.0
201801010730,201801010800,-9999.0,1,0.0,0.0,-1.732,0.43896,0.179711,0.663181,0.0,0.0,0.0,0.282,100.0
201801010800,201801010830,-9999.0,1,0.0,0.0,-1.794,0.437656,0.178481,0.662132,0.0,0.0,0.0,0.283,100.0
201801010830,201801010900,-9999.0,1,0.017,0.0,-1.86,0.436269,0.177171,0.661014,0.0,0.0,0.032,0.283,100.0
201801010900,201801010930,-9999.0,1,0.21,0.0,-1.959,0.434189,0.176789,0.659335,0.0,0.0,0.404,0.284,100.0
201801010930,201801011000,0.187917,0,0.784,0.0,-1.992,0.433496,0.243231,0.658774,0.0,1.62207,1.508,0.281,100.0
201801011000,201801011030,0.287083,0,1.687,0.0,-2.006,0.433202,0.143787,0.658536,0.0,25.4414,3.244,0.282,100.0
201801011030,201801011100,1.20661,0,2.892,0.0,-2.016,0.432992,-0.775938,0.658366,0.0,49.2747,5.561,0.282,100.0
201801011100,201801011130,-9999.0,1,3.857,0.0,-1.975,0.433853,0.176472,0.659063,0.0,63.6737,7.418,0.28,100.0
201801011130,201801011200,-9999.0,1,5.106,0.0,-1.904,0.435345,0.17788,0.660268,0.0,68.392,9.82,0.281,100.0
201801011200,201801011230,-0.155931,0,3.116,0.0,-1.899,0.43545,0.588924,0.660353,0.0,63.3488,5.992,0.283,100.0
