TIMESTAMP_START,TIMESTAMP_END,NEE,NEE_VUT_REF_QC,SW_IN_F,VPD_F_MDS,TA_F_MDS,RECO_NT_VUT_REF,GPP_NT_VUT_REF,RECO_DT_VUT_REF,GPP_DT_VUT_REF,SW_IN_POT,PPFD_IN,TS_F_MDS_1,RH
202001010000,202001010030,-9999.0,1.0,0.0,0.616,-2.071,0.816879,-0.365794,0.692182,0.0,0.0,0.0,0.737,88.27
202001010030,202001010100,-9999.0,1.0,0.0,0.572,-2.173,0.811078,-0.365042,0.685848,0.0,0.0,0.0,0.734,89.02
202001010100,202001010130,-9999.0,1.0,0.0,0.539,-2.241,0.807219,-0.368787,0.681641,0.0,0.0,0.0,0.736,89.59
202001010130,202001010200,-9999.0,1.0,0.0,0.572,-2.065,0.817221,-0.365462,0.692555,0.0,0.0,0.0,0.736,89.11
202001010200,202001010230,-9999.0,1.0,0.0,0.499,-2.244,0.807048,-0.368952,0.681456,0.0,0.0,0.0,0.735,90.36
202001010230,202001010300,-9999.0,1.0,0.0,0.496,-2.119,0.814148,-0.362064,0.689198,0.0,0.0,0.0,0.733,90.52
202001010300,202001010330,-9999.0,1.0,0.0,0.34,-2.94,0.767925,-0.315556,0.639146,0.0,0.0,0.0,0.737,93.09
202001010330,202001010400,-9999.0,1.0,0.0,0.256,-3.123,0.757754,-0.308672,0.628247,0.0,0.0,0.0,0.733,94.73
202001010400,202001010430,-9999.0,1.0,0.0,0.166,-3.131,0.757311,-0.309103,0.627773,0.0,0.0,0.0,0.734,96.57
202001010430,202001010500,-9999.0,1.0,0.0,0.062,-2.805,0.775459,-0.320435,0.647246,0.0,0.0,0.0,0.735,98.76
202001010500,202001010530,-9999.0,1.0,0.0,0.022,-3.004,0.764362,-0.311238,0.635324,0.0,0.0,0.0,0.734,99.56
202001010530,202001010600,-9999.0,1.0,0.0,0.016,-2.722,0.780105,-0.317642,0.652252,0.0,0.0,0.0,0.735,99.69
202001010600,202001010630,-9999.0,1.0,0.0,0.016,-2.643,0.784535,-0.332138,0.657034,0.0,0.0,0.0,0.736,99.69
202001010630,202001010700,-9999.0,1.0,0.0,0.016,-2.261,0.806085,-0.369888,0.680406,0.0,0.0,0.0,0.733,99.69
202001010700,202001010730,-9999.0,1.0,0.0,0.017,-1.534,0.847654,-0.338175,0.726002,0.0,0.0,0.0,0.735,99.69
202001010730,202001010800,-9999.0,1.0,0.0,0.018,-1.126,0.871294,-0.319195,0.752224,0.0,0.0,0.0,0.735,99.68
202001010800,202001010830,-9999.0,1.0,0.0,0.018,-0.53,0.906213,-0.360102,0.791335,0.0,0.0,0.0,0.738,99.69
202001010830,202001010900,-9999.0,1.0,0.0,0.019,-0.094,0.932038,-0.335964,0.820543,0.0,0.0,0.0,0.739,99.68
202001010900,202001010930,-9999.0,1.0,0.0,0.023,0.487,0.966807,-0.214198,0.86024,0.0,0.0,0.0,0.738,99.63
202001010930,202001011000,-9999.0,1.0,2.451,0.17,1.028,0.999535,-0.147437,0.897986,0.0,1.39639,14.1407,0.736,97.42
202001011000,202001011030,-9999.0,1.0,12.15,0.257,1.316,1.01709,-0.152278,0.918383,0.0,24.4361,32.3162,0.739,96.17
202001011030,202001011100,-9999.0,1.0,15.044,0.298,1.594,1.03412,-0.0986516,0.938269,0.0,47.8897,42.6514,0.74,95.65
202001011100,202001011130,-9999.0,1.0,22.163,0.37,1.865,1.05081,0.184867,0.95784,0.0,61.9266,56.9433,0.742,94.71
202001011130,202001011200,1.23742,0.0,25.114,0.581,2.462,1.08783,-0.159922,1.00159,0.0,66.3066,58.9779,0.743,92.03
202001011200,202001011230,0.999613,0.0,23.502,0.717,2.842,1.11158,0.100731,1.02989,0.0,60.9548,56.1521,0.744,90.43
202001011230,202001011300,-0.0149005,0.0,18.27,0.817,3.039,1.12395,1.12714,1.04469,0.0,45.9627,48.5104,0.744,89.25
202001011300,202001011330,0.908553,0.0,6.683,0.903,3.239,1.13654,0.215787,1.05982,0.0,21.587,25.6473,0.743,88.29
202001011330,202001011400,0.0761227,0.0,0.251,1.151,3.637,1.16172,1.0724,1.09019,0.0,0.594131,11.8434,0.744,85.49
202001011400,202001011430,-9999.0,1.0,0.0,1.268,3.617,1.16045,0.132176,1.08866,0.0,0.0,0.0,0.746,83.99
202001011430,202001011500,-9999.0,1.0,0.0,1.252,3.396,1.14645,0.117365,1.07176,0.0,0.0,0.0,0.747,83.94
202001011500,202001011530,-9999.0,1.0,0.0,1.195,3.133,1.12986,0.108751,1.05179,0.0,0.0,0.0,0.75,84.38
202001011530,202001011600,0.742382,0.0,0.0,1.227,3.059,1.1252,0.371063,1.0462,0.0,0.0,0.0,0.749,83.88
202001011600,202001011630,-9999.0,1.0,0.0,1.254,3.086,1.1269,0.105907,1.04824,0.0,0.0,0.0,0.749,83.56
202001011630,202001011700,-9999.0,1.0,0.0,1.292,3.223,1.13553,0.114201,1.0586,0.0,0.0,0.0,0.745,83.22
202001011700,202001011730,0.617333,0.0,0.0,1.367,3.308,1.14089,0.511191,1.06506,0.0,0.0,0.0,0.745,82.36
202001011730,202001011800,0.349442,0.0,0.0,1.388,3.187,1.13326,0.771748,1.05587,0.0,0.0,0.0,0.738,81.93
202001011800,202001011830,0.390444,0.0,0.0,1.442,3.157,1.13137,0.728929,1.0536,0.0,0.0,0.0,0.734,81.19
202001011830,202001011900,0.278544,0.0,0.0,1.395,3.061,1.12533,0.835021,1.04635,0.0,0.0,0.0,0.729,81.68
202001011900,202001011930,0.429088,0.0,0.0,1.502,3.412,1.14747,0.705749,1.07298,0.0,0.0,0.0,0.721,80.76
202001011930,202001012000,-9999.0,1.0,0.0,1.493,3.489,1.15234,0.132327,1.07885,0.0,0.0,0.0,0.724,80.97
202001012000,202001012030,-9999.0,1.0,0.0,1.645,3.843,1.1748,0.146511,1.10606,0.0,0.0,0.0,0.726,79.56
202001012030,202001012100,-9999.0,1.0,0.0,1.834,4.284,1.20294,0.369059,1.14036,0.0,0.0,0.0,0.724,77.9
202001012100,202001012130,0.703581,0.0,0.0,1.874,4.422,1.21179,0.493001,1.15118,0.0,0.0,0.0,0.725,77.64
202001012130,202001012200,0.546662,0.0,0.0,2.164,4.954,1.24602,0.682744,1.1933,0.0,0.0,0.0,0.73,75.12
202001012200,202001012230,0.856852,0.0,0.0,2.276,5.125,1.25707,0.383146,1.20697,0.0,0.0,0.0,0.732,74.14
202001012230,202001012300,0.358264,0.0,0.0,2.315,4.975,1.24737,0.872442,1.19497,0.0,0.0,0.0,0.736,73.42
