TIMESTAMP_START,TIMESTAMP_END,NEE,NEE_VUT_REF_QC,SW_IN_F,VPD_F_MDS,TA_F_MDS,RECO_NT_VUT_REF,GPP_NT_VUT_REF,RECO_DT_VUT_REF,GPP_DT_VUT_REF,SW_IN_POT,PPFD_IN,TS_F_MDS_1,RH
200301010000,200301010030,-9999.0,1,0.0,0.831,2.1,1.3711,0.210248,1.11865,0.0,0.0,0.0,-0.282,-9999.0
200301010030,200301010100,-9999.0,1,0.0,0.833,1.98,1.36254,0.201692,1.10438,0.0,0.0,0.0,-0.282,-9999.0
200301010100,200301010130,-9999.0,1,0.0,0.836,1.89,1.35613,0.195281,1.09375,0.0,0.0,0.0,-0.282,-9999.0
200301010130,200301010200,-9999.0,1,0.0,0.838,2.06,1.36824,0.207395,1.11388,0.0,0.0,0.0,-0.282,-9999.0
200301010200,200301010230,-9999.0,1,0.0,0.841,2.09,1.37039,0.209535,1.11745,0.0,0.0,0.0,-0.283,-9999.0
200301010230,200301010300,-9999.0,1,0.0,0.844,1.75,1.34617,0.185322,1.07734,0.0,0.0,0.0,-0.283,-9999.0
200301010300,200301010330,-9999.0,1,0.0,0.845,1.51,1.32914,0.157435,1.04957,0.0,0.0,0.0,-0.283,-9999.0
200301010330,200301010400,-9999.0,1,0.0,0.847,1.36,1.31851,0.14681,1.03244,0.0,0.0,0.0,-0.283,-9999.0
200301010400,200301010430,-9999.0,1,0.0,0.85,1.11,1.30084,0.129143,1.00427,0.0,0.0,0.0,-0.283,-9999.0
200301010430,200301010500,-9999.0,1,0.0,0.852,0.97,1.29097,0.119271,0.988704,0.0,0.0,0.0,-0.283,-9999.0
200301010500,200301010530,-9999.0,1,0.0,0.856,0.87,1.28393,0.112231,0.977679,0.0,0.0,0.0,-0.283,-9999.0
200301010530,200301010600,-9999.0,1,0.0,0.86,0.59,1.26426,0.092562,0.947215,0.0,0.0,0.0,-0.283,-9999.0
200301010600,200301010630,-9999.0,1,0.0,0.86,0.23,1.23908,0.067376,0.908925,0.0,0.0,0.0,-0.283,-9999.0
200301010630,200301010700,-9999.0,1,0.0,0.86,0.06,1.22722,0.055524,0.891186,0.0,0.0,0.0,-0.283,-9999.0
200301010700,200301010730,-9999.0,1,0.0,0.865,-0.23,1.20707,0.035367,0.86143,0.0,0.0,0.13,-0.283,-9999.0
200301010730,200301010800,-9999.0,1,1.198,0.868,-0.23,1.20707,0.035367,0.86143,0.001141,0.0,2.73,-0.284,-9999.0
200301010800,200301010830,-9999.0,1,9.686,0.881,-0.26,1.20499,0.032357,0.858388,0.00922,30.9065,19.0,-0.285,-9999.0
200301010830,200301010900,-9999.0,1,20.794,0.989,-0.54,1.18561,1.02623,0.830322,0.019781,125.994,40.29,-0.291,-9999.0
200301010900,200301010930,-9999.0,1,29.047,1.032,-0.63,1.1794,1.1194,0.821425,0.02762,214.465,56.11,-0.292,-9999.0
200301010930,200301011000,-9999.0,1,34.426,1.012,0.03,1.22514,1.14853,0.888079,0.032726,292.273,66.42,-0.287,-9999.0
200301011000,200301011030,-9999.0,1,40.686,1.025,1.06,1.29732,1.19708,0.998693,0.038664,358.087,78.42,-0.29,-9999.0
200301011030,200301011100,-9999.0,1,45.063,1.021,1.2,1.3072,1.18643,1.01435,0.042814,410.78,86.81,-0.289,-9999.0
200301011100,200301011130,-9999.0,1,48.438,1.033,1.48,1.32701,0.952273,1.04613,0.046012,449.45,93.28,-0.29,-9999.0
200301011130,200301011200,-1.35,0,52.085,1.038,1.44,1.32418,2.67418,1.04155,0.049467,473.436,100.27,-0.293,-9999.0
200301011200,200301011230,-9999.0,1,53.546,1.046,1.26,1.31144,0.941767,1.02111,0.050851,482.328,103.07,-0.289,-9999.0
200301011230,200301011300,-9999.0,1,53.009,1.046,1.82,1.35115,0.98148,1.08553,0.050343,475.974,102.04,-0.289,-9999.0
200301011300,200301011330,-9999.0,1,123.585,1.204,2.89,1.42769,0.547912,1.21538,0.11694,454.482,237.32,-0.287,-9999.0
200301011330,200301011400,-9999.0,1,45.178,1.021,3.31,1.45795,1.37417,1.2688,0.042923,418.219,87.03,-0.289,-9999.0
200301011400,200301011430,-9999.0,1,45.021,1.021,3.31,1.45795,1.33719,1.2688,0.042774,367.807,86.73,-0.289,-9999.0
200301011430,200301011500,-9999.0,1,145.011,1.182,3.46,1.46879,0.314789,1.28821,0.137062,304.108,278.39,-0.29,-9999.0
200301011500,200301011530,-9999.0,1,134.718,1.199,3.18,1.44857,0.63413,1.25212,0.127401,228.212,258.66,-0.288,-9999.0
200301011530,200301011600,-9999.0,1,37.764,0.997,3.05,1.43921,1.33897,1.23557,0.035893,141.417,72.82,-0.291,-9999.0
200301011600,200301011630,-9999.0,1,10.725,0.874,2.15,1.37467,0.202037,1.12463,0.010208,45.3534,20.99,-0.287,-9999.0
200301011630,200301011700,-9999.0,1,0.0,0.866,2.16,1.37538,0.20368,1.12582,0.0,0.0,0.0,-0.284,-9999.0
200301011700,200301011730,-9999.0,1,0.0,0.866,1.9,1.35684,0.185143,1.09493,0.0,0.0,0.0,-0.284,-9999.0
