TIMESTAMP_START,TIMESTAMP_END,NEE,NEE_VUT_REF_QC,SW_IN_F,VPD_F_MDS,TA_F_MDS,RECO_NT_VUT_REF,GPP_NT_VUT_REF,RECO_DT_VUT_REF,GPP_DT_VUT_REF,SW_IN_POT,PPFD_IN,TS_F_MDS_1,RH
201301010000,201301010030,-9999.0,1.0,0.888,0.031,7.618,3.93932,0.19114,3.04362,0.0,0.0,-9999.0,8.82,99.7
201301010030,201301010100,1.4884,0.0,0.872,0.031,7.529,3.91677,2.43767,3.00637,0.0,0.0,-9999.0,8.82,99.7
201301010100,201301010130,2.24074,0.0,0.98,0.031,7.481,3.90464,1.67323,2.98642,0.0,0.0,-9999.0,8.82,99.7
201301010130,201301010200,3.25508,0.0,0.696,0.031,7.409,3.88646,0.640765,2.95668,0.0,0.0,-9999.0,8.78,99.7
201301010200,201301010230,2.92266,0.0,0.532,0.031,7.403,3.88495,0.971675,2.95421,0.0,0.0,-9999.0,8.78,99.7
201301010230,201301010300,1.3945,0.0,0.603,0.031,7.414,3.88773,2.5026,2.95873,0.0,0.0,-9999.0,8.8,99.7
201301010300,201301010330,0.815631,0.0,0.405,0.031,7.413,3.88747,3.08122,2.95832,0.0,0.0,-9999.0,8.8,99.7
201301010330,201301010400,1.09531,0.0,0.476,0.031,7.394,3.88268,2.79676,2.95051,0.0,0.0,-9999.0,8.81,99.7
201301010400,201301010430,2.30507,0.0,0.266,0.031,7.416,3.88823,1.59254,2.95956,0.0,0.0,-9999.0,8.82,99.7
201301010430,201301010500,2.39863,0.0,0.353,0.031,7.445,3.89555,1.50627,2.97152,0.0,0.0,-9999.0,8.82,99.7
201301010500,201301010530,2.05879,0.0,0.315,0.031,7.474,3.90287,1.85341,2.98352,0.0,0.0,-9999.0,8.85,99.7
201301010530,201301010600,1.96427,0.0,0.213,0.031,7.528,3.91652,1.96155,3.00595,0.0,0.0,-9999.0,8.8,99.7
201301010600,201301010630,1.52149,0.0,0.226,0.031,7.551,3.92234,2.41013,3.01554,0.0,0.0,-9999.0,8.79,99.7
201301010630,201301010700,1.24917,0.0,0.285,0.031,7.564,3.92564,2.68573,3.02098,0.0,0.0,-9999.0,8.78,99.7
201301010700,201301010730,3.36308,0.0,0.288,0.031,7.57,3.92715,0.573338,3.02349,0.0,0.0,-9999.0,8.84,99.7
201301010730,201301010800,1.41329,0.0,0.182,0.031,7.632,3.94287,2.5388,3.04951,0.0,0.0,-9999.0,8.85,99.7
201301010800,201301010830,3.24204,0.0,0.003,0.053,7.739,3.97006,0.737158,3.0948,0.0,0.0,-9999.0,8.86,99.5
