TIMESTAMP_START,TIMESTAMP_END,NEE,NEE_VUT_REF_QC,SW_IN_F,VPD_F_MDS,TA_F_MDS,RECO_NT_VUT_REF,GPP_NT_VUT_REF,RECO_DT_VUT_REF,GPP_DT_VUT_REF,SW_IN_POT,PPFD_IN,TS_F_MDS_1,RH
201101010000,201101010030,-9999.0,1,0.0,0.539,3.229,0.170921,-0.268915,0.680874,0.0,0.0,-9999.0,1.197,93.0
201101010030,201101010100,-9999.0,1,0.0,0.609,3.685,0.17721,-0.151581,0.687245,0.0,0.0,-9999.0,1.68,-9999.0
201101010100,201101010130,-9999.0,1,0.4,0.401,3.28,0.171619,-0.268217,0.681589,0.001738,0.0,0.0,1.197,94.815
201101010130,201101010200,-9999.0,1,0.3,0.387,3.277,0.171578,-0.268258,0.681547,0.001303,0.0,0.0,1.199,95.0
201101010200,201101010230,-9999.0,1,0.3,0.386,3.251,0.171222,-0.268614,0.681183,0.001303,0.0,0.0,1.2,95.0
201101010230,201101010300,-9999.0,1,0.3,0.367,3.196,0.17047,-0.269366,0.680411,0.001303,0.0,0.0,1.201,95.222
201101010300,201101010330,-9999.0,1,0.3,0.332,3.205,0.170593,-0.269243,0.680537,0.001303,0.0,0.0,1.202,95.679
201101010330,201101010400,-9999.0,1,0.4,0.354,3.311,0.172044,-0.267792,0.682024,0.001738,0.0,0.0,1.203,95.429
201101010400,201101010430,-9999.0,1,0.3,0.412,3.364,0.172771,-0.267065,0.682766,0.001303,0.0,0.0,1.206,94.704
201101010430,201101010500,-9999.0,1,0.5,0.44,3.566,0.175558,-0.264278,0.685588,0.002172,0.0,0.0,1.209,94.429
201101010500,201101010530,-9999.0,1,0.5,0.448,3.686,0.177224,-0.262612,0.687259,0.002172,0.0,0.0,1.214,94.37
201101010530,201101010600,-9999.0,1,0.4,0.476,3.723,0.177739,-0.262097,0.687774,0.001738,0.0,0.0,1.219,94.036
201101010600,201101010630,-9999.0,1,0.2,0.441,3.606,0.176113,-0.263723,0.686146,0.000869,0.0,0.0,1.223,94.429
201101010630,201101010700,-9999.0,1,0.4,0.35,3.536,0.175143,-0.264693,0.68517,0.001738,0.0,0.0,1.223,95.556
201101010700,201101010730,-9999.0,1,0.4,0.314,3.496,0.17459,-0.265246,0.684612,0.001738,0.0,0.0,1.227,96.0
201101010730,201101010800,-9999.0,1,0.5,0.286,3.546,0.175281,-0.264555,0.685309,0.002172,0.0,0.0,1.23,96.37
201101010800,201101010830,-9999.0,1,0.7,0.237,3.598,0.176002,-0.263834,0.686034,0.003041,0.0,0.0,1.23,97.0
201101010830,201101010900,-9999.0,1,4.3,0.237,3.56,0.175475,-0.264361,0.685505,0.018676,6.077,20.2,1.23,97.0
201101010900,201101010930,-9999.0,1,17.0,0.236,3.501,0.174659,-0.265177,0.684681,0.073755,77.1951,45.6,1.232,97.0
201101010930,201101011000,-9999.0,1,41.8,0.236,3.523,0.174963,-0.182833,0.684988,0.180963,158.865,93.8,1.235,97.0
201101011000,201101011030,-9999.0,2,52.0,0.237,3.6,0.176029,0.062072,0.686062,0.224924,230.447,119.3,1.237,97.0
201101011030,201101011100,-9999.0,1,42.3,0.238,3.672,0.177029,-0.180767,0.687064,0.18312,290.715,104.7,1.239,97.0
201101011100,201101011130,-9999.0,2,53.7,0.239,3.713,0.1776,0.063643,0.687635,0.232243,338.639,128.7,1.241,97.0
201101011130,201101011200,-9999.0,2,80.9,0.238,3.821,0.179107,0.178539,0.689134,0.349062,373.398,185.5,1.242,97.037
201101011200,201101011230,-9999.0,2,95.3,0.241,3.973,0.18124,0.254389,0.691239,0.410687,394.398,217.4,1.244,97.036
201101011230,201101011300,-9999.0,2,102.5,0.233,4.017,0.181859,0.355661,0.691848,0.441442,401.279,233.7,1.248,97.143
201101011300,201101011330,-9999.0,2,78.9,0.227,4.056,0.182409,0.181841,0.692386,0.340491,393.924,185.3,1.25,97.222
201101011330,201101011400,-9999.0,2,84.1,0.208,4.12,0.183313,0.210983,0.693269,0.36277,372.459,193.1,1.251,97.464
201101011400,201101011430,-9999.0,2,75.8,0.237,4.132,0.183483,0.154526,0.693435,0.3272,337.25,173.9,1.252,97.111
201101011430,201101011500,-9999.0,2,70.4,0.188,4.147,0.183695,0.154739,0.693641,0.304031,288.9,159.2,1.252,97.714
201101011500,201101011530,-9999.0,1,50.1,0.182,4.178,0.184135,-0.173661,0.694068,0.216741,228.237,115.5,1.253,97.786
201101011530,201101011600,-9999.0,1,24.3,0.165,4.204,0.184503,-0.173293,0.694426,0.10536,156.298,62.8,1.254,98.0
201101011600,201101011630,-9999.0,1,17.342,0.168,4.167,0.183979,-0.255857,0.693917,0.075236,74.3148,35.0,1.254,97.964
201101011630,201101011700,-9999.0,1,4.9,0.167,4.14,0.183596,-0.25624,0.693545,0.021281,5.01604,20.8,1.252,97.963
201101011700,201101011730,-9999.0,1,0.8,0.165,4.178,0.184135,-0.255701,0.694068,0.003476,0.0,0.0,1.251,98.0
201101011730,201101011800,-9999.0,1,0.5,0.166,4.247,0.185114,-0.254722,0.695018,0.002172,0.0,0.0,1.248,98.0
201101011800,201101011830,-9999.0,1,0.4,0.166,4.288,0.185697,-0.254139,0.695582,0.001738,0.0,0.0,1.244,98.0
201101011830,201101011900,-9999.0,1,0.3,0.165,4.182,0.184191,-0.255645,0.694124,0.001303,0.0,0.0,1.241,98.0
201101011900,201101011930,-9999.0,1,0.2,0.163,4.04,0.182183,-0.257653,0.692165,0.000869,0.0,0.0,1.239,98.0
201101011930,201101012000,-9999.0,1,0.0,0.167,3.609,0.176154,-0.263682,0.686187,0.0,0.0,0.0,1.236,97.893
201101012000,201101012030,-9999.0,1,0.0,0.168,2.932,0.166885,-0.263348,0.676693,0.0,0.0,0.0,1.233,97.778
201101012030,201101012100,-9999.0,1,0.0,0.16,2.541,0.161644,-0.288516,0.671151,0.0,0.0,0.0,1.232,97.815
201101012100,201101012130,-9999.0,2,0.0,0.15,2.367,0.159338,-0.282873,0.66867,0.0,0.0,0.0,1.231,97.929
201101012130,201101012200,-9999.0,1,0.1,0.147,2.604,0.162482,-0.287678,0.672046,0.000434,0.0,0.0,1.232,98.0
201101012200,201101012230,-9999.0,1,0.2,0.152,2.995,0.167737,-0.272099,0.677582,0.000869,0.0,0.0,1.232,98.0
201101012230,201101012300,-9999.0,1,0.1,0.156,3.408,0.173376,-0.26646,0.683382,0.000434,0.0,0.0,1.232,98.0
201101012300,201101012330,-9999.0,1,0.0,0.167,3.384,0.173046,-0.26679,0.683046,0.0,0.0,0.0,1.232,97.857
201101012330,201101020000,-9999.0,1,0.0,0.159,3.184,0.170306,-0.26953,0.680242,0.0,0.0,0.0,1.232,97.926
201101020000,201101020030,-9999.0,1,0.0,0.161,3.12,0.169434,-0.270402,0.679342,0.0,0.0,0.0,1.232,97.889
201101020030,201101020100,-9999.0,1,0.0,0.19,2.905,0.16652,-0.263713,0.676312,0.0,0.0,0.0,1.232,97.481
201101020100,201101020130,-9999.0,1,0.0,0.698,4.423,0.187623,-0.128559,0.697434,0.0,0.0,-9999.0,2.156,-9999.0
201101020130,201101020200,-9999.0,1,0.0,0.213,2.072,0.155468,-0.34995,0.664445,0.0,0.0,0.0,1.232,97.0
201101020200,201101020230,-9999.0,1,0.0,0.21,1.854,0.152638,-0.35278,0.661307,0.0,0.0,0.0,1.232,97.0
201101020230,201101020300,-9999.0,1,0.0,0.21,1.858,0.15269,-0.352728,0.661365,0.0,0.0,0.0,1.234,97.0
201101020300,201101020330,-9999.0,1,0.1,0.194,2.031,0.154933,-0.350485,0.663856,0.000434,0.0,0.0,1.234,97.259
201101020330,201101020400,-9999.0,2,0.0,0.192,2.428,0.160145,-0.282066,0.669541,0.0,0.0,0.0,1.236,97.357
201101020400,201101020430,-9999.0,2,0.0,0.22,2.513,0.161272,-0.280939,0.670752,0.0,0.0,0.0,1.238,97.0
201101020430,201101020500,-9999.0,2,0.0,0.22,2.504,0.161152,-0.281059,0.670624,0.0,0.0,0.0,1.24,97.0
201101020500,201101020530,-9999.0,2,0.0,0.219,2.474,0.160754,-0.281457,0.670196,0.0,0.0,0.0,1.241,97.0
201101020530,201101020600,-9999.0,2,0.0,0.219,2.486,0.160913,-0.281298,0.670367,0.0,0.0,0.0,1.243,97.0
201101020600,201101020630,-9999.0,1,0.0,0.221,2.57,0.16203,-0.28813,0.671563,0.0,0.0,0.0,1.245,97.0
201101020630,201101020700,-9999.0,1,0.0,0.257,2.646,0.163043,-0.287117,0.672643,0.0,0.0,0.0,1.246,96.519
201101020700,201101020730,-9999.0,1,0.0,0.351,2.657,0.16319,-0.28697,0.672799,0.0,0.0,0.0,1.248,95.259
201101020730,201101020800,-9999.0,1,0.0,0.368,2.599,0.162416,-0.287744,0.671975,0.0,0.0,0.0,1.25,95.0
201101020800,201101020830,-9999.0,1,0.2,0.444,2.59,0.162296,-0.287864,0.671847,0.000869,0.0,0.0,1.251,93.963
201101020830,201101020900,-9999.0,3,21.05,0.415,2.114,0.156016,-0.261389,0.665048,0.091294,6.68719,-9999.0,1.252,-9999.0
201101020900,201101020930,-9999.0,1,19.2,0.438,1.832,0.152354,-0.353064,0.660989,0.083284,78.896,59.0,1.253,93.714
201101020930,201101021000,-9999.0,1,64.8,0.409,1.436,0.147286,0.19123,0.655251,0.279982,160.616,147.6,1.253,93.963
201101021000,201101021030,-9999.0,1,100.4,0.359,1.548,0.148711,0.264603,0.656879,0.432476,232.241,218.1,1.253,94.75
201101021030,201101021100,-9999.0,2,110.4,0.371,2.021,0.154803,0.571242,0.663712,0.475144,292.546,215.2,1.252,94.75
201101021100,201101021130,-9999.0,2,124.9,0.567,2.795,0.165039,0.399569,0.674756,0.536884,340.499,243.5,1.252,92.407
201101021130,201101021200,-9999.0,2,143.4,0.729,3.066,0.1687,0.40323,0.678582,0.615433,375.279,278.9,1.254,90.429
201101021200,201101021230,-9999.0,2,157.3,0.982,3.523,0.174963,0.413628,0.684988,0.674288,396.291,316.6,1.259,87.519
201101021230,201101021300,-9999.0,2,162.4,1.123,3.767,0.178353,0.417018,0.688385,0.695847,403.177,347.5,1.267,85.964
201101021300,201101021330,-9999.0,2,195.1,1.213,4.15,0.183738,0.659896,0.693683,0.833637,395.817,377.7,1.275,85.25
201101021330,201101021400,-9999.0,2,215.9,1.158,4.309,0.185996,0.989071,0.69587,0.920885,374.339,434.0,1.282,86.074
201101021400,201101021430,-9999.0,2,145.5,1.06,4.234,0.184929,0.419459,0.694839,0.624334,339.108,284.5,1.29,87.179
201101021430,201101021500,-9999.0,2,113.1,0.905,4.107,0.183129,0.395334,0.69309,0.486652,290.729,221.2,1.297,88.963
201101021500,201101021530,-9999.0,2,113.7,0.885,4.224,0.184787,0.396992,0.694702,0.489209,230.029,218.0,1.302,89.286
201101021530,201101021600,-9999.0,2,92.0,0.992,4.45,0.18801,0.222919,0.697804,0.396578,158.047,161.6,1.308,88.185
201101021600,201101021630,-9999.0,1,20.3,0.961,4.27,0.185441,-0.172355,0.695334,0.088047,76.014,56.3,1.31,88.407
201101021630,201101021700,-9999.0,1,4.5,0.791,3.715,0.177628,-0.262208,0.687662,0.019544,5.57045,24.9,1.312,90.074
201101021700,201101021730,-9999.0,1,0.3,0.675,3.636,0.176529,-0.263307,0.686563,0.001303,0.0,0.0,1.312,91.481
201101021730,201101021800,-9999.0,1,0.0,0.646,3.903,0.180256,-0.25958,0.690271,0.0,0.0,0.0,1.312,92.0
201101021800,201101021830,-9999.0,1,0.0,0.585,3.864,0.179709,-0.260127,0.68973,0.0,0.0,0.0,1.312,92.741
201101021830,201101021900,-9999.0,1,0.0,0.556,3.516,0.174866,-0.26497,0.684891,0.0,0.0,0.0,1.313,92.923
201101021900,201101021930,-9999.0,1,0.0,0.543,3.261,0.171359,-0.268477,0.681323,0.0,0.0,0.0,1.313,92.964
201101021930,201101022000,-9999.0,1,0.0,0.583,3.104,0.169216,-0.27062,0.679117,0.0,0.0,0.0,1.313,92.37
201101022000,201101022030,-9999.0,2,0.0,0.541,2.494,0.161019,-0.281192,0.670481,0.0,0.0,0.0,1.314,92.607
201101022030,201101022100,-9999.0,2,0.0,0.446,2.484,0.160887,-0.281324,0.670339,0.0,0.0,0.0,1.314,93.893
201101022100,201101022130,-9999.0,1,0.0,0.493,2.649,0.163083,-0.287077,0.672686,0.0,0.0,0.0,1.314,93.333
201101022130,201101022200,-9999.0,1,0.0,0.465,2.643,0.163003,-0.287157,0.672601,0.0,0.0,0.0,1.314,93.714
201101022200,201101022230,-9999.0,1,0.0,0.415,1.702,0.150681,-0.354737,0.659111,0.0,0.0,0.0,1.313,94.0
201101022230,201101022300,-9999.0,1,0.0,0.361,1.503,0.148138,-0.35728,0.656225,0.0,0.0,0.0,1.313,94.704
201101022300,201101022330,-9999.0,1,0.3,0.323,1.789,0.151799,-0.353619,0.660369,0.001303,0.0,0.0,1.311,95.357
201101022330,201101030000,-9999.0,1,0.1,0.304,1.936,0.153699,-0.351719,0.662489,0.000434,0.0,0.0,1.306,95.667
201101030000,201101030030,-9999.0,1,0.0,0.321,2.104,0.155885,-0.349533,0.664905,0.0,0.0,0.0,1.3,95.481
201101030030,201101030100,-9999.0,1,0.0,0.34,2.105,0.155898,-0.34952,0.661942,0.0,0.0,0.0,1.296,95.222
201101030100,201101030130,-9999.0,1,0.0,0.336,1.936,0.153699,-0.351719,0.656558,0.0,0.0,0.0,1.294,95.222
201101030130,201101030200,-9999.0,1,0.1,0.299,2.028,0.154894,-0.350524,0.654898,0.000434,0.0,0.0,1.291,95.778
201101030200,201101030230,-9999.0,1,0.2,0.286,2.202,0.157167,-0.348251,0.654379,0.000869,0.0,0.0,1.286,96.0
201101030230,201101030300,-9999.0,2,0.1,0.29,2.375,0.159444,-0.282767,0.653815,0.000434,0.0,0.0,1.285,96.0
201101030300,201101030330,-9999.0,2,0.0,0.323,2.398,0.159748,-0.282463,0.651141,0.0,0.0,0.0,1.284,95.556
201101030330,201101030400,-9999.0,2,0.0,0.321,2.376,0.159457,-0.282754,0.647841,0.0,0.0,0.0,1.286,95.571
201101030400,201101030430,-9999.0,2,0.0,0.36,2.387,0.159602,-0.282609,0.644998,0.0,0.0,0.0,1.286,95.036
201101030430,201101030500,-9999.0,2,0.0,0.362,2.343,0.159022,-0.283189,0.641401,0.0,0.0,0.0,1.287,95.0
201101030500,201101030530,-9999.0,2,0.0,0.42,2.312,0.158613,-0.283598,0.637986,0.0,0.0,0.0,1.289,94.179
201101030530,201101030600,-9999.0,1,0.0,0.43,2.228,0.157509,-0.347909,0.633853,0.0,0.0,0.0,1.29,94.0
201101030600,201101030630,-9999.0,1,0.0,0.404,2.007,0.154621,-0.350797,0.627867,0.0,0.0,0.0,1.291,94.286
