TIMESTAMP_START,TIMESTAMP_END,NEE,NEE_VUT_REF_QC,SW_IN_F,VPD_F_MDS,TA_F_MDS,RECO_NT_VUT_REF,GPP_NT_VUT_REF,RECO_DT_VUT_REF,GPP_DT_VUT_REF,SW_IN_POT,PPFD_IN,TS_F_MDS_1,RH
200001010000,200001010030,-9999.0,1,0.0,0.27,0.76,0.785205,-0.512926,0.074136,0.0,0.0,0.0,2.6,95.822
200001010030,200001010100,-9999.0,1,0.0,0.0,0.79,0.786846,-0.650874,0.074249,0.0,0.0,0.0,2.6,100.0
200001010100,200001010130,-9999.0,1,0.0,0.0,0.86,0.790682,-0.680122,0.074513,0.0,0.0,0.0,2.59,100.0
200001010130,200001010200,-9999.0,1,0.0,0.0,0.89,0.792328,-0.678465,0.074626,0.0,0.0,0.0,2.58,100.0
200001010200,200001010230,-9999.0,1,0.0,0.0,0.9,0.792877,-0.677912,0.074664,0.0,0.0,0.0,2.58,100.0
200001010230,200001010300,-9999.0,1,0.0,0.0,0.89,0.792328,-0.678465,0.074626,0.0,0.0,0.0,2.6,100.0
200001010300,200001010330,-9999.0,1,0.0,0.0,0.89,0.792328,-0.678465,0.074626,0.0,0.0,0.0,2.59,100.0
200001010330,200001010400,-9999.0,1,0.0,0.0,0.98,0.797274,-0.685774,0.074965,0.0,0.0,0.0,2.58,100.0
200001010400,200001010430,-9999.0,1,0.0,0.0,1.07,0.802232,-0.6768,0.075305,0.0,0.0,0.0,2.58,100.0
200001010430,200001010500,-9999.0,1,0.0,0.0,1.14,0.806096,-0.659597,0.07557,0.0,0.0,0.0,2.57,100.0
200001010500,200001010530,-9999.0,1,0.0,0.0,1.07,0.802232,-0.6768,0.075305,0.0,0.0,0.0,2.57,100.0
200001010530,200001010600,-9999.0,1,0.0,0.0,1.11,0.804439,-0.661266,0.075457,0.0,0.0,0.0,2.56,100.0
200001010600,200001010630,-9999.0,1,0.0,0.0,1.22,0.810521,-0.655137,0.075872,0.0,0.0,0.0,2.57,100.0
200001010630,200001010700,-9999.0,1,0.0,0.0,1.39,0.819954,-0.634987,0.076516,0.0,0.0,0.0,2.57,100.0
200001010700,200001010730,-9999.0,1,0.0,0.0,1.51,0.826637,-0.620666,0.07697,0.0,0.0,0.0,2.57,100.0
200001010730,200001010800,-9999.0,1,0.0,0.0,1.57,0.829987,-0.594946,0.077198,0.0,0.0,0.0,2.57,100.0
200001010800,200001010830,-9999.0,1,0.0,0.0,1.65,0.834461,-0.599392,0.077501,0.0,0.0,0.0,2.57,100.0
200001010830,200001010900,-9999.0,1,1.0,0.0,1.61,0.832223,-0.59269,0.07735,0.022398,15.0274,3.0,2.57,100.0
200001010900,200001010930,-9999.0,1,6.0,0.0,1.73,0.838944,-0.503867,0.077805,0.134106,95.7045,14.0,2.57,100.0
200001010930,200001011000,-9999.0,1,11.0,0.0,1.93,0.85019,-0.443461,0.078565,0.245348,176.204,25.0,2.57,100.0
200001011000,200001011030,-9999.0,1,26.0,0.0,1.91,0.849063,0.699395,0.078489,0.5763,246.344,52.0,2.56,100.0
200001011030,200001011100,-9999.0,1,35.0,0.0,2.18,0.864326,1.16813,0.079516,0.772899,304.925,65.0,2.56,100.0
200001011100,200001011130,-9999.0,1,41.0,0.0,2.12,0.860925,1.204,0.079287,0.903153,350.945,77.0,2.55,100.0
200001011130,200001011200,-9999.0,1,37.0,0.0,2.23,0.867163,1.04826,0.079706,0.816389,383.616,73.0,2.54,100.0
200001011200,200001011230,-9999.0,1,41.0,0.0,2.9,0.905511,1.05325,0.082263,0.903153,402.378,84.0,2.57,100.0
200001011230,200001011300,-9999.0,1,37.0,0.0,3.34,0.931017,0.743029,0.083948,0.816389,406.912,77.0,2.53,100.0
200001011300,200001011330,-9999.0,1,32.0,0.0,3.68,0.950897,1.07248,0.085252,0.707529,397.139,68.0,2.53,100.0
200001011330,200001011400,-9999.0,1,36.0,0.0,3.95,0.966788,1.08862,0.086289,0.794653,373.227,75.0,2.53,100.0
200001011400,200001011430,-9999.0,1,32.0,0.0,4.09,0.975064,1.15783,0.086828,0.707529,335.584,66.0,2.54,100.0
200001011430,200001011500,-9999.0,1,28.0,0.0,4.17,0.979803,1.28715,0.087136,0.620115,284.856,59.0,2.54,100.0
200001011500,200001011530,-9999.0,1,19.0,0.0,4.26,0.985145,-0.050463,0.087482,0.42237,221.909,43.0,2.55,100.0
200001011530,200001011600,-9999.0,1,14.0,0.0,4.27,0.985739,-0.17164,0.08752,0.31187,147.821,30.0,2.54,100.0
