TIMESTAMP_START,TIMESTAMP_END,NEE,NEE_VUT_REF_QC,SW_IN_F,VPD_F_MDS,TA_F_MDS,RECO_NT_VUT_REF,GPP_NT_VUT_REF,RECO_DT_VUT_REF,GPP_DT_VUT_REF,SW_IN_POT,PPFD_IN,TS_F_MDS_1,RH
200401010000,200401010030,-9999.0,2,0.0,0.11,-13.53,1.52563,1.7514,0.708523,0.0,0.0,0.0,-0.062,95.1
200401010030,200401010100,-9999.0,2,0.0,0.09,-13.58,1.51827,1.6032,0.706845,0.0,0.0,0.0,-0.123,96.1
200401010100,200401010130,-9999.0,2,0.0,0.06,-13.65,1.50798,1.55553,0.704493,0.0,0.0,0.0,-0.054,97.2
200401010130,200401010200,-9999.0,2,0.0,0.05,-13.73,1.49626,1.17994,0.701802,0.0,0.0,0.0,-0.055,97.7
200401010200,200401010230,-9999.0,2,0.0,0.07,-13.78,1.48895,1.30729,0.700118,0.0,0.0,0.0,-0.133,96.9
200401010230,200401010300,-9999.0,2,0.0,0.09,-13.79,1.48749,1.18589,0.699782,0.0,0.0,0.0,-0.063,96.2
200401010300,200401010330,-9999.0,2,0.0,0.08,-13.76,1.49187,1.38176,0.700792,0.0,0.0,0.0,-0.071,96.6
200401010330,200401010400,-9999.0,2,0.0,0.09,-13.71,1.49919,1.38907,0.702475,0.0,0.0,0.0,-0.129,96.0
200401010400,200401010430,-9999.0,2,0.0,0.08,-13.73,1.49626,1.38614,0.701802,0.0,0.0,0.0,-0.094,96.4
200401010430,200401010500,-9999.0,2,0.0,0.09,-13.76,1.49187,1.38176,0.700792,0.0,0.0,0.0,-0.138,95.8
200401010500,200401010530,-9999.0,2,0.0,0.1,-13.85,1.47874,1.36862,0.69776,0.0,0.0,0.0,-0.141,95.5
200401010530,200401010600,-9999.0,2,0.0,0.11,-14.02,1.45405,1.30475,0.692022,0.0,0.0,0.0,-0.127,94.8
200401010600,200401010630,-9999.0,2,0.0,0.11,-14.11,1.44104,1.29174,0.688979,0.0,0.0,0.0,-0.151,94.9
200401010630,200401010700,-9999.0,2,0.0,0.12,-14.22,1.4252,1.2759,0.685255,0.0,0.0,0.0,-0.149,94.5
200401010700,200401010730,-9999.0,2,0.0,0.11,-14.28,1.41659,1.26729,0.683221,0.0,0.0,0.0,-0.148,94.8
200401010730,200401010800,-9999.0,2,0.0,0.1,-14.37,1.40371,1.25441,0.680167,0.0,0.0,0.0,-0.151,95.3
200401010800,200401010830,-9999.0,2,1.364,0.09,-14.38,1.40228,1.25298,0.679828,0.0,1.22394,6.403,-0.153,95.9
