TIMESTAMP_START,TIMESTAMP_END,NEE,NEE_VUT_REF_QC,SW_IN_F,VPD_F_MDS,TA_F_MDS,RECO_NT_VUT_REF,GPP_NT_VUT_REF,RECO_DT_VUT_REF,GPP_DT_VUT_REF,SW_IN_POT,PPFD_IN,TS_F_MDS_1,RH
200201010000,200201010030,-9999.0,1,0.0,0.28,-16.864,0.118222,-0.076409,0.056453,0.0,0.0,-9.055,-9999.0,83.173
200201010030,200201010100,-9999.0,1,0.0,0.26,-17.484,0.111131,-0.077108,0.046605,0.0,0.0,-8.634,-9999.0,83.398
200201010100,200201010130,-9999.0,1,0.0,0.25,-17.865,0.106842,-0.093783,0.041253,0.0,0.0,-4.5,-9999.0,83.521
200201010130,200201010200,-9999.0,1,0.0,0.25,-18.223,0.102861,-0.094499,0.036674,0.0,0.0,-3.593,-9999.0,83.139
200201010200,200201010230,-9999.0,1,0.0,0.25,-18.548,0.09929,-0.101192,0.032871,0.0,0.0,-3.734,-9999.0,83.087
200201010230,200201010300,-9999.0,1,0.0,0.24,-18.65,0.098179,-0.100317,0.031744,0.0,0.0,-4.525,-9999.0,83.699
200201010300,200201010330,-9999.0,1,0.0,0.25,-18.788,0.096681,-0.106162,0.030267,0.0,0.0,-5.388,-9999.0,82.597
200201010330,200201010400,-9999.0,1,0.0,0.24,-19.25,0.091727,-0.108064,0.025714,0.0,0.0,-4.736,-9999.0,82.335
200201010400,200201010430,-9999.0,1,0.0,0.24,-19.625,0.087774,-0.11384,0.022433,0.0,0.0,-5.115,-9999.0,81.769
200201010430,200201010500,-9999.0,1,0.0,0.23,-19.806,0.085888,-0.068263,0.020973,0.0,0.0,-5.207,-9999.0,82.379
200201010500,200201010530,-9999.0,1,0.0,0.23,-19.672,0.087283,-0.108379,0.022047,0.0,0.0,-4.548,-9999.0,82.938
200201010530,200201010600,-9999.0,1,0.0,0.23,-19.695,0.087043,-0.108619,0.021859,0.0,0.0,-5.807,-9999.0,82.344
200201010600,200201010630,-9999.0,1,0.0,0.23,-19.676,0.087241,-0.108421,0.022014,0.0,0.0,-5.052,-9999.0,82.334
200201010630,200201010700,-9999.0,1,0.0,0.24,-19.84,0.085536,-0.068615,0.020708,0.0,0.0,-4.112,-9999.0,81.871
200201010700,200201010730,-9999.0,1,0.0,0.23,-20.054,0.08333,-0.089726,0.019097,0.0,0.0,-5.613,-9999.0,82.116
200201010730,200201010800,-9999.0,1,0.0,0.23,-19.919,0.084719,-0.073809,0.020101,0.0,0.0,-5.726,-9999.0,82.522
200201010800,200201010830,-9999.0,1,0.0,0.23,-19.872,0.085204,-0.081511,0.02046,0.0,0.0,-3.108,-9999.0,82.305
200201010830,200201010900,-9999.0,1,0.1,0.23,-20.03,0.083576,-0.097396,0.019272,0.0,0.0,-0.517,-9999.0,81.726
200201010900,200201010930,-9999.0,1,15.619,0.22,-19.523,0.088843,-0.111385,0.023291,0.0,8.63532,15.021,-9999.0,83.722
200201010930,200201011000,-9999.0,1,16.732,0.22,-18.559,0.09917,-0.101312,0.032748,0.0,69.1985,42.303,-9999.0,85.156
200201011000,200201011030,-9999.0,1,31.836,0.18,-17.431,0.111732,-0.096567,0.047391,0.0,130.74,82.863,-9999.0,88.665
200201011030,200201011100,-9999.0,1,48.634,0.22,-16.728,0.119796,-0.093828,0.058813,0.0,182.139,129.22,-9999.0,86.905
200201011100,200201011130,-9999.0,1,92.329,0.24,-16.56,0.121747,-0.032558,0.061833,0.0,222.517,212.577,-9999.0,85.873
200201011130,200201011200,-9999.0,1,120.656,0.25,-15.858,0.129999,-0.106653,0.075767,0.0,251.182,269.419,-9999.0,86.068
200201011200,200201011230,-9999.0,1,198.539,0.28,-15.146,0.138517,-0.045418,0.092235,0.0,267.645,381.818,-9999.0,85.557
200201011230,200201011300,-9999.0,1,222.107,0.34,-14.781,0.142937,-0.047063,0.101665,0.0,271.623,411.591,-9999.0,83.105
200201011300,200201011330,-9999.0,1,223.96,0.36,-14.659,0.144423,-0.045577,0.104974,0.0,263.048,397.718,-9999.0,82.037
200201011330,200201011400,-9999.0,1,209.047,0.39,-14.39,0.14771,-0.04229,0.112558,0.0,242.067,343.974,-9999.0,81.166
200201011400,200201011430,-9999.0,1,189.093,0.41,-14.16,0.150536,-0.033399,0.119364,0.0,209.04,292.729,-9999.0,80.42
200201011430,200201011500,-9999.0,1,158.734,0.42,-14.183,0.150252,-0.084919,0.11867,0.0,164.53,203.8,-9999.0,79.603
200201011500,200201011530,-9999.0,1,112.674,0.42,-14.606,0.145069,-0.013414,0.106437,0.0,109.3,115.544,-9999.0,79.12
200201011530,200201011600,-9999.0,1,44.633,0.37,-15.204,0.137818,-0.085213,0.0908,0.0,44.2952,42.959,-9999.0,80.541
200201011600,200201011630,-9999.0,1,2.82,0.32,-15.972,0.128649,-0.059133,0.073355,0.0,0.515005,7.082,-9999.0,82.065
200201011630,200201011700,-9999.0,1,0.0,0.3,-16.42,0.123381,-0.072179,0.06444,0.0,0.0,-5.491,-9999.0,82.92
200201011700,200201011730,-9999.0,1,0.0,0.25,-16.863,0.118234,-0.076397,0.05647,0.0,0.0,-8.249,-9999.0,85.271
200201011730,200201011800,-9999.0,1,0.0,0.23,-16.546,0.12191,-0.072721,0.06209,0.0,0.0,-7.926,-9999.0,86.957
200201011800,200201011830,-9999.0,1,0.0,0.23,-16.081,0.127361,-0.068061,0.071104,0.0,0.0,-7.899,-9999.0,87.148
200201011830,200201011900,-9999.0,1,0.0,0.24,-15.755,0.131222,-0.05656,0.077998,0.0,0.0,-8.106,-9999.0,87.088
200201011900,200201011930,0.467,0,0.0,0.26,-15.686,0.132043,-0.334957,0.079521,0.0,0.0,-6.633,-9999.0,86.154
200201011930,200201012000,0.0865,0,0.0,0.26,-15.957,0.128826,0.042326,0.073669,0.0,0.0,-7.036,-9999.0,85.364
200201012000,200201012030,0.0939722,0,0.0,0.25,-16.171,0.126301,0.032329,0.069285,0.0,0.0,-7.198,-9999.0,85.79
200201012030,200201012100,-9999.0,1,0.0,0.25,-16.37,0.123965,-0.071595,0.065392,0.0,0.0,-7.242,-9999.0,85.733
200201012100,200201012130,-9999.0,1,0.0,0.23,-16.487,0.122598,-0.072962,0.063182,0.0,0.0,-7.277,-9999.0,86.648
200201012130,200201012200,-9999.0,1,0.0,0.22,-15.839,0.130224,-0.057558,0.076175,0.0,0.0,-7.711,-9999.0,88.078
200201012200,200201012230,0.115556,0,0.187,0.24,-15.167,0.138264,0.022708,0.091713,0.0,0.0,-7.287,-9999.0,87.386
200201012230,200201012300,0.251056,0,0.0,0.26,-14.936,0.141056,-0.11,0.097575,0.0,0.0,-7.498,-9999.0,86.662
200201012300,200201012330,0.0270833,0,0.0,0.26,-15.019,0.140051,0.112968,0.095437,0.0,0.0,-7.295,-9999.0,86.545
200201012330,200201020000,-0.0190556,0,0.0,0.27,-15.175,0.138167,0.157223,0.091515,0.0,0.0,-7.009,-9999.0,86.049
200201020000,200201020030,0.0851111,0,0.0,0.27,-15.386,0.13563,0.050519,0.086406,0.0,0.0,-7.175,-9999.0,85.982
200201020030,200201020100,-9999.0,1,0.0,0.27,-15.602,0.133045,-0.058094,0.081405,0.0,0.0,-7.146,-9999.0,85.381
200201020100,200201020130,-9999.0,1,0.0,0.28,-15.958,0.128814,-0.058968,0.073648,0.0,0.0,-7.476,-9999.0,84.599
200201020130,200201020200,-9999.0,1,0.0,0.27,-16.262,0.125231,-0.070329,0.067483,0.0,0.0,-7.445,-9999.0,84.562
200201020200,200201020230,-9999.0,1,0.0,0.27,-16.517,0.122248,-0.072383,0.062625,0.0,0.0,-7.815,-9999.0,84.565
200201020230,200201020300,-9999.0,1,0.0,0.25,-16.689,0.120248,-0.074383,0.059504,0.0,0.0,-6.788,-9999.0,85.444
200201020300,200201020330,-9999.0,1,0.0,0.25,-16.71,0.120004,-0.074627,0.059131,0.0,0.0,-6.49,-9999.0,85.408
