TIMESTAMP_START,TIMESTAMP_END,NEE,NEE_VUT_REF_QC,SW_IN_F,VPD_F_MDS,TA_F_MDS,RECO_NT_VUT_REF,GPP_NT_VUT_REF,RECO_DT_VUT_REF,GPP_DT_VUT_REF,SW_IN_POT,PPFD_IN,TS_F_MDS_1,RH
199801010000,199801010030,0.178,0,0.09,0.32,-12.677,0.57177,0.412274,0.398506,0.000226,0.0,-0.02,-1.174,86.522
199801010030,199801010100,0.207,0,0.07,0.31,-13.14,0.549104,0.358566,0.39018,0.000176,0.0,-0.03,-1.171,86.423
199801010100,199801010130,0.308,0,0.08,0.28,-13.896,0.512722,0.21803,0.376463,0.000201,0.0,-0.02,-1.183,86.864
199801010130,199801010200,0.021,0,0.17,0.28,-14.338,0.491833,0.4824,0.368377,0.000427,0.0,0.0,-1.189,86.49
199801010200,199801010230,0.125,0,0.23,0.26,-14.865,0.467314,0.351909,0.358673,0.000578,0.0,-0.02,-1.197,86.563
199801010230,199801010300,0.422,0,0.23,0.24,-15.203,0.45182,0.03821,0.352414,0.000578,0.0,-0.02,-1.2,87.439
199801010300,199801010330,0.186,0,0.25,0.24,-15.549,0.436153,0.257357,0.345981,0.000628,0.0,-0.02,-1.222,86.935
199801010330,199801010400,0.363,0,0.2,0.26,-16.128,0.41039,0.05272,0.335157,0.000503,0.0,-0.01,-1.235,85.408
199801010400,199801010430,0.226,0,0.14,0.26,-16.352,0.400581,0.179223,0.330951,0.000352,0.0,0.01,-1.237,85.18
199801010430,199801010500,0.017,0,0.15,0.26,-16.681,0.386339,0.373009,0.324755,0.000377,0.0,-0.01,-1.242,84.789
199801010500,199801010530,0.643,0,0.18,0.25,-17.026,0.371619,-0.268682,0.318236,0.000452,0.0,-0.02,-1.261,84.654
199801010530,199801010600,0.402,0,0.23,0.25,-17.033,0.371323,-0.027998,0.318104,0.000578,0.0,-0.01,-1.269,84.774
199801010600,199801010630,0.273,0,0.13,0.26,-17.159,0.366005,0.095342,0.315717,0.000327,0.0,-0.01,-1.272,84.046
199801010630,199801010700,0.245,0,0.11,0.25,-17.415,0.355295,0.111957,0.31086,0.000276,0.0,-0.02,-1.274,84.516
199801010700,199801010730,0.44,0,0.0,0.25,-17.701,0.343481,-0.095578,0.30542,0.0,0.0,-0.01,-1.289,84.254
199801010730,199801010800,0.285,0,0.0,0.24,-18.22,0.322464,0.037183,0.295517,0.0,0.0,-0.01,-1.296,83.849
199801010800,199801010830,0.39,0,0.12,0.24,-18.496,0.311514,-0.079371,0.290235,0.000302,0.0,-0.01,-1.302,83.202
199801010830,199801010900,0.144,0,0.15,0.25,-18.798,0.299717,0.154207,0.284445,0.000377,0.0,0.12,-1.31,82.241
199801010900,199801010930,0.169,0,1.11,0.25,-19.115,0.287546,0.116421,0.278355,0.00279,0.0,2.55,-1.319,81.834
199801010930,199801011000,0.168,0,4.05,0.25,-19.37,0.277917,0.107326,0.273449,0.010177,40.854,9.23,-1.328,81.155
199801011000,199801011030,0.374,0,8.5,0.25,-19.542,0.271504,-0.105385,0.270137,0.021354,115.294,18.47,-1.343,80.962
199801011030,199801011100,0.232,0,17.82,0.25,-19.693,0.265929,0.030787,0.267227,0.044745,180.077,38.33,-1.353,80.656
199801011100,199801011130,0.236,0,22.13,0.26,-19.901,0.258335,0.018861,0.263216,0.055554,234.093,48.47,-1.359,79.449
199801011130,199801011200,0.486,0,30.44,0.26,-20.008,0.254467,-0.235171,0.261151,0.076379,276.418,66.68,-1.364,79.474
199801011200,199801011230,0.477,0,38.3,0.26,-20.298,0.24412,-0.23694,0.255552,0.096059,306.329,84.15,-1.379,78.891
199801011230,199801011300,0.551,0,55.93,0.24,-20.69,0.23045,-0.325128,0.247979,0.140137,323.312,122.1,-1.39,80.064
199801011300,199801011330,0.118,0,49.29,0.24,-20.817,0.226101,0.103368,0.245525,0.123546,327.079,109.57,-1.399,79.969
199801011330,199801011400,0.072,0,53.05,0.25,-20.913,0.222839,0.145994,0.243669,0.132942,317.564,116.37,-1.4,78.655
199801011400,199801011430,0.365,0,37.76,0.24,-20.986,0.220374,-0.149555,0.242258,0.094707,294.929,83.39,-1.409,79.41
199801011430,199801011500,0.35,0,25.92,0.24,-21.269,0.210941,-0.144291,0.236789,0.065054,259.564,57.49,-1.423,79.085
199801011500,199801011530,-0.156,0,24.64,0.23,-21.756,0.195178,0.345494,0.22738,0.061846,212.072,53.51,-1.429,79.202
199801011530,199801011600,-0.099,0,25.74,0.24,-21.819,0.193183,0.286447,0.226163,0.064603,153.265,53.22,-1.432,78.491
199801011600,199801011630,0.109,0,18.99,0.24,-21.796,0.19391,0.079193,0.226608,0.04768,84.1516,36.68,-1.436,77.97
199801011630,199801011700,0.051,0,5.63,0.24,-21.764,0.194924,0.138234,0.227225,0.014146,13.4882,10.42,-1.448,78.209
