TIMESTAMP_START,TIMESTAMP_END,NEE,NEE_VUT_REF_QC,SW_IN_F,VPD_F_MDS,TA_F_MDS,RECO_NT_VUT_REF,GPP_NT_VUT_REF,RECO_DT_VUT_REF,GPP_DT_VUT_REF,SW_IN_POT,PPFD_IN,TS_F_MDS_1,RH
200201010000,200201010030,-9999.0,1.0,0.0,0.23,-16.62,0.135233,-0.072271,0.126016,0.0,0.0,0.0,-3.502,86.451
200201010030,200201010100,-9999.0,1.0,0.0,0.23,-16.678,0.134254,-0.064551,0.125222,0.0,0.0,0.0,-3.506,86.418
200201010100,200201010130,-9999.0,1.0,0.0,0.23,-16.775,0.132626,-0.061126,0.123899,0.0,0.0,0.0,-3.511,86.318
200201010130,200201010200,-9999.0,1.0,0.02,0.23,-16.697,0.133935,-0.064865,0.124963,0.0,0.0,0.0,-3.52,86.49
200201010200,200201010230,-9999.0,1.0,0.0,0.23,-16.623,0.135182,-0.07232,0.125975,0.0,0.0,0.0,-3.531,86.442
200201010230,200201010300,-9999.0,1.0,0.0,0.23,-16.719,0.133565,-0.065228,0.124662,0.0,0.0,0.0,-3.544,86.343
200201010300,200201010330,-9999.0,1.0,0.12,0.23,-16.824,0.131806,-0.064206,0.123233,0.0,0.0,0.0,-3.556,86.293
200201010330,200201010400,-9999.0,1.0,0.14,0.23,-16.812,0.132007,-0.061735,0.123396,0.0,0.0,0.0,-3.568,86.329
200201010400,200201010430,-9999.0,1.0,0.15,0.23,-16.664,0.13449,-0.072999,0.125414,0.0,0.0,0.0,-3.578,86.506
200201010430,200201010500,-9999.0,1.0,0.17,0.23,-16.549,0.136434,-0.071093,0.12699,0.0,0.0,0.0,-3.59,86.562
200201010500,200201010530,-9999.0,1.0,0.15,0.23,-16.587,0.135791,-0.071724,0.126469,0.0,0.0,0.01,-3.602,86.432
200201010530,200201010600,-9999.0,1.0,0.09,0.23,-16.831,0.131689,-0.06432,0.123138,0.0,0.0,0.0,-3.617,86.166
200201010600,200201010630,-9999.0,1.0,0.11,0.23,-17.02,0.128553,-0.065353,0.120581,0.0,0.0,0.0,-3.625,86.115
200201010630,200201010700,-9999.0,1.0,0.21,0.23,-16.918,0.130241,-0.06369,0.121958,0.0,0.0,-0.01,-3.631,86.258
