TIMESTAMP_START,TIMESTAMP_END,NEE,NEE_VUT_REF_QC,SW_IN_F,VPD_F_MDS,TA_F_MDS,RECO_NT_VUT_REF,GPP_NT_VUT_REF,RECO_DT_VUT_REF,GPP_DT_VUT_REF,SW_IN_POT,PPFD_IN,TS_F_MDS_1,RH
200601010000,200601010030,-9999.0,1,0.0,0.36,-19.73,0.092973,-0.198725,0.182622,0.0,0.0,2.172,0.707,72.24
200601010030,200601010100,-9999.0,1,0.0,0.35,-19.86,0.090918,-0.210915,0.180904,0.0,0.0,2.234,0.711,73.31
200601010100,200601010130,-9999.0,1,0.0,0.33,-20.09,0.087345,-0.227343,0.177863,0.0,0.0,2.195,0.708,74.01
200601010130,200601010200,-9999.0,1,0.0,0.31,-20.42,0.082358,-0.224676,0.173497,0.0,0.0,2.207,0.695,74.54
200601010200,200601010230,-9999.0,1,0.0,0.28,-21.2,0.07123,-0.201812,0.163168,0.0,0.0,2.238,0.717,75.53
200601010230,200601010300,-9999.0,1,0.0,0.3,-20.79,0.076964,-0.221947,0.168598,0.0,0.0,2.175,0.721,74.78
200601010300,200601010330,-9999.0,1,0.0,0.29,-21.02,0.073716,-0.225652,0.165552,0.0,0.0,2.157,0.706,75.46
200601010330,200601010400,-9999.0,1,0.0,0.26,-21.43,0.068125,-0.204863,0.160122,0.0,0.0,2.111,0.703,76.85
200601010400,200601010430,-9999.0,1,0.0,0.27,-21.25,0.070548,-0.202242,0.162506,0.0,0.0,2.058,0.698,76.35
200601010430,200601010500,-9999.0,1,0.0,0.26,-21.48,0.067461,-0.205587,0.15946,0.0,0.0,2.018,0.696,77.34
200601010500,200601010530,-9999.0,1,0.0,0.24,-21.97,0.061153,-0.101932,0.152976,0.0,0.0,1.985,0.681,77.83
200601010530,200601010600,-9999.0,1,0.0,0.23,-22.37,0.056273,-0.111084,0.14769,0.0,0.0,1.959,0.703,78.48
200601010600,200601010630,-9999.0,1,0.0,0.23,-22.34,0.05663,-0.110669,0.148087,0.0,0.0,1.958,0.676,78.34
200601010630,200601010700,-9999.0,1,0.0,0.24,-21.99,0.060903,-0.102214,0.152712,0.0,0.0,1.932,0.679,77.91
200601010700,200601010730,-9999.0,1,0.0,0.22,-22.33,0.05675,-0.110531,0.148219,0.0,0.0,2.051,0.689,78.63
200601010730,200601010800,-9999.0,1,6.757,0.23,-22.21,0.058196,-0.105295,0.149804,0.0,0.0,8.961,0.678,78.71
200601010800,200601010830,-9999.0,1,50.27,0.24,-21.8,0.0633,-0.031094,0.155225,0.0,43.7466,53.433,0.673,78.17
200601010830,200601010900,-9999.0,1,100.8,0.27,-20.93,0.074977,-0.085444,0.166744,0.0,131.751,132.376,0.679,77.42
200601010900,200601010930,-9999.0,1,146.6,0.31,-19.59,0.095215,-0.172831,0.184471,0.0,210.274,234.748,0.688,76.37
200601010930,200601011000,0.138,0,155.7,0.41,-18.11,0.12071,0.024844,0.203937,0.0,277.92,269.831,0.691,72.86
200601011000,200601011030,0.364,0,215.2,0.48,-17.24,0.137205,-0.186644,0.215286,0.0,333.533,370.954,0.682,70.09
200601011030,200601011100,0.381,0,292.6,0.52,-16.48,0.152503,-0.190697,0.225127,0.0,376.16,532.623,0.658,69.94
200601011100,200601011130,0.616,0,308.9,0.52,-15.77,0.167527,-0.413398,0.23425,0.0,405.072,581.256,0.684,71.26
200601011130,200601011200,0.791,0,321.1,0.53,-15.3,0.177852,-0.580158,0.24025,0.0,419.775,626.214,0.662,72.17
200601011200,200601011230,0.558,0,225.6,0.54,-15.03,0.183918,-0.342392,0.243681,0.0,420.017,462.069,0.65,72.33
200601011230,200601011300,0.465,0,174.7,0.53,-14.82,0.188703,-0.245669,0.246342,0.0,405.794,367.7,0.666,73.25
200601011300,200601011330,0.127,0,216.2,0.55,-14.31,0.200563,0.101425,0.252774,0.0,377.348,441.856,0.669,73.2
