TIMESTAMP_START,TIMESTAMP_END,NEE,NEE_VUT_REF_QC,SW_IN_F,VPD_F_MDS,TA_F_MDS,RECO_NT_VUT_REF,GPP_NT_VUT_REF,RECO_DT_VUT_REF,GPP_DT_VUT_REF,SW_IN_POT,PPFD_IN,TS_F_MDS_1,RH
200501010000,200501010030,-9999.0,3,0.0,0.15,-25.0,0.020426,-1.43707,0.373012,0.0,0.0,0.0,-3.4,82.3
200501010030,200501010100,-9999.0,3,0.0,0.15,-25.2,0.019029,-1.0693,0.364585,0.0,0.0,0.0,-3.41,81.2
200501010100,200501010130,-9999.0,3,0.0,0.16,-25.8,0.015256,-1.14188,0.339508,0.0,0.0,0.0,-3.42,79.3
200501010130,200501010200,-9999.0,3,0.0,0.15,-26.4,0.012067,-1.08168,0.314781,0.0,0.0,0.0,-3.43,79.0
200501010200,200501010230,-9999.0,3,0.0,0.14,-26.8,0.010238,-0.851984,0.298521,0.0,0.0,0.0,-3.45,79.7
200501010230,200501010300,-9999.0,3,0.0,0.13,-27.0,0.009405,-0.864595,0.290466,0.0,0.0,0.0,-3.48,80.9
200501010300,200501010330,-9999.0,3,0.0,0.14,-27.0,0.009405,-1.4576,0.290466,0.0,0.0,0.0,-3.5,80.6
200501010330,200501010400,-9999.0,3,0.0,0.14,-27.2,0.008625,-1.44249,0.282463,0.0,0.0,0.0,-3.52,79.4
200501010400,200501010430,-9999.0,3,0.0,0.14,-27.7,0.006888,-1.48882,0.262707,0.0,0.0,0.0,-3.53,77.9
200501010430,200501010500,-9999.0,3,0.0,0.14,-28.2,0.005432,-1.82257,0.24334,0.0,0.0,0.0,-3.55,77.6
200501010500,200501010530,-9999.0,3,0.0,0.14,-28.8,0.004012,-2.34932,0.220676,0.0,0.0,0.0,-3.57,77.1
200501010530,200501010600,-9999.0,3,0.0,0.13,-29.4,0.002899,-0.877101,0.198715,0.0,0.0,0.0,-3.6,76.6
200501010600,200501010630,-9999.0,3,0.0,0.13,-29.9,0.00217,-0.488544,0.181011,0.0,0.0,0.0,-3.62,76.3
200501010630,200501010700,-9999.0,3,0.0,0.12,-30.4,0.001595,0.014262,0.163903,0.0,0.0,0.0,-3.65,76.1
200501010700,200501010730,-9999.0,3,0.0,0.12,-30.9,0.001149,0.898482,0.14744,0.0,0.0,0.0,-3.68,75.6
200501010730,200501010800,-9999.0,3,0.0,0.11,-31.2,0.000934,1.90093,0.137893,0.0,0.0,0.0,-3.72,76.5
200501010800,200501010830,-9999.0,3,0.0,0.11,-31.1,0.001001,2.731,0.141047,0.0,0.0,0.0,-3.76,76.9
200501010830,200501010900,-9999.0,3,0.09,0.11,-30.9,0.001149,5.13615,0.14744,0.004654,0.0,0.0,-3.79,77.5
200501010900,200501010930,-9999.0,3,1.1,0.11,-30.5,0.001496,5.0155,0.160557,0.056501,0.0,3.19,-3.83,77.9
200501010930,200501011000,-9999.0,3,11.96,0.11,-30.2,0.001808,4.97848,0.170671,0.573088,31.4894,23.57,-3.86,78.0
200501011000,200501011030,-9999.0,3,23.6,0.12,-29.4,0.002899,5.36623,0.198715,1.05496,103.426,55.06,-3.89,78.8
