TIMESTAMP_START,TIMESTAMP_END,NEE,NEE_VUT_REF_QC,SW_IN_F,VPD_F_MDS,TA_F_MDS,RECO_NT_VUT_REF,GPP_NT_VUT_REF,RECO_DT_VUT_REF,GPP_DT_VUT_REF,SW_IN_POT,PPFD_IN,TS_F_MDS_1,RH
200801010000,200801010030,-9999.0,3.0,0.0,0.15,1.14,1.26784,-1.11726,1.76123,0.0,0.0,0.0,-0.951,97.8
200801010030,200801010100,-9999.0,3.0,0.0,0.1,0.875,1.2481,-1.06335,1.73443,0.0,0.0,0.0,-0.961,98.5
200801010100,200801010130,-9999.0,3.0,0.0,0.16,0.596,1.22742,-1.3607,1.70633,0.0,0.0,0.0,-0.904,97.6
200801010130,200801010200,-9999.0,3.0,0.0,0.26,0.321,1.20712,-2.31858,1.67876,0.0,0.0,0.0,-0.926,96.0
200801010200,200801010230,-9999.0,3.0,0.0,0.36,0.155,1.19492,-1.67503,1.66218,0.0,0.0,0.0,-0.954,94.2
200801010230,200801010300,-9999.0,3.0,0.0,0.47,0.124,1.19265,-1.71067,1.65908,0.0,0.0,0.0,-0.919,92.5
200801010300,200801010330,-9999.0,3.0,0.0,0.55,0.22,1.1997,-1.67578,1.66867,0.0,0.0,0.0,-0.941,91.2
200801010330,200801010400,-9999.0,3.0,0.0,0.55,0.3,1.20558,-1.60438,1.67666,0.0,0.0,0.0,-0.928,91.3
200801010400,200801010430,-9999.0,3.0,0.0,0.29,0.113,1.19184,-0.650469,1.65799,0.0,0.0,0.0,-0.935,95.3
200801010430,200801010500,-9999.0,3.0,0.0,0.07,-0.15,1.1726,-1.32569,1.63183,0.0,0.0,0.0,-0.913,99.0
200801010500,200801010530,-9999.0,3.0,0.0,0.0,-0.031,1.18129,-1.12792,1.64365,0.0,0.0,0.0,-0.193,100.0
200801010530,200801010600,-9999.0,3.0,0.0,0.0,0.069,1.18861,-0.663542,1.6536,0.0,0.0,0.0,-0.9,100.0
200801010600,200801010630,-9999.0,3.0,0.0,0.0,0.26,1.20263,-0.552086,1.67266,0.0,0.0,0.0,-0.803,100.0
200801010630,200801010700,-9999.0,3.0,0.0,0.0,0.147,1.19433,-0.664881,1.66138,0.0,0.0,0.0,-0.633,100.0
200801010700,200801010730,-9999.0,3.0,0.0,0.0,0.174,1.19632,-0.231154,1.66407,0.0,0.0,0.0,-0.699,100.0
