TIMESTAMP_START,TIMESTAMP_END,NEE,NEE_VUT_REF_QC,SW_IN_F,VPD_F_MDS,TA_F_MDS,RECO_NT_VUT_REF,GPP_NT_VUT_REF,RECO_DT_VUT_REF,GPP_DT_VUT_REF,SW_IN_POT,PPFD_IN,TS_F_MDS_1,RH
201301010000,201301010030,0.913,0,0.0,1.99,0.624,1.15775,0.246782,0.626704,0.0,0.0,0.0,1.562,69.02
201301010030,201301010100,1.519,0,0.0,2.01,0.331,1.14248,-0.37912,0.622472,0.0,0.0,0.0,1.577,68.02
201301010100,201301010130,0.947,0,0.0,1.97,0.058,1.12825,0.174423,0.618506,0.0,0.0,0.0,1.56,67.92
201301010130,201301010200,1.548,0,0.0,1.99,-0.113,1.11935,-0.438096,0.616011,0.0,0.0,0.0,1.561,67.26
201301010200,201301010230,0.629,0,0.0,2.17,-0.326,1.10827,0.466603,0.612892,0.0,0.0,0.0,1.576,63.78
201301010230,201301010300,2.215,0,0.0,2.26,-0.475,1.10052,-1.12937,0.610702,0.0,0.0,0.0,1.57,61.87
201301010300,201301010330,2.771,0,0.0,2.26,-0.791,1.0841,-1.70643,0.606036,0.0,0.0,0.0,1.586,60.94
201301010330,201301010400,1.755,0,0.0,2.19,-1.034,1.07148,-0.706547,0.602427,0.0,0.0,0.0,1.561,61.49
201301010400,201301010430,0.47,0,0.0,1.95,-1.375,1.0538,0.555963,0.597335,0.0,0.0,0.0,1.562,64.75
201301010430,201301010500,1.155,0,0.0,1.81,-1.916,1.0258,-0.164415,0.589185,0.0,0.0,0.0,1.551,65.93
201301010500,201301010530,1.736,0,0.0,1.78,-2.29,1.00649,-0.769647,0.5835,0.0,0.0,0.0,1.552,65.7
201301010530,201301010600,1.139,0,0.0,1.79,-2.685,0.986135,-0.198033,0.57745,0.0,0.0,0.0,1.546,64.45
201301010600,201301010630,1.096,0,0.0,1.84,-2.828,0.978779,-0.164169,0.575249,0.0,0.0,0.0,1.555,63.05
201301010630,201301010700,1.052,0,0.0,1.8,-3.198,0.959776,-0.143675,0.569523,0.0,0.0,0.0,1.565,62.87
201301010700,201301010730,1.446,0,0.0,1.73,-3.491,0.944761,-0.556149,0.56496,0.0,0.0,0.0,1.553,63.5
201301010730,201301010800,1.013,0,0.075,1.69,-3.613,0.938518,-0.130804,0.563053,0.000225,0.31021,3.367,1.554,64.121
201301010800,201301010830,0.633,0,7.282,1.67,-3.663,0.935961,0.246066,0.56227,0.021289,65.1366,17.438,1.552,64.41
201301010830,201301010900,1.284,0,33.234,1.67,-3.69,0.934581,-0.406623,0.561846,0.088528,173.011,58.253,1.529,64.24
201301010900,201301010930,0.311,0,94.564,1.69,-3.672,0.935501,0.567503,0.562129,0.208196,271.461,149.896,1.546,63.81
201301010930,201301011000,1.895,0,261.109,2.03,-2.705,0.985106,-0.955312,0.577143,0.390768,358.801,363.248,1.544,59.66
201301011000,201301011030,-0.017,0,249.532,2.06,-2.697,0.985518,0.9572,0.577266,0.381945,433.537,371.775,1.547,58.97
201301011030,201301011100,1.01,0,432.853,2.24,-2.137,1.01438,-0.033756,0.585831,0.486974,494.39,617.744,1.571,57.31
201301011100,201301011130,0.204,0,387.658,2.29,-2.041,1.01934,0.778466,0.587289,0.466612,540.319,607.479,1.532,56.51
201301011130,201301011200,1.522,0,217.652,2.05,-2.474,0.997001,-0.567499,0.580688,0.355433,570.538,360.384,1.565,59.87
201301011200,201301011230,-0.208,0,306.823,2.12,-2.182,1.01206,1.18133,0.585146,0.42208,584.53,495.033,1.546,59.49
201301011230,201301011300,-0.32,0,161.64,1.81,-2.858,0.977236,1.24992,0.574786,0.299117,582.056,277.003,1.552,63.59
201301011300,201301011330,0.411,0,214.55,1.66,-3.688,0.934683,0.466502,0.561878,0.352663,563.158,355.267,1.557,64.38
201301011330,201301011400,-9999.0,1,199.928,1.71,-3.812,0.928347,0.417989,0.559931,0.3391,528.159,329.347,1.549,62.97
201301011400,201301011430,-9999.0,1,253.992,1.89,-3.318,0.953622,0.078368,0.567658,0.385391,477.658,403.139,1.539,60.68
201301011430,201301011500,-9999.0,1,199.806,2.23,-2.869,0.976671,1.20722,0.574616,0.338983,412.52,315.551,1.558,55.04
201301011500,201301011530,0.256,0,263.079,2.56,-2.229,1.00964,0.714293,0.58443,0.392231,333.858,377.966,1.553,50.72
201301011530,201301011600,0.559,0,126.094,2.44,-2.939,0.973073,0.365758,0.573535,0.254881,243.019,191.296,1.544,50.63
201301011600,201301011630,0.621,0,58.302,2.26,-3.712,0.933456,0.255001,0.561501,0.143032,141.557,93.276,1.558,51.55
201301011630,201301011700,-9999.0,1,14.198,2.06,-4.274,0.904794,-0.131296,0.552639,0.040456,34.1972,28.408,1.559,53.92
201301011700,201301011730,-9999.0,1,0.0,1.94,-4.508,0.8929,-0.311736,0.54892,0.0,0.0,0.0,1.538,55.84
201301011730,201301011800,-9999.0,1,0.0,1.91,-4.45,0.895846,-0.26426,0.549843,0.0,0.0,0.0,1.558,56.58
201301011800,201301011830,-9999.0,1,0.0,1.86,-4.551,0.890716,-0.348659,0.548235,0.0,0.0,0.0,1.555,57.45
201301011830,201301011900,-9999.0,1,0.0,1.66,-5.217,0.85701,-0.369143,0.537551,0.0,0.0,0.0,1.535,60.0
201301011900,201301011930,-9999.0,1,0.0,1.56,-5.478,0.84386,-0.358607,0.533327,0.0,0.0,0.0,1.555,61.71
201301011930,201301012000,-9999.0,1,0.0,1.35,-5.947,0.820319,-0.447089,0.525684,0.0,0.0,0.0,1.54,65.64
201301012000,201301012030,-9999.0,1,0.0,1.09,-6.473,0.794064,-0.517553,0.517032,0.0,0.0,0.0,1.539,71.24
201301012030,201301012100,-9999.0,1,0.0,0.9,-6.946,0.770596,-0.688666,0.50918,0.0,0.0,0.0,1.526,75.52
201301012100,201301012130,-9999.0,1,0.0,0.8,-7.222,0.756968,-0.821779,0.504566,0.0,0.0,0.0,1.547,77.59
201301012130,201301012200,-9999.0,1,0.0,0.79,-7.609,0.737945,-0.958426,0.498056,0.0,0.0,0.0,1.559,77.27
201301012200,201301012230,-9999.0,1,0.0,1.02,-7.536,0.741526,-0.774366,0.499288,0.0,0.0,0.0,1.543,70.72
201301012230,201301012300,-9999.0,1,0.0,1.21,-7.394,0.748501,-0.700369,0.501678,0.0,0.0,0.0,1.544,65.7
201301012300,201301012330,3.896,0,0.0,1.35,-7.002,0.767827,-3.21686,0.508245,0.0,0.0,0.0,1.519,62.79
201301012330,201301020000,2.654,0,0.0,1.43,-6.812,0.77723,-1.964,0.511411,0.0,0.0,0.0,1.545,61.15
201301020000,201301020030,2.609,0,0.0,1.44,-7.041,0.7659,-1.93208,0.507594,0.0,0.0,0.0,1.553,60.31
201301020030,201301020100,1.505,0,0.0,1.39,-7.341,0.751108,-0.845066,0.502569,0.0,0.0,0.0,1.545,60.6
201301020100,201301020130,-9999.0,1,0.0,1.37,-7.51,0.742802,-0.70688,0.499726,0.0,0.0,0.0,1.544,60.65
201301020130,201301020200,-9999.0,1,0.0,1.35,-7.6,0.738387,-0.957924,0.498208,0.0,0.0,0.0,1.531,61.16
201301020200,201301020230,-9999.0,1,0.0,1.36,-7.266,0.7548,-0.824266,0.503828,0.0,0.0,0.0,1.56,61.89
201301020230,201301020300,1.445,0,0.0,1.47,-6.651,0.785216,-0.677528,0.514085,0.0,0.0,0.0,1.53,60.6
201301020300,201301020330,2.693,0,0.0,1.56,-6.118,0.811766,-1.96278,0.522881,0.0,0.0,0.0,1.535,59.87
201301020330,201301020400,1.684,0,0.0,1.56,-5.85,0.825178,-0.93802,0.527271,0.0,0.0,0.0,1.532,60.56
201301020400,201301020430,2.234,0,0.0,1.49,-6.096,0.812866,-1.50249,0.523242,0.0,0.0,0.0,1.553,61.73
201301020430,201301020500,1.154,0,0.0,1.38,-6.413,0.797051,-0.440983,0.518024,0.0,0.0,0.0,1.543,63.69
201301020500,201301020530,0.839,0,0.0,1.27,-6.791,0.778271,-0.147797,0.51176,0.0,0.0,0.0,1.543,65.52
201301020530,201301020600,-0.949,0,0.0,1.2,-7.172,0.759433,1.61848,0.505403,0.0,0.0,0.0,1.558,66.57
201301020600,201301020630,0.248,0,0.0,1.17,-7.377,0.749337,0.409907,0.501964,0.0,0.0,0.0,1.539,66.96
201301020630,201301020700,2.367,0,0.0,1.13,-7.546,0.741035,-1.71858,0.499119,0.0,0.0,0.0,1.53,67.46
201301020700,201301020730,1.189,0,0.0,1.1,-7.838,0.726739,-0.556829,0.494183,0.0,0.0,0.0,1.529,67.85
201301020730,201301020800,1.406,0,0.047,1.05,-8.14,0.712018,-0.790465,0.489051,0.000141,0.149307,4.305,1.54,68.58
201301020800,201301020830,-9999.0,1,21.858,1.02,-8.21,0.708615,-0.557965,0.487857,0.060584,62.8878,37.839,1.541,69.21
201301020830,201301020900,-9999.0,1,48.693,1.09,-7.832,0.727032,-0.365897,0.494285,0.12319,171.111,79.194,1.542,68.0
