TIMESTAMP_START,TIMESTAMP_END,NEE,NEE_VUT_REF_QC,SW_IN_F,VPD_F_MDS,TA_F_MDS,RECO_NT_VUT_REF,GPP_NT_VUT_REF,RECO_DT_VUT_REF,GPP_DT_VUT_REF,SW_IN_POT,PPFD_IN,TS_F_MDS_1,RH
201301010000,201301010030,-9999.0,1,0.0,0.394,-3.066,1.1249,-0.016583,2.07075,0.0,0.0,-0.58063,3.572,-9999.0
201301010030,201301010100,-9999.0,1,0.0,0.387,-3.259,1.09964,-0.042539,2.0599,0.0,0.0,-0.59617,3.475,-9999.0
201301010100,201301010130,-9999.0,1,0.0,0.382,-3.371,1.08514,-0.057037,2.05358,0.0,0.0,-0.58734,3.414,-9999.0
201301010130,201301010200,-9999.0,1,0.0,0.378,-3.464,1.07319,-0.068987,2.04833,0.0,0.0,-0.5831,3.369,-9999.0
201301010200,201301010230,-9999.0,1,0.0,0.371,-3.423,1.07845,-0.064358,2.05065,0.0,0.0,-0.58703,3.285,-9999.0
201301010230,201301010300,-9999.0,1,0.0,0.365,-3.447,1.07537,-0.069258,2.04929,0.0,0.0,-0.60639,3.232,-9999.0
201301010300,201301010330,-9999.0,1,0.0,0.36,-3.864,1.02271,-0.118622,2.02562,0.0,0.0,-0.61555,3.223,-9999.0
201301010330,201301010400,-9999.0,1,0.0,0.354,-3.44,1.07627,-0.06916,2.04969,0.0,0.0,-0.5965,3.156,-9999.0
201301010400,201301010430,-9999.0,1,0.0,0.349,-3.457,1.07409,-0.07134,2.04873,0.0,0.0,-0.62821,3.083,-9999.0
201301010430,201301010500,-9999.0,1,0.0,0.345,-3.288,1.09588,-0.049554,2.05827,0.0,0.0,-0.58771,3.053,-9999.0
201301010500,201301010530,-9999.0,1,0.0,0.341,-2.904,1.14636,-0.000326,2.07983,0.0,0.0,-0.60776,3.015,-9999.0
201301010530,201301010600,-9999.0,1,0.0,0.337,-2.637,1.18228,0.034478,2.09472,0.0,0.0,-0.60319,2.961,-9999.0
201301010600,201301010630,-9999.0,1,0.0,0.334,-2.356,1.22079,0.072994,2.11032,0.0,0.0,-0.58032,2.919,-9999.0
201301010630,201301010700,-9999.0,1,0.0,0.331,-2.269,1.23287,0.085068,2.11513,0.0,0.0,-0.58734,2.941,-9999.0
201301010700,201301010730,-9999.0,1,0.0,0.328,-2.093,1.25751,0.10722,2.12484,0.0,0.0,-0.60141,2.889,-9999.0
201301010730,201301010800,-9999.0,1,0.0,0.325,-1.692,1.31474,0.16493,2.14683,0.0,0.0,-0.48164,2.865,-9999.0
201301010800,201301010830,-9999.0,1,1.026,0.325,-1.293,1.37318,0.219051,2.16854,0.148986,6.88159,4.0842,2.881,-9999.0
201301010830,201301010900,-9999.0,1,13.605,0.32,-0.982,1.41977,0.351829,2.18534,1.81275,86.4607,25.179,2.845,-9999.0
201301010900,201301010930,-9999.0,1,30.625,0.935,-0.879,1.4354,1.98301,2.19089,3.67109,178.621,57.296,2.809,-9999.0
201301010930,201301011000,-9999.0,1,46.996,0.798,-0.374,1.51347,3.55816,2.2179,5.13768,260.72,88.745,2.821,-9999.0
201301011000,201301011030,-9999.0,1,57.474,0.687,0.219,1.60822,4.86481,2.24928,5.94808,331.354,110.34,2.794,-9999.0
201301011030,201301011100,-9999.0,1,88.431,1.046,0.491,1.65278,7.26871,2.26355,7.90618,389.314,173.68,2.834,-9999.0
201301011100,201301011130,-9999.0,1,96.229,0.729,1.215,1.77478,7.71111,2.30115,8.31816,433.608,198.69,2.82,-9999.0
201301011130,201301011200,-9999.0,1,124.69,0.79,2.578,2.01777,8.31933,2.37049,9.61504,463.479,256.11,2.86,-9999.0
201301011200,201301011230,-5.12622,0,95.589,0.729,3.385,2.16979,7.29601,2.41067,8.28538,478.416,200.06,2.884,-9999.0
201301011230,201301011300,-9999.0,1,92.425,0.855,3.649,2.22083,8.15821,2.42367,8.12066,478.162,196.16,2.926,-9999.0
201301011300,201301011330,-9999.0,1,68.384,0.78,3.907,2.27133,6.38034,2.43631,6.70487,462.722,147.91,3.025,-9999.0
201301011330,201301011400,-11.0245,0,60.769,0.585,4.237,2.33681,13.3613,2.45238,6.18536,432.361,131.77,3.117,-9999.0
201301011400,201301011430,-9999.0,1,38.455,0.858,4.463,2.38223,3.61708,2.46333,4.4063,387.597,91.235,3.167,-9999.0
201301011430,201301011500,-9999.0,1,21.883,1.025,3.929,2.27566,2.36848,2.43739,2.7657,329.197,55.613,3.247,-9999.0
201301011500,201301011530,-9999.0,1,15.393,0.32,3.791,2.24855,1.20146,2.43064,2.02723,258.161,41.24,3.275,-9999.0
201301011530,201301011600,-9999.0,1,14.207,0.32,3.794,2.24913,1.16927,2.43078,1.88552,175.702,35.186,3.354,-9999.0
