TIMESTAMP_START,TIMESTAMP_END,NEE,NEE_VUT_REF_QC,SW_IN_F,VPD_F_MDS,TA_F_MDS,RECO_NT_VUT_REF,GPP_NT_VUT_REF,RECO_DT_VUT_REF,GPP_DT_VUT_REF,SW_IN_POT,PPFD_IN,TS_F_MDS_1,RH
200201010000,200201010030,-9999.0,1,8.903,0.33,-11.487,0.0,-1.38331,1.38156,0.043938,0.0,-9999.0,-9999.0,87.0
200201010030,200201010100,-9999.0,1,8.627,0.289,-11.842,0.0,-1.60417,1.36094,0.042578,0.0,-9999.0,-9999.0,88.3
200201010100,200201010130,-9999.0,1,8.797,0.307,-12.582,0.0,-1.55572,1.31759,0.043416,0.0,-9999.0,-9999.0,86.7667
200201010130,200201010200,-9999.0,1,8.94,0.331,-12.935,0.0,-1.55572,1.29673,0.044121,0.0,-9999.0,-9999.0,85.3333
200201010200,200201010230,-9999.0,1,9.197,0.319,-13.224,0.0,-1.55572,1.27958,0.045388,0.0,-9999.0,-9999.0,85.5333
200201010230,200201010300,-9999.0,1,8.893,0.426,-13.449,0.0,-1.55572,1.26617,0.043889,0.0,-9999.0,-9999.0,80.3333
200201010300,200201010330,-9999.0,1,9.24,0.396,-14.283,0.0,-1.55572,1.21611,0.0456,0.0,-9999.0,-9999.0,80.4
200201010330,200201010400,-9999.0,1,9.183,0.413,-14.411,0.0,-1.55572,1.20838,0.045319,0.0,-9999.0,-9999.0,79.3333
200201010400,200201010430,-9999.0,1,9.287,0.434,-14.507,0.0,-1.55572,1.20257,0.045831,0.0,-9999.0,-9999.0,78.1333
200201010430,200201010500,-9999.0,1,9.243,0.504,-14.411,0.0,-1.55572,1.20838,0.045614,0.0,-9999.0,-9999.0,74.8
200201010500,200201010530,-9999.0,1,9.17,0.584,-14.507,0.0,-1.55572,1.20257,0.045255,0.0,-9999.0,-9999.0,70.56
200201010530,200201010600,-9999.0,1,9.403,0.455,-15.148,0.0,-1.55572,1.16359,0.046403,0.0,-9999.0,-9999.0,75.8333
200201010600,200201010630,-9999.0,1,9.477,0.566,-14.732,0.0,-1.55572,1.18892,0.046768,0.0,-9999.0,-9999.0,70.9667
200201010630,200201010700,-9999.0,1,9.263,0.532,-14.892,0.0,-1.55572,1.1792,0.045713,0.0,-9999.0,-9999.0,72.3333
200201010700,200201010730,-9999.0,1,9.543,0.618,-14.379,0.0,-1.55572,1.21031,0.047093,0.0,-9999.0,-9999.0,69.1633
200201010730,200201010800,-9999.0,1,9.79,0.678,-14.187,0.0,-1.47751,1.2219,0.048311,0.0,-9999.0,-9999.0,66.74
200201010800,200201010830,-9999.0,1,13.067,0.669,-14.059,0.0,-1.44338,1.22961,0.064455,19.8409,-9999.0,-9999.0,67.5133
200201010830,200201010900,-9999.0,1,22.507,0.745,-13.738,0.0,-1.31184,1.24889,0.11089,112.068,-9999.0,-9999.0,64.7467
200201010900,200201010930,-9999.0,1,32.253,0.77,-13.513,0.0,-1.19775,1.26235,0.158716,203.007,-9999.0,-9999.0,64.24
200201010930,200201011000,-9999.0,2,39.7,0.918,-12.55,0.0,-2.2296,1.31947,0.195183,283.512,-9999.0,-9999.0,60.6067
200201011000,200201011030,-9999.0,1,63.333,0.958,-11.777,0.0,0.365652,1.36472,0.310467,352.208,-9999.0,-9999.0,61.3467
200201011030,200201011100,-9999.0,1,287.433,1.464,-9.615,0.0,-0.937117,1.48835,1.37119,407.917,-9999.0,-9999.0,50.3267
200201011100,200201011130,2.37736,0,333.633,1.79,-9.098,0.0,-2.37736,1.51725,1.58282,449.687,-9999.0,-9999.0,41.6967
200201011130,200201011200,4.63204,0,364.4,1.53,-10.132,0.0,-4.63204,1.45919,1.72247,476.804,-9999.0,-9999.0,45.89
200201011200,200201011230,-9999.0,1,380.567,1.586,-10.488,0.0,-1.80022,1.43896,1.79544,488.803,-9999.0,-9999.0,42.33
200201011230,200201011300,-9999.0,1,383.833,1.752,-9.615,0.0,-1.33205,1.48835,1.81014,485.479,-9999.0,-9999.0,40.5333
200201011300,200201011330,-9999.0,1,374.7,1.811,-9.712,0.0,-1.46271,1.4829,1.76899,466.888,-9999.0,-9999.0,38.0533
200201011330,200201011400,2.56629,0,352.2,1.683,-9.001,0.0,-2.56629,1.52264,1.66721,433.35,-9999.0,-9999.0,45.5933
200201011400,200201011430,-9999.0,1,318.167,1.482,-10.035,0.0,-1.93775,1.46468,1.51223,385.437,-9999.0,-9999.0,48.01
200201011430,200201011500,-9999.0,1,268.867,1.696,-9.583,0.0,-0.457035,1.49015,1.28548,323.97,-9999.0,-9999.0,42.5733
200201011500,200201011530,-9999.0,1,211.5,1.742,-8.903,0.0,-2.63517,1.52808,1.01822,250.0,-9999.0,-9999.0,44.1
200201011530,200201011600,-7.10923,0,127.333,1.638,-8.612,0.0,7.10923,1.54418,0.619322,164.793,-9999.0,-9999.0,48.6167
200201011600,200201011630,-1.65957,0,74.7,1.689,-8.417,0.0,1.65957,1.55492,0.365678,69.8071,-9999.0,-9999.0,47.8333
200201011630,200201011700,-9999.0,1,14.1,1.424,-9.098,0.0,-1.60383,1.51725,0.069542,1.81527,-9999.0,-9999.0,53.6
200201011700,200201011730,-9999.0,1,8.493,1.393,-9.195,0.0,-1.49994,1.51185,0.041917,0.0,-9999.0,-9999.0,54.2667
200201011730,200201011800,-9999.0,1,7.39,1.247,-9.712,0.0,-1.27424,1.4829,0.036478,0.0,-9999.0,-9999.0,57.3467
200201011800,200201011830,-9999.0,1,7.72,1.372,-9.583,0.0,-1.3333,1.49015,0.038106,0.0,-9999.0,-9999.0,53.54
200201011830,200201011900,-9999.0,1,7.57,1.21,-10.358,0.0,-1.31,1.44636,0.037366,0.0,-9999.0,-9999.0,56.4467
200201011900,200201011930,-9999.0,1,8.293,1.301,-10.035,0.0,-1.31,1.46468,0.040931,0.0,-9999.0,-9999.0,54.3633
200201011930,200201012000,-9999.0,1,7.597,1.187,-10.132,0.0,-1.31,1.45919,0.037499,0.0,-9999.0,-9999.0,58.0133
200201012000,200201012030,-9999.0,1,8.217,1.426,-9.712,0.0,-1.27424,1.4829,0.040556,0.0,-9999.0,-9999.0,51.2267
200201012030,200201012100,0.475071,0,7.923,1.494,-9.421,0.0,-0.475071,1.49922,0.039107,0.0,-9999.0,-9999.0,50.0567
200201012100,200201012130,-9999.0,1,7.493,1.424,-9.648,0.0,-1.27424,1.48649,0.036986,0.0,-9999.0,-9999.0,51.54
200201012130,200201012200,-9999.0,1,7.98,1.671,-8.579,0.0,-1.57635,1.546,0.039388,0.0,-9999.0,-9999.0,47.7333
200201012200,200201012230,-9999.0,1,7.337,1.472,-9.68,0.0,-1.27424,1.4847,0.036217,0.0,-9999.0,-9999.0,49.79
200201012230,200201012300,-9999.0,1,7.997,1.284,-9.292,0.0,-1.49994,1.50644,0.039471,0.0,-9999.0,-9999.0,57.5133
200201012300,200201012330,-9999.0,1,7.973,1.286,-9.518,0.0,-1.3333,1.49379,0.039353,0.0,-9999.0,-9999.0,56.6867
200201012330,200201020000,-9999.0,1,7.777,1.411,-8.32,0.0,-1.67755,1.56025,0.038387,0.0,-9999.0,-9999.0,56.75
200201020000,200201020030,-9999.0,1,8.11,1.995,-6.73,0.0,-1.7657,1.64628,0.040029,0.0,-9999.0,-9999.0,45.9467
200201020030,200201020100,-9999.0,1,7.037,1.459,-8.45,0.0,-1.54611,1.5531,0.034737,0.0,-9999.0,-9999.0,54.8167
200201020100,200201020130,-9999.0,1,7.817,1.451,-7.574,0.0,-1.48572,1.60092,0.038584,0.0,-9999.0,-9999.0,58.02
