TIMESTAMP_START,TIMESTAMP_END,NEE,NEE_VUT_REF_QC,SW_IN_F,VPD_F_MDS,TA_F_MDS,RECO_NT_VUT_REF,GPP_NT_VUT_REF,RECO_DT_VUT_REF,GPP_DT_VUT_REF,SW_IN_POT,PPFD_IN,TS_F_MDS_1,RH
201301010000,201301010030,-9999.0,1,0.0,0.387,0.925,0.445449,0.241733,1.17329,0.0,0.0,-9999.0,0.796,-9999.0
201301010030,201301010100,-9999.0,1,0.0,0.385,0.916,0.445106,0.24139,1.17305,0.0,0.0,-9999.0,0.778,-9999.0
201301010100,201301010130,-9999.0,1,0.0,0.383,0.904,0.444649,0.240933,1.17273,0.0,0.0,-9999.0,0.76,-9999.0
201301010130,201301010200,-9999.0,1,0.0,0.382,0.892,0.444192,0.181734,1.17241,0.0,0.0,-9999.0,0.744,-9999.0
201301010200,201301010230,-9999.0,1,0.0,1.891,0.691,0.436573,0.170752,1.16705,0.0,0.0,-0.11119,0.727,70.566
201301010230,201301010300,-9999.0,1,0.0,1.815,0.705,0.437101,-0.550905,1.16742,0.0,0.0,-0.11018,0.713,71.777
201301010300,201301010330,-9999.0,1,0.0,1.741,0.197,0.418129,0.210674,1.15377,0.0,0.0,-0.11152,0.699,71.916
201301010330,201301010400,-9999.0,1,0.0,1.912,0.031,0.412023,0.153393,1.14928,0.0,0.0,-0.11557,0.687,68.776
201301010400,201301010430,-9999.0,1,0.0,2.642,1.497,0.467525,0.263809,1.18843,0.0,0.0,-0.10512,0.673,61.192
201301010430,201301010500,-9999.0,1,0.0,3.04,2.256,0.497634,0.277162,1.20825,0.0,0.0,-0.08625,0.663,57.706
201301010500,201301010530,-0.867225,0,0.0,3.335,2.668,0.514363,1.38159,1.21889,0.0,0.0,-0.07614,0.654,54.953
201301010530,201301010600,-9999.0,1,0.0,3.132,2.349,0.501387,0.513334,1.21066,0.0,0.0,-0.07008,0.652,56.724
201301010600,201301010630,-9999.0,1,0.0,2.941,2.065,0.48997,0.955894,1.20329,0.0,0.0,-0.07446,0.648,58.526
201301010630,201301010700,-9999.0,1,0.0,2.622,1.678,0.474621,0.553109,1.19318,0.0,0.0,-0.08592,0.642,61.993
201301010700,201301010730,-9999.0,1,0.0,2.141,1.246,0.457772,0.225764,1.18181,0.0,0.0,-0.09536,0.637,67.977
201301010730,201301010800,-9999.0,1,0.0,2.303,1.445,0.465496,0.213206,1.18706,0.0,0.0,0.49262,0.634,66.044
201301010800,201301010830,-9999.0,1,5.258,2.99,2.247,0.497272,0.185715,1.20802,0.053144,7.38992,14.534,0.63,58.381
201301010830,201301010900,-9999.0,1,27.261,3.242,2.692,0.515345,1.39687,1.21951,0.274242,87.9674,55.472,0.625,56.278
201301010900,201301010930,-9999.0,1,35.913,3.262,2.784,0.519121,1.50059,1.22187,0.360616,180.291,79.912,0.621,56.297
201301010930,201301011000,-9999.0,1,54.993,3.291,2.942,0.525636,1.19818,1.22591,0.549975,262.537,121.23,0.62,56.409
201301011000,201301011030,-9999.0,1,76.775,3.273,3.048,0.530029,0.361955,1.22862,0.764288,333.296,167.64,0.618,56.964
201301011030,201301011100,-9999.0,1,118.48,3.46,3.443,0.546553,1.11053,1.23866,1.16918,391.359,255.65,0.618,55.76
201301011100,201301011130,-9999.0,1,158.29,3.67,3.792,0.561353,1.96728,1.24746,1.54916,435.733,333.67,0.618,54.217
201301011130,201301011200,-0.264818,0,149.3,3.925,4.032,0.571639,0.836457,1.25348,1.4639,465.657,319.18,0.616,51.857
201301011200,201301011230,-9999.0,1,126.94,3.862,4.111,0.575045,1.53598,1.25546,1.25046,480.619,274.57,0.612,52.902
201301011230,201301011300,-9999.0,1,85.411,3.747,4.042,0.57207,1.21694,1.25373,0.848715,480.365,192.43,0.613,54.074
201301011300,201301011330,0.0398456,0,56.163,3.579,3.783,0.560969,0.521124,1.24724,0.561536,464.898,132.98,0.616,55.322
201301011330,201301011400,0.848221,0,63.931,3.398,3.772,0.5605,-0.287721,1.24696,0.638154,434.483,149.84,0.619,57.554
201301011400,201301011430,0.630171,0,55.007,3.26,3.8,0.561695,-0.068476,1.24766,0.550113,389.64,130.74,0.623,59.359
201301011430,201301011500,0.462113,0,28.02,2.944,3.475,0.547902,0.085789,1.23947,0.281832,331.136,70.842,0.628,62.446
201301011500,201301011530,-9999.0,1,23.671,2.583,3.225,0.537404,1.47259,1.23313,0.238309,259.973,58.511,0.638,66.463
201301011530,201301011600,-9999.0,1,15.878,1.695,2.493,0.507224,0.34544,1.21438,0.160119,177.368,39.946,0.65,76.819
201301011600,201301011630,0.209901,0,5.888,1.096,2.223,0.496306,0.286405,1.2074,0.059503,84.7344,17.262,0.665,84.712
201301011630,201301011700,-9999.0,1,0.743,0.522,1.829,0.480581,0.163022,1.19714,0.007517,6.15162,2.779,0.68,92.518
201301011700,201301011730,-9999.0,1,0.0,0.191,1.418,0.464444,0.212154,1.18635,0.0,0.0,0.0037,0.695,97.182
201301011730,201301011800,-9999.0,1,0.0,0.504,1.668,0.474227,0.156668,1.19292,0.0,0.0,-0.14047,0.708,92.692
201301011800,201301011830,-9999.0,1,0.0,0.666,1.896,0.483238,0.145709,1.19889,0.0,0.0,-0.13812,0.723,90.499
