TIMESTAMP_START,TIMESTAMP_END,NEE,NEE_VUT_REF_QC,SW_IN_F,VPD_F_MDS,TA_F_MDS,RECO_NT_VUT_REF,GPP_NT_VUT_REF,RECO_DT_VUT_REF,GPP_DT_VUT_REF,SW_IN_POT,PPFD_IN,TS_F_MDS_1,RH
200601010000,200601010030,-9999.0,3,0.0,0.151,-5.307,0.437891,-2.86762,0.213029,0.0,0.0,-9999.0,1.096,-9999.0
200601010030,200601010100,-9999.0,3,0.0,0.126,-4.448,0.436732,-3.47298,0.211882,0.0,0.0,-9999.0,1.089,-9999.0
200601010100,200601010130,-9999.0,3,0.0,0.104,-3.59,0.435594,-2.0299,0.210759,0.0,0.0,-9999.0,1.084,-9999.0
200601010130,200601010200,-9999.0,3,0.0,0.085,-2.713,0.432813,-0.836708,0.208029,0.0,0.0,-9999.0,1.075,-9999.0
200601010200,200601010230,-9999.0,3,0.0,0.072,-1.843,0.430014,-1.18643,0.205298,0.0,0.0,-9999.0,1.067,-9999.0
200601010230,200601010300,-9999.0,3,0.0,0.066,-1.122,0.427218,1.50219,0.202589,0.0,0.0,-9999.0,1.067,-9999.0
200601010300,200601010330,-9999.0,3,0.0,0.065,-0.544,0.424445,1.98648,0.19992,0.0,0.0,-9999.0,1.064,-9999.0
200601010330,200601010400,-9999.0,3,0.0,0.064,-0.078,0.421654,2.43751,0.197252,0.0,0.0,-9999.0,1.063,-9999.0
200601010400,200601010430,-9999.0,3,0.0,0.065,0.171,0.418865,1.87599,0.194604,0.0,0.0,-9999.0,1.064,-9999.0
200601010430,200601010500,-9999.0,3,0.0,0.064,0.281,0.417106,2.37947,0.192943,0.0,0.0,-9999.0,1.064,-9999.0
200601010500,200601010530,-9999.0,3,0.0,0.062,0.27,0.415347,2.37359,0.19129,0.0,0.0,-9999.0,1.055,-9999.0
200601010530,200601010600,-9999.0,3,0.0,0.213,-7.662,0.413589,2.59742,0.189645,0.0,0.0,-9999.0,1.049,-9999.0
200601010600,200601010630,-9999.0,3,0.0,0.244,-9.402,0.411833,2.34835,0.188008,0.0,0.0,-9999.0,1.04,-9999.0
200601010630,200601010700,-9999.0,3,0.0,0.246,-9.58,0.410077,3.21751,0.18638,0.0,0.0,-9999.0,1.03,-9999.0
