TIMESTAMP_START,TIMESTAMP_END,NEE,NEE_VUT_REF_QC,SW_IN_F,VPD_F_MDS,TA_F_MDS,RECO_NT_VUT_REF,GPP_NT_VUT_REF,RECO_DT_VUT_REF,GPP_DT_VUT_REF,SW_IN_POT,PPFD_IN,TS_F_MDS_1,RH
200801010000,200801010030,-9999.0,1,0.0,0.005,-1.703,0.927402,-0.08981,1.28106,0.0,0.0,-9999.0,-1.071,99.9
200801010030,200801010100,-9999.0,1,0.0,0.005,-2.554,0.870121,-0.146312,1.25307,0.0,0.0,-9999.0,-1.111,99.9
200801010100,200801010130,-9999.0,1,0.0,0.005,-2.556,0.869988,-0.146443,1.25301,0.0,0.0,-9999.0,-1.121,99.9
200801010130,200801010200,-9999.0,1,0.0,0.029,-3.085,0.835116,-0.180867,1.23537,0.0,0.0,-9999.0,-1.176,99.4
200801010200,200801010230,-9999.0,1,0.0,0.056,-3.569,0.803718,-0.240349,1.21908,0.0,0.0,-9999.0,-1.22,98.8
200801010230,200801010300,1.26542,0,0.0,0.065,-3.811,0.788205,-0.475038,1.21087,0.0,0.0,-9999.0,-1.262,98.6
200801010300,200801010330,1.5863,0,0.0,0.079,-3.709,0.794728,-0.789471,1.21434,0.0,0.0,-9999.0,-1.288,98.3
200801010330,200801010400,-9999.0,1,0.0,0.121,-3.208,0.82709,-0.188792,1.23125,0.0,0.0,-9999.0,-1.301,97.5
200801010400,200801010430,-9999.0,1,0.0,0.163,-3.291,0.821693,-0.194123,1.22846,0.0,0.0,-9999.0,-1.322,96.6
200801010430,200801010500,1.26379,0,0.0,0.209,-3.401,0.814561,-0.447368,1.22475,0.0,0.0,-9999.0,-1.349,95.6
200801010500,200801010530,1.56017,0,0.0,0.24,-3.266,0.823317,-0.735099,1.2293,0.0,0.0,-9999.0,-1.363,95.0
200801010530,200801010600,-9999.0,1,0.0,0.244,-3.074,0.835835,-0.180157,1.23574,0.0,0.0,-9999.0,-1.386,95.0
200801010600,200801010630,-9999.0,1,0.0,0.244,-3.028,0.838846,-0.177184,1.23728,0.0,0.0,-9999.0,-1.398,95.0
200801010630,200801010700,-9999.0,1,0.0,0.244,-3.041,0.837995,-0.178024,1.23685,0.0,0.0,-9999.0,-1.405,95.0
200801010700,200801010730,-9999.0,1,0.0,0.243,-3.081,0.835378,-0.180609,1.23551,0.0,0.0,-9999.0,-1.427,95.0
200801010730,200801010800,-9999.0,1,0.0,0.245,-2.967,0.842845,-0.173235,1.23932,0.0,0.0,-9999.0,-1.448,95.0
200801010800,200801010830,-9999.0,1,1.996,0.246,-2.921,0.845866,-0.187383,1.24086,0.028538,3.3513,-9999.0,-1.461,95.0
200801010830,200801010900,2.25247,0,8.67,0.246,-2.915,0.84626,-1.40474,1.24106,0.102553,75.5577,-9999.0,-1.465,95.0
200801010900,200801010930,1.42671,0,14.3,0.248,-2.819,0.852579,-0.572745,1.24426,0.147638,168.507,-9999.0,-1.462,95.0
200801010930,200801011000,1.1087,0,24.57,0.249,-2.794,0.854228,-0.253108,1.2451,0.205908,251.56,-9999.0,-1.446,95.0
200801011000,200801011030,-9999.0,1,33.91,0.25,-2.738,0.857926,-0.388007,1.24696,0.242635,323.296,-9999.0,-1.431,95.0
200801011030,200801011100,-9999.0,1,59.25,0.253,-2.573,0.868859,-0.340057,1.25245,0.303549,382.487,-9999.0,-1.395,95.0
200801011100,200801011130,-9999.0,1,84.2,0.258,-2.281,0.888341,-0.190974,1.2621,0.337108,428.121,-9999.0,-1.337,95.0
200801011130,200801011200,-9999.0,1,96.7,0.263,-2.042,0.904413,0.312957,1.26997,0.34895,459.417,-9999.0,-1.253,95.0
200801011200,200801011230,-9999.0,1,91.8,0.269,-1.749,0.92427,0.234768,1.27956,0.344598,475.839,-9999.0,-1.199,95.0
200801011230,200801011300,-9999.0,1,82.7,0.273,-1.529,0.939289,-0.065271,1.28673,0.33551,477.106,-9999.0,-1.147,95.0
200801011300,200801011330,-9999.0,1,66.68,0.276,-1.37,0.950201,-0.036698,1.29189,0.315354,463.197,-9999.0,-1.111,95.0
200801011330,200801011400,-9999.0,1,74.4,0.28,-1.213,0.961023,0.041104,1.29697,0.32584,434.35,-9999.0,-1.065,95.0
200801011400,200801011430,-9999.0,1,38.57,0.282,-1.077,0.970435,-0.109786,1.30135,0.257217,391.058,-9999.0,-1.06,95.0
200801011430,200801011500,0.0595934,0,24.86,0.307,-0.997,0.975988,0.916072,1.30393,0.207237,334.062,-9999.0,-1.076,94.6
200801011500,200801011530,0.741635,0,31.33,0.344,-0.877,0.984339,0.242258,1.30778,0.233609,264.337,-9999.0,-1.058,94.0
200801011530,200801011600,2.0969,0,21.43,0.508,-0.775,0.991459,-1.10599,1.31105,0.190564,183.077,-9999.0,-1.067,91.2
200801011600,200801011630,0.64727,0,8.25,0.634,-0.794,0.990131,0.342328,1.31044,0.098657,91.6709,-9999.0,-1.124,89.0
200801011630,200801011700,-9999.0,1,0.0,0.909,-0.914,0.981761,-0.010191,1.3066,0.0,9.11622,-9999.0,-1.17,84.1
200801011700,200801011730,-9999.0,1,0.0,0.847,-0.991,0.976405,0.042722,1.30412,0.0,0.0,-9999.0,-1.192,85.1
200801011730,200801011800,-9999.0,1,0.0,0.728,-1.089,0.969603,0.05483,1.30097,0.0,0.0,-9999.0,-1.233,87.1
200801011800,200801011830,0.989786,0,0.0,0.857,-1.097,0.969049,-0.020958,1.30071,0.0,0.0,-9999.0,-1.258,84.8
200801011830,200801011900,1.19145,0,0.0,0.841,-1.077,0.970435,-0.221256,1.30135,0.0,0.0,-9999.0,-1.293,85.1
200801011900,200801011930,0.878214,0,0.0,0.959,-1.099,0.96891,0.090478,1.30064,0.0,0.0,-9999.0,-1.319,83.0
200801011930,200801012000,0.420526,0,0.0,0.886,-1.091,0.969465,0.548712,1.3009,0.0,0.0,-9999.0,-1.345,84.3
200801012000,200801012030,0.430867,0,0.0,1.025,-1.033,0.973488,0.542335,1.30277,0.0,0.0,-9999.0,-1.366,81.9
200801012030,200801012100,0.294806,0,0.0,1.15,-1.035,0.973349,0.678259,1.30271,0.0,0.0,-9999.0,-1.396,79.7
200801012100,200801012130,0.640627,0,0.0,1.077,-1.175,0.963649,0.322881,1.29819,0.0,0.0,-9999.0,-1.431,80.8
