TIMESTAMP_START,TIMESTAMP_END,NEE,NEE_VUT_REF_QC,SW_IN_F,VPD_F_MDS,TA_F_MDS,RECO_NT_VUT_REF,GPP_NT_VUT_REF,RECO_DT_VUT_REF,GPP_DT_VUT_REF,SW_IN_POT,TS_F_MDS_1,RH
200401010000,200401010030,-9999.0,1,0.0,1.0,-9.86,0.130599,-0.084065,0.067946,0.0,0.0,-1.654,65.4
200401010030,200401010100,-9999.0,1,0.0,0.912,-10.3,0.126736,-0.131258,0.059291,0.0,0.0,-1.68,67.33
200401010100,200401010130,-9999.0,1,0.0,0.795,-11.08,0.119943,-0.155741,0.046176,0.0,0.0,-1.703,69.68
200401010130,200401010200,-9999.0,1,0.0,0.974,-10.52,0.124813,-0.177107,0.055316,0.0,0.0,-1.729,64.49
200401010200,200401010230,-0.423837,0,0.0,1.136,-9.9,0.130247,0.443551,0.067119,0.0,0.0,-1.759,60.57
200401010230,200401010300,-9999.0,1,0.0,1.154,-9.95,0.129807,-0.084249,0.066096,0.0,0.0,-1.789,59.78
200401010300,200401010330,-9999.0,1,0.0,1.187,-9.78,0.131304,-0.083902,0.069626,0.0,0.0,-1.811,59.17
200401010330,200401010400,-9999.0,1,0.0,1.203,-9.68,0.132186,0.02814,0.071773,0.0,0.0,-1.831,58.96
200401010400,200401010430,-9999.0,1,0.0,1.146,-9.97,0.129632,-0.084289,0.065691,0.0,0.0,-1.847,60.01
200401010430,200401010500,-9999.0,1,0.0,1.153,-9.83,0.130864,-0.084004,0.068572,0.0,0.0,-1.859,60.19
200401010500,200401010530,-9999.0,1,0.0,1.117,-9.75,0.131568,0.027996,0.070264,0.0,0.0,-1.876,61.67
200401010530,200401010600,-9999.0,1,0.0,1.046,-9.78,0.131304,-0.083902,0.069626,0.0,0.0,-1.893,64.05
200401010600,200401010630,-9999.0,1,0.0,0.988,-9.7,0.132009,0.250988,0.071339,0.0,0.0,-1.904,66.23
200401010630,200401010700,-9999.0,1,0.753,0.901,-9.83,0.130864,0.113138,0.068572,0.024134,0.0,-1.922,68.9
200401010700,200401010730,-9999.0,3,29.93,0.89,-9.57,0.133157,0.299904,0.074197,0.699223,49.8832,-1.937,69.89
200401010730,200401010800,-9999.0,3,96.3,1.007,-8.95,0.138653,2.02153,0.089145,1.39163,159.301,-1.944,67.58
200401010800,200401010830,-9999.0,3,184.9,1.267,-7.996,0.147176,0.906732,0.116861,1.77048,259.816,-1.954,62.13
200401010830,200401010900,-9999.0,3,229.3,1.644,-6.937,0.156717,1.42457,0.155405,1.87809,349.45,-1.956,54.74
200401010900,200401010930,-9999.0,3,252.9,2.053,-6.061,0.16466,2.1878,0.194494,1.92352,426.669,-1.95,47.17
200401010930,200401011000,-9999.0,3,392.4,2.476,-5.221,0.172311,1.33147,0.239009,2.09889,490.151,-1.937,40.23
