TIMESTAMP_START,TIMESTAMP_END,NEE,NEE_VUT_REF_QC,SW_IN_F,VPD_F_MDS,TA_F_MDS,RECO_NT_VUT_REF,GPP_NT_VUT_REF,RECO_DT_VUT_REF,GPP_DT_VUT_REF,SW_IN_POT,PPFD_IN,TS_F_MDS_1,RH
200801010000,200801010030,-9999.0,1,0.0,0.51,-16.24,0.183285,-0.012031,0.813919,0.0,0.0,-0.069,-5.863,70.9
200801010030,200801010100,-9999.0,1,0.0,0.52,-16.65,0.175367,0.00269,0.795064,0.0,0.0,-0.062,-5.914,68.91
200801010100,200801010130,-9999.0,1,0.0,0.51,-17.12,0.166454,0.020635,0.773353,0.0,0.0,-0.04,-5.969,68.31
200801010130,200801010200,-9999.0,1,0.0,0.53,-17.16,0.165703,0.019884,0.771501,0.0,0.0,-0.006,-6.03,66.88
200801010200,200801010230,-9999.0,1,0.0,0.54,-17.18,0.165329,0.01951,0.770574,0.0,0.0,-0.025,-6.096,65.86
200801010230,200801010300,-9999.0,1,0.0,0.53,-17.46,0.160118,0.010944,0.757588,0.0,0.0,-0.092,-6.16,65.91
200801010300,200801010330,-9999.0,2,0.0,0.54,-17.55,0.158457,-0.032646,0.753406,0.0,0.0,-0.111,-6.227,65.38
200801010330,200801010400,-9999.0,2,0.0,0.54,-17.56,0.158273,-0.03283,0.752942,0.0,0.0,-0.06,-6.291,64.87
200801010400,200801010430,-9999.0,2,0.0,0.53,-17.65,0.156619,-0.034484,0.748757,0.0,0.0,-0.062,-6.353,65.12
200801010430,200801010500,-9999.0,2,0.0,0.51,-17.87,0.152607,-0.02307,0.738514,0.0,0.0,-0.069,-6.412,65.53
200801010500,200801010530,-9999.0,2,0.0,0.51,-17.96,0.150978,-0.027309,0.734319,0.0,0.0,-0.088,-6.471,65.66
200801010530,200801010600,-9999.0,2,0.0,0.52,-17.95,0.151158,-0.032535,0.734785,0.0,0.0,-0.052,-6.525,65.21
200801010600,200801010630,-9999.0,2,0.0,0.55,-17.56,0.158273,-0.043174,0.752942,0.0,0.0,-0.061,-6.582,63.84
200801010630,200801010700,-9999.0,2,0.0,0.57,-17.64,0.156803,-0.044644,0.749222,0.0,0.0,0.007,-6.628,62.82
200801010700,200801010730,-9999.0,2,1.975,0.52,-18.2,0.146667,-0.031364,0.723117,0.024567,0.305444,5.984,-6.672,64.18
200801010730,200801010800,-9999.0,1,33.388,0.56,-17.85,0.15297,-0.095209,0.739446,0.360978,62.2294,42.74,-6.715,63.01
200801010800,200801010830,-9999.0,1,91.262,0.64,-17.02,0.168335,0.128726,0.777981,0.795061,164.673,126.0,-6.76,60.43
200801010830,200801010900,-9999.0,2,156.875,0.71,-16.18,0.184455,0.101761,0.816671,1.12005,257.599,247.1,-6.794,58.6
200801010900,200801010930,-9999.0,2,221.404,0.86,-14.9,0.210032,0.408846,0.87494,1.34252,339.415,358.8,-6.809,55.53
200801010930,200801011000,-9999.0,1,276.669,1.05,-13.26,0.2444,1.04421,0.948221,1.48583,408.723,464.7,-6.777,52.49
200801011000,200801011030,-9999.0,1,321.565,1.24,-11.79,0.276526,0.972682,1.01245,1.58018,464.337,559.3,-6.707,50.29
200801011030,200801011100,-9999.0,1,356.662,1.41,-10.44,0.306964,1.04288,1.07015,1.64346,505.305,636.2,-6.6,49.36
200801011100,200801011130,-0.510999,0,380.201,1.56,-9.46,0.329543,0.840542,1.11123,1.68167,530.926,690.1,-6.464,47.7
200801011130,200801011200,-0.428932,0,393.29,1.72,-8.65,0.348472,0.777404,1.14467,1.70161,540.761,724.7,-6.31,45.82
200801011200,200801011230,-0.417813,0,388.655,1.771,-8.39,0.354595,0.772408,1.1553,1.69465,534.643,729.0,-6.145,45.49
200801011230,200801011300,-0.311715,0,367.945,1.821,-8.02,0.363345,0.67506,1.17034,1.66217,512.676,706.7,-5.981,45.47
200801011300,200801011330,-0.24843,0,330.394,1.951,-7.511,0.375449,0.623879,1.19087,1.59688,475.236,653.9,-5.829,43.88
200801011330,200801011400,-9999.0,1,282.625,1.821,-7.703,0.370875,0.744765,1.18315,1.49934,422.964,577.7,-5.705,47.1
200801011400,200801011430,-9999.0,1,226.8,1.801,-7.514,0.375377,0.680938,1.19075,1.35812,356.753,477.7,-5.605,48.23
200801011430,200801011500,-9999.0,1,164.723,1.781,-7.462,0.376618,0.390123,1.19284,1.15124,277.738,360.5,-5.532,48.97
200801011500,200801011530,-9999.0,1,101.272,1.751,-7.41,0.377859,0.696941,1.19493,0.853593,187.269,231.6,-5.48,50.19
200801011530,200801011600,-9999.0,1,47.773,1.58,-8.23,0.358374,0.264673,1.16182,0.487309,86.8944,99.8,-5.45,51.99
200801011600,200801011630,-9999.0,1,4.808,1.37,-9.42,0.330472,0.24061,1.11289,0.059005,5.22379,16.06,-5.447,54.41
200801011630,200801011700,-9999.0,1,0.0,1.15,-10.5,0.305594,0.147842,1.06762,0.0,0.0,0.52,-5.48,58.27
200801011700,200801011730,-9999.0,1,0.0,1.02,-11.3,0.287478,0.133813,1.03354,0.0,0.0,-0.002,-5.564,60.44
200801011730,200801011800,-9999.0,1,0.0,0.89,-11.99,0.272089,0.113876,1.0038,0.0,0.0,0.0,-5.676,63.32
200801011800,200801011830,-9999.0,1,0.0,0.92,-11.77,0.276971,0.122344,1.01332,0.0,0.0,-0.002,-5.804,63.16
200801011830,200801011900,-9999.0,1,0.0,0.84,-12.05,0.270762,0.10895,1.0012,0.0,0.0,-0.002,-5.915,65.55
200801011900,200801011930,-9999.0,1,0.0,0.71,-12.97,0.250646,0.065537,0.961006,0.0,0.0,-0.001,-6.006,68.61
200801011930,200801012000,-9999.0,1,0.0,0.88,-11.44,0.284337,0.120906,1.02753,0.0,0.0,-0.002,-6.069,65.67
200801012000,200801012030,-9999.0,1,0.0,0.88,-11.52,0.282547,0.119116,1.0241,0.0,0.0,-0.002,-6.126,65.48
200801012030,200801012100,-9999.0,1,0.0,0.89,-11.38,0.285682,0.127257,1.03011,0.0,0.0,-0.007,-6.178,65.58
200801012100,200801012130,-9999.0,1,0.0,0.81,-11.94,0.273197,0.100838,1.00597,0.0,0.0,-0.011,-6.222,67.13
200801012130,200801012200,-9999.0,1,0.0,0.64,-13.22,0.245259,0.013765,0.949988,0.0,0.0,-0.003,-6.26,70.75
200801012200,200801012230,-9999.0,1,0.0,0.61,-13.38,0.24183,0.006745,0.942916,0.0,0.0,0.0,-6.296,71.76
200801012230,200801012300,-9999.0,1,0.0,0.6,-13.55,0.238203,-0.00033,0.935383,0.0,0.0,-0.005,-6.335,72.04
