TIMESTAMP_START,TIMESTAMP_END,NEE,NEE_VUT_REF_QC,SW_IN_F,VPD_F_MDS,TA_F_MDS,RECO_NT_VUT_REF,GPP_NT_VUT_REF,RECO_DT_VUT_REF,GPP_DT_VUT_REF,SW_IN_POT,TS_F_MDS_1,RH
200501010000,200501010030,-9999.0,1,0.0,2.896,-3.14,0.17651,-0.084742,0.137647,0.0,0.0,-0.615,40.26
200501010030,200501010100,-9999.0,1,0.0,3.387,-2.02,0.184019,-0.041882,0.141794,0.0,0.0,-0.662,35.7
200501010100,200501010130,-9999.0,1,0.0,3.202,-2.513,0.180723,-0.062745,0.13998,0.0,0.0,-0.761,36.96
200501010130,200501010200,-9999.0,1,0.0,2.67,-3.847,0.171733,-0.062802,0.134983,0.0,0.0,-0.949,41.91
200501010200,200501010230,-9999.0,1,0.0,2.3,-4.87,0.164773,-0.003996,0.131062,0.0,0.0,-1.239,45.95
200501010230,200501010300,-9999.0,1,0.0,1.999,-5.725,0.158917,-0.013275,0.127727,0.0,0.0,-1.595,49.87
200501010300,200501010330,-9999.0,1,0.0,2.247,-4.869,0.16478,-0.003989,0.131066,0.0,0.0,-1.971,47.2
200501010330,200501010400,-9999.0,1,0.0,1.841,-5.758,0.15869,-0.013511,0.127597,0.0,0.0,-2.335,53.71
200501010400,200501010430,-9999.0,1,0.0,1.612,-6.377,0.15443,-0.003624,0.125146,0.0,0.0,-2.674,57.5
200501010430,200501010500,-9999.0,1,0.0,1.702,-5.971,0.157226,-0.015034,0.126757,0.0,0.0,-3.019,56.5
200501010500,200501010530,-9999.0,1,0.0,1.511,-6.667,0.152428,-0.02523,0.123989,0.0,0.0,-3.35,59.25
200501010530,200501010600,-9999.0,1,0.0,1.599,-6.176,0.155815,-0.018567,0.125945,0.0,0.0,-3.638,58.48
200501010600,200501010630,0.154972,0,0.0,1.28,-7.454,0.146981,-0.008911,0.120815,0.0,0.0,-3.926,63.33
200501010630,200501010700,-9999.0,1,0.0,1.297,-7.032,0.149904,-0.027849,0.122522,0.0,0.0,-4.221,64.03
200501010700,200501010730,-9999.0,1,0.0,1.108,-7.619,0.145836,-0.02985,0.120144,0.0,0.0,-4.519,67.83
200501010730,200501010800,-9999.0,1,0.0,1.279,-7.025,0.149953,-0.027799,0.122551,0.0,0.0,-4.829,64.56
200501010800,200501010830,-9999.0,1,0.0,1.095,-8.11,0.142424,-0.045248,0.118135,0.0,0.0,-5.127,66.97
