TIMESTAMP_START,TIMESTAMP_END,NEE,NEE_VUT_REF_QC,SW_IN_F,VPD_F_MDS,TA_F_MDS,RECO_NT_VUT_REF,GPP_NT_VUT_REF,RECO_DT_VUT_REF,GPP_DT_VUT_REF,SW_IN_POT,PPFD_IN,TS_F_MDS_1,RH
200701010000,200701010030,-9999.0,1,0.007,0.236,-19.201,0.0,0.344518,0.689618,0.001496,0.0,0.643861,-9.8,82.363
200701010030,200701010100,-0.324743,0,0.009,0.278,-18.911,0.0,0.324743,0.70351,0.001923,0.0,0.541039,-9.9,79.7323
200701010100,200701010130,-9999.0,1,0.007,0.352,-18.56,0.0,0.335934,0.720293,0.001496,0.0,0.367108,-10.0,75.0778
200701010130,200701010200,-9999.0,1,0.017,0.367,-18.279,0.0,0.33728,0.733701,0.003628,0.0,0.317128,-10.09,74.5891
200701010200,200701010230,-9999.0,1,0.009,0.335,-19.203,0.0,0.338164,0.689523,0.001923,0.0,0.29489,-10.18,74.9372
200701010230,200701010300,-9999.0,1,0.003,0.336,-19.459,0.0,0.338389,0.677242,0.000642,0.0,0.272313,-10.26,74.3133
200701010300,200701010330,-0.202167,0,0.011,0.352,-19.309,0.0,0.202167,0.68444,0.00235,0.0,0.193548,-10.35,73.4251
200701010330,200701010400,-0.0947553,0,0.005,0.374,-19.03,0.0,0.094755,0.697812,0.001069,0.0,0.155855,-10.44,72.4215
200701010400,200701010430,-0.31887,0,0.0,0.388,-19.03,0.0,0.31887,0.697812,0.0,0.0,0.104825,-10.52,71.3755
200701010430,200701010500,-0.485471,0,0.0,0.39,-19.18,0.0,0.485471,0.690625,0.0,0.0,0.062284,-10.6,70.8499
200701010500,200701010530,-0.569569,0,0.0,0.361,-19.619,0.0,0.569569,0.66956,0.0,0.0,0.080672,-10.66,72.0141
200701010530,200701010600,-0.480491,0,0.0,0.306,-20.598,0.0,0.480491,0.622465,0.0,0.0,0.141291,-10.73,74.1747
200701010600,200701010630,-0.248639,0,0.0,0.282,-21.289,0.0,0.248639,0.589181,0.0,0.0,0.164175,-10.79,74.6858
200701010630,200701010700,-0.473028,0,0.0,0.32,-20.572,0.0,0.473028,0.623717,0.0,0.0,0.126084,-10.85,73.045
200701010700,200701010730,-0.376283,0,0.185,0.36,-20.303,0.0,0.376283,0.636668,0.038468,0.0,0.352238,-10.92,70.3756
200701010730,200701010800,-0.374402,0,4.882,0.308,-21.344,0.0,0.374402,0.586532,0.59,9.6406,14.2864,-10.98,72.2171
200701010800,200701010830,-0.284508,0,47.307,0.351,-20.188,0.0,0.284508,0.642203,1.19537,103.403,89.3331,-11.04,71.3826
200701010830,200701010900,-0.358083,0,123.699,0.395,-18.999,0.0,0.358083,0.699297,1.28939,209.932,228.15,-11.08,70.923
200701010900,200701010930,-0.512866,0,191.45,0.551,-16.838,0.0,0.512866,0.801949,1.312,306.476,367.861,-11.07,66.267
200701010930,200701011000,-0.693708,0,256.227,0.69,-15.4,0.0,0.693708,0.869196,1.32271,391.383,503.059,-10.98,62.5525
200701011000,200701011030,-0.610471,0,313.123,0.795,-14.164,0.0,0.610471,0.926048,1.32853,463.202,621.665,-10.8,61.0535
200701011030,200701011100,-0.728998,0,360.329,0.876,-13.052,0.0,0.728998,0.976394,1.33199,520.702,719.266,-10.52,60.8117
200701011100,200701011130,-0.537927,0,395.533,0.937,-12.285,0.0,0.537927,1.01065,1.33404,562.901,791.337,-10.19,60.6416
200701011130,200701011200,-0.175627,0,417.393,0.955,-11.694,0.0,0.175627,1.03677,1.33514,589.076,835.874,-9.8,61.7631
200701011200,200701011230,0.163407,0,426.436,1.046,-11.061,0.0,-0.163407,1.06448,1.33556,598.779,853.966,-9.39,60.1795
200701011230,200701011300,-0.095949,0,420.442,1.101,-10.499,0.0,0.095949,1.08884,1.33529,591.845,841.442,-8.97,59.906
200701011300,200701011330,-0.00760548,0,400.211,1.147,-9.864,0.0,0.007606,1.1161,1.33429,568.392,799.061,-8.57,60.3164
