TIMESTAMP_START,TIMESTAMP_END,NEE,NEE_VUT_REF_QC,SW_IN_F,VPD_F_MDS,TA_F_MDS,RECO_NT_VUT_REF,GPP_NT_VUT_REF,RECO_DT_VUT_REF,GPP_DT_VUT_REF,SW_IN_POT,PPFD_IN,TS_F_MDS_1,RH
200301010000,200301010030,-0.261,0,0.0,0.364,-20.821,0.0,0.261,0.029356,0.0,0.0,0.019,-7.558,68.646
200301010030,200301010100,-0.415463,0,0.0,0.336,-21.204,0.0,0.415463,0.02837,0.0,0.0,1.335,-7.857,70.028
200301010100,200301010130,-1.44498,0,0.0,0.345,-20.987,0.0,1.44498,0.028928,0.0,0.0,0.549,-7.981,69.857
200301010130,200301010200,0.0186667,0,0.0,0.337,-20.993,0.0,-0.018667,0.028913,0.0,0.0,-0.369,-8.164,70.518
200301010200,200301010230,-0.29069,0,0.0,0.449,-19.927,0.0,0.29069,0.031667,0.0,0.0,0.299,-8.304,64.211
200301010230,200301010300,-0.154625,0,0.0,0.354,-20.367,0.0,0.154625,0.030528,0.0,0.0,1.501,-8.353,70.683
200301010300,200301010330,-9999.0,1,0.0,0.407,-19.817,0.0,0.198618,0.031952,0.0,0.0,0.95,-8.478,67.881
200301010330,200301010400,-9999.0,1,0.0,0.367,-20.66,0.0,0.199879,0.029771,0.0,0.0,1.24,-8.65,68.831
200301010400,200301010430,-9999.0,1,0.0,0.331,-21.287,0.0,0.168432,0.028157,0.0,0.0,1.164,-8.664,70.261
200301010430,200301010500,-9999.0,1,0.0,0.466,-19.824,0.0,0.198618,0.031934,0.0,0.0,1.193,-8.777,63.203
200301010500,200301010530,-0.00661111,0,0.0,0.311,-21.382,0.0,0.006611,0.027914,0.0,0.0,0.155,-8.838,71.898
200301010530,200301010600,-0.561282,0,0.0,0.322,-20.991,0.0,0.561282,0.028918,0.0,0.0,2.096,-8.907,71.831
200301010600,200301010630,-0.040875,0,0.0,0.262,-22.571,0.0,0.040875,0.024888,0.0,0.0,0.649,-9.083,73.63
200301010630,200301010700,-9999.0,1,0.023,0.312,-21.402,0.0,0.201907,0.027862,0.0,0.0,-0.061,-9.131,71.689
200301010700,200301010730,-9999.0,1,0.0,0.328,-21.662,0.0,0.223362,0.027197,0.0,0.0,1.143,-9.307,69.612
200301010730,200301010800,-9999.0,1,0.0,0.29,-22.822,0.0,0.24231,0.024256,0.0,0.0,-0.117,-9.379,70.138
200301010800,200301010830,-9999.0,1,0.0,0.29,-22.436,0.0,0.238853,0.025229,0.0,0.0,2.452,-9.34,71.213
200301010830,200301010900,-1.07049,0,12.414,0.226,-23.954,0.0,1.07049,0.021443,0.0,46.3215,28.348,-9.592,74.332
200301010900,200301010930,-9999.0,1,53.31,0.23,-23.161,0.0,0.292614,0.023407,0.0,167.948,92.43,-9.571,75.596
200301010930,200301011000,-9999.0,1,142.92,0.318,-20.662,0.0,-0.297543,0.029766,0.0,282.278,227.185,-9.312,72.978
200301011000,200301011030,-9999.0,2,239.91,0.551,-17.634,0.0,0.205352,0.037632,0.0,385.985,384.485,-8.705,63.895
200301011030,200301011100,-9999.0,1,269.575,0.848,-15.216,0.0,0.405338,0.043903,0.0,477.295,463.835,-8.173,54.685
200301011100,200301011130,-0.140486,0,274.956,1.115,-13.482,0.0,0.140486,0.048348,0.0,554.645,484.885,-7.9,48.348
200301011130,200301011200,-1.13922,0,356.11,1.663,-10.603,0.0,1.13922,0.055572,0.0,616.712,626.31,-7.486,38.97
200301011200,200301011230,0.0715694,0,333.18,2.04,-8.766,0.0,-0.071569,0.060057,0.0,662.433,599.421,-7.208,35.253
200301011230,200301011300,0.429843,0,319.01,2.378,-7.472,0.0,-0.429843,0.063151,0.0,691.027,569.635,-6.923,31.773
200301011300,200301011330,0.168995,0,310.12,3.109,-6.005,0.0,-0.168995,0.066589,0.0,702.003,558.565,-6.524,20.33
200301011330,200301011400,0.141671,0,314.35,3.599,-4.974,0.0,-0.141671,0.06896,0.0,695.176,571.16,-6.042,14.736
200301011400,200301011430,0.270023,0,354.48,3.834,-4.445,0.0,-0.270023,0.070162,0.0,670.66,635.7,-5.534,12.746
200301011430,200301011500,0.189648,0,401.44,4.004,-4.018,0.0,-0.189648,0.071125,0.0,628.876,709.21,-5.036,11.761
200301011500,200301011530,0.470255,0,371.885,4.088,-3.788,0.0,-0.470255,0.071641,0.0,570.538,656.786,-4.619,11.453
200301011530,200301011600,0.507306,0,295.605,4.143,-3.681,0.0,-0.507306,0.07188,0.0,496.645,518.946,-4.402,10.985
200301011600,200301011630,0.283245,0,208.12,3.983,-4.129,0.0,-0.283245,0.070875,0.0,408.461,364.605,-4.352,11.487
