TIMESTAMP_START,TIMESTAMP_END,NEE,NEE_VUT_REF_QC,SW_IN_F,VPD_F_MDS,TA_F_MDS,RECO_NT_VUT_REF,GPP_NT_VUT_REF,RECO_DT_VUT_REF,GPP_DT_VUT_REF,SW_IN_POT,TS_F_MDS_1,RH
200501010000,200501010030,-9999.0,1,0.0,1.038,-2.805,0.632384,0.448058,0.36031,0.0,0.0,4.94,79.12
200501010030,200501010100,-9999.0,1,0.0,1.02,-2.911,0.627639,0.441588,0.352202,0.0,0.0,4.891,79.32
200501010100,200501010130,-9999.0,1,0.0,1.1,-2.855,0.630144,0.445004,0.356467,0.0,0.0,4.788,77.78
200501010130,200501010200,-9999.0,1,0.0,0.799,-3.471,0.602777,0.075698,0.311713,0.0,0.0,4.767,83.1
200501010200,200501010230,-9999.0,1,0.0,0.774,-3.664,0.594292,0.43523,0.298642,0.0,0.0,4.65,83.4
200501010230,200501010300,-9999.0,1,0.0,0.637,-4.086,0.575891,0.410125,0.271568,0.0,0.0,4.544,85.9
200501010300,200501010330,-9999.0,1,0.0,0.669,-4.161,0.572642,0.405693,0.266965,0.0,0.0,4.447,85.1
200501010330,200501010400,-9999.0,1,0.0,0.693,-4.133,0.573854,0.407347,0.268676,0.0,0.0,4.382,84.6
200501010400,200501010430,-9999.0,1,0.0,0.543,-4.694,0.549754,0.374456,0.23601,0.0,0.0,4.225,87.4
200501010430,200501010500,-9999.0,1,0.0,0.413,-5.007,0.536477,0.356331,0.219204,0.0,0.0,4.138,90.2
200501010500,200501010530,-9999.0,1,0.0,0.466,-4.698,0.549584,0.374223,0.235789,0.0,0.0,4.015,89.2
200501010530,200501010600,-9999.0,1,0.0,0.481,-4.759,0.546987,0.370679,0.232438,0.0,0.0,3.914,88.8
200501010600,200501010630,-9999.0,1,0.0,0.678,-4.415,0.561692,0.390749,0.251837,0.0,0.0,3.872,84.6
200501010630,200501010700,-9999.0,1,0.0,0.93,-4.157,0.572815,0.405929,0.267209,0.0,0.0,3.879,79.29
200501010700,200501010730,-9999.0,1,11.75,0.962,-4.29,0.567071,0.519836,0.259195,0.75241,23.7275,3.841,78.37
