TIMESTAMP_START,TIMESTAMP_END,NEE,NEE_VUT_REF_QC,SW_IN_F,VPD_F_MDS,TA_F_MDS,RECO_NT_VUT_REF,GPP_NT_VUT_REF,RECO_DT_VUT_REF,GPP_DT_VUT_REF,SW_IN_POT,PPFD_IN,TS_F_MDS_1,RH
201101010000,201101010030,-9999.0,1,0.0,0.181,-30.848,0.0,-0.311851,0.164591,0.0,0.0,-0.30135,-14.449,60.8228
201101010030,201101010100,-9999.0,1,0.0,0.187,-30.439,0.0,-0.339002,0.179463,0.0,0.0,-0.29689,-14.516,61.1415
201101010100,201101010130,-9999.0,1,0.0,0.172,-31.854,0.0,-0.19974,0.130246,0.0,0.0,-0.29274,-14.581,59.0065
201101010130,201101010200,-9999.0,1,0.0,0.169,-31.912,0.0,-0.19974,0.12837,0.0,0.0,-0.2956,-14.646,59.4661
201101010200,201101010230,-9999.0,1,0.0,0.17,-31.709,0.0,0.057974,0.134988,0.0,0.0,-0.30048,-14.71,60.068
201101010230,201101010300,-9999.0,1,0.0,0.179,-31.363,0.0,-0.481133,0.146594,0.0,0.0,-0.3029,-14.773,59.2722
201101010300,201101010330,-9999.0,1,0.0,0.164,-32.355,0.0,-0.383823,0.114437,0.0,0.0,-0.30574,-14.833,59.028
201101010330,201101010400,-5.60628,0,0.0,0.172,-31.599,0.0,5.60628,0.138634,0.0,0.0,-0.30178,-14.893,60.1586
201101010400,201101010430,-9999.0,1,0.0,0.164,-32.191,0.0,-0.19974,0.119512,0.0,0.0,-0.30104,-14.952,59.5722
201101010430,201101010500,-9999.0,1,0.0,0.163,-32.274,0.0,-0.383823,0.116931,0.0,0.0,-0.30221,-15.012,59.4774
201101010500,201101010530,-9999.0,1,0.0,0.165,-32.227,0.0,-0.383823,0.118389,0.0,0.0,-0.30411,-15.073,59.2814
201101010530,201101010600,-9999.0,1,0.0,0.166,-32.139,0.0,-0.19974,0.121141,0.0,0.0,-0.30661,-15.13,59.2447
201101010600,201101010630,-9999.0,1,0.0,0.162,-32.321,0.0,-0.383823,0.115481,0.0,0.0,-0.30347,-15.186,59.5587
201101010630,201101010700,-9999.0,1,0.0,0.159,-32.774,0.0,-0.95708,0.101929,0.0,0.0,-0.29744,-15.24,58.6417
201101010700,201101010730,-9999.0,1,0.0,0.157,-32.902,0.0,-0.448393,0.098243,0.0,0.0,-0.28436,-15.294,58.5499
201101010730,201101010800,-9999.0,1,1.272,0.159,-32.632,0.0,-0.793244,0.106093,0.005719,0.0,2.4463,-15.346,59.2346
201101010800,201101010830,-9999.0,1,25.134,0.169,-32.032,0.0,-0.987591,0.124526,0.112857,40.5675,48.3355,-15.397,59.1294
201101010830,201101010900,-9999.0,1,103.105,0.192,-30.473,0.0,0.884939,0.178208,0.460952,151.055,198.278,-15.448,60.0727
201101010900,201101010930,-9999.0,1,187.885,0.223,-29.744,0.0,0.748234,0.205819,0.836025,254.213,361.318,-15.492,56.6721
201101010930,201101011000,-9999.0,1,262.942,0.265,-27.511,0.0,0.406113,0.298156,1.16515,346.661,505.658,-15.511,58.2289
201101011000,201101011030,1.78237,0,328.875,0.339,-24.805,0.0,-1.78237,0.420811,1.45202,426.817,632.452,-15.502,58.3454
201101011030,201101011100,-9999.0,1,384.77,0.406,-23.473,0.0,1.40601,0.483677,1.69359,493.309,739.943,-15.483,55.7861
201101011100,201101011130,-9999.0,1,429.233,0.469,-22.007,0.0,0.572071,0.553799,1.8847,545.0,825.449,-15.443,55.1277
201101011130,201101011200,-9999.0,1,457.429,0.646,-19.416,0.0,0.780802,0.6783,2.0054,581.005,879.671,-15.386,50.7078
201101011200,201101011230,-9999.0,1,473.689,0.682,-18.849,0.0,0.963165,0.705431,2.07484,600.709,910.941,-15.315,50.4376
201101011230,201101011300,-9999.0,2,472.271,0.832,-17.266,0.0,0.932438,0.780643,2.06879,603.773,908.213,-15.235,47.1732
201101011300,201101011330,-9999.0,2,461.634,0.901,-16.479,0.0,0.970547,0.817658,2.02337,590.147,887.757,-15.149,46.5038
201101011330,201101011400,-9999.0,2,437.43,0.91,-16.412,0.0,0.880058,0.820795,1.91982,560.062,841.212,-15.057,46.2841
201101011400,201101011430,-9999.0,1,398.834,0.868,-16.137,0.0,1.38984,0.833651,1.75414,514.033,766.988,-14.964,49.9214
201101011430,201101011500,0.633536,0,346.698,0.923,-15.928,0.0,-0.633536,0.843395,1.52921,452.849,666.726,-14.871,47.6707
201101011500,201101011530,-0.092607,0,281.718,0.919,-15.492,0.0,0.092607,0.863649,1.24706,377.556,541.765,-14.783,49.7523
201101011530,201101011600,0.546749,0,201.369,0.885,-15.421,0.0,-0.546749,0.866891,0.895354,289.442,387.248,-14.702,51.8852
201101011600,201101011630,0.361585,0,130.853,0.796,-16.039,0.0,-0.361585,0.838223,0.584101,190.015,251.641,-14.63,54.4352
201101011630,201101011700,-1.07302,0,50.434,0.625,-17.902,0.0,1.07302,0.750535,0.22614,80.9765,96.9888,-14.575,58.1267
201101011700,201101011730,-0.107576,0,6.034,0.533,-19.237,0.0,0.107576,0.686874,0.027123,2.39456,11.6043,-14.54,59.9771
201101011730,201101011800,-0.587054,0,0.0,0.53,-19.775,0.0,0.587054,0.661085,0.0,0.0,-0.097539,-14.526,58.3225
201101011800,201101011830,-1.11173,0,0.0,0.486,-20.576,0.0,1.11173,0.622602,0.0,0.0,-0.30351,-14.522,59.0543
201101011830,201101011900,-9999.0,1,0.0,0.399,-22.264,0.0,0.51737,0.541463,0.0,0.0,-0.30655,-14.523,60.9553
201101011900,201101011930,-9999.0,1,0.0,0.406,-22.0,0.0,0.486379,0.554135,0.0,0.0,-0.31759,-14.537,61.1795
201101011930,201101012000,0.128116,0,0.0,0.473,-21.112,0.0,-0.128116,0.596822,0.0,0.0,-0.31068,-14.563,58.1707
201101012000,201101012030,0.294563,0,0.0,0.423,-22.537,0.0,-0.294563,0.528375,0.0,0.0,-0.3082,-14.592,57.6261
201101012030,201101012100,3.50853,0,0.0,0.323,-24.086,0.0,-3.50853,0.45461,0.0,0.0,-0.2966,-14.616,62.7888
201101012100,201101012130,-0.540613,0,0.0,0.423,-21.74,0.0,0.540613,0.566625,0.0,0.0,-0.29348,-14.639,60.4929
201101012130,201101012200,-4.7126,0,0.0,0.433,-21.613,0.0,4.7126,0.57273,0.0,0.0,-0.30293,-14.664,60.0481
201101012200,201101012230,-4.93331,0,0.0,0.427,-21.487,0.0,4.93331,0.578788,0.0,0.0,-0.30786,-14.685,60.9704
201101012230,201101012300,-9999.0,1,0.0,0.436,-21.34,0.0,0.500168,0.585856,0.0,0.0,-0.31079,-14.702,60.6937
201101012300,201101012330,1.65149,0,0.0,0.396,-21.784,0.0,-1.65149,0.564511,0.0,0.0,-0.30445,-14.691,62.8361
201101012330,201101020000,0.631413,0,0.0,0.405,-21.501,0.0,-0.631413,0.578114,0.0,0.0,-0.29961,-14.684,62.9671
201101020000,201101020030,1.10557,0,0.0,0.438,-21.102,0.0,-1.10557,0.597303,0.0,0.0,-0.29598,-14.684,61.337
201101020030,201101020100,-0.991841,0,0.0,0.441,-21.212,0.0,0.991841,0.592012,0.0,0.0,-0.30467,-14.679,60.67
201101020100,201101020130,-0.974357,0,0.0,0.38,-22.511,0.0,0.974357,0.529621,0.0,0.0,-0.31485,-14.677,61.961
201101020130,201101020200,0.197186,0,0.0,0.33,-23.529,0.0,-0.197186,0.481013,0.0,0.0,-0.31632,-14.678,63.815
201101020200,201101020230,1.12613,0,0.0,0.333,-23.101,0.0,-1.12613,0.501403,0.0,0.0,-0.30737,-14.684,64.9255
201101020230,201101020300,-0.770702,0,0.0,0.369,-22.616,0.0,0.770702,0.524591,0.0,0.0,-0.30289,-14.692,62.7309
201101020300,201101020330,1.86571,0,0.0,0.351,-23.307,0.0,-1.86571,0.49158,0.0,0.0,-0.30605,-14.699,62.3482
201101020330,201101020400,0.060367,0,0.0,0.336,-23.256,0.0,-0.060367,0.49401,0.0,0.0,-0.30938,-14.703,64.0414
201101020400,201101020430,-0.221605,0,0.0,0.352,-22.825,0.0,0.221605,0.514589,0.0,0.0,-0.30882,-14.705,63.8177
201101020430,201101020500,-0.538257,0,0.0,0.407,-21.921,0.0,0.538257,0.557929,0.0,0.0,-0.30601,-14.706,61.3337
201101020500,201101020530,0.23466,0,0.0,0.495,-20.89,0.0,-0.23466,0.6075,0.0,0.0,-0.29913,-14.704,57.0804
201101020530,201101020600,-0.57076,0,0.0,0.605,-19.836,0.0,0.57076,0.658157,0.0,0.0,-0.29964,-14.697,52.163
201101020600,201101020630,-0.450762,0,0.0,0.61,-19.648,0.0,0.450762,0.667178,0.0,0.0,-0.30871,-14.683,52.563
201101020630,201101020700,-0.311839,0,0.0,0.571,-19.867,0.0,0.311839,0.656669,0.0,0.0,-0.30224,-14.661,54.7398
201101020700,201101020730,0.557273,0,0.0,0.534,-19.905,0.0,-0.557273,0.654845,0.0,0.0,-0.29491,-14.634,57.551
201101020730,201101020800,-9999.0,1,0.598,0.495,-20.283,0.0,0.448757,0.636687,0.002689,0.0,1.1498,-14.604,59.3361
201101020800,201101020830,-9999.0,1,12.459,0.445,-20.84,0.0,0.526511,0.609905,0.055983,41.7817,23.96,-14.573,61.5938
201101020830,201101020900,-9999.0,1,49.975,0.482,-20.3,0.0,0.624161,0.63587,0.224087,152.574,96.1067,-14.542,60.3552
201101020900,201101020930,-0.134968,0,95.473,0.503,-19.803,0.0,0.134968,0.659741,0.427013,255.795,183.602,-14.512,60.3057
201101020930,201101021000,-0.81313,0,134.749,0.601,-18.661,0.0,0.81313,0.714408,0.601361,348.299,259.132,-14.473,57.0621
201101021000,201101021030,2.27142,0,176.586,0.697,-17.628,0.0,-2.27142,0.763526,0.786241,428.503,339.589,-14.428,54.3871
201101021030,201101021100,-9999.0,1,225.578,0.625,-17.266,0.0,1.58632,0.780643,1.00165,495.036,433.803,-14.367,60.3389
201101021100,201101021130,-1.48056,0,275.259,0.808,-15.301,0.0,1.48056,0.872489,1.2189,546.758,529.345,-14.297,56.5415
201101021130,201101021200,-1.27483,0,288.442,0.781,-15.235,0.0,1.27483,0.875539,1.27635,582.785,554.696,-14.217,58.2238
201101021200,201101021230,-1.87578,0,305.945,0.752,-15.495,0.0,1.87578,0.863463,1.35249,602.501,588.356,-14.13,58.8681
201101021230,201101021300,-1.35159,0,295.375,0.781,-14.843,0.0,1.35159,0.893602,1.30652,605.567,568.028,-14.043,59.5492
201101021300,201101021330,-0.897427,0,281.14,0.857,-13.927,0.0,0.897427,0.935457,1.24454,591.932,540.653,-13.966,58.8355
201101021330,201101021400,-1.54617,0,257.259,0.838,-13.943,0.0,1.54617,0.93473,1.14033,561.829,494.729,-13.888,59.7106
201101021400,201101021430,-0.620764,0,223.904,0.927,-13.164,1e-06,0.620764,0.969921,0.994309,515.773,430.584,-13.811,58.1708
201101021430,201101021500,-1.45142,0,183.709,1.187,-11.69,1e-06,1.45142,1.03541,0.817633,454.551,353.287,-13.738,52.4624
201101021500,201101021530,-0.337541,0,145.866,1.374,-10.913,1e-06,0.337541,1.06933,0.650572,379.213,280.511,-13.666,48.301
201101021530,201101021600,0.252985,0,102.552,1.223,-11.432,1e-06,-0.252985,1.04672,0.458493,291.045,197.215,-13.594,52.0327
201101021600,201101021630,-0.747831,0,59.71,1.028,-12.536,1e-06,0.747831,0.998003,0.267593,191.558,114.827,-13.525,55.9392
201101021630,201101021700,1.09824,0,24.253,0.96,-13.198,1e-06,-1.09824,0.968394,0.108907,82.4531,46.6408,-13.469,56.5525
201101021700,201101021730,-0.113896,0,3.322,0.956,-13.568,1e-06,0.113896,0.951719,0.014935,2.68151,6.3886,-13.427,55.4006
