TIMESTAMP_START,TIMESTAMP_END,NEE,NEE_VUT_REF_QC,SW_IN_F,VPD_F_MDS,TA_F_MDS,RECO_NT_VUT_REF,GPP_NT_VUT_REF,RECO_DT_VUT_REF,GPP_DT_VUT_REF,SW_IN_POT,PPFD_IN,TS_F_MDS_1,RH
200901010000,200901010030,-9999.0,1.0,0.0,1.209,-7.087,1.01505,-0.017158,1.0018,0.0,0.0,-9999.0,2.33,66.3304
200901010030,200901010100,0.744423,0.0,0.0,1.005,-8.045,0.976331,0.26261,0.854701,0.0,0.0,-9999.0,2.339,69.8582
200901010100,200901010130,-9999.0,1.0,0.0,0.812,-9.208,0.928772,-0.030641,0.697055,0.0,0.0,-9999.0,2.352,73.3084
200901010130,200901010200,-9999.0,1.0,0.0,0.53,-10.842,0.861023,0.048293,0.511644,0.0,0.0,-9999.0,2.373,80.1704
200901010200,200901010230,-9999.0,1.0,0.0,0.394,-11.937,0.815091,0.136013,0.409038,0.0,0.0,-9999.0,2.395,83.9104
200901010230,200901010300,-9999.0,1.0,0.0,0.296,-12.601,0.787062,0.180066,0.354582,0.0,0.0,-9999.0,2.421,87.2509
200901010300,200901010330,-9999.0,1.0,0.0,0.248,-12.629,0.785877,0.178827,0.352408,0.0,0.0,-9999.0,2.439,89.305
200901010330,200901010400,-9999.0,1.0,0.0,0.241,-12.692,0.783211,0.176954,0.347552,0.0,0.0,-9999.0,2.454,89.5476
200901010400,200901010430,-9999.0,1.0,0.0,0.258,-12.481,0.792136,0.192412,0.364009,0.0,0.0,-9999.0,2.467,88.9835
200901010430,200901010500,-9999.0,1.0,0.0,0.277,-11.964,0.813954,0.140695,0.406712,0.0,0.0,-9999.0,2.471,88.6774
200901010500,200901010530,-9999.0,1.0,0.0,0.302,-12.112,0.807716,0.163861,0.394136,0.0,0.0,-9999.0,2.466,87.4861
200901010530,200901010600,-9999.0,1.0,0.0,0.328,-12.101,0.80818,0.164347,0.395061,0.0,0.0,-9999.0,2.459,86.4357
200901010600,200901010630,-9999.0,1.0,0.0,0.339,-12.549,0.789261,0.189403,0.358645,0.0,0.0,-9999.0,2.455,85.4426
200901010630,200901010700,0.541127,0.0,0.0,0.325,-12.822,0.777707,0.257644,0.337688,0.0,0.0,-9999.0,2.455,85.7339
200901010700,200901010730,0.500584,0.0,0.0,0.309,-12.707,0.782576,0.303282,0.346404,0.0,0.0,-9999.0,2.455,86.5462
200901010730,200901010800,-9999.0,1.0,0.304,0.31,-12.527,0.790191,0.190377,0.360374,0.003789,6.37035,-9999.0,2.453,86.7252
200901010800,200901010830,-9999.0,1.0,13.323,0.314,-12.29,0.800205,0.17137,0.379386,0.130452,80.2922,-9999.0,2.451,86.7921
200901010830,200901010900,0.575742,0.0,50.372,0.323,-12.076,0.809234,0.256025,0.397169,0.306348,165.364,-9999.0,2.448,86.6541
200901010900,200901010930,-9999.0,1.0,105.828,0.339,-11.49,0.833888,0.203646,0.448941,0.410702,240.35,-9999.0,2.433,86.6585
200901010930,200901011000,-9999.0,1.0,137.075,0.363,-10.844,0.860939,0.304154,0.511441,0.441867,303.965,-9999.0,2.41,86.4095
200901011000,200901011030,0.525021,0.0,207.437,0.436,-9.717,0.907778,0.410034,0.634934,0.484066,355.123,-9999.0,2.372,85.094
200901011030,200901011100,1.40826,0.0,300.498,0.697,-8.201,0.969986,-0.407893,0.832248,0.513661,392.947,-9999.0,2.325,78.8378
200901011100,200901011130,0.336177,0.0,345.183,0.841,-8.098,0.974177,0.668592,0.847026,0.522886,416.791,-9999.0,2.271,74.6494
200901011130,200901011200,0.399938,0.0,376.618,0.937,-7.329,1.00531,0.637552,0.96312,0.52821,426.246,-9999.0,2.225,73.4115
200901011200,200901011230,-9999.0,1.0,353.48,1.047,-6.761,1.02813,0.693427,1.05555,0.524372,421.15,-9999.0,2.181,71.5545
200901011230,200901011300,-9999.0,2.0,298.716,1.276,-5.635,1.07291,0.491458,1.25623,0.513244,401.592,-9999.0,2.142,68.217
200901011300,200901011330,-9999.0,2.0,231.96,1.097,-6.701,1.03054,-0.237389,1.06566,0.493778,367.904,-9999.0,2.104,70.3399
200901011330,200901011400,-9999.0,1.0,148.297,0.955,-7.347,1.00459,0.373994,0.960285,0.450631,320.665,-9999.0,2.088,72.8495
200901011400,200901011430,-9999.0,1.0,91.939,0.772,-8.423,0.960938,0.169331,0.801005,0.392362,260.682,-9999.0,2.104,76.1367
200901011430,200901011500,-9999.0,1.0,53.15,0.671,-8.844,0.94372,0.112025,0.744006,0.314314,188.981,-9999.0,2.135,78.5552
200901011500,200901011530,-9999.0,1.0,29.009,0.616,-9.245,0.92725,-0.016298,0.692402,0.225741,106.789,-9999.0,2.171,79.7078
200901011530,200901011600,0.733567,0.0,7.731,0.472,-9.644,0.910796,0.204654,0.643594,0.083374,20.9821,-9999.0,2.208,83.9394
200901011600,200901011630,1.17018,0.0,0.0,0.405,-9.405,0.920659,-0.221608,0.672529,0.0,0.0,-9999.0,2.236,86.4681
200901011630,200901011700,1.00776,0.0,0.0,0.334,-9.303,0.924862,-0.054777,0.685151,0.0,0.0,-9999.0,2.254,88.9504
200901011700,200901011730,1.86031,0.0,0.0,0.264,-9.225,0.928073,-0.903957,0.694914,0.0,0.0,-9999.0,2.262,91.3244
200901011730,200901011800,0.809566,0.0,0.0,0.236,-9.209,0.928731,0.147478,0.696929,0.0,0.0,-9999.0,2.269,92.2596
200901011800,200901011830,1.1727,0.0,0.0,0.245,-9.017,0.936622,-0.207372,0.721425,0.0,0.0,-9999.0,2.276,92.0535
200901011830,200901011900,0.871703,0.0,0.0,0.249,-8.717,0.948922,0.106539,0.760893,0.0,0.0,-9999.0,2.285,92.1262
200901011900,200901011930,1.16068,0.0,0.0,0.239,-8.471,0.958978,-0.171876,0.794358,0.0,0.0,-9999.0,2.286,92.5896
200901011930,200901012000,1.74022,0.0,0.0,0.235,-8.335,0.964527,-0.745588,0.813291,0.0,0.0,-9999.0,2.286,92.7957
200901012000,200901012030,0.493772,0.0,0.0,0.23,-8.171,0.971207,0.507877,0.836534,0.0,0.0,-9999.0,2.287,93.0272
200901012030,200901012100,1.34948,0.0,0.0,0.23,-8.186,0.970597,-0.348472,0.834389,0.0,0.0,-9999.0,2.285,93.0103
