TIMESTAMP_START,TIMESTAMP_END,NEE,NEE_VUT_REF_QC,SW_IN_F,VPD_F_MDS,TA_F_MDS,RECO_NT_VUT_REF,GPP_NT_VUT_REF,RECO_DT_VUT_REF,GPP_DT_VUT_REF,SW_IN_POT,PPFD_IN,TS_F_MDS_1,RH
201101010000,201101010030,-9999.0,1,0.0,0.0,-1.8,0.449234,0.103278,0.704666,0.0,0.0,0.0,-0.2,100.0
201101010030,201101010100,-9999.0,1,0.0,0.0,-1.9,0.446503,0.087666,0.702862,0.0,0.0,0.0,-0.2,100.0
201101010100,201101010130,-9999.0,1,0.0,0.0,-1.9,0.446503,0.087666,0.702862,0.0,0.0,0.0,-0.2,100.0
201101010130,201101010200,-9999.0,1,0.0,0.0,-2.0,0.443775,0.085083,0.701055,0.0,0.0,0.0,-0.2,100.0
201101010200,201101010230,-9999.0,1,0.0,0.0,-2.0,0.443775,0.085083,0.701055,0.0,0.0,0.0,-0.2,100.0
201101010230,201101010300,-9999.0,1,0.0,0.111,-2.0,0.443775,0.087076,0.701055,0.0,0.0,0.0,-0.1,97.9
201101010300,201101010330,0.303792,0,0.0,0.177,-2.2,0.438334,0.134542,0.69743,0.0,0.0,0.0,-0.1,96.6
201101010330,201101010400,0.309986,0,0.0,0.178,-2.5,0.430206,0.12022,0.691966,0.0,0.0,0.0,-0.2,96.5
201101010400,201101010430,0.377096,0,0.0,0.168,-2.9,0.419432,0.042336,0.68463,0.0,0.0,0.0,-0.2,96.6
201101010430,201101010500,0.274841,0,0.0,0.146,-3.1,0.414074,0.139233,0.680941,0.0,0.0,0.0,-0.2,97.0
201101010500,201101010530,0.303264,0,0.0,0.117,-3.1,0.414074,0.11081,0.680941,0.0,0.0,0.0,-0.2,97.6
201101010530,201101010600,0.30199,0,0.0,0.102,-3.1,0.414074,0.112084,0.680941,0.0,0.0,0.0,-0.2,97.9
201101010600,201101010630,0.322354,0,0.0,0.103,-3.0,0.416751,0.094397,0.682787,0.0,0.0,0.0,-0.2,97.9
201101010630,201101010700,0.250539,0,0.0,0.104,-3.5,0.403415,0.152876,0.673519,0.0,0.0,0.0,-0.2,97.8
201101010700,201101010730,0.109543,0,0.0,0.013,-4.3,0.382338,0.272795,0.658502,0.0,0.0,0.0,-0.2,99.7
201101010730,201101010800,-9999.0,1,0.0,0.0,-4.5,0.377122,0.054357,0.654712,0.0,0.0,0.0,-0.2,100.0
201101010800,201101010830,1.34905,0,13.728,0.0,-4.3,0.382338,-0.966712,0.658502,0.09105,41.9871,24.6999,-0.2,100.0
201101010830,201101010900,2.79532,0,32.968,0.028,-3.8,0.395473,-2.39985,0.667915,0.194907,132.228,69.3831,-0.2,99.4
201101010900,201101010930,-9999.0,1,50.544,0.367,-1.9,0.446503,0.071835,0.702862,0.271843,213.196,112.949,-0.2,93.1
201101010930,201101011000,-9999.0,1,213.304,1.034,-0.3,0.490695,0.102636,0.731298,0.624877,283.309,314.52,-0.2,82.7
201101011000,201101011030,-9999.0,1,262.808,0.955,-0.4,0.487904,0.390063,0.729547,0.67625,341.369,435.041,-0.2,83.9
201101011030,201101011100,-9999.0,1,296.92,1.043,-0.1,0.496289,0.816979,0.734789,0.704939,386.381,506.534,-0.2,82.8
201101011100,201101011130,-9999.0,1,320.32,1.104,0.2,0.504706,0.741011,0.740001,0.722182,417.577,554.32,-0.2,82.2
201101011130,201101011200,-9999.0,1,333.008,1.264,0.6,0.515977,0.596451,0.746901,0.730824,434.421,583.116,-0.2,80.2
201101011200,201101011230,1.5374,0,221.312,1.183,0.4,0.510335,-1.02706,0.743458,0.634131,436.627,434.668,-0.2,81.2
201101011230,201101011300,0.267566,0,211.224,0.954,0.1,0.501896,0.23433,0.738267,0.622406,424.155,460.113,-0.2,84.5
201101011300,201101011330,-0.406228,0,136.136,0.849,0.1,0.501896,0.908124,0.738267,0.508607,397.22,277.781,-0.1,86.2
201101011330,201101011400,-9999.0,1,88.92,0.67,-0.3,0.490695,0.224839,0.731298,0.399502,356.282,212.121,-0.2,88.8
201101011400,201101011430,-9999.0,1,56.784,0.599,-0.4,0.487904,0.154624,0.729547,0.29592,302.042,133.429,-0.1,89.9
201101011430,201101011500,0.228286,0,39.728,0.577,-0.5,0.485116,0.25683,0.727792,0.226238,235.428,85.2704,-0.1,90.2
201101011500,201101011530,0.211475,0,41.288,0.548,-0.5,0.485116,0.273641,0.727792,0.233144,157.579,89.8629,-0.1,90.7
201101011530,201101011600,0.1834,0,19.968,0.538,-0.6,0.482332,0.298932,0.726034,0.127401,69.8279,44.6832,-0.1,90.8
201101011600,201101011630,0.11681,0,1.754,0.575,-0.7,0.479552,0.362742,0.724273,0.012588,2.73405,3.23964,-0.1,90.1
201101011630,201101011700,0.439404,0,0.0,0.684,-0.6,0.482332,0.042928,0.726034,0.0,0.0,0.0,-0.1,88.3
201101011700,201101011730,-9999.0,1,0.0,0.748,-0.5,0.485116,0.007952,0.727792,0.0,0.0,0.0,-0.1,87.3
201101011730,201101011800,-9999.0,1,0.0,0.76,-0.4,0.487904,0.007867,0.729547,0.0,0.0,0.0,-0.1,87.2
201101011800,201101011830,0.22465,0,0.0,0.724,-0.4,0.487904,0.263254,0.729547,0.0,0.0,0.0,-0.1,87.8
201101011830,201101011900,0.290144,0,0.0,0.624,-0.5,0.485116,0.194972,0.727792,0.0,0.0,0.0,-0.1,89.4
201101011900,201101011930,0.360405,0,0.0,0.576,-0.4,0.487904,0.127499,0.729547,0.0,0.0,0.0,-0.1,90.3
201101011930,201101012000,0.282803,0,0.0,0.532,-0.3,0.490695,0.207892,0.731298,0.0,0.0,0.0,-0.1,91.1
201101012000,201101012030,0.285624,0,0.0,0.5,-0.2,0.49349,0.207866,0.733045,0.0,0.0,0.0,-0.1,91.7
201101012030,201101012100,0.337153,0,0.0,0.516,-0.1,0.496289,0.159136,0.734789,0.0,0.0,0.0,-0.1,91.5
201101012100,201101012130,0.267033,0,0.0,0.601,0.2,0.504706,0.237673,0.740001,0.0,0.0,0.0,-0.1,90.3
201101012130,201101012200,0.252504,0,0.0,0.558,0.2,0.504706,0.252202,0.740001,0.0,0.0,0.0,-0.1,91.0
201101012200,201101012230,0.200813,0,0.0,0.458,0.0,0.499091,0.298278,0.73653,0.0,0.0,0.0,-0.1,92.5
201101012230,201101012300,0.10187,0,0.0,0.409,0.0,0.499091,0.397221,0.73653,0.0,0.0,0.0,-0.1,93.3
201101012300,201101012330,0.591059,0,0.0,0.37,-0.1,0.496289,-0.094771,0.734789,0.0,0.0,0.0,-0.1,93.9
201101012330,201101020000,-9999.0,1,0.0,0.167,-0.3,0.490695,0.000439,0.731298,0.0,0.0,0.0,-0.1,97.2
201101020000,201101020030,-9999.0,1,0.0,0.0,-0.8,0.476776,0.017322,0.722508,0.0,0.0,0.0,-0.1,100.0
201101020030,201101020100,-9999.0,1,0.0,0.0,-1.0,0.471235,0.050802,0.718968,0.0,0.0,0.0,-0.1,100.0
201101020100,201101020130,-9999.0,1,0.0,0.0,-1.1,0.468471,0.077535,0.717192,0.0,0.0,0.0,-0.1,100.0
201101020130,201101020200,-9999.0,1,0.0,0.0,-1.0,0.471235,0.050802,0.718968,0.0,0.0,0.0,-0.1,100.0
201101020200,201101020230,-9999.0,1,0.0,0.0,-0.9,0.474004,0.048264,0.720739,0.0,0.0,0.0,-0.1,100.0
201101020230,201101020300,-9999.0,1,0.0,0.0,-0.7,0.479552,0.020098,0.724273,0.0,0.0,0.0,-0.1,100.0
201101020300,201101020330,-9999.0,1,0.0,0.0,-0.7,0.479552,0.020098,0.724273,0.0,0.0,0.0,-0.1,100.0
201101020330,201101020400,-9999.0,1,0.0,0.0,-0.6,0.482332,0.010993,0.726034,0.0,0.0,0.0,-0.1,100.0
201101020400,201101020430,-9999.0,1,0.0,0.0,-0.8,0.476776,0.017322,0.722508,0.0,0.0,0.0,-0.1,100.0
201101020430,201101020500,-9999.0,1,0.0,0.0,-1.1,0.468471,0.077535,0.717192,0.0,0.0,0.0,-0.1,100.0
201101020500,201101020530,-9999.0,1,0.0,0.055,-1.4,0.460202,0.105101,0.711845,0.0,0.0,0.0,-0.1,99.0
201101020530,201101020600,-9999.0,1,0.0,0.037,-2.0,0.443775,0.072038,0.701055,0.0,0.0,0.0,-0.1,99.3
201101020600,201101020630,-9999.0,1,0.0,0.045,-2.8,0.422119,0.064586,0.68647,0.0,0.0,0.0,-0.1,99.1
201101020630,201101020700,-9999.0,1,0.0,0.0,-3.6,0.400762,-0.001813,0.671655,0.0,0.0,0.0,-0.1,100.0
201101020700,201101020730,-9999.0,1,0.0,0.015,-3.0,0.416751,0.062486,0.682787,0.0,0.0,0.0,-0.1,99.7
201101020730,201101020800,0.605484,0,0.0,0.113,-2.4,0.432911,-0.172573,0.693791,0.0,0.0,0.0,-0.1,97.8
201101020800,201101020830,-9999.0,1,8.916,0.246,-2.1,0.441053,0.070343,0.699244,0.060993,43.5329,14.1497,-0.1,95.3
201101020830,201101020900,-9999.0,1,32.968,0.475,-1.7,0.45197,0.119876,0.706466,0.194907,133.926,45.1797,-0.1,91.2
201101020900,201101020930,-9999.0,1,63.799,0.666,-1.2,0.465711,0.10683,0.715413,0.321262,214.942,104.137,-0.1,88.1
201101020930,201101021000,-9999.0,1,80.704,0.61,-1.2,0.465711,0.107814,0.715413,0.375837,285.098,178.609,-0.1,89.1
201101021000,201101021030,-9999.0,1,109.616,0.704,-1.0,0.471235,0.220451,0.718968,0.452323,343.193,222.175,-0.1,87.6
201101021030,201101021100,-0.215457,0,128.856,0.859,-0.8,0.476776,0.692233,0.722508,0.494246,388.233,269.837,-0.1,85.1
201101021100,201101021130,0.133475,0,139.36,0.937,-0.5,0.485116,0.351641,0.727792,0.514732,419.448,293.296,-0.1,84.1
201101021130,201101021200,0.238385,0,167.024,1.151,0.1,0.501896,0.263511,0.738267,0.562068,436.302,351.011,-0.1,81.3
201101021200,201101021230,-0.380373,0,288.496,1.302,0.4,0.510335,0.890708,0.743458,0.698275,438.509,513.236,-0.1,79.3
201101021230,201101021300,-0.0861271,0,218.088,1.343,0.3,0.507518,0.593646,0.741731,0.630455,426.03,440.874,-0.1,78.5
201101021300,201101021330,-0.271304,0,141.752,1.246,0.2,0.504706,0.77601,0.740001,0.519186,399.078,311.169,-0.1,79.9
201101021330,201101021400,1.65227,0,93.808,0.503,-0.6,0.482332,-1.16994,0.726034,0.412806,358.115,220.809,-0.1,91.4
201101021400,201101021430,2.18533,0,58.448,0.642,-0.5,0.485116,-1.70021,0.727792,0.30209,303.842,111.212,-0.1,89.1
201101021430,201101021500,0.358374,0,83.408,0.754,-0.4,0.487904,0.12953,0.729547,0.383814,237.188,169.051,-0.1,87.3
201101021500,201101021530,0.218064,0,50.44,0.76,-0.6,0.482332,0.264268,0.726034,0.271428,159.292,118.41,-0.1,87.0
201101021530,201101021600,0.128306,0,16.744,0.778,-0.8,0.476776,0.34847,0.722508,0.108971,71.4875,43.9385,0.0,86.5
201101021600,201101021630,-0.277602,0,2.337,0.744,-0.9,0.474004,0.751606,0.720739,0.016705,3.12406,4.31499,0.0,87.0
201101021630,201101021700,-9999.0,1,0.0,0.547,-1.1,0.468471,0.070768,0.717192,0.0,0.0,0.0,-0.1,90.3
201101021700,201101021730,-9999.0,1,0.0,0.565,-1.2,0.465711,0.099658,0.715413,0.0,0.0,0.0,-0.1,89.9
201101021730,201101021800,-9999.0,1,0.0,0.632,-1.2,0.465711,0.099658,0.715413,0.0,0.0,0.0,-0.1,88.7
201101021800,201101021830,0.24808,0,0.0,0.655,-1.2,0.465711,0.217631,0.715413,0.0,0.0,0.0,0.0,88.3
201101021830,201101021900,0.320622,0,0.0,0.767,-1.1,0.468471,0.147849,0.717192,0.0,0.0,0.0,-0.1,86.4
201101021900,201101021930,0.160872,0,0.0,0.863,-1.1,0.468471,0.307599,0.717192,0.0,0.0,0.0,-0.1,84.7
201101021930,201101022000,0.144451,0,0.0,1.039,-1.0,0.471235,0.326784,0.718968,0.0,0.0,0.0,-0.1,81.7
201101022000,201101022030,0.22246,0,0.0,0.998,-1.1,0.468471,0.246011,0.717192,0.0,0.0,0.0,-0.1,82.3
201101022030,201101022100,0.0994623,0,0.0,1.06,-1.1,0.468471,0.369009,0.717192,0.0,0.0,0.0,-0.1,81.2
201101022100,201101022130,0.249328,0,0.0,1.039,-1.3,0.462954,0.213626,0.713631,0.0,0.0,0.0,-0.1,81.3
201101022130,201101022200,1.04689,0,0.0,0.954,-1.4,0.460202,-0.586688,0.711845,0.0,0.0,0.0,-0.1,82.7
201101022200,201101022230,0.25488,0,0.0,0.886,-1.6,0.45471,0.19983,0.708262,0.0,0.0,0.0,0.0,83.7
201101022230,201101022300,0.320355,0,0.0,0.858,-1.7,0.45197,0.131615,0.706466,0.0,0.0,0.0,-0.1,84.1
201101022300,201101022330,0.137111,0,0.0,0.831,-1.7,0.45197,0.314859,0.706466,0.0,0.0,0.0,-0.1,84.6
201101022330,201101030000,0.267877,0,0.0,0.573,-2.3,0.435621,0.167744,0.695612,0.0,0.0,0.0,-0.1,88.9
201101030000,201101030030,-9999.0,1,0.0,0.449,-2.6,0.427506,0.032524,0.690137,0.0,0.0,0.0,-0.1,91.1
201101030030,201101030100,-9999.0,1,0.0,0.471,-2.7,0.42481,0.027819,0.685877,0.0,0.0,0.0,-0.1,90.6
201101030100,201101030130,-9999.0,1,0.0,0.483,-2.5,0.430206,0.026378,0.687084,0.0,0.0,0.0,-0.1,90.5
201101030130,201101030200,0.193715,0,0.0,0.343,-2.6,0.427506,0.233791,0.682834,0.0,0.0,0.0,-0.1,93.2
201101030200,201101030230,0.142126,0,0.0,0.169,-2.8,0.422119,0.279993,0.676784,0.0,0.0,0.0,-0.1,96.6
201101030230,201101030300,0.102577,0,0.0,0.214,-2.8,0.422119,0.319542,0.674362,0.0,0.0,0.0,-0.1,95.7
201101030300,201101030330,0.103481,0,0.0,0.28,-2.7,0.42481,0.321329,0.673738,0.0,0.0,0.0,-0.1,94.4
201101030330,201101030400,-9999.0,1,0.0,0.298,-2.8,0.422119,0.033392,0.669519,0.0,0.0,0.0,-0.1,94.0
201101030400,201101030430,0.370424,0,0.0,0.301,-2.9,0.419432,0.049008,0.665311,0.0,0.0,0.0,-0.1,93.9
201101030430,201101030500,0.189221,0,0.0,0.309,-3.0,0.416751,0.22753,0.661111,0.0,0.0,0.0,-0.1,93.7
201101030500,201101030530,0.0544755,0,0.0,0.306,-3.1,0.414074,0.359598,0.656922,0.0,0.0,0.0,-0.1,93.7
201101030530,201101030600,0.430285,0,0.0,0.297,-3.3,0.408735,-0.021551,0.65096,0.0,0.0,0.0,-0.1,93.8
201101030600,201101030630,-9999.0,1,0.0,0.36,-3.1,0.414074,0.024854,0.652118,0.0,0.0,0.0,-0.1,92.6
201101030630,201101030700,-9999.0,1,0.0,0.358,-2.8,0.422119,0.033392,0.654991,0.0,0.0,0.0,-0.1,92.8
201101030700,201101030730,0.0130077,0,0.0,0.386,-2.7,0.42481,0.411802,0.654315,0.0,0.0,0.0,-0.1,92.3
201101030730,201101030800,0.27051,0,0.0,0.425,-2.55,0.428855,0.158345,0.654488,0.0,0.0,0.0,-0.1,91.6
201101030800,201101030830,0.862251,0,18.72,0.466,-2.4,0.432911,-0.42934,0.654635,0.10329,42.2588,34.5598,-0.1,90.9
201101030830,201101030900,0.0633003,0,32.24,0.556,-2.2,0.438334,0.375034,0.655608,0.162978,132.911,58.0882,-0.1,89.3
201101030900,201101030930,0.189968,0,53.872,0.68,-1.9,0.446503,0.256535,0.658236,0.241151,214.319,101.654,-0.1,87.2
201101030930,201101031000,-9999.0,1,61.36,0.717,-1.7,0.45197,0.018069,0.659118,0.262419,284.903,122.134,-0.1,86.7
201101031000,201101031030,-9999.0,1,90.896,0.761,-1.5,0.457454,0.14514,0.659963,0.338739,343.456,181.588,-0.1,86.1
201101031030,201101031100,0.294967,0,114.192,0.918,-1.2,0.465711,0.170744,0.662419,0.385548,388.974,226.767,-0.1,83.6
201101031100,201101031130,0.014678,0,137.176,1.15,-0.7,0.479552,0.464874,0.668068,0.423698,420.68,275.671,-0.1,80.2
201101031130,201101031200,-0.564768,0,263.328,1.53,0.3,0.507518,1.07229,0.681554,0.574873,438.031,432.931,-0.1,75.5
201101031200,201101031230,-0.0922378,0,350.48,1.511,0.3,0.507518,0.599756,0.678938,0.640077,440.729,-9999.0,-0.1,75.8
201101031230,201101031300,0.23119,0,370.656,1.348,0.1,0.501896,0.270706,0.673163,0.649651,428.73,-9999.0,-0.1,78.1
201101031300,201101031330,-0.0169302,0,251.576,1.375,0.0,0.499091,0.516021,0.668981,0.55054,402.237,468.057,-0.1,77.5
201101031330,201101031400,-9999.0,1,122.304,1.264,-0.4,0.487904,0.232363,0.660065,0.378425,361.705,285.228,-0.1,78.7
201101031400,201101031430,-9999.0,1,64.896,0.682,-1.1,0.468471,0.101088,0.646358,0.248416,307.827,150.682,-0.1,87.9
201101031430,201101031500,-0.0799773,0,60.32,0.869,-1.0,0.471235,0.551213,0.645422,0.233075,241.525,122.134,-0.1,84.7
201101031500,201101031530,0.196709,0,44.304,0.907,-1.2,0.465711,0.269002,0.639707,0.182529,163.933,98.7995,-0.1,83.8
