TIMESTAMP_START,TIMESTAMP_END,NEE,NEE_VUT_REF_QC,SW_IN_F,VPD_F_MDS,TA_F_MDS,RECO_NT_VUT_REF,GPP_NT_VUT_REF,RECO_DT_VUT_REF,GPP_DT_VUT_REF,SW_IN_POT,PPFD_IN,TS_F_MDS_1,RH
201001010000,201001010030,0.383371,0,0.0,1.296,-0.663,0.383499,0.000128,0.205683,0.0,0.0,0.0,0.757,77.7434
201001010030,201001010100,0.28989,0,0.0,1.294,-0.681,0.382957,0.093067,0.205593,0.0,0.0,0.0,0.757,77.7434
201001010100,201001010130,0.346549,0,0.0,1.294,-0.602,0.385339,0.03879,0.205987,0.0,0.0,0.0,0.756,77.8708
201001010130,201001010200,0.364045,0,0.0,1.414,-0.443,0.390154,0.026109,0.20678,0.0,0.0,0.0,0.755,76.0937
201001010200,201001010230,0.203342,0,0.0,1.347,-0.464,0.389516,0.186174,0.206676,0.0,0.0,0.0,0.755,77.1913
201001010230,201001010300,0.180146,0,0.0,1.372,-0.453,0.38985,0.209704,0.20673,0.0,0.0,0.0,0.754,76.7895
201001010300,201001010330,0.009586,0,0.0,1.385,-0.475,0.389183,0.379597,0.206621,0.0,0.0,0.0,0.754,76.538
201001010330,201001010400,0.312297,0,0.0,1.536,-0.351,0.392951,0.080654,0.207238,0.0,0.0,0.0,0.753,74.2056
201001010400,201001010430,0.212733,0,0.0,1.682,-0.254,0.39591,0.183177,0.207719,0.0,0.0,0.0,0.753,71.9647
201001010430,201001010500,0.027614,0,0.0,1.734,-0.244,0.396216,0.368602,0.207769,0.0,0.0,0.0,0.753,71.1055
201001010500,201001010530,0.205784,0,0.0,1.708,-0.267,0.395513,0.189729,0.207655,0.0,0.0,0.0,0.752,71.4975
201001010530,201001010600,0.248747,0,0.0,1.693,-0.322,0.393835,0.145088,0.207382,0.0,0.0,0.0,0.752,71.6413
201001010600,201001010630,0.395736,0,0.0,1.713,-0.402,0.391399,-0.004337,0.206984,0.0,0.0,0.0,0.752,71.1284
201001010630,201001010700,0.093517,0,0.0,1.709,-0.511,0.388092,0.294575,0.206441,0.0,0.0,0.0,0.752,70.9683
201001010700,201001010730,0.270843,0,0.0,1.713,-0.566,0.386427,0.115584,0.206167,0.0,0.0,0.0,0.751,70.7821
201001010730,201001010800,0.215857,0,0.0,1.684,-0.563,0.386518,0.170661,0.206182,0.0,0.0,0.0,0.751,71.2852
201001010800,201001010830,0.335492,0,0.0,1.655,-0.558,0.386669,0.051177,0.206207,0.0,0.0,1.9156,0.751,71.785
201001010830,201001010900,0.15562,0,7.7,1.6,-0.545,0.387062,0.231442,0.206272,0.006341,36.7881,14.2302,0.749,72.7487
201001010900,201001010930,0.203629,0,18.777,1.593,-0.441,0.390214,0.186585,0.20679,0.015459,110.749,35.3018,0.749,73.0786
201001010930,201001011000,-0.120139,0,35.427,1.675,-0.249,0.396063,0.516202,0.207744,0.02915,175.167,67.3198,0.781,72.0888
201001011000,201001011030,-0.193676,0,54.34,1.834,-0.022,0.403026,0.596702,0.208867,0.044685,228.878,103.169,0.73,69.9295
201001011030,201001011100,0.102908,0,77.406,2.023,0.246,0.411315,0.308407,0.210186,0.063604,270.965,145.221,0.724,67.4697
201001011100,201001011130,-0.007746,0,88.686,2.09,0.446,0.417547,0.425293,0.211166,0.072846,300.707,166.658,0.702,66.8915
