TIMESTAMP_START,TIMESTAMP_END,NEE,NEE_VUT_REF_QC,SW_IN_F,VPD_F_MDS,TA_F_MDS,RECO_NT_VUT_REF,GPP_NT_VUT_REF,RECO_DT_VUT_REF,GPP_DT_VUT_REF,SW_IN_POT,PPFD_IN,TS_F_MDS_1,RH
200601010000,200601010030,-9999.0,1,0.0,1.861,4.43,0.925651,0.121756,1.5042,0.0,0.0,0.0,-0.09,77.8
200601010030,200601010100,-9999.0,1,0.0,1.911,4.53,0.933864,0.224073,1.52798,0.0,0.0,0.0,-0.09,77.37
200601010100,200601010130,-9999.0,1,0.0,1.997,4.87,0.962085,0.356741,1.61093,0.0,0.0,0.0,-0.09,76.9
200601010130,200601010200,-9999.0,1,0.0,1.813,4.51,0.932218,0.246234,1.5232,0.0,0.0,0.0,-0.09,78.5
200601010200,200601010230,-9999.0,1,0.0,1.741,4.25,0.91097,0.142406,1.4621,0.0,0.0,0.0,-0.08,78.97
200601010230,200601010300,-9999.0,1,0.0,2.015,4.57,0.93716,0.384619,1.53757,0.0,0.0,0.0,-0.08,76.2
200601010300,200601010330,-9999.0,1,0.0,2.111,4.82,0.957906,0.380878,1.59853,0.0,0.0,0.0,-0.08,75.5
200601010330,200601010400,-9999.0,1,0.0,1.631,3.8,0.874834,0.112994,1.3607,0.0,0.0,0.0,-0.07,79.67
200601010400,200601010430,-9999.0,1,0.0,1.462,3.49,0.850414,0.202399,1.29399,0.0,0.0,0.0,-0.07,81.37
200601010430,200601010500,-9999.0,1,0.0,1.243,3.06,0.817182,0.180368,1.20556,0.0,0.0,0.0,-0.07,83.67
200601010500,200601010530,-9999.0,1,0.0,1.4,3.44,0.846511,0.202468,1.28346,0.0,0.0,0.0,-0.07,82.1
200601010530,200601010600,-9999.0,1,0.0,1.382,3.6,0.859035,0.080315,1.31737,0.0,0.0,0.0,-0.07,82.53
200601010600,200601010630,0.663118,0,0.0,1.607,3.92,0.884391,0.220261,1.38721,0.0,0.0,0.0,-0.07,80.13
200601010630,200601010700,0.473039,0,0.0,1.472,3.51,0.851978,0.37805,1.29821,0.0,0.0,0.0,-0.06,81.27
200601010700,200601010730,0.243229,0,0.0,1.208,3.01,0.813365,0.56939,1.19558,0.0,0.0,0.0,-0.06,84.07
200601010730,200601010800,-9999.0,1,0.0,1.29,3.21,0.82869,0.178747,1.23587,0.0,0.0,0.0,-0.06,83.23
200601010800,200601010830,-9999.0,1,0.78,1.296,3.22,0.82946,0.156869,1.23791,0.003496,0.498231,5.84,-0.06,83.17
200601010830,200601010900,-9999.0,1,10.92,1.376,3.38,0.841842,0.145537,1.27092,0.048896,53.5614,27.85,-0.06,82.33
200601010900,200601010930,-9999.0,1,29.9,1.392,3.2,0.827919,0.227664,1.23383,0.133646,135.81,66.98,-0.05,81.9
200601010930,200601011000,-9999.0,1,77.79,1.315,3.1,0.820241,0.204517,1.21359,0.346166,208.306,159.68,-0.05,82.77
200601011000,200601011030,-9999.0,1,90.44,1.452,3.32,0.837186,0.585446,1.25846,0.401989,269.81,192.42,-0.04,81.27
200601011030,200601011100,-9999.0,1,124.63,1.531,3.57,0.856679,0.78712,1.31096,0.552216,319.269,257.35,-0.04,80.6
200601011100,200601011130,-9999.0,1,135.04,1.632,3.74,0.870078,0.800468,1.34759,0.597769,355.838,281.95,-0.04,79.57
200601011130,200601011200,-9999.0,1,203.74,1.929,4.39,0.922377,0.785185,1.49477,0.896223,378.89,426.1,-0.03,76.93
200601011200,200601011230,-9999.0,1,182.89,2.154,4.69,0.947087,0.802469,1.56661,0.806041,388.031,373.21,-0.03,74.77
200601011230,200601011300,-9999.0,1,114.59,2.064,4.34,0.918294,0.895062,1.48304,0.5082,383.105,243.99,-0.02,75.23
200601011300,200601011330,-9999.0,2,129.83,2.098,4.37,0.920743,1.02923,1.49007,0.574982,364.195,272.4,-0.02,74.87
200601011330,200601011400,-9999.0,1,105.41,2.217,4.58,0.937985,0.914674,1.53997,0.467882,331.626,219.36,-0.02,73.83
200601011400,200601011430,-9999.0,1,82.04,2.04,4.31,0.915849,0.67749,1.47603,0.364935,285.955,170.65,-0.02,75.47
200601011430,200601011500,-9999.0,1,60.14,1.895,4.12,0.900447,0.613244,1.43224,0.26806,227.963,126.59,-0.01,76.9
200601011500,200601011530,-9999.0,1,26.67,1.917,4.16,0.903677,-0.27302,1.44138,0.119244,158.642,57.53,-0.01,76.7
200601011530,200601011600,-9999.0,1,15.37,2.102,4.47,0.928931,-0.084416,1.51368,0.068793,79.1791,33.06,-0.01,75.0
200601011600,200601011630,-9999.0,1,2.42,2.151,4.61,0.940463,0.322012,1.5472,0.010844,7.4053,7.14,-0.01,74.67
200601011630,200601011700,-9999.0,1,0.0,1.948,4.27,0.912594,-0.100688,1.46673,0.0,0.0,0.37,-0.01,76.5
200601011700,200601011730,-9999.0,1,0.0,1.903,4.16,0.903677,-0.10957,1.44138,0.0,0.0,0.0,0.0,76.87
200601011730,200601011800,-9999.0,1,0.0,1.376,3.12,0.821774,0.139139,1.21762,0.0,0.0,0.0,0.0,82.0
200601011800,200601011830,-9999.0,1,0.0,1.496,3.44,0.846511,0.142806,1.28346,0.0,0.0,0.0,0.0,80.87
200601011830,200601011900,-9999.0,1,0.0,1.3,3.02,0.814128,0.135167,1.19757,0.0,0.0,0.0,0.0,82.87
200601011900,200601011930,-9999.0,1,0.0,1.282,3.01,0.813365,0.134407,1.19558,0.0,0.0,0.0,0.01,83.1
200601011930,200601012000,-9999.0,1,0.0,1.413,3.36,0.840288,0.131467,1.26676,0.0,0.0,0.0,0.01,81.83
200601012000,200601012030,-9999.0,1,0.0,1.264,3.04,0.815654,0.129598,1.20156,0.0,0.0,0.0,0.01,83.37
200601012030,200601012100,-9999.0,1,0.0,1.241,3.04,0.815654,0.129598,1.20156,0.0,0.0,0.0,0.01,83.67
200601012100,200601012130,-9999.0,1,0.0,1.048,2.36,0.764677,0.119962,1.07146,0.0,0.0,0.0,0.01,85.53
200601012130,200601012200,-9999.0,1,0.0,0.77,1.72,0.718405,0.113158,0.959048,0.0,0.0,0.0,0.02,88.87
200601012200,200601012230,-9999.0,1,0.0,0.591,1.1,0.675158,0.11746,0.858936,0.0,0.0,0.0,0.02,91.07
