TIMESTAMP_START,TIMESTAMP_END,NEE,NEE_VUT_REF_QC,SW_IN_F,VPD_F_MDS,TA_F_MDS,RECO_NT_VUT_REF,GPP_NT_VUT_REF,RECO_DT_VUT_REF,GPP_DT_VUT_REF,SW_IN_POT,PPFD_IN,TS_F_MDS_1,RH
200701010000,200701010030,1.28224,0,3.302,3.357,7.84,1.45969,0.177446,1.39593,0.146745,0.0,0.0,3.456,68.37
200701010030,200701010100,1.38328,0,4.134,3.478,8.064,1.47994,0.096659,1.41485,0.18311,0.0,0.0,3.527,67.7267
200701010100,200701010130,1.19191,0,0.141,2.594,7.99,1.47324,0.281326,1.40859,0.006347,0.0,0.0,3.657,75.81
200701010130,200701010200,1.50564,0,2.12,1.549,7.435,1.42335,-0.082287,1.36195,0.094663,0.0,0.0,3.811,85.0
200701010200,200701010230,1.24318,0,3.405,1.307,7.694,1.44655,0.203367,1.38364,0.15126,0.0,0.0,3.934,87.5667
200701010230,200701010300,1.53627,0,3.491,1.258,7.94,1.46871,-0.067556,1.40436,0.155027,0.0,0.0,4.062,88.2333
200701010300,200701010330,1.56258,0,3.628,1.363,8.313,1.50258,-0.059999,1.43601,0.161022,0.0,0.0,4.188,87.5667
200701010330,200701010400,1.45395,0,2.639,1.407,8.317,1.50295,0.048996,1.43635,0.117592,0.0,0.0,4.313,87.1667
200701010400,200701010430,1.87559,0,2.043,1.488,8.29,1.50048,-0.375106,1.43405,0.091253,0.0,0.0,4.42,86.4
200701010430,200701010500,1.50244,0,3.795,1.84,8.897,1.55621,0.053774,1.48609,0.168322,0.0,0.0,4.455,83.8667
200701010500,200701010530,1.45515,0,5.362,2.237,9.713,1.63236,0.177212,1.55714,0.236344,0.0,0.0,4.481,81.4333
200701010530,200701010600,1.59068,0,5.685,2.678,10.307,1.68866,0.097977,1.60961,0.250261,0.0,0.0,4.583,78.6433
200701010600,200701010630,1.70504,0,4.889,2.733,10.377,1.69534,-0.009703,1.61584,0.215901,0.0,0.0,4.744,78.3067
200701010630,200701010700,1.34683,0,4.605,2.599,10.24,1.68227,0.335441,1.60366,0.20359,0.0,0.0,4.852,79.18
200701010700,200701010730,1.29907,0,5.296,2.839,10.51,1.70806,0.408988,1.62769,0.233497,0.0,0.0,4.917,77.66
200701010730,200701010800,2.15142,0,5.163,3.523,11.047,1.75977,-0.391647,1.67585,0.227753,0.0,0.0,4.971,73.25
200701010800,200701010830,1.76385,0,4.393,2.965,10.58,1.71477,-0.049083,1.63394,0.194381,9.74852,3.11,5.106,76.7833
200701010830,200701010900,0.520357,0,5.096,2.16,9.987,1.65824,1.13788,1.58127,0.224857,84.579,6.07,5.225,82.4
200701010900,200701010930,-0.1947,0,36.283,1.673,9.313,1.59486,1.78956,1.52216,1.42438,163.983,59.66,5.29,85.7333
200701010930,200701011000,-1.44296,0,106.05,2.557,9.247,1.58871,3.03166,1.51642,3.33933,233.168,170.13,5.261,78.1033
200701011000,200701011030,-2.05455,0,134.287,3.052,9.22,1.58619,3.64074,1.51407,3.91488,290.952,217.85,5.235,73.8167
200701011030,200701011100,-3.58301,0,180.953,3.689,9.407,1.60364,5.18665,1.53035,4.69939,336.345,291.37,5.185,68.7467
200701011100,200701011130,-3.42922,0,201.987,3.545,9.44,1.60673,5.03595,1.53323,4.99961,368.571,329.41,5.226,70.0333
200701011130,200701011200,-4.39459,0,288.487,4.164,9.917,1.65162,6.0462,1.57509,5.98607,387.078,465.93,5.245,65.9133
200701011200,200701011230,-5.33062,0,266.353,4.323,10.06,1.66516,6.99578,1.58772,5.76534,391.55,435.93,5.458,64.9433
200701011230,200701011300,-3.0486,0,147.433,3.894,9.533,1.61545,4.66404,1.54136,4.15469,381.91,247.78,5.936,67.2933
200701011300,200701011330,-1.6118,0,78.053,2.703,7.265,1.40821,3.02001,1.34779,2.66978,358.324,143.17,6.368,73.5133
200701011330,200701011400,-0.939105,0,59.743,2.761,7.097,1.39331,2.33242,1.33385,2.16568,321.193,103.14,6.078,72.63
200701011400,200701011430,-1.43313,0,64.953,2.432,6.487,1.33976,2.7729,1.28371,2.31515,271.155,111.38,5.893,74.8633
200701011430,200701011500,0.17869,0,26.203,3.035,6.664,1.35521,1.17652,1.29818,1.06669,209.065,40.06,5.693,69.0067
200701011500,200701011530,0.142918,0,24.87,3.36,6.562,1.3463,1.20338,1.28984,1.0174,135.986,36.45,5.529,65.4433
200701011530,200701011600,0.503647,0,19.13,3.298,6.235,1.3179,0.814249,1.26323,0.799497,53.1677,27.78,5.388,65.3133
200701011600,200701011630,0.898147,0,4.363,3.153,5.793,1.2799,0.381756,1.22762,0.193077,0.428273,7.66,5.217,65.81
200701011630,200701011700,1.19568,0,0.364,2.898,5.388,1.2455,0.049822,1.19535,0.016369,0.0,0.05,4.947,67.6733
200701011700,200701011730,1.15017,0,0.707,2.586,5.032,1.21559,0.065424,1.16729,0.03175,0.0,0.0,4.704,70.43
200701011730,200701011800,1.28278,0,1.439,2.355,4.769,1.1937,-0.08908,1.14673,0.064431,0.0,0.0,4.489,72.5667
200701011800,200701011830,1.36461,0,4.463,2.379,5.158,1.22614,-0.138466,1.17719,0.197423,0.0,0.0,4.286,73.0367
200701011830,200701011900,1.91012,0,0.608,1.474,4.42,1.16491,-0.745207,1.11969,0.027315,0.0,0.0,4.297,82.4033
200701011900,200701011930,1.16677,0,0.0,0.626,1.691,0.950706,-0.216064,0.917981,0.0,0.0,0.0,4.435,90.9333
200701011930,200701012000,0.961406,0,5.215,0.389,1.688,0.950481,-0.010925,0.917769,0.229999,0.0,0.0,4.136,94.3667
200701012000,200701012030,0.968507,0,5.374,0.614,2.941,1.04638,0.07787,1.00819,0.236862,0.0,0.0,3.896,91.8667
200701012030,200701012100,1.29988,0,4.097,0.799,3.274,1.07257,-0.227311,1.03285,0.181498,0.0,0.0,3.874,89.6667
200701012100,200701012130,1.56654,0,3.305,0.914,3.309,1.07534,-0.491201,1.03545,0.146876,0.0,0.0,3.889,88.2
200701012130,200701012200,1.10674,0,2.844,0.954,3.323,1.07645,-0.030292,1.0365,0.126623,0.0,0.0,3.838,87.7
200701012200,200701012230,1.01142,0,1.611,1.027,3.053,1.05515,0.043734,1.01645,0.072083,0.0,0.0,3.84,86.5
200701012230,200701012300,0.695686,0,1.746,1.095,2.951,1.04716,0.351473,1.00892,0.078081,0.0,0.0,3.694,85.5
200701012300,200701012330,1.30796,0,1.606,1.184,2.747,1.03125,-0.276707,0.993938,0.07186,0.0,0.0,3.546,84.1
200701012330,200701020000,0.732041,0,1.731,1.26,2.605,1.02025,0.288206,0.983567,0.077415,0.0,0.0,3.394,82.9
200701020000,200701020030,0.949474,0,1.866,1.33,2.455,1.00868,0.059205,0.972664,0.083407,0.0,0.0,3.257,81.7667
200701020030,200701020100,1.07041,0,1.657,1.378,2.307,0.997325,-0.073085,0.96196,0.074127,0.0,0.0,3.126,80.9
200701020100,200701020130,0.854538,0,1.368,1.32,2.023,0.975703,0.121165,0.941568,0.06127,0.0,0.0,3.026,81.3333
200701020130,200701020200,0.807229,0,1.532,1.309,1.908,0.96701,0.159781,0.933368,0.06857,0.0,0.0,2.92,81.3333
200701020200,200701020230,1.00563,0,1.935,1.261,1.77,0.956626,-0.049004,0.923569,0.086467,0.0,0.0,2.826,81.8333
200701020230,200701020300,0.941102,0,2.341,1.339,1.832,0.961285,0.020183,0.927966,0.104439,0.0,0.0,2.72,80.8
200701020300,200701020330,0.939102,0,2.773,1.528,2.003,0.974188,0.035086,0.94014,0.123497,0.0,0.0,2.624,78.3633
200701020330,200701020400,0.641176,0,1.569,1.462,1.876,0.964598,0.323422,0.931091,0.070215,0.0,0.0,2.554,79.1
200701020400,200701020430,0.952361,0,0.891,1.326,1.597,0.943683,-0.008678,0.911352,0.039983,0.0,0.0,2.495,80.6667
200701020430,200701020500,1.07922,0,0.167,1.151,1.12,0.908425,-0.170795,0.878053,0.007516,0.0,0.0,2.45,82.6333
200701020500,200701020530,0.892601,0,1.022,1.107,0.957,0.896523,0.003922,0.866806,0.045837,0.0,0.0,2.341,83.1
200701020530,200701020600,0.711367,0,1.969,1.203,1.083,0.905717,0.19435,0.875494,0.087974,0.0,0.0,2.208,81.8
200701020600,200701020630,0.926896,0,2.113,1.238,1.153,0.910844,-0.016052,0.880339,0.094353,0.0,0.0,2.1,81.3667
200701020630,200701020700,-9999.0,1,1.014,1.219,0.993,0.899145,-0.037881,0.869284,0.04548,0.0,0.0,2.042,81.4333
200701020700,200701020730,-9999.0,1,1.721,1.153,0.723,0.879566,-0.004497,0.850776,0.07697,0.0,0.0,1.998,82.1
200701020730,200701020800,-9999.0,1,3.715,1.367,1.045,0.902939,-0.058933,0.872869,0.164827,0.0,0.23,1.902,79.2633
200701020800,200701020830,0.855378,0,9.471,1.655,1.606,0.944355,0.088977,0.911986,0.410758,10.5307,6.74,1.841,75.89
200701020830,200701020900,0.0247686,0,35.68,1.727,2.197,0.988924,0.964156,0.954039,1.4037,86.2938,39.01,1.77,75.88
200701020900,200701020930,-1.47677,0,91.99,2.067,2.826,1.0374,2.51417,0.999728,3.01693,165.746,126.91,1.663,72.39
200701020930,200701021000,-2.50914,0,63.835,1.897,2.512,1.01307,3.52221,0.976801,2.2835,234.973,-9999.0,1.716,-9999.0
200701021000,200701021030,-9999.0,1,57.385,2.764,8.242,0.904035,2.89302,0.873905,2.09635,292.792,-9999.0,4.643,-9999.0
200701021030,200701021100,-9999.0,1,66.26,3.401,9.446,0.914956,3.15509,0.884223,2.35187,338.213,-9999.0,5.23,-9999.0
200701021100,200701021130,-1.98103,0,72.563,3.755,9.609,0.925938,2.90697,0.894597,2.52471,370.458,-9999.0,5.27,-9999.0
200701021130,200701021200,-2.23023,0,76.186,3.923,9.671,0.936983,3.16721,0.905026,2.621,388.977,-9999.0,5.41,-9999.0
200701021200,200701021230,-0.657538,0,77.069,3.726,9.243,0.948163,1.6057,0.915581,2.64414,393.451,-9999.0,5.646,-9999.0
200701021230,200701021300,-0.0202022,0,75.195,3.569,8.774,0.95933,0.979532,0.926121,2.59488,383.806,-9999.0,5.817,-9999.0
200701021300,200701021330,-0.56345,0,55.959,3.223,8.088,0.970559,1.53401,0.936716,2.05389,360.204,-9999.0,5.947,-9999.0
200701021330,200701021400,-1.0845,0,50.217,2.965,7.409,0.979114,2.06361,0.944787,1.87881,323.052,-9999.0,5.994,-9999.0
200701021400,200701021430,-0.296964,0,42.477,2.858,6.815,0.987705,1.28467,0.952889,1.6318,272.983,-9999.0,5.912,-9999.0
200701021430,200701021500,-0.950684,0,32.871,2.977,6.609,0.99633,1.94701,0.961022,1.3062,210.856,-9999.0,5.716,-9999.0
200701021500,200701021530,-0.715981,0,21.563,3.056,6.348,1.00499,1.72097,0.969187,0.892999,137.732,-9999.0,5.544,-9999.0
200701021530,200701021600,0.271427,0,8.746,3.149,6.128,1.01368,0.742257,0.977382,0.380392,54.8634,-9999.0,5.355,-9999.0
200701021600,200701021630,1.0571,0,0.0,3.059,5.802,1.02241,-0.034687,0.985608,0.0,0.594883,-9999.0,5.157,-9999.0
200701021630,200701021700,1.01,0,0.0,1.456,3.687,1.10546,0.095458,1.0638,0.0,0.0,-9999.0,3.246,-9999.0
