TIMESTAMP_START,TIMESTAMP_END,NEE,NEE_VUT_REF_QC,SW_IN_F,VPD_F_MDS,TA_F_MDS,RECO_NT_VUT_REF,GPP_NT_VUT_REF,RECO_DT_VUT_REF,GPP_DT_VUT_REF,SW_IN_POT,PPFD_IN,TS_F_MDS_1,RH
201001010000,201001010030,-9999.0,3,0.0,0.535,-4.209,1.58007,0.114832,1.78638,0.0,0.0,-9999.0,1.327,-9999.0
201001010030,201001010100,-9999.0,3,0.0,0.568,-4.237,1.57568,0.110157,1.7834,0.0,0.0,-9999.0,1.324,-9999.0
201001010100,201001010130,-9999.0,3,0.0,0.594,-4.269,1.57135,0.055554,1.78045,0.0,0.0,-9999.0,1.321,-9999.0
201001010130,201001010200,-9999.0,3,0.0,0.617,-4.295,1.56342,0.449125,1.77506,0.0,0.0,-9999.0,1.318,-9999.0
201001010200,201001010230,-9999.0,3,0.0,0.633,-4.313,1.55549,0.477447,1.76965,0.0,0.0,-9999.0,1.315,-9999.0
201001010230,201001010300,-9999.0,3,0.0,0.638,-4.344,1.54755,0.559019,1.76423,0.0,0.0,-9999.0,1.312,-9999.0
201001010300,201001010330,-9999.0,3,0.0,0.631,-4.378,1.53962,0.31755,1.75879,0.0,0.0,-9999.0,1.31,-9999.0
201001010330,201001010400,-9999.0,3,0.0,0.622,-4.422,1.53168,0.415083,1.75335,0.0,0.0,-9999.0,1.307,-9999.0
201001010400,201001010430,-9999.0,3,0.0,0.612,-4.485,1.52374,0.359275,1.74789,0.0,0.0,-9999.0,1.304,-9999.0
201001010430,201001010500,-9999.0,3,0.0,0.596,-4.571,1.51673,0.33811,1.74306,0.0,0.0,-9999.0,1.302,-9999.0
201001010500,201001010530,-9999.0,2,0.0,0.574,-4.659,1.50972,0.656412,1.73822,0.0,0.0,-9999.0,1.299,-9999.0
201001010530,201001010600,-9999.0,2,0.0,0.557,-4.723,1.50271,0.435951,1.73337,0.0,0.0,-9999.0,1.294,-9999.0
201001010600,201001010630,-9999.0,2,0.0,0.541,-4.758,1.49563,0.210267,1.72847,0.0,0.0,-9999.0,1.29,-9999.0
201001010630,201001010700,-9999.0,2,0.0,0.522,-4.774,1.48862,0.200854,1.7236,0.0,0.0,-9999.0,1.286,-9999.0
201001010700,201001010730,-9999.0,2,0.0,0.515,-4.758,1.48161,-0.313318,1.71872,0.0,0.0,-9999.0,1.282,-9999.0
201001010730,201001010800,-9999.0,2,0.0,0.511,-4.74,1.47633,-0.500829,1.71505,0.0,0.0,-9999.0,1.279,-9999.0
201001010800,201001010830,-9999.0,2,0.0,0.522,-4.69,1.47105,-0.627119,1.71137,0.0,0.0756391,-9999.0,1.276,-9999.0
201001010830,201001010900,-9999.0,2,2.907,0.541,-4.625,1.46577,-0.684979,1.70768,0.04211,48.1107,-9999.0,1.273,-9999.0
201001010900,201001010930,-9999.0,2,7.752,0.574,-4.525,1.46049,-0.241117,1.70398,0.110582,130.998,-9999.0,1.27,-9999.0
201001010930,201001011000,-9999.0,2,12.03,0.602,-4.39,1.45521,0.760699,1.70028,0.169327,204.218,-9999.0,1.269,-9999.0
201001011000,201001011030,-9999.0,2,27.965,0.634,-4.231,1.44993,1.0632,1.69658,0.375055,266.518,-9999.0,1.267,-9999.0
201001011030,201001011100,-9999.0,2,33.21,0.668,-4.214,1.4512,1.06454,1.69747,0.43859,316.832,-9999.0,1.26,-9999.0
201001011100,201001011130,-9999.0,2,37.113,0.693,-4.191,1.45247,1.06589,1.69836,0.484623,354.299,-9999.0,1.252,-9999.0
201001011130,201001011200,-9999.0,2,39.61,0.717,-4.189,1.45374,0.848679,1.69925,0.513534,378.278,-9999.0,1.244,-9999.0
201001011200,201001011230,-9999.0,3,40.656,0.758,-4.214,1.45508,0.765649,1.70019,0.525523,388.358,-9999.0,1.235,-9999.0
201001011230,201001011300,-9999.0,3,40.234,0.796,-4.277,1.45635,0.808937,1.70108,0.520695,384.368,-9999.0,1.226,-9999.0
201001011300,201001011330,-9999.0,3,50.385,0.774,-4.309,1.45762,0.75917,1.70197,0.633695,366.375,-9999.0,1.232,-9999.0
201001011330,201001011400,-9999.0,3,46.034,0.152,-6.955,1.46123,0.852064,1.7045,0.586049,334.688,-9999.0,1.41,-9999.0
201001011400,201001011430,-9999.0,3,39.882,0.152,-6.963,1.4649,0.736993,1.70707,0.516659,289.848,-9999.0,1.41,-9999.0
201001011430,201001011500,-9999.0,3,32.033,0.152,-6.995,1.46851,0.697627,1.70959,0.424502,232.623,-9999.0,1.41,-9999.0
201001011500,201001011530,-9999.0,3,22.62,0.152,-7.07,1.47212,0.689384,1.71211,0.308246,163.991,-9999.0,1.41,-9999.0
201001011530,201001011600,-9999.0,3,11.806,0.153,-7.182,1.47579,0.69897,1.71467,0.16629,85.1281,-9999.0,1.41,-9999.0
201001011600,201001011630,-9999.0,3,0.0,0.153,-7.292,1.4794,0.717422,1.71719,0.0,10.1836,-9999.0,1.41,-9999.0
201001011630,201001011700,-9999.0,3,0.0,0.155,-7.486,1.47653,0.861353,1.71519,0.0,0.0,-9999.0,1.41,-9999.0
201001011700,201001011730,-9999.0,3,0.0,0.158,-7.772,1.47359,0.943764,1.71314,0.0,0.0,-9999.0,1.41,-9999.0
201001011730,201001011800,-9999.0,3,0.0,0.16,-8.084,1.47065,0.940651,1.71109,0.0,0.0,-9999.0,1.41,-9999.0
201001011800,201001011830,-9999.0,3,0.0,0.163,-8.402,1.46778,0.937608,1.70908,0.0,0.0,-9999.0,1.41,-9999.0
201001011830,201001011900,-9999.0,3,0.0,0.165,-8.698,1.46483,-0.070779,1.70702,0.0,0.0,-9999.0,1.41,-9999.0
201001011900,201001011930,-9999.0,3,0.0,0.165,-8.862,1.46196,-0.073821,1.70501,0.0,0.0,-9999.0,1.41,-9999.0
201001011930,201001012000,-9999.0,3,0.0,0.164,-8.878,1.45915,-0.076792,1.70305,0.0,0.0,-9999.0,1.41,-9999.0
