TIMESTAMP_START,TIMESTAMP_END,NEE,NEE_VUT_REF_QC,SW_IN_F,VPD_F_MDS,TA_F_MDS,RECO_NT_VUT_REF,GPP_NT_VUT_REF,RECO_DT_VUT_REF,GPP_DT_VUT_REF,SW_IN_POT,PPFD_IN,TS_F_MDS_1,RH
200301010000,200301010030,-9999.0,1.0,0.0,0.136,-8.09,0.269903,-0.390897,0.723618,0.0,0.0,0.0,1.61,95.9
200301010030,200301010100,-9999.0,1.0,0.0,0.129,-7.8,0.280761,-0.380039,0.730958,0.0,0.0,0.0,1.6,96.2
200301010100,200301010130,-9999.0,1.0,0.0,0.127,-7.53,0.291107,-0.462341,0.737757,0.0,0.0,0.0,1.6,96.33
200301010130,200301010200,-9999.0,1.0,0.0,0.123,-7.34,0.298525,-0.564904,0.742522,0.0,0.0,0.0,1.59,96.5
200301010200,200301010230,-9999.0,1.0,0.0,0.119,-7.12,0.307256,-0.582744,0.748019,0.0,0.0,0.0,1.58,96.67
200301010230,200301010300,-9999.0,1.0,0.0,0.119,-7.01,0.311678,-0.631655,0.750759,0.0,0.0,0.0,1.58,96.7
200301010300,200301010330,-9999.0,1.0,0.0,0.119,-6.98,0.312891,-0.630442,0.751506,0.0,0.0,0.0,1.57,96.7
200301010330,200301010400,-9999.0,1.0,0.0,0.12,-7.02,0.311275,-0.632058,0.75051,0.0,0.0,0.0,1.56,96.67
200301010400,200301010430,-9999.0,1.0,0.0,0.121,-7.07,0.309261,-0.67731,0.749265,0.0,0.0,0.0,1.56,96.63
200301010430,200301010500,-9999.0,1.0,0.0,0.123,-7.11,0.307656,-0.610677,0.748268,0.0,0.0,0.0,1.55,96.57
200301010500,200301010530,-9999.0,1.0,0.0,0.125,-7.2,0.304063,-0.585937,0.746023,0.0,0.0,0.0,1.55,96.5
200301010530,200301010600,-9999.0,1.0,0.0,0.121,-7.16,0.305657,-0.584343,0.747021,0.0,0.0,0.0,1.55,96.6
