TIMESTAMP_START,TIMESTAMP_END,NEE,NEE_VUT_REF_QC,SW_IN_F,VPD_F_MDS,TA_F_MDS,RECO_NT_VUT_REF,GPP_NT_VUT_REF,RECO_DT_VUT_REF,GPP_DT_VUT_REF,SW_IN_POT,PPFD_IN,TS_F_MDS_1,RH
201101010000,201101010030,-9999.0,2,0.0,0.041,-4.25,1.30028,-0.218005,1.55566,0.0,0.0,0.0,0.56,99.09
201101010030,201101010100,-9999.0,2,0.0,0.04,-4.29,1.29563,-0.184067,1.55078,0.0,0.0,0.0,0.56,99.09
201101010100,201101010130,-9999.0,2,0.0,0.04,-4.38,1.28519,-0.083286,1.53983,0.0,0.0,0.0,0.55,99.09
201101010130,201101010200,-9999.0,2,0.0,0.045,-4.39,1.28404,-0.026883,1.53861,0.0,0.0,0.0,0.55,98.99
201101010200,201101010230,-9999.0,2,0.0,0.045,-4.37,1.28635,-0.082128,1.54104,0.0,0.0,0.0,0.55,98.99
201101010230,201101010300,-9999.0,2,0.0,0.044,-4.45,1.2771,0.050493,1.53133,0.0,0.0,0.0,0.55,98.99
201101010300,201101010330,-9999.0,2,0.0,0.04,-4.51,1.27019,0.065516,1.52405,0.0,0.0,0.0,0.55,99.09
201101010330,201101010400,-9999.0,2,0.0,0.044,-4.5,1.27134,0.066668,1.52527,0.0,0.0,0.0,0.56,98.99
201101010400,201101010430,-9999.0,2,0.0,0.044,-4.5,1.27134,0.066668,1.52527,0.0,0.0,0.0,0.55,98.99
201101010430,201101010500,-9999.0,2,0.0,0.044,-4.61,1.2587,0.054028,1.51197,0.0,0.0,0.0,0.55,98.99
201101010500,201101010530,-9999.0,2,0.0,0.051,-4.88,1.22792,-0.040546,1.47952,0.0,0.0,0.0,0.55,98.8
201101010530,201101010600,-9999.0,2,0.0,0.059,-5.06,1.20761,-0.060862,1.45805,0.0,0.0,0.0,0.55,98.6
201101010600,201101010630,-9999.0,2,0.0,0.066,-5.29,1.18188,-0.086586,1.43079,0.0,0.0,0.0,0.55,98.4
201101010630,201101010700,-9999.0,2,0.0,0.069,-5.47,1.16194,-0.181193,1.40961,0.0,0.0,0.0,0.54,98.3
201101010700,201101010730,-9999.0,2,0.0,0.062,-5.18,1.19415,-0.074316,1.4438,0.0,0.0,0.0,0.54,98.5
201101010730,201101010800,-9999.0,2,0.0,0.055,-4.87,1.22906,-0.039413,1.48072,0.0,0.0,0.26,0.54,98.7
201101010800,201101010830,-9999.0,2,0.0,0.052,-4.6,1.25984,0.055174,1.51317,0.0,12.5367,3.75,0.53,98.8
201101010830,201101010900,-9999.0,2,3.46,0.045,-4.26,1.29912,-0.219169,1.55444,0.262472,90.2518,15.44,0.53,98.99
201101010900,201101010930,-9999.0,2,12.08,0.042,-3.94,1.3366,-0.11646,1.59367,0.81831,169.618,30.37,0.53,99.09
201101010930,201101011000,-9999.0,2,23.56,0.033,-3.6,1.37696,0.312828,1.63576,1.39689,238.687,50.5,0.54,99.29
201101011000,201101011030,-9999.0,2,44.58,0.029,-3.38,1.40337,0.031605,1.66322,2.15172,296.277,85.13,0.54,99.39
201101011030,201101011100,-9999.0,2,33.15,0.021,-2.95,1.45563,0.137714,1.71739,1.78,341.403,69.94,0.54,99.58
201101011100,201101011130,-9999.0,2,27.48,0.011,-2.62,1.49633,0.188248,1.7594,1.56275,373.292,61.76,0.55,99.78
201101011130,201101011200,-9999.0,2,36.79,0.006,-2.28,1.53878,0.545449,1.80306,1.90714,391.4,77.88,0.55,99.88
201101011200,201101011230,-9999.0,2,36.84,0.001,-2.07,1.56525,0.538574,1.83022,1.90883,395.415,76.94,0.55,99.98
201101011230,201101011300,-9999.0,2,19.36,0.0,-2.01,1.57286,0.238116,1.83801,1.20276,385.271,47.94,0.56,100.0
201101011300,201101011330,-9999.0,2,15.91,0.0,-1.98,1.57666,0.236993,1.84191,1.02884,361.139,41.8,0.56,100.0
201101011330,201101011400,-9999.0,2,9.5,0.0,-2.03,1.57032,0.21241,1.83541,0.664833,323.433,30.62,0.56,100.0
201101011400,201101011430,-9999.0,2,8.62,0.0,-1.92,1.58429,0.176019,1.84971,0.610135,272.798,27.98,0.57,100.0
201101011430,201101011500,-9999.0,2,5.86,0.0,-1.78,1.60214,0.133874,1.86797,0.43018,210.101,22.26,0.57,100.0
201101011500,201101011530,-9999.0,2,0.0,0.0,-1.78,1.60214,0.164674,1.86797,0.0,136.414,11.17,0.57,100.0
201101011530,201101011600,-9999.0,2,0.0,0.0,-1.77,1.60342,0.165953,1.86928,0.0,52.9984,4.69,0.57,100.0
201101011600,201101011630,-9999.0,2,0.0,0.0,-1.82,1.59703,0.152953,1.86275,0.0,0.379183,1.62,0.58,100.0
201101011630,201101011700,-9999.0,2,0.0,0.0,-2.15,1.55514,0.160944,1.81986,0.0,0.0,0.0,0.58,100.0
