TIMESTAMP_START,TIMESTAMP_END,NEE,NEE_VUT_REF_QC,SW_IN_F,VPD_F_MDS,TA_F_MDS,RECO_NT_VUT_REF,GPP_NT_VUT_REF,RECO_DT_VUT_REF,GPP_DT_VUT_REF,SW_IN_POT,TS_F_MDS_1,RH
200801010000,200801010030,-9999.0,3,0.0,0.895,1.058,0.434988,-0.171272,0.511667,0.0,0.0,0.98,-9999.0
200801010030,200801010100,-9999.0,3,0.0,0.931,1.112,0.431886,-0.179394,0.509909,0.0,0.0,0.995,-9999.0
200801010100,200801010130,-9999.0,3,0.0,0.935,1.059,0.428842,-0.134278,0.508179,0.0,0.0,0.962,-9999.0
200801010130,200801010200,-9999.0,3,0.0,0.934,0.998,0.424119,-0.098001,0.50548,0.0,0.0,0.934,-9999.0
200801010200,200801010230,-9999.0,3,0.0,0.95,0.984,0.419427,-0.047393,0.502784,0.0,0.0,0.914,-9999.0
200801010230,200801010300,-9999.0,3,0.0,0.96,0.932,0.414767,-0.033408,0.50009,0.0,0.0,0.884,-9999.0
200801010300,200801010330,-9999.0,3,0.0,0.911,0.718,0.410139,-0.056028,0.497399,0.0,0.0,0.796,-9999.0
200801010330,200801010400,-9999.0,3,0.0,0.901,0.641,0.405542,-0.091808,0.494711,0.0,0.0,0.754,-9999.0
200801010400,200801010430,-9999.0,3,0.0,0.906,0.602,0.400932,0.216282,0.492,0.0,0.0,0.712,-9999.0
200801010430,200801010500,-9999.0,3,0.0,0.927,0.631,0.398595,0.279245,0.490619,0.0,0.0,0.673,-9999.0
200801010500,200801010530,-9999.0,3,0.0,0.934,0.621,0.396223,0.310156,0.489213,0.0,0.0,0.643,-9999.0
200801010530,200801010600,-9999.0,3,0.0,0.937,0.619,0.393859,0.261159,0.487808,0.0,0.0,0.614,-9999.0
200801010600,200801010630,-9999.0,3,0.0,0.937,0.605,0.391504,0.201064,0.486403,0.0,0.0,0.584,-9999.0
200801010630,200801010700,-9999.0,3,0.0,0.928,0.586,0.389158,0.113618,0.484999,0.0,0.0,0.549,-9999.0
200801010700,200801010730,-9999.0,3,0.0,0.909,0.531,0.38682,0.2542,0.483596,0.0,0.0,0.511,-9999.0
200801010730,200801010800,-9999.0,3,0.0,0.906,0.566,0.389548,0.224568,0.485233,0.0,0.0,0.479,-9999.0
200801010800,200801010830,-9999.0,3,0.0,0.907,0.681,0.392288,0.305468,0.486871,0.0,0.0,0.469,-9999.0
200801010830,200801010900,-9999.0,3,0.529,0.887,0.841,0.39504,0.52118,0.48851,0.00149,13.4033,0.485,-9999.0
200801010900,200801010930,-9999.0,3,9.361,0.867,1.058,0.397848,0.630768,0.490176,0.026354,91.5364,0.535,-9999.0
200801010930,200801011000,-9999.0,3,17.291,0.863,1.379,0.400623,0.540023,0.491817,0.048646,170.433,0.618,-9999.0
200801011000,200801011030,-9999.0,3,47.462,0.888,1.772,0.40341,0.622985,0.493459,0.133179,239.009,0.733,-9999.0
200801011030,200801011100,-9999.0,3,58.719,0.94,2.195,0.41775,0.671117,0.501816,0.164606,296.092,0.869,-9999.0
200801011100,200801011130,-9999.0,3,67.514,1.023,2.657,0.432394,0.490744,0.510198,0.189116,340.705,1.015,-9999.0
200801011130,200801011200,-9999.0,3,73.697,1.164,3.321,0.447344,-0.241323,0.518604,0.206326,372.084,1.296,-9999.0
200801011200,200801011230,-9999.0,3,77.163,1.331,3.963,0.462601,-0.052949,0.527033,0.215965,389.692,1.563,-9999.0
200801011230,200801011300,-9999.0,3,77.852,1.474,4.522,0.478164,0.130104,0.535485,0.21788,393.229,1.824,-9999.0
200801011300,200801011330,-9999.0,3,83.603,1.599,4.996,0.494036,0.179386,0.543958,0.233859,382.634,2.075,-9999.0
200801011330,200801011400,-9999.0,3,78.248,1.701,5.37,0.48765,0.116879,0.540566,0.218981,358.087,2.308,-9999.0
200801011400,200801011430,-9999.0,3,69.947,1.734,5.527,0.481265,-0.200585,0.537152,0.19589,320.01,2.442,-9999.0
