TIMESTAMP_START,TIMESTAMP_END,NEE,NEE_VUT_REF_QC,SW_IN_F,VPD_F_MDS,TA_F_MDS,RECO_NT_VUT_REF,GPP_NT_VUT_REF,RECO_DT_VUT_REF,GPP_DT_VUT_REF,SW_IN_POT,TS_F_MDS_1,RH
201301010000,201301010030,-9999.0,1,0.0,0.148,-4.3,0.314481,1.05134,0.087561,0.0,0.0,-9999.0,96.6792
201301010030,201301010100,-9999.0,1,0.0,0.132,-4.26,0.315393,1.05225,0.088368,0.0,0.0,-9999.0,97.0383
201301010100,201301010130,-9999.0,1,0.0,0.143,-4.54,0.309021,0.662542,0.082835,0.0,0.0,-9999.0,96.7231
201301010130,201301010200,-9999.0,1,0.0,0.131,-4.1,0.319055,1.05591,0.091659,0.0,0.0,-9999.0,97.1015
201301010200,201301010230,-9999.0,1,0.0,0.167,-4.13,0.318367,1.05523,0.091035,0.0,0.0,-9999.0,96.288
201301010230,201301010300,-9999.0,1,0.0,0.16,-4.58,0.308114,0.712258,0.082068,0.0,0.0,-9999.0,96.313
201301010300,201301010330,-9999.0,1,0.0,0.157,-5.05,0.29753,1.31525,0.073466,0.0,0.0,-9999.0,96.2537
201301010330,201301010400,-9999.0,1,0.0,0.154,-5.45,0.288625,1.30635,0.066723,0.0,0.0,-9999.0,96.2154
201301010400,201301010430,-9999.0,1,0.0,0.147,-5.3,0.291953,1.30967,0.069191,0.0,0.0,-9999.0,96.4315
201301010430,201301010500,-9999.0,1,0.0,0.152,-5.65,0.284208,1.30193,0.063543,0.0,0.0,-9999.0,96.2138
201301010500,201301010530,-9999.0,1,0.0,0.142,-5.93,0.278067,1.38191,0.059294,0.0,0.0,-9999.0,96.3858
201301010530,201301010600,-9999.0,1,0.0,0.14,-5.76,0.28179,1.38563,0.061845,0.0,0.0,-9999.0,96.4778
201301010600,201301010630,-9999.0,1,0.0,0.153,-5.5,0.287518,1.30524,0.065917,0.0,0.0,-9999.0,96.2364
201301010630,201301010700,-9999.0,1,0.0,0.18,-6.08,0.274797,1.37864,0.057113,0.0,0.0,-9999.0,95.3698
201301010700,201301010730,-9999.0,1,0.0,0.162,-5.98,0.276975,1.38081,0.05856,0.0,0.0,-9999.0,95.8604
201301010730,201301010800,-9999.0,1,0.0,0.17,-5.89,0.278941,1.38278,0.059887,0.0,0.0,-9999.0,95.6922
201301010800,201301010830,-9999.0,1,6.64,0.165,-5.79,0.281132,1.38497,0.061389,0.263032,21.0846,-9999.0,95.8438
201301010830,201301010900,-9999.0,1,56.88,0.184,-4.8,0.303144,0.832845,0.077947,1.27764,111.409,-9999.0,95.6896
201301010900,201301010930,-9999.0,1,73.91,0.211,-3.87,0.324342,-0.667499,0.096558,1.4477,199.054,-9999.0,95.3916
201301010930,201301011000,-9999.0,2,110.83,0.215,-3.05,0.343425,0.928549,0.115727,1.69936,276.221,-9999.0,95.5961
201301011000,201301011030,-9999.0,2,181.97,0.322,-1.72,0.3751,1.14075,0.153042,1.96697,341.59,-9999.0,94.0182
201301011030,201301011100,-9999.0,2,213.5,0.427,-0.31,0.409575,1.53788,0.202196,2.04092,394.043,-9999.0,92.8556
201301011100,201301011130,-1.78938,0,248.27,0.998,1.64,0.458585,2.24797,0.289246,2.10488,432.683,-9999.0,85.4859
201301011130,201301011200,-9999.0,1,207.63,1.445,2.79,0.488124,2.6307,0.352488,2.02848,456.848,-9999.0,80.6539
201301011200,201301011230,-9999.0,1,230.3,2.19,3.82,0.514931,2.71316,0.417538,2.07374,466.124,-9999.0,72.738
201301011230,201301011300,-9999.0,1,305.8,3.286,5.17,0.550512,1.49961,0.515961,2.18394,460.354,-9999.0,62.7837
201301011300,201301011330,-9999.0,1,167.53,3.777,5.13,0.549451,1.62969,0.512818,1.92624,439.635,-9999.0,57.1104
201301011330,201301011400,-0.684537,0,155.67,3.889,5.56,0.560876,1.24541,0.547365,1.88869,404.323,-9999.0,57.1349
201301011400,201301011430,-0.545827,0,134.37,4.187,6.22,0.578495,1.12432,0.603708,1.8097,355.021,-9999.0,55.9111
201301011430,201301011500,-9999.0,1,113.43,4.041,6.44,0.584389,1.61153,0.623408,1.71303,292.573,-9999.0,58.0904
201301011500,201301011530,-9999.0,1,90.5,3.453,5.99,0.572344,1.43348,0.583608,1.57615,218.048,-9999.0,63.0604
201301011530,201301011600,-9999.0,1,58.61,3.498,5.93,0.570741,1.15474,0.578447,1.29716,132.721,-9999.0,62.419
201301011600,201301011630,-9999.0,1,6.0,3.426,5.46,0.558215,-0.01828,0.539181,0.240014,38.7421,-9999.0,61.979
201301011630,201301011700,0.0620736,0,0.0,4.051,6.31,0.580905,0.518831,0.611711,0.0,0.0,-9999.0,57.6122
201301011700,201301011730,0.688125,0,0.0,3.988,6.27,0.579833,-0.108292,0.608145,0.0,0.0,-9999.0,58.1525
201301011730,201301011800,1.26656,0,0.0,3.451,5.33,0.55476,-0.7118,0.528678,0.0,0.0,-9999.0,61.3481
201301011800,201301011830,0.2004,0,0.0,3.145,4.92,0.543887,0.343488,0.496549,0.0,0.0,-9999.0,63.7597
201301011830,201301011900,0.211505,0,0.0,3.005,5.19,0.551042,0.339537,0.517538,0.0,0.0,-9999.0,66.0101
201301011900,201301011930,-0.00149463,0,0.0,2.254,3.81,0.514669,0.516164,0.416866,0.0,0.0,-9999.0,71.9182
201301011930,201301012000,-9999.0,1,0.0,1.786,2.83,0.489159,-0.01818,0.354861,0.0,0.0,-9999.0,76.1469
201301012000,201301012030,-9999.0,1,0.0,1.388,1.98,0.467272,-0.102162,0.306962,0.0,0.0,-9999.0,80.3103
201301012030,201301012100,-9999.0,1,0.0,1.119,1.44,0.453493,-0.010048,0.279194,0.0,0.0,-9999.0,83.4905
201301012100,201301012130,-9999.0,1,0.0,1.211,1.62,0.458075,-0.063256,0.288228,0.0,0.0,-9999.0,82.3644
201301012130,201301012200,-9999.0,1,0.0,0.945,1.09,0.444617,-0.527681,0.262248,0.0,0.0,-9999.0,85.7144
201301012200,201301012230,-9999.0,1,0.0,1.11,1.68,0.459605,-0.069346,0.291288,0.0,0.0,-9999.0,83.9035
201301012230,201301012300,-9999.0,1,0.0,0.988,1.84,0.46369,-0.134603,0.29957,0.0,0.0,-9999.0,85.8443
201301012300,201301012330,-9999.0,1,0.0,0.594,1.41,0.452731,-0.350881,0.27771,0.0,0.0,-9999.0,91.2278
201301012330,201301020000,-9999.0,1,0.0,0.375,1.02,0.442847,-0.775413,0.258956,0.0,0.0,-9999.0,94.2957
201301020000,201301020030,3.72924,0,0.0,0.281,1.17,0.446642,-3.2826,0.26605,0.0,0.0,-9999.0,95.7775
201301020030,201301020100,-9999.0,1,0.0,0.256,1.22,0.447909,-0.624921,0.268448,0.0,0.0,-9999.0,96.1663
201301020100,201301020130,-9999.0,1,0.0,0.225,1.29,0.449684,-0.623146,0.271832,0.0,0.0,-9999.0,96.6385
201301020130,201301020200,-9999.0,1,0.0,0.202,1.28,0.44943,-0.6234,0.271347,0.0,0.0,-9999.0,96.9808
201301020200,201301020230,-9999.0,1,0.0,0.189,1.56,0.456547,-0.130291,0.285193,0.0,0.0,-9999.0,97.2405
201301020230,201301020300,-9999.0,1,0.0,0.188,1.59,0.457311,-0.129527,0.286707,0.0,0.0,-9999.0,97.2549
201301020300,201301020330,-9999.0,1,0.0,0.187,1.78,0.462157,-0.113954,0.296444,0.0,0.0,-9999.0,97.3156
201301020330,201301020400,-9999.0,1,0.0,0.197,2.35,0.476771,-0.069401,0.327167,0.0,0.0,-9999.0,97.278
201301020400,201301020430,-9999.0,1,0.0,0.295,2.42,0.478573,-0.065051,0.3311,0.0,0.0,-9999.0,95.9418
201301020430,201301020500,-9999.0,1,0.0,0.345,2.09,0.470091,-0.09177,0.312867,0.0,0.0,-9999.0,95.1375
201301020500,201301020530,-9999.0,1,0.0,0.338,1.8,0.462668,-0.118218,0.297483,0.0,0.0,-9999.0,95.1435
201301020530,201301020600,-9999.0,1,0.0,0.329,1.52,0.455528,-0.108335,0.283182,0.0,0.0,-9999.0,95.1748
201301020600,201301020630,-9999.0,1,0.0,0.298,0.88,0.439313,-0.648577,0.252465,0.0,0.0,-9999.0,95.4233
201301020630,201301020700,-9999.0,1,0.0,0.231,0.65,0.433522,-0.714538,0.242074,0.0,0.0,-9999.0,96.3995
201301020700,201301020730,-9999.0,1,0.0,0.205,0.71,0.435031,-0.847019,0.244752,0.0,0.0,-9999.0,96.8098
201301020730,201301020800,-9999.0,1,0.0,0.212,0.81,0.437548,-0.781592,0.249267,0.0,0.0,-9999.0,96.7206
201301020800,201301020830,-9999.0,1,0.0,0.238,0.78,0.436793,-0.782347,0.247906,0.0,22.1525,-9999.0,96.3171
201301020830,201301020900,-9999.0,1,11.56,0.243,0.75,0.436037,-0.832043,0.246551,0.426069,113.064,-9999.0,96.2269
201301020900,201301020930,-9999.0,1,48.58,0.245,0.89,0.439565,1.11786,0.252925,1.17527,200.762,-9999.0,96.2449
201301020930,201301021000,-9999.0,1,57.1,0.265,1.23,0.448162,1.03725,0.26893,1.28015,277.975,-9999.0,96.0377
201301021000,201301021030,-9999.0,1,67.5,0.327,1.43,0.453239,0.994638,0.278699,1.38906,343.384,-9999.0,95.1762
201301021030,201301021100,-9999.0,1,203.27,0.411,1.94,0.466248,2.77777,0.304836,2.01888,395.869,-9999.0,94.1467
201301021100,201301021130,-9999.0,1,241.7,0.69,2.68,0.48528,2.76221,0.346023,2.09393,434.532,-9999.0,90.6904
201301021130,201301021200,-9999.0,1,168.3,1.055,3.05,0.494861,2.69874,0.368131,1.92854,458.712,-9999.0,86.1361
201301021200,201301021230,-2.83366,0,219.9,1.252,3.46,0.505526,3.33919,0.393855,2.05389,467.994,-9999.0,84.0176
201301021230,201301021300,-1.78611,0,305.17,1.766,4.12,0.522796,2.30891,0.438077,2.18321,462.22,-9999.0,78.476
201301021300,201301021330,-2.04991,0,266.27,2.403,4.56,0.534376,2.58429,0.469559,2.13262,441.489,-9999.0,71.5998
201301021330,201301021400,-1.41159,0,129.1,2.271,4.16,0.523847,1.93544,0.440872,1.78739,406.155,-9999.0,72.396
201301021400,201301021430,-1.06304,0,63.98,2.055,3.74,0.512838,1.57588,0.412186,1.35426,356.824,-9999.0,74.2677
201301021430,201301021500,-0.383972,0,60.59,1.828,3.68,0.511269,0.895241,0.408205,1.31881,294.338,-9999.0,77.0178
201301021500,201301021530,-9999.0,1,22.47,1.774,3.7,0.511792,0.586269,0.409528,0.717489,219.768,-9999.0,77.7313
201301021530,201301021600,-9999.0,1,20.02,1.957,3.29,0.501098,0.565486,0.38303,0.659039,134.388,-9999.0,74.7025
201301021600,201301021630,-9999.0,1,3.6,1.648,2.86,0.489935,-0.111136,0.356649,0.149516,40.1911,-9999.0,78.0377
201301021630,201301021700,-9999.0,1,0.0,1.26,2.17,0.472144,-0.15397,0.317215,0.0,0.0,-9999.0,82.3585
201301021700,201301021730,-9999.0,1,0.0,1.274,1.72,0.460626,-0.189938,0.293342,0.0,0.0,-9999.0,81.5896
201301021730,201301021800,-9999.0,1,0.0,0.763,0.97,0.441584,-0.721796,0.256623,0.0,0.0,-9999.0,88.3648
201301021800,201301021830,-9999.0,1,0.0,0.343,0.04,0.418263,-0.170605,0.216098,0.0,0.0,-9999.0,94.3956
201301021830,201301021900,-9999.0,1,0.0,0.235,-0.71,0.399707,-0.170519,0.187164,0.0,0.0,-9999.0,95.9526
201301021900,201301021930,-9999.0,1,0.0,0.183,-1.46,0.381391,0.066336,0.161321,0.0,0.0,-9999.0,96.6747
201301021930,201301022000,-9999.0,1,0.0,0.151,-1.39,0.38309,-0.00091,0.163609,0.0,0.0,-9999.0,97.2669
201301022000,201301022030,-9999.0,1,0.0,0.128,-1.69,0.375825,0.06077,0.15398,0.0,0.0,-9999.0,97.625
201301022030,201301022100,-9999.0,1,0.0,0.114,-1.78,0.373653,0.058598,0.151179,0.0,0.0,-9999.0,97.867
201301022100,201301022130,-9999.0,1,0.0,0.112,-1.77,0.373894,0.058839,0.151489,0.0,0.0,-9999.0,97.9141
201301022130,201301022200,-9999.0,1,0.0,0.107,-2.11,0.365723,0.138482,0.141248,0.0,0.0,-9999.0,97.9516
201301022200,201301022230,-9999.0,1,0.0,0.114,-1.69,0.375825,0.06077,0.15398,0.0,0.0,-9999.0,97.8932
201301022230,201301022300,-9999.0,1,0.0,0.139,-2.19,0.363809,0.121257,0.138919,0.0,0.0,-9999.0,97.3323
201301022300,201301022330,-9999.0,1,0.0,0.134,-2.42,0.358321,0.115449,0.132389,0.0,0.0,-9999.0,97.3868
201301022330,201301030000,-9999.0,1,0.0,0.126,-3.36,0.336169,0.310503,0.108158,0.0,0.0,-9999.0,97.3482
201301030000,201301030030,-9999.0,1,0.0,0.117,-3.52,0.332444,0.306778,0.104407,0.0,0.0,-9999.0,97.5084
201301030030,201301030100,-9999.0,1,0.0,0.12,-3.93,0.32296,0.828014,0.094793,0.0,0.0,-9999.0,97.379
201301030100,201301030130,-9999.0,1,0.0,0.112,-3.72,0.327806,0.541657,0.098883,0.0,0.0,-9999.0,97.5789
201301030130,201301030200,-9999.0,1,0.0,0.117,-3.77,0.32665,0.418434,0.097298,0.0,0.0,-9999.0,97.4657
201301030200,201301030230,-9999.0,1,0.0,0.132,-4.43,0.311519,0.58567,0.083309,0.0,0.0,-9999.0,97.0102
201301030230,201301030300,-9999.0,1,0.0,0.142,-4.63,0.306982,0.684052,0.079128,0.0,0.0,-9999.0,96.7326
201301030300,201301030330,-9999.0,1,0.0,0.145,-4.97,0.299323,0.912695,0.072674,0.0,0.0,-9999.0,96.5778
201301030330,201301030400,-9999.0,1,0.0,0.134,-4.93,0.30022,0.913592,0.072996,0.0,0.0,-9999.0,96.8248
201301030400,201301030430,-9999.0,1,0.0,0.142,-4.61,0.307435,0.684505,0.078299,0.0,0.0,-9999.0,96.7361
201301030430,201301030500,-9999.0,1,0.0,0.212,-4.96,0.299547,0.912919,0.071742,0.0,0.0,-9999.0,94.989
201301030500,201301030530,-9999.0,1,0.0,0.183,-5.43,0.289068,1.30679,0.063761,0.0,0.0,-9999.0,95.5074
201301030530,201301030600,-9999.0,1,0.0,0.164,-4.91,0.300669,0.914041,0.071853,0.0,0.0,-9999.0,96.1452
201301030600,201301030630,-9999.0,1,0.0,0.169,-3.99,0.32158,1.08206,0.088447,0.0,0.0,-9999.0,96.2788
201301030630,201301030700,-9999.0,1,0.0,0.239,-3.31,0.337336,0.100522,0.102381,0.0,0.0,-9999.0,95.0031
201301030700,201301030730,-9999.0,1,0.0,0.222,-3.45,0.334072,0.078501,0.098756,0.0,0.0,-9999.0,95.3063
201301030730,201301030800,-0.759342,0,0.0,0.192,-3.2,0.339908,1.09925,0.103776,0.0,0.0,-9999.0,96.0137
201301030800,201301030830,-9999.0,1,0.0,0.196,-2.66,0.352623,-0.001967,0.115962,0.0,21.1176,-9999.0,96.1046
201301030830,201301030900,-9999.0,1,17.82,0.366,-1.89,0.371004,-0.098512,0.135489,0.560226,111.787,-9999.0,93.1127
201301030900,201301030930,-9999.0,1,35.94,0.323,-1.66,0.376549,-0.036844,0.141249,0.935313,199.867,-9999.0,94.0232
201301030930,201301031000,-9999.0,1,61.45,0.263,-1.05,0.391373,0.025406,0.158768,1.30611,277.503,-9999.0,95.346
201301031000,201301031030,-9999.0,1,63.87,0.265,-0.39,0.407596,1.03196,0.17959,1.33459,343.367,-9999.0,95.5406
201301031030,201301031100,-9999.0,1,127.43,0.472,0.26,0.42375,2.78255,0.202016,1.92799,396.333,-9999.0,92.4134
201301031100,201301031130,-9999.0,1,74.74,0.832,0.85,0.438556,1.28991,0.224004,1.45892,435.494,-9999.0,87.193
201301031130,201301031200,-0.885783,0,72.12,0.841,1.22,0.447909,1.33369,0.238173,1.42964,460.181,-9999.0,87.3929
201301031200,201301031230,-2.30509,0,73.15,0.892,1.47,0.454256,2.75935,0.247653,1.44132,469.97,-9999.0,86.8757
201301031230,201301031300,-1.91465,0,88.22,0.981,1.71,0.46037,2.37502,0.256931,1.60399,464.694,-9999.0,85.8037
201301031300,201301031330,-0.289905,0,67.13,1.291,2.25,0.474199,0.764104,0.280608,1.3696,444.444,-9999.0,82.0375
201301031330,201301031400,-0.871458,0,50.73,1.434,2.3,0.475484,1.34694,0.281434,1.14881,409.566,-9999.0,80.1151
201301031400,201301031430,0.325855,0,44.55,2.02,2.88,0.490453,0.164598,0.308714,1.05238,360.657,-9999.0,73.1172
201301031430,201301031500,-9999.0,1,24.53,2.717,3.49,0.506308,0.580785,0.339509,0.682332,298.553,-9999.0,65.3814
201301031500,201301031530,-9999.0,1,13.86,3.298,4.06,0.521221,-0.020225,0.370081,0.42771,224.318,-9999.0,59.6341
201301031530,201301031600,-9999.0,1,5.31,2.429,3.41,0.504223,-0.071397,0.331267,0.180156,139.221,-9999.0,68.8738
201301031600,201301031630,-9999.0,1,1.14,2.399,3.29,0.501098,-0.069347,0.322929,0.040577,44.8429,-9999.0,68.9985
201301031630,201301031700,-9999.0,1,0.0,1.829,2.84,0.489417,-0.087327,0.297939,0.0,0.0,-9999.0,75.591
201301031700,201301031730,-9999.0,1,0.0,0.844,1.8,0.462668,-0.140944,0.247888,0.0,0.0,-9999.0,87.8652
201301031730,201301031800,-1.48341,0,0.0,0.485,1.41,0.452731,1.93614,0.230049,0.0,0.0,-9999.0,92.8334
201301031800,201301031830,-0.148452,0,0.0,0.332,1.3,0.449938,0.59839,0.224248,0.0,0.0,-9999.0,95.0502
201301031830,201301031900,-9999.0,1,0.0,0.281,1.41,0.452731,-0.379201,0.227326,0.0,0.0,-9999.0,95.8488
201301031900,201301031930,-9999.0,1,0.0,0.27,1.44,0.453493,-0.164841,0.227172,0.0,0.0,-9999.0,96.0108
201301031930,201301032000,-9999.0,1,0.0,0.27,1.58,0.457056,-0.205772,0.23147,0.0,0.0,-9999.0,96.065
201301032000,201301032030,-9999.0,1,0.0,0.236,1.64,0.458585,-0.195962,0.232514,0.0,0.0,-9999.0,96.5728
201301032030,201301032100,0.40615,0,0.0,0.222,1.75,0.461391,0.055241,0.235605,0.0,0.0,-9999.0,96.7992
201301032100,201301032130,-9999.0,1,0.0,0.209,2.04,0.46881,-0.239743,0.246294,0.0,0.0,-9999.0,97.0498
201301032130,201301032200,-9999.0,1,0.0,0.288,2.64,0.484246,-0.177594,0.271228,0.0,0.0,-9999.0,96.1087
201301032200,201301032230,0.0267912,0,0.0,0.489,3.39,0.503701,0.47691,0.305363,0.0,0.0,-9999.0,93.7241
201301032230,201301032300,-7.24017,0,0.0,0.592,3.91,0.517288,7.75746,0.330148,0.0,0.0,-9999.0,92.6788
201301032300,201301032330,-9999.0,1,0.0,0.44,4.07,0.521483,-0.083678,0.336575,0.0,0.0,-9999.0,94.6161
201301032330,201301040000,-9999.0,1,0.0,0.791,5.89,0.569673,0.03525,0.442504,0.0,0.0,-9999.0,91.4811
201301040000,201301040030,0.801186,0,0.0,0.947,6.32,0.581172,-0.220014,0.468419,0.0,0.0,-9999.0,90.0946
201301040030,201301040100,0.648246,0,0.0,0.802,6.19,0.577692,-0.070554,0.456643,0.0,0.0,-9999.0,91.535
201301040100,201301040130,-9999.0,1,0.0,0.81,6.19,0.577692,0.053642,0.453695,0.0,0.0,-9999.0,91.454
201301040130,201301040200,-9999.0,1,0.0,0.922,6.34,0.581708,0.056896,0.460751,0.0,0.0,-9999.0,90.3765
201301040200,201301040230,1.02362,0,0.0,0.899,6.32,0.581172,-0.442448,0.456404,0.0,0.0,-9999.0,90.5965
201301040230,201301040300,0.157237,0,0.0,0.686,6.16,0.576889,0.419652,0.442898,0.0,0.0,-9999.0,92.7508
201301040300,201301040330,1.11043,0,0.0,0.666,6.19,0.577692,-0.532738,0.441906,0.0,0.0,-9999.0,92.9772
201301040330,201301040400,0.866441,0,0.0,0.799,6.31,0.580905,-0.285536,0.446739,0.0,0.0,-9999.0,91.6382
201301040400,201301040430,0.680414,0,0.0,0.875,6.41,0.583584,-0.09683,0.450256,0.0,0.0,-9999.0,90.9065
201301040430,201301040500,1.3219,0,0.0,0.81,6.32,0.581172,-0.740728,0.441384,0.0,0.0,-9999.0,91.533
201301040500,201301040530,0.517669,0,0.0,0.75,6.13,0.576086,0.058417,0.426343,0.0,0.0,-9999.0,92.0561
201301040530,201301040600,0.526539,0,0.0,0.635,5.92,0.570474,0.043935,0.410492,0.0,0.0,-9999.0,93.178
201301040600,201301040630,0.411238,0,0.0,0.587,5.82,0.567805,0.156567,0.401649,0.0,0.0,-9999.0,93.6464
201301040630,201301040700,0.550017,0,0.0,0.63,5.85,0.568606,0.018589,0.400642,0.0,0.0,-9999.0,93.1933
201301040700,201301040730,0.813786,0,0.0,0.642,5.9,0.56994,-0.243846,0.400805,0.0,0.0,-9999.0,93.0852
201301040730,201301040800,-9999.0,1,0.0,0.635,5.85,0.568606,0.084629,0.395036,0.0,0.0,-9999.0,93.1403
201301040800,201301040830,-9999.0,1,0.0,0.653,5.8,0.567271,0.083294,0.389326,0.0,22.3863,-9999.0,92.9183
201301040830,201301040900,0.931796,0,0.0,0.648,5.74,0.565671,-0.366125,0.3831,0.0,113.754,-9999.0,92.9518
201301040900,201301040930,0.42595,0,1.28,0.564,5.69,0.564339,0.138389,0.377511,0.035139,201.894,-9999.0,93.8379
201301040930,201301041000,0.00854191,0,13.15,0.452,5.6,0.561941,0.553399,0.369754,0.328803,279.584,-9999.0,95.0352
201301041000,201301041030,-0.306344,0,30.9,0.451,5.64,0.563006,0.86935,0.369263,0.700143,345.494,-9999.0,95.0603
201301041030,201301041100,-0.0769345,0,12.12,0.523,5.73,0.565405,0.642339,0.371516,0.300908,398.497,-9999.0,94.3023
