TIMESTAMP_START,TIMESTAMP_END,NEE,NEE_VUT_REF_QC,SW_IN_F,VPD_F_MDS,TA_F_MDS,RECO_NT_VUT_REF,GPP_NT_VUT_REF,RECO_DT_VUT_REF,GPP_DT_VUT_REF,SW_IN_POT,PPFD_IN,TS_F_MDS_1,RH
201101010000,201101010030,-9999.0,2,0.0,0.695,1.68,0.089314,-0.416146,0.72282,0.0,0.0,0.0,-9999.0,89.93
201101010030,201101010100,-9999.0,2,0.0,0.661,1.64,0.08917,-0.344968,0.718311,0.0,0.0,0.0,-9999.0,90.39
201101010100,201101010130,-9999.0,2,0.0,0.719,1.65,0.089206,-0.344932,0.719436,0.0,0.0,0.0,-9999.0,89.56
201101010130,201101010200,-9999.0,2,0.0,0.673,1.56,0.088884,-0.228316,0.709355,0.0,0.0,0.0,-9999.0,90.16
201101010200,201101010230,-9999.0,2,0.0,0.576,1.4,0.08831,-0.35419,0.691689,0.0,0.0,0.0,-9999.0,91.48
201101010230,201101010300,-9999.0,2,0.0,0.624,1.42,0.088382,-0.354118,0.693879,0.0,0.0,0.0,-9999.0,90.78
201101010300,201101010330,-9999.0,2,0.0,0.656,1.38,0.088239,-0.354261,0.689503,0.0,0.0,0.0,-9999.0,90.29
201101010330,201101010400,-9999.0,2,0.0,0.674,1.44,0.088454,-0.354046,0.696075,0.0,0.0,0.0,-9999.0,90.06
201101010400,201101010430,-9999.0,2,0.0,0.753,1.5,0.088669,-0.230946,0.702692,0.0,0.0,0.0,-9999.0,88.94
201101010430,201101010500,-9999.0,2,0.0,0.805,1.58,0.088955,-0.228245,0.711586,0.0,0.0,0.0,-9999.0,88.24
201101010500,201101010530,-9999.0,2,0.0,0.872,1.7,0.089385,-0.416075,0.725082,0.0,0.0,0.0,-9999.0,87.38
201101010530,201101010600,-9999.0,1,0.0,0.972,1.8,0.089743,-0.930257,0.736471,0.0,0.0,0.0,-9999.0,86.03
201101010600,201101010630,-9999.0,1,0.0,0.922,1.73,0.089493,-0.975507,0.728485,0.0,0.0,0.0,-9999.0,86.69
201101010630,201101010700,-9999.0,2,0.0,0.65,1.26,0.087809,-0.320887,0.676497,0.0,0.0,0.0,-9999.0,90.29
201101010700,201101010730,-9999.0,2,0.0,0.498,1.08,0.087163,-0.161967,0.657327,0.0,0.0,0.0,-9999.0,92.47
201101010730,201101010800,-9999.0,2,0.0,0.515,1.15,0.087414,-0.21395,0.664734,0.0,0.0,0.27,-9999.0,92.24
201101010800,201101010830,-9999.0,2,1.34,0.549,1.43,0.088418,-0.354082,0.694976,0.114942,5.93361,3.5,-9999.0,91.9
201101010830,201101010900,-9999.0,2,8.64,0.534,1.65,0.089206,-0.344932,0.719436,0.576582,73.7556,13.82,-9999.0,92.24
201101010900,201101010930,-9999.0,1,12.39,0.54,1.85,0.089922,-0.930078,0.742214,0.742191,150.911,20.28,-9999.0,92.27
201101010930,201101011000,-9999.0,1,20.46,0.519,1.92,0.090173,-0.486494,0.750309,1.00435,217.973,34.37,-9999.0,92.6
201101011000,201101011030,-9999.0,1,16.67,0.322,1.78,0.089672,-0.930328,0.734183,0.894107,273.796,29.16,-9999.0,95.37
201101011030,201101011100,-9999.0,1,18.95,0.427,1.99,0.090424,-0.527909,0.758469,0.962743,317.424,32.13,-9999.0,93.95
