TIMESTAMP_START,TIMESTAMP_END,NEE,NEE_VUT_REF_QC,SW_IN_F,VPD_F_MDS,TA_F_MDS,RECO_NT_VUT_REF,GPP_NT_VUT_REF,RECO_DT_VUT_REF,GPP_DT_VUT_REF,SW_IN_POT,PPFD_IN,TS_F_MDS_1,RH
200901010000,200901010030,-9999.0,1,0.0,0.415,-3.27,1.00616,0.033287,1.1098,0.0,0.0,0.0,-2.232,91.3488
200901010030,200901010100,-9999.0,1,0.0,0.409,-3.416,0.995775,0.019595,1.10536,0.0,0.0,0.0,-2.244,91.3829
200901010100,200901010130,-9999.0,1,0.0,0.394,-3.826,0.966806,-0.02418,1.09282,0.0,0.0,0.0,-2.266,91.441
200901010130,200901010200,-9999.0,1,0.0,0.392,-4.236,0.938137,-0.070799,1.08019,0.0,0.0,0.0,-2.312,91.2151
200901010200,200901010230,-9999.0,1,0.0,0.387,-4.453,0.923086,-0.083316,1.07346,0.0,0.0,0.0,-2.377,91.198
200901010230,200901010300,-9999.0,1,0.0,0.394,-4.609,0.91232,-0.107796,1.06861,0.0,0.0,0.0,-2.438,90.9252
200901010300,200901010330,-9999.0,1,0.0,0.384,-4.779,0.900641,-0.14276,1.0633,0.0,0.0,0.0,-2.474,91.0383
200901010330,200901010400,-9999.0,1,0.0,0.379,-4.94,0.88963,-0.177738,1.05826,0.0,0.0,0.0,-2.489,91.0452
200901010400,200901010430,-9999.0,1,0.0,0.362,-5.221,0.87053,-0.167142,1.04943,0.0,0.0,0.0,-2.514,91.2712
200901010430,200901010500,1.56937,0,0.0,0.335,-5.51,0.851048,-0.710054,1.04029,0.0,0.0,0.0,-2.552,91.732
200901010500,200901010530,1.49608,0,0.0,0.306,-5.961,0.820976,-0.667202,1.02594,0.0,0.0,0.0,-2.649,92.1817
200901010530,200901010600,1.46962,0,0.0,0.291,-6.409,0.791514,-0.670561,1.01156,0.0,0.0,0.0,-2.732,92.3049
200901010600,200901010630,1.25191,0,0.0,0.267,-6.81,0.765498,-0.479179,0.998583,0.0,0.0,0.19,-2.805,92.7333
200901010630,200901010700,1.28632,0,0.0,0.197,-6.929,0.757844,-0.521335,0.994714,0.0,0.0,0.0,-2.868,94.5667
200901010700,200901010730,-1.68669,0,0.0,0.163,-6.853,0.762729,2.45662,0.997186,0.0,0.0,0.0,-2.852,95.5333
200901010730,200901010800,-9999.0,1,0.0,0.124,-7.337,0.731833,-0.285096,0.981385,0.0,0.0,0.29,-2.879,96.4667
200901010800,200901010830,-5.1662,0,0.0,0.111,-7.707,0.708561,5.88132,0.96921,0.0,9.64388,3.16,-2.937,96.7667
200901010830,200901010900,-9999.0,1,0.401,0.12,-7.732,0.706999,-0.355223,0.968385,0.001723,84.3354,13.71,-3.005,96.5
200901010900,200901010930,-1.67146,0,1.645,0.135,-7.529,0.719718,2.39787,0.975078,0.007068,163.715,21.48,-3.06,96.1
200901010930,200901011000,0.71693,0,5.495,0.138,-7.166,0.74269,0.032721,0.986983,0.023602,232.88,29.54,-3.072,96.1333
200901011000,200901011030,3.08829,0,8.544,0.152,-6.691,0.773183,-2.30778,1.00244,0.036687,290.646,34.91,-3.02,95.9
200901011030,200901011100,0.77748,0,12.595,0.163,-6.347,0.795566,0.02568,1.01356,0.054061,336.025,43.54,-2.947,95.7
200901011100,200901011130,-0.524876,0,17.208,0.168,-6.098,0.811923,1.34459,1.02155,0.07383,368.241,55.05,-2.871,95.6667
200901011130,200901011200,2.97045,0,24.589,0.171,-5.885,0.826015,-2.13647,1.02837,0.105425,386.743,70.68,-2.792,95.6667
200901011200,200901011230,1.76416,0,20.898,0.171,-5.691,0.83893,-0.91711,1.03455,0.089631,391.214,62.33,-2.725,95.7333
200901011230,200901011300,0.048705,0,20.016,0.169,-5.612,0.844211,0.803691,1.03706,0.085855,381.577,60.89,-2.676,95.8
200901011300,200901011330,0.500285,0,15.443,0.172,-5.618,0.84381,0.351704,1.03687,0.066268,357.997,51.69,-2.646,95.7333
200901011330,200901011400,-0.889685,0,13.157,0.174,-5.604,0.844747,1.74262,1.03731,0.056471,320.878,43.92,-2.614,95.6667
200901011400,200901011430,0.07539,0,10.79,0.182,-5.522,0.850243,0.783111,1.03991,0.046322,270.855,39.7,-2.57,95.5
200901011430,200901011500,3.4278,0,6.258,0.188,-5.461,0.85434,-2.56515,1.04185,0.026877,208.784,30.5,-2.546,95.3667
200901011500,200901011530,2.48465,0,1.043,0.189,-5.441,0.855684,-1.62064,1.04248,0.004482,135.727,18.22,-2.538,95.3667
200901011530,200901011600,1.8176,0,0.0,0.195,-5.456,0.854676,-0.954612,1.04201,0.0,52.9336,7.67,-2.528,95.2
200901011600,200901011630,-9999.0,1,0.0,0.195,-5.448,0.855214,-0.151037,1.04226,0.0,0.406353,1.63,-2.529,95.2
200901011630,200901011700,-9999.0,1,0.0,0.199,-5.41,0.857771,-0.144759,1.04346,0.0,0.0,0.19,-2.526,95.1333
200901011700,200901011730,-9999.0,1,0.0,0.201,-5.377,0.859994,-0.399078,1.0445,0.0,0.0,0.0,-2.509,95.1
200901011730,200901011800,0.728812,0,0.0,0.201,-5.375,0.860128,0.139696,1.04457,0.0,0.0,0.1,-2.471,95.1
200901011800,200901011830,0.346609,0,0.0,0.202,-5.367,0.860668,0.522445,1.04482,0.0,0.0,0.0,-2.431,95.0667
200901011830,200901011900,-9999.0,1,0.0,0.204,-5.415,0.857434,-0.139319,1.0433,0.0,0.0,0.1,-2.411,95.0
200901011900,200901011930,-9999.0,1,0.0,0.204,-5.435,0.856088,-0.140222,1.04267,0.0,0.0,0.0,-2.417,95.0
200901011930,200901012000,2.39986,0,0.0,0.2,-5.445,0.855416,-1.53612,1.04235,0.0,0.0,0.0,-2.427,95.1
200901012000,200901012030,2.09262,0,0.0,0.191,-5.394,0.858848,-1.22541,1.04397,0.0,0.0,0.29,-2.439,95.3333
200901012030,200901012100,-0.321671,0,0.0,0.186,-5.329,0.863231,1.19332,1.04602,0.0,0.0,0.29,-2.433,95.4667
200901012100,200901012130,0.26263,0,0.0,0.182,-5.227,0.870124,0.615996,1.04924,0.0,0.0,0.1,-2.415,95.6
200901012130,200901012200,-9999.0,1,0.0,0.184,-5.17,0.873986,-0.122005,1.05104,0.0,0.0,0.1,-2.387,95.5667
200901012200,200901012230,-9999.0,1,0.0,0.188,-5.128,0.876835,-0.11646,1.05236,0.0,0.0,0.19,-2.349,95.5
200901012230,200901012300,-9999.0,1,0.0,0.184,-5.078,0.880231,-0.113022,1.05393,0.0,0.0,0.0,-2.322,95.6
200901012300,200901012330,-9999.0,1,0.0,0.185,-5.006,0.88513,-0.122953,1.05619,0.0,0.0,0.19,-2.285,95.6
200901012330,200901020000,-9999.0,1,0.0,0.18,-4.97,0.887583,-0.43616,1.05732,0.0,0.0,0.1,-2.257,95.7333
200901020000,200901020030,-9999.0,1,0.0,0.174,-4.908,0.891814,0.039731,1.05927,0.0,0.0,0.1,-2.241,95.9
200901020030,200901020100,-9999.0,1,0.0,0.175,-4.842,0.896326,0.154754,1.06133,0.0,0.0,0.29,-2.197,95.9
200901020100,200901020130,-9999.0,1,0.0,0.175,-4.799,0.89927,-0.107968,1.06268,0.0,0.0,0.1,-2.152,95.9
