TIMESTAMP_START,TIMESTAMP_END,NEE,NEE_VUT_REF_QC,SW_IN_F,VPD_F_MDS,TA_F_MDS,RECO_NT_VUT_REF,GPP_NT_VUT_REF,RECO_DT_VUT_REF,GPP_DT_VUT_REF,SW_IN_POT,PPFD_IN,TS_F_MDS_1,RH
201401010000,201401010030,0.366051,0,0.0,0.693,0.988,0.439347,0.071142,0.440745,0.0,0.0,0.425015,5.333,89.4486
201401010030,201401010100,-9999.0,1,0.0,0.669,0.976,0.438869,-0.164331,0.440449,0.0,0.0,0.414368,5.322,89.7978
201401010100,201401010130,-9999.0,1,0.0,0.606,0.678,0.427073,-0.181754,0.433121,0.0,0.0,0.446207,5.312,90.5534
201401010130,201401010200,0.58822,0,0.0,0.638,0.843,0.433583,-0.156748,0.437175,0.0,0.0,0.435607,5.305,90.1826
201401010200,201401010230,0.545305,0,0.0,0.563,0.414,0.416767,-0.130525,0.426654,0.0,0.0,0.422367,5.298,91.0508
201401010230,201401010300,0.717469,0,0.0,0.452,-0.094,0.397316,-0.321999,0.414279,0.0,0.0,0.425015,5.286,92.5464
201401010300,201401010330,0.44456,0,0.0,0.438,-0.049,0.399019,-0.047399,0.415372,0.0,0.0,0.438255,5.281,92.8021
201401010330,201401010400,0.598605,0,0.0,0.436,0.002,0.400953,-0.199524,0.416611,0.0,0.0,0.505781,5.274,92.8572
201401010400,201401010430,1.07009,0,0.0,0.507,0.286,0.411819,-0.660222,0.423528,0.0,0.0,0.496513,5.261,91.8768
201401010430,201401010500,0.852559,0,0.0,0.583,0.43,0.417388,-0.437163,0.427046,0.0,0.0,0.520345,5.248,90.7449
201401010500,201401010530,0.701319,0,0.0,0.586,0.207,0.40878,-0.294467,0.421601,0.0,0.0,0.504457,5.244,90.5496
201401010530,201401010600,0.196924,0,0.0,0.552,0.055,0.402969,0.204159,0.417899,0.0,0.0,0.483272,5.232,90.9942
201401010600,201401010630,0.280006,0,0.0,0.649,0.233,0.409779,0.127837,0.422235,0.0,0.0,0.4793,5.218,89.5594
201401010630,201401010700,-9999.0,1,0.0,0.67,0.157,0.406864,-0.214009,0.420382,0.0,0.0,0.42766,5.211,89.1643
201401010700,201401010730,-9999.0,1,0.0,0.74,0.246,0.410279,-0.220291,0.422552,0.0,0.0,0.472682,5.199,88.0961
201401010730,201401010800,-9999.0,1,0.0,0.688,-0.036,0.399511,-0.251103,0.415688,0.0,0.0,0.550798,5.186,88.7182
201401010800,201401010830,0.593268,0,0.291,0.766,0.201,0.40855,-0.186645,0.421454,0.000155,0.0,4.05286,5.176,87.6441
201401010830,201401010900,0.507632,0,13.001,0.742,0.116,0.405296,-0.104239,0.419384,0.006922,29.4906,21.6228,5.162,87.9582
201401010900,201401010930,1.03958,0,42.383,0.779,0.309,0.412705,-0.628832,0.424089,0.022544,103.575,58.3859,5.15,87.5281
201401010930,201401011000,1.02452,0,43.391,0.809,0.446,0.418009,-0.608507,0.427437,0.023079,168.991,67.2238,5.138,87.1851
201401011000,201401011030,0.964281,0,45.76,0.937,0.741,0.429553,-0.536809,0.434668,0.024337,223.805,71.936,5.127,85.4749
201401011030,201401011100,0.54782,0,71.668,0.949,0.888,0.435368,-0.114576,0.438282,0.038086,267.08,112.949,5.115,85.4288
201401011100,201401011130,0.836508,0,140.659,1.092,1.276,0.450916,-0.387833,0.447856,0.07459,298.076,218.612,5.1,83.7046
201401011130,201401011200,0.778662,0,89.323,1.053,1.292,0.451563,-0.329344,0.448252,0.047442,316.261,144.605,5.087,84.3061
201401011200,201401011230,0.352137,0,55.204,1.071,1.387,0.455417,0.101006,0.450604,0.029352,321.326,90.1229,5.071,84.1497
201401011230,201401011300,0.45416,0,62.782,1.131,1.551,0.462111,0.005625,0.454671,0.033373,313.184,100.043,5.06,83.4468
201401011300,201401011330,0.722426,0,64.743,1.127,1.697,0.468113,-0.256684,0.458299,0.034413,291.973,102.293,5.046,83.6804
201401011330,201401011400,0.479675,0,75.484,1.168,1.918,0.477276,-0.00484,0.463803,0.040109,258.057,118.063,5.031,83.3486
201401011400,201401011430,-9999.0,1,77.969,1.267,2.234,0.490538,-0.18494,0.471698,0.041426,212.015,119.38,5.013,82.3429
201401011430,201401011500,-9999.0,1,38.233,1.259,2.429,0.498817,-0.014756,0.476585,0.020339,154.637,60.7003,5.004,82.6953
201401011500,201401011530,0.283556,0,43.92,1.285,2.635,0.50764,0.221408,0.481759,0.02336,86.9028,56.4753,4.989,82.608
201401011530,201401011600,0.65823,0,19.645,1.278,2.618,0.506909,-0.153992,0.481331,0.010457,15.7765,24.8812,4.976,82.6702
201401011600,201401011630,0.620515,0,0.0,1.136,1.998,0.480615,-0.142366,0.465799,0.0,0.0,3.13134,4.958,83.8998
201401011630,201401011700,0.684512,0,0.0,0.836,1.279,0.451037,-0.235716,0.447931,0.0,0.0,0.520345,4.935,87.5255
201401011700,201401011730,-9999.0,1,0.0,0.721,0.959,0.438191,-0.165003,0.440031,0.0,0.0,0.443551,4.916,88.9942
201401011730,201401011800,-9999.0,1,0.0,0.73,1.032,0.441104,-0.162112,0.44183,0.0,0.0,0.409126,4.901,88.9164
201401011800,201401011830,0.572559,0,0.0,0.675,0.875,0.434852,-0.139828,0.437962,0.0,0.0,0.369405,4.879,89.6341
201401011830,201401011900,-9999.0,1,0.0,0.594,0.704,0.428095,-0.177525,0.433759,0.0,0.0,0.397214,4.862,90.7568
201401011900,201401011930,-9999.0,1,0.0,0.565,0.459,0.418514,-0.208788,0.427755,0.0,0.0,0.423702,4.849,91.0493
201401011930,201401012000,-9999.0,1,0.0,0.486,-0.057,0.398715,-0.25504,0.415177,0.0,0.0,0.395886,4.838,92.0178
201401012000,201401012030,-9999.0,1,0.0,0.481,0.103,0.404799,-0.217081,0.419067,0.0,0.0,0.407802,4.827,92.1817
201401012030,201401012100,-9999.0,1,0.0,0.551,0.57,0.422841,-0.191242,0.430473,0.0,0.0,0.428987,4.815,91.3441
201401012100,201401012130,-9999.0,1,0.0,0.602,0.809,0.432237,-0.169339,0.436339,0.0,0.0,0.395886,4.802,90.7035
201401012130,201401012200,-9999.0,1,0.0,0.599,0.9,0.435844,-0.173886,0.438578,0.0,0.0,0.415746,4.792,90.8149
201401012200,201401012230,0.812264,0,0.0,0.623,1.101,0.443867,-0.370584,0.443532,0.0,0.0,0.414422,4.776,90.5927
201401012230,201401012300,-9999.0,1,0.0,0.693,1.318,0.452616,-0.183229,0.448896,0.0,0.0,0.415746,4.762,89.6952
201401012300,201401012330,-9999.0,1,0.0,0.663,1.205,0.448049,-0.195899,0.446101,0.0,0.0,0.435607,4.755,90.0545
201401012330,201401020000,0.701144,0,0.0,0.723,1.225,0.448855,-0.254514,0.446595,0.0,0.0,0.426339,4.743,89.166
