TIMESTAMP_START,TIMESTAMP_END,NEE,NEE_VUT_REF_QC,SW_IN_F,VPD_F_MDS,TA_F_MDS,RECO_NT_VUT_REF,GPP_NT_VUT_REF,RECO_DT_VUT_REF,GPP_DT_VUT_REF,SW_IN_POT,PPFD_IN,TS_F_MDS_1,RH
200701010000,200701010030,-9999.0,1,9.298,1.325,7.319,0.984501,0.189227,2.54925,0.520649,0.0,17.88,6.175,87.06
200701010030,200701010100,0.877516,0,9.095,1.563,7.551,0.997784,0.124697,2.57342,0.509709,0.0,17.49,6.203,84.98
200701010100,200701010130,-9999.0,1,8.939,1.603,7.586,0.999793,0.206629,2.57707,0.50129,0.0,17.19,6.25,84.63
200701010130,200701010200,-9999.0,1,9.126,1.398,7.413,0.989875,0.204739,2.55904,0.511381,0.0,17.55,6.284,86.44
200701010200,200701010230,-9999.0,1,9.35,1.063,7.131,0.973784,0.210573,2.52968,0.523449,0.0,17.98,6.308,89.49
200701010230,200701010300,-9999.0,1,9.568,0.924,7.055,0.969463,0.233556,2.52177,0.535172,0.0,18.4,6.34,90.81
200701010300,200701010330,-9999.0,1,9.521,1.076,7.391,0.988617,0.208137,2.55675,0.532646,0.0,18.31,6.387,89.55
200701010330,200701010400,-9999.0,1,9.422,1.334,7.506,0.995203,0.213229,2.56873,0.527323,0.0,18.12,6.422,87.14
200701010400,200701010430,0.882609,0,9.428,1.188,7.505,0.995145,0.116887,2.56863,0.527646,0.0,18.13,6.433,88.55
200701010430,200701010500,0.993888,0,9.282,1.409,7.906,1.01823,0.029389,2.61043,0.519788,0.0,17.85,6.445,86.79
200701010500,200701010530,1.05842,0,9.292,1.671,7.94,1.0202,-0.033117,2.61398,0.520326,0.0,17.87,6.465,84.36
200701010530,200701010600,1.12397,0,9.308,2.228,7.803,1.01228,-0.106821,2.59969,0.521188,0.0,17.9,6.472,78.96
200701010600,200701010630,1.20097,0,9.339,2.467,7.666,1.00439,-0.191951,2.58541,0.522857,0.0,17.96,6.45,76.48
200701010630,200701010700,1.12472,0,9.448,2.438,7.63,1.00232,-0.117833,2.58165,0.528721,0.0,18.17,6.399,76.7
200701010700,200701010730,1.24728,0,9.344,2.333,7.623,1.00192,-0.240807,2.58092,0.523126,0.0,17.97,6.362,77.69
200701010730,200701010800,1.23237,0,9.49,2.339,7.595,1.00031,-0.227555,2.57801,0.53098,0.0,18.25,6.346,77.59
200701010800,200701010830,0.848326,0,10.234,2.435,7.628,1.00221,0.158442,2.58144,0.570855,0.0,19.68,6.327,76.73
200701010830,200701010900,-9999.0,1,17.644,2.427,7.546,0.997497,0.237091,2.5729,0.955082,5.12443,33.93,6.312,76.67
200701010900,200701010930,-9999.0,1,30.898,2.404,7.499,0.994801,0.325224,2.568,1.58851,62.295,59.42,6.298,76.82
200701010930,200701011000,-9999.0,1,52.52,2.716,7.72,1.0075,0.56008,2.59104,2.49559,125.797,101.0,6.296,74.2
200701011000,200701011030,-9999.0,1,39.25,2.144,7.191,0.9772,0.398401,2.53593,1.95597,179.262,75.48,6.295,78.88
200701011030,200701011100,-9999.0,1,61.256,1.424,6.254,0.924348,1.04272,2.43857,2.82426,221.776,117.8,6.294,85.04
200701011100,200701011130,-9999.0,1,100.412,1.789,6.58,0.942616,2.79217,2.4724,4.08575,252.612,193.1,6.289,81.63
200701011130,200701011200,-1.43761,0,121.888,2.012,6.804,0.955242,2.39603,2.49567,4.65941,271.242,234.4,6.289,79.65
200701011200,200701011230,-1.69152,0,120.536,2.314,7.207,0.978112,2.67348,2.53759,4.62536,277.346,231.8,6.29,77.24
200701011230,200701011300,-0.959852,0,92.664,2.303,7.072,0.970429,1.9339,2.52354,3.86021,270.821,178.2,6.294,77.13
200701011300,200701011330,-1.02522,0,94.12,2.477,7.376,0.987759,2.01711,2.55519,3.90341,251.779,181.0,6.288,75.91
200701011330,200701011400,-0.632489,0,73.58,2.541,7.284,0.982503,1.61897,2.54561,3.25606,220.544,141.5,6.292,75.13
200701011400,200701011430,-9999.0,1,43.098,2.307,7.183,0.976744,0.426468,2.53509,2.11779,177.652,82.88,6.278,77.27
200701011430,200701011500,-9999.0,1,26.967,2.183,7.019,0.967419,0.310052,2.51803,1.40738,123.836,51.86,6.267,78.25
200701011500,200701011530,1.10161,0,18.668,2.387,6.998,0.966227,-0.131886,2.51584,1.0064,60.0177,35.9,6.243,76.18
200701011530,200701011600,-9999.0,1,12.038,2.257,6.813,0.955751,0.235342,2.49661,0.666538,4.24937,23.15,6.206,77.19
200701011600,200701011630,-9999.0,1,10.192,2.177,6.743,0.951798,0.228491,2.48933,0.568611,0.0,19.6,6.181,77.89
200701011630,200701011700,1.71814,0,9.776,2.523,7.003,0.966511,-0.748124,2.51636,0.546337,0.0,18.8,6.152,74.83
200701011700,200701011730,1.43995,0,9.927,2.5,6.752,0.952306,-0.484551,2.49027,0.554431,0.0,19.09,6.107,74.63
200701011730,200701011800,1.76509,0,9.927,2.44,6.535,0.940086,-0.82226,2.46773,0.554431,0.0,19.09,6.051,74.86
200701011800,200701011830,1.50766,0,9.927,2.489,6.575,0.942334,-0.562518,2.47188,0.554431,0.0,19.09,5.995,74.43
200701011830,200701011900,1.64561,0,10.14,2.451,6.47,0.936437,-0.706532,2.46098,0.565831,0.0,19.5,5.959,74.63
200701011900,200701011930,1.81003,0,10.322,2.465,6.4,0.932513,-0.874987,2.45371,0.575556,0.0,19.85,5.905,74.37
200701011930,200701012000,1.52603,0,10.317,2.679,6.24,0.923566,-0.600185,2.43711,0.575289,0.0,19.84,5.848,71.83
200701012000,200701012030,1.60023,0,10.457,2.455,5.975,0.908818,-0.689542,2.40965,0.58276,0.0,20.11,5.779,73.71
200701012030,200701012100,1.26751,0,10.364,2.489,6.115,0.916599,-0.348827,2.42415,0.577798,0.0,19.93,5.74,73.6
200701012100,200701012130,1.21746,0,10.462,2.333,6.044,0.91265,-0.302835,2.4168,0.583027,0.0,20.12,5.71,75.13
200701012130,200701012200,1.36763,0,10.514,2.186,5.951,0.907487,-0.45831,2.40716,0.585799,0.0,20.22,5.69,76.55
200701012200,200701012230,1.24212,0,10.52,2.107,5.827,0.90062,-0.339856,2.39432,0.586119,0.0,20.23,5.67,77.2
200701012230,200701012300,1.03584,0,10.592,2.088,5.75,0.896365,-0.137946,2.38635,0.589956,0.0,20.37,5.645,77.29
200701012300,200701012330,1.1486,0,10.592,1.982,5.646,0.890631,-0.256596,2.37559,0.589956,0.0,20.37,5.612,78.29
200701012330,200701020000,1.10484,0,10.717,1.989,5.637,0.890136,-0.213345,2.37466,0.596612,0.0,20.61,5.578,78.19
200701020000,200701020030,1.14838,0,10.78,1.942,5.479,0.881452,-0.265802,2.35833,0.599964,0.0,20.73,5.544,78.47
200701020030,200701020100,0.884935,0,11.05,1.943,5.281,0.870615,-0.013482,2.33788,0.614311,0.0,21.25,5.509,78.17
200701020100,200701020130,0.875421,0,10.977,1.88,5.268,0.869905,-0.004696,2.33654,0.610435,0.0,21.11,5.456,78.85
200701020130,200701020200,0.59793,0,11.138,1.692,5.033,0.857114,0.259668,2.31229,0.61898,0.0,21.42,5.409,80.65
200701020200,200701020230,0.624985,0,11.352,1.621,4.963,0.853317,0.228718,2.30508,0.63032,0.0,21.83,5.356,81.38
200701020230,200701020300,0.666012,0,11.357,1.475,4.743,0.841428,0.175496,2.28242,0.630584,0.0,21.84,5.318,82.79
200701020300,200701020330,0.613423,0,11.367,1.402,4.537,0.830353,0.21673,2.26122,0.631114,0.0,21.86,5.299,83.41
200701020330,200701020400,0.826367,0,11.502,1.271,4.225,0.813689,-0.013294,2.22918,0.638256,0.0,22.12,5.255,84.62
200701020400,200701020430,0.637113,0,11.664,1.201,4.13,0.808641,0.170788,2.21943,0.646817,0.0,22.43,5.202,85.37
200701020430,200701020500,0.614089,0,11.794,1.229,4.23,0.813955,0.199257,2.22969,0.653679,0.0,22.68,5.155,85.14
200701020500,200701020530,0.63836,0,11.664,1.158,4.087,0.80636,0.167205,2.21502,0.646817,0.0,22.43,5.114,85.85
200701020530,200701020600,0.695889,0,11.627,1.117,4.119,0.808057,0.111414,2.2183,0.644863,0.0,22.36,5.08,86.39
200701020600,200701020630,0.795902,0,11.664,1.018,4.08,0.805989,0.009283,2.2143,0.646817,0.0,22.43,5.047,87.56
200701020630,200701020700,0.865055,0,11.799,0.92,3.974,0.800378,-0.065617,2.20344,0.653943,0.0,22.69,5.017,88.67
200701020700,200701020730,0.832567,0,11.638,0.98,3.979,0.800643,-0.032859,2.20395,0.645444,0.0,22.38,4.998,87.94
200701020730,200701020800,0.800029,0,11.882,1.009,3.905,0.796734,-0.004323,2.19637,0.65832,0.0,22.85,4.985,87.51
200701020800,200701020830,0.549046,0,12.87,1.137,3.734,0.787732,0.237442,2.17887,0.710193,0.0,24.75,4.95,85.76
200701020830,200701020900,-0.138164,0,18.912,1.332,3.699,0.785895,0.922771,2.17529,1.01856,5.80347,36.37,4.899,83.28
200701020900,200701020930,-0.0584015,0,29.224,1.124,3.273,0.763667,0.820261,2.13179,1.51204,64.1022,56.2,4.851,85.46
200701020930,200701021000,-0.626431,0,48.074,1.019,3.397,0.770111,1.39488,2.14444,2.32047,127.642,92.45,4.792,86.93
200701021000,200701021030,-1.57582,0,99.892,1.271,4.063,0.805088,2.38008,2.21256,4.07094,181.14,192.1,4.773,84.45
200701021030,200701021100,-1.76932,0,132.34,1.568,4.627,0.835184,2.60443,2.27048,4.9142,223.68,254.5,4.775,81.56
200701021100,200701021130,-2.30654,0,152.516,1.752,5.06,0.858579,3.16564,2.31508,5.36694,254.535,293.3,4.798,80.01
200701021130,200701021200,-2.40443,0,171.444,1.894,5.469,0.880903,3.28645,2.3573,5.75061,273.175,329.7,4.852,78.99
200701021200,200701021230,-2.2846,0,158.132,1.941,5.532,0.884361,3.17017,2.36381,5.48465,279.284,304.1,4.922,78.57
200701021230,200701021300,-2.26308,0,164.216,1.98,5.581,0.887054,3.15141,2.36887,5.60842,272.755,315.8,4.98,78.21
200701021300,200701021330,-0.96957,0,72.384,1.859,5.278,0.870451,1.84085,2.33757,3.21568,253.701,139.2,5.022,79.1
200701021330,200701021400,-1.6085,0,76.232,1.745,5.297,0.871489,2.48085,2.33953,3.34448,222.447,146.6,5.058,80.41
200701021400,200701021430,-1.29842,0,67.184,1.646,5.05,0.858036,2.15697,2.31405,3.03639,179.529,129.2,5.092,81.2
200701021430,200701021500,-0.331997,0,38.964,1.399,4.422,0.824196,1.15584,2.2494,1.94376,125.681,74.93,5.085,83.31
200701021500,200701021530,-0.0147013,0,30.051,1.302,4.237,0.814327,0.828429,2.23041,1.54994,61.8235,57.79,5.033,84.26
200701021530,200701021600,0.332675,0,17.399,1.277,4.066,0.805247,0.47175,2.21287,0.942742,4.86891,33.46,4.989,84.37
200701021600,200701021630,0.731224,0,12.173,1.326,4.144,0.809384,0.077439,2.22087,0.673642,0.0,23.41,4.945,83.87
200701021630,200701021700,0.747362,0,11.944,1.237,4.203,0.812518,0.064512,2.22692,0.661587,0.0,22.97,4.888,85.01
200701021700,200701021730,0.696712,0,11.83,1.207,4.331,0.819336,0.122148,2.24006,0.655578,0.0,22.75,4.839,85.51
200701021730,200701021800,0.687634,0,11.825,1.375,4.553,0.831211,0.143399,2.26287,0.655314,0.0,22.74,4.807,83.74
200701021800,200701021830,0.909784,0,11.799,1.528,4.712,0.839757,-0.069989,2.27923,0.653943,0.0,22.69,4.782,82.13
200701021830,200701021900,0.879627,0,11.684,1.657,5.183,0.86527,-0.013659,2.32776,0.647873,0.0,22.47,4.772,81.25
200701021900,200701021930,1.20212,0,11.435,1.656,5.327,0.873128,-0.328087,2.34263,0.634713,0.0,21.99,4.77,81.45
200701021930,200701022000,0.743093,0,11.419,1.57,5.162,0.864126,0.121701,2.3256,0.633866,0.0,21.96,4.772,82.21
200701022000,200701022030,0.822755,0,11.32,1.516,5.06,0.858579,0.036347,2.31508,0.628625,0.0,21.77,4.773,82.7
200701022030,200701022100,0.783461,0,11.279,1.433,4.963,0.853317,0.070242,2.30508,0.626454,0.0,21.69,4.774,83.54
200701022100,200701022130,0.641802,0,11.248,1.374,4.912,0.850555,0.209068,2.29982,0.624811,0.0,21.63,4.776,84.16
200701022130,200701022200,0.698539,0,11.289,1.219,4.623,0.83497,0.136347,2.27007,0.626983,0.0,21.71,4.775,85.66
200701022200,200701022230,0.775186,0,11.31,1.045,4.237,0.814327,0.038541,2.23041,0.628096,0.0,21.75,4.77,87.37
200701022230,200701022300,0.728849,0,11.398,1.523,5.173,0.864725,0.13656,2.32673,0.632755,0.0,21.92,4.752,82.75
200701022300,200701022330,0.682933,0,11.274,1.747,5.405,0.877396,0.195481,2.35068,0.626189,0.0,21.68,4.756,80.54
200701022330,200701030000,0.749524,0,11.138,1.882,5.48,0.881507,0.133111,2.35843,0.61898,0.0,21.42,4.771,79.14
200701030000,200701030030,0.626906,0,10.93,1.616,4.875,0.848553,0.221911,2.29601,0.607938,0.0,21.02,4.779,81.32
200701030030,200701030100,0.644393,0,11.159,1.557,4.571,0.832177,0.18763,2.26472,0.620093,0.0,21.46,4.766,81.61
200701030100,200701030130,0.738152,0,11.419,1.577,4.571,0.832177,0.093871,2.26472,0.633866,0.0,21.96,4.724,81.38
