TIMESTAMP_START,TIMESTAMP_END,NEE,NEE_VUT_REF_QC,SW_IN_F,VPD_F_MDS,TA_F_MDS,RECO_NT_VUT_REF,GPP_NT_VUT_REF,RECO_DT_VUT_REF,GPP_DT_VUT_REF,SW_IN_POT,PPFD_IN,TS_F_MDS_1,RH
200501010000,200501010030,-9999.0,3,0.0,0.66,0.362,1.94781,-0.249302,1.99702,0.0,0.0,-9999.0,0.451,89.4803
200501010030,200501010100,-9999.0,3,0.0,0.78,0.444,1.95853,-0.238184,2.0031,0.0,0.0,-9999.0,0.443,87.631
200501010100,200501010130,-9999.0,3,0.0,0.862,0.533,1.9702,-0.226088,2.00971,0.0,0.0,-9999.0,0.436,86.432
200501010130,200501010200,-9999.0,3,0.0,0.914,0.735,1.99676,-0.171227,2.02468,0.0,0.0,-9999.0,0.41,85.822
200501010200,200501010230,-9999.0,3,0.0,1.023,0.572,1.97531,-0.220779,2.0126,0.0,0.0,-9999.0,0.397,83.9447
200501010230,200501010300,-9999.0,3,0.0,0.701,0.386,1.95094,-0.24605,1.9988,0.0,0.0,-9999.0,0.38,88.8493
200501010300,200501010330,-9999.0,3,0.0,0.841,0.347,1.94585,-0.255723,1.9959,0.0,0.0,-9999.0,0.374,86.5757
200501010330,200501010400,-9999.0,3,0.0,0.936,0.205,1.92733,-0.254679,1.98535,0.0,0.0,-9999.0,0.369,84.9013
200501010400,200501010430,-9999.0,3,0.0,1.01,0.327,1.94324,-0.25843,1.99442,0.0,0.0,-9999.0,0.367,83.858
200501010430,200501010500,-9999.0,3,0.0,1.036,0.359,1.94741,-0.249708,1.99679,0.0,0.0,-9999.0,0.369,83.4853
200501010500,200501010530,-9999.0,3,0.0,0.753,0.525,1.96915,-0.227177,2.00912,0.0,0.0,-9999.0,0.346,88.1327
200501010530,200501010600,-9999.0,3,0.0,0.472,1.174,2.05492,-0.076317,2.05716,0.0,0.0,-9999.0,0.348,92.9027
200501010600,200501010630,-9999.0,3,0.0,0.476,1.473,2.09487,-0.034775,2.07923,0.0,0.0,-9999.0,0.337,92.9997
200501010630,200501010700,-9999.0,3,0.0,0.512,1.866,2.14777,0.020306,2.10817,0.0,0.0,-9999.0,0.324,92.6783
200501010700,200501010730,-9999.0,3,0.0,0.468,1.839,2.14412,0.016505,2.10618,0.0,0.0,-9999.0,0.324,93.2893
200501010730,200501010800,-9999.0,3,0.0,0.437,1.623,2.11501,-0.013815,2.09029,0.0,0.0,-9999.0,0.311,93.637
200501010800,200501010830,-9999.0,3,0.0,0.439,1.664,2.12052,-0.008072,2.09331,0.0,0.0,-9999.0,0.305,93.6283
200501010830,200501010900,-9999.0,3,1.801,0.464,1.825,2.14223,0.014535,2.10515,0.052557,0.0,-9999.0,0.298,93.35
200501010900,200501010930,-9999.0,3,9.359,0.459,1.81,2.1402,0.012424,2.10405,0.257666,23.4616,-9999.0,0.303,93.408
200501010930,200501011000,-9999.0,3,38.146,0.446,1.973,2.16225,0.781905,2.11604,0.864034,87.8018,-9999.0,0.296,93.6633
200501011000,200501011030,-9999.0,3,74.095,0.474,2.342,2.21243,0.963613,2.14312,1.3741,143.895,-9999.0,0.305,93.4477
200501011030,200501011100,-9999.0,3,83.202,0.488,2.647,2.2542,1.34133,2.16545,1.47525,189.568,-9999.0,0.298,93.3993
200501011100,200501011130,-9999.0,3,102.827,0.507,3.176,2.32723,1.5721,2.20406,1.66564,224.041,-9999.0,0.309,93.4003
200501011130,200501011200,-9999.0,3,79.733,0.517,3.599,2.38617,1.84617,2.23482,1.43779,246.722,-9999.0,0.311,93.4587
200501011200,200501011230,-9999.0,3,54.485,0.524,3.905,2.42909,1.73944,2.25701,1.1213,257.224,-9999.0,0.318,93.5157
200501011230,200501011300,-9999.0,3,53.849,0.622,4.457,2.5071,1.82077,2.29691,1.11217,255.367,-9999.0,0.335,92.5997
200501011300,200501011330,-9999.0,3,55.227,0.698,4.889,2.56867,1.94067,2.328,1.13187,241.183,-9999.0,0.393,91.936
200501011330,200501011400,-9999.0,3,35.136,0.747,5.209,2.61456,1.86423,2.35096,0.810886,214.914,-9999.0,0.527,91.559
200501011400,200501011430,-9999.0,3,29.484,0.694,5.301,2.62779,1.80704,2.35755,0.705465,177.011,-9999.0,0.816,92.2107
200501011430,200501011500,-9999.0,3,16.349,0.731,5.465,2.65144,1.61714,2.36929,0.427731,128.121,-9999.0,1.189,91.8953
200501011500,200501011530,-9999.0,3,6.392,0.78,5.541,2.66242,1.62273,2.37472,0.179978,69.0811,-9999.0,1.569,91.386
200501011530,200501011600,-9999.0,3,1.132,0.828,5.562,2.66545,1.61365,2.37622,0.033211,9.50151,-9999.0,1.873,90.878
200501011600,200501011630,-9999.0,3,0.0,0.918,5.591,2.66964,1.60101,2.37829,0.0,0.0,-9999.0,2.118,89.9073
200501011630,200501011700,-9999.0,3,0.0,0.87,5.462,2.65101,1.58136,2.36907,0.0,0.0,-9999.0,2.317,90.351
200501011700,200501011730,-9999.0,3,0.0,0.881,5.346,2.63428,1.54148,2.36077,0.0,0.0,-9999.0,2.47,90.1433
200501011730,200501011800,-9999.0,3,0.0,0.922,5.175,2.60967,1.41392,2.34853,0.0,0.0,-9999.0,2.559,89.558
200501011800,200501011830,-9999.0,3,0.0,0.994,5.188,2.61154,1.4001,2.34946,0.0,0.0,-9999.0,2.596,88.7613
200501011830,200501011900,-9999.0,3,0.0,1.026,5.127,2.60277,1.3706,2.34509,0.0,0.0,-9999.0,2.643,88.3443
200501011900,200501011930,-9999.0,3,0.0,1.015,5.19,2.61183,1.40041,2.3496,0.0,0.0,-9999.0,2.693,88.5263
200501011930,200501012000,-9999.0,3,0.0,0.903,5.048,2.59144,1.22121,2.33942,0.0,0.0,-9999.0,2.799,89.6857
200501012000,200501012030,-9999.0,3,0.0,0.965,5.094,2.59804,1.36561,2.34272,0.0,0.0,-9999.0,2.884,89.017
200501012030,200501012100,-9999.0,3,0.0,0.962,4.971,2.5804,1.1815,2.33389,0.0,0.0,-9999.0,2.96,88.9507
200501012100,200501012130,-9999.0,3,0.0,1.053,4.928,2.57425,1.17503,2.3308,0.0,0.0,-9999.0,3.012,87.877
200501012130,200501012200,-9999.0,3,0.0,1.068,4.865,2.56523,1.13943,2.32628,0.0,0.0,-9999.0,3.048,87.643
200501012200,200501012230,-9999.0,3,0.0,1.049,4.721,2.54467,1.08948,2.31592,0.0,0.0,-9999.0,3.069,87.744
200501012230,200501012300,-9999.0,3,0.0,1.016,4.705,2.54239,1.06161,2.31477,0.0,0.0,-9999.0,3.081,88.1117
200501012300,200501012330,-9999.0,3,0.0,0.75,4.456,2.50696,1.01672,2.29684,0.0,0.0,-9999.0,3.096,91.0687
200501012330,200501020000,-9999.0,3,0.0,0.708,4.537,2.51847,1.03647,2.30267,0.0,0.0,-9999.0,3.127,91.625
200501020000,200501020030,-9999.0,3,0.0,0.771,5.017,2.58699,1.21653,2.33719,0.0,0.0,-9999.0,3.184,91.177
200501020030,200501020100,-9999.0,3,0.0,1.073,5.951,2.72186,1.6928,2.40396,0.0,0.0,-9999.0,3.268,88.495
200501020100,200501020130,-9999.0,3,0.108,1.223,6.252,2.76573,1.72987,2.42536,0.003195,0.0,-9999.0,3.413,87.153
200501020130,200501020200,-9999.0,3,0.322,1.432,5.996,2.72841,1.6997,2.40717,0.009508,0.0,-9999.0,3.561,84.6887
200501020200,200501020230,-9999.0,3,0.108,1.409,5.135,2.60392,1.37181,2.34566,0.003195,0.0,-9999.0,3.621,84.0007
200501020230,200501020300,-9999.0,3,0.074,1.183,4.795,2.55523,1.10775,2.32125,0.002189,0.0,-9999.0,3.505,86.246
200501020300,200501020330,-9999.0,3,0.0,1.147,4.576,2.52401,1.0423,2.30548,0.0,0.0,-9999.0,3.311,86.4577
200501020330,200501020400,-9999.0,3,0.0,1.149,3.868,2.42388,0.891476,2.25433,0.0,0.0,-9999.0,3.136,85.7403
200501020400,200501020430,-9999.0,3,0.0,1.202,3.957,2.4364,0.904606,2.26078,0.0,0.0,-9999.0,2.998,85.18
200501020430,200501020500,-9999.0,3,0.0,1.566,4.21,2.4721,0.959604,2.27908,0.0,0.0,-9999.0,2.905,81.0307
200501020500,200501020530,-9999.0,3,0.0,1.679,3.969,2.43809,0.906379,2.26165,0.0,0.0,-9999.0,2.745,79.3123
200501020530,200501020600,-9999.0,3,0.0,1.488,3.702,2.40059,0.867051,2.2423,0.0,0.0,-9999.0,2.578,81.323
200501020600,200501020630,-9999.0,3,0.0,1.498,3.339,2.34989,0.812272,2.21592,0.0,0.0,-9999.0,2.454,80.71
200501020630,200501020700,-9999.0,3,0.0,0.916,2.614,2.24966,0.704116,2.16303,0.0,0.0,-9999.0,2.412,87.5843
200501020700,200501020730,-9999.0,3,0.0,1.119,2.827,2.27896,0.7357,2.1786,0.0,0.0,-9999.0,2.333,85.056
200501020730,200501020800,-9999.0,3,0.0,1.489,3.232,2.33501,0.787787,2.20814,0.0,0.0,-9999.0,2.127,80.671
200501020800,200501020830,-9999.0,3,0.0,1.613,3.317,2.34682,0.809067,2.21432,0.0,0.0,-9999.0,2.019,79.192
200501020830,200501020900,-9999.0,3,0.392,1.543,3.167,2.32598,0.775874,2.2034,0.011569,0.0,-9999.0,1.974,79.882
200501020900,200501020930,-9999.0,3,4.84,1.279,2.599,2.24761,0.730887,2.16194,0.137917,24.9641,-9999.0,1.944,82.6337
200501020930,200501021000,-9999.0,3,10.028,1.129,2.457,2.22815,0.695478,2.15154,0.274709,89.641,-9999.0,1.932,84.5183
200501021000,200501021030,-9999.0,3,14.371,0.879,1.939,2.15764,0.374856,2.11354,0.381347,145.768,-9999.0,1.896,87.4897
200501021030,200501021100,-9999.0,3,17.409,0.945,2.186,2.19117,0.64278,2.13168,0.452055,191.469,-9999.0,1.818,86.7903
200501021100,200501021130,-9999.0,3,65.334,1.166,2.39,2.21899,1.67602,2.14663,1.26762,225.962,-9999.0,1.857,83.9387
200501021130,200501021200,-9999.0,3,45.27,1.293,2.508,2.23513,1.60045,2.15528,0.982303,248.657,-9999.0,1.887,82.3413
200501021200,200501021230,-9999.0,3,40.608,1.312,2.516,2.23623,1.5234,2.15586,0.906063,259.166,-9999.0,1.864,82.085
