TIMESTAMP_START,TIMESTAMP_END,NEE,NEE_VUT_REF_QC,SW_IN_F,VPD_F_MDS,TA_F_MDS,RECO_NT_VUT_REF,GPP_NT_VUT_REF,RECO_DT_VUT_REF,GPP_DT_VUT_REF,SW_IN_POT,PPFD_IN,TS_F_MDS_1,RH
200501010000,200501010030,-9999.0,1,0.0,0.439,3.121,2.05994,0.02367,1.98252,0.0,0.0,-9999.0,4.372,-9999.0
200501010030,200501010100,-9999.0,1,0.0,0.0,1.7,1.91199,-0.144867,1.77075,0.0,0.0,-0.1,4.49,100.0
200501010100,200501010130,-9999.0,1,0.0,0.0,1.78,1.92026,-0.111222,1.78236,0.0,0.0,-0.1,4.49,100.0
200501010130,200501010200,-9999.0,1,0.0,0.0,1.47,1.88827,-0.177626,1.73756,0.0,0.0,-0.1,4.48,100.0
200501010200,200501010230,-9999.0,1,0.0,0.0,1.44,1.88519,-0.172454,1.73325,0.0,0.0,-0.1,4.46,100.0
200501010230,200501010300,-9999.0,1,0.0,0.0,1.32,1.87284,-0.135278,1.71608,0.0,0.0,-0.2,4.46,100.0
200501010300,200501010330,-9999.0,1,0.0,0.0,1.52,1.89342,-0.135205,1.74475,0.0,0.0,-0.2,4.46,100.0
200501010330,200501010400,-9999.0,1,0.0,0.0,1.49,1.89033,-0.144716,1.74043,0.0,0.0,-0.1,4.44,100.0
200501010400,200501010430,-9999.0,1,0.0,0.0,1.39,1.88004,-0.14689,1.72609,0.0,0.0,-0.1,4.43,100.0
200501010430,200501010500,2.7,0,0.0,0.0,1.21,1.86154,-0.838457,1.70041,0.0,0.0,-0.1,4.42,100.0
200501010500,200501010530,0.98,0,0.0,0.0,1.22,1.86257,0.88257,1.70184,0.0,0.0,-0.1,4.4,100.0
200501010530,200501010600,1.66,0,0.0,0.0,1.31,1.87182,0.211815,1.71465,0.0,0.0,-0.1,4.4,100.0
200501010600,200501010630,1.57,0,0.0,0.0,1.41,1.8821,0.312098,1.72895,0.0,0.0,-0.1,4.38,100.0
200501010630,200501010700,2.94,0,0.0,0.0,1.34,1.8749,-1.0651,1.71894,0.0,0.0,-0.1,4.37,100.0
200501010700,200501010730,2.37,0,0.0,0.0,1.29,1.86976,-0.500241,1.7118,0.0,0.0,-0.1,4.35,100.0
200501010730,200501010800,2.59,0,0.0,0.0,1.35,1.87593,-0.714074,1.72037,0.0,0.0,-0.1,4.34,100.0
200501010800,200501010830,1.09,0,0.0,0.0,1.55,1.89652,0.806517,1.74907,0.0,0.0,1.3,4.32,100.0
200501010830,200501010900,0.65,0,1.5,0.0,1.68,1.90993,1.25993,1.76785,0.109513,4.62053,13.4,4.31,100.0
200501010900,200501010930,2.23,0,36.2,0.0,1.74,1.91613,-0.313875,1.77655,1.54481,61.5662,62.8,4.29,100.0
200501010930,200501011000,4.87,0,23.7,0.0,0.87,1.82672,-3.04328,1.65244,1.1894,126.035,55.9,4.28,100.0
200501011000,200501011030,0.81,0,28.5,0.0,0.23,1.76161,0.951605,1.56398,1.33974,180.483,74.7,4.26,100.0
200501011030,200501011100,-0.9,0,35.8,0.0,0.66,1.80529,2.70529,1.62314,1.53509,223.979,87.4,4.25,100.0
200501011100,200501011130,-0.74,0,26.8,0.0,1.15,1.85539,2.59539,1.6919,1.28872,255.777,73.2,4.23,100.0
200501011130,200501011200,-0.51,0,47.1,0.0,1.8,1.92233,2.43233,1.78527,1.77791,275.334,112.1,4.22,100.0
200501011200,200501011230,-2.76,0,66.0,0.0,2.45,1.98979,4.74979,1.88109,2.07581,282.316,137.5,4.21,100.0
200501011230,200501011300,-0.41,0,111.8,0.0,2.68,2.01378,2.42378,1.91557,2.50416,276.602,219.4,4.2,100.0
200501011300,200501011330,-0.15,0,124.5,0.0,2.98,2.04516,2.19516,1.961,2.5825,258.291,221.0,4.19,100.0
200501011330,200501011400,0.64,0,70.3,0.0,3.2,2.06823,1.42823,1.99463,2.13021,227.695,135.4,4.18,100.0
200501011400,200501011430,1.63,0,21.0,0.0,3.2,2.06823,0.438232,1.99463,1.09555,185.34,53.1,4.17,100.0
200501011430,200501011500,1.3,0,9.0,0.022,3.32,2.08084,0.78084,2.01309,0.56957,131.948,28.8,4.17,99.71
200501011500,200501011530,2.3,0,0.1,0.043,3.33,2.08189,-0.218108,2.01463,0.007516,68.4339,7.1,4.17,99.44
200501011530,200501011600,2.39,0,0.0,0.035,3.36,2.08505,-0.304954,2.01926,0.0,7.6125,2.9,4.18,99.55
200501011600,200501011630,1.77,0,0.0,0.023,3.46,2.09557,0.325568,2.03472,0.0,0.0,0.1,4.18,99.71
200501011630,200501011700,2.12,0,0.0,0.039,3.67,2.1177,-0.002301,2.06738,0.0,0.0,-0.1,4.19,99.51
200501011700,200501011730,1.62,0,0.0,0.084,3.88,2.13988,0.519875,2.10028,0.0,0.0,-0.1,4.21,98.96
200501011730,200501011800,1.26,0,0.0,0.171,4.05,2.15786,0.897857,2.12709,0.0,0.0,-0.1,4.21,97.9
