TIMESTAMP_START,TIMESTAMP_END,NEE,NEE_VUT_REF_QC,SW_IN_F,VPD_F_MDS,TA_F_MDS,RECO_NT_VUT_REF,GPP_NT_VUT_REF,RECO_DT_VUT_REF,GPP_DT_VUT_REF,SW_IN_POT,PPFD_IN,TS_F_MDS_1,RH
200901010000,200901010030,-9999.0,1,0.0,1.392,10.604,0.417271,0.066295,0.67671,0.0,0.0,-9999.0,10.545,-9999.0
200901010030,200901010100,-9999.0,1,0.0,1.804,10.261,0.406361,0.043116,0.648194,0.0,0.0,0.0,10.638,85.5666
200901010100,200901010130,-9999.0,1,0.0,2.276,10.926,0.427655,-0.124705,0.704287,0.0,0.0,0.0,10.545,82.5811
200901010130,200901010200,-9999.0,1,0.0,2.041,10.573,0.416278,-0.020892,0.674096,0.0,0.0,0.0,10.493,84.0045
200901010200,200901010230,-9999.0,1,0.0,1.519,10.029,0.39907,0.084751,0.629403,0.0,0.0,0.0,10.468,87.6607
200901010230,200901010300,-9999.0,1,0.0,1.319,9.745,0.390243,0.091725,0.606938,0.0,0.0,0.0,10.441,89.0734
200901010300,200901010330,-9999.0,1,0.0,1.358,9.859,0.393773,0.049956,0.615885,0.0,0.0,0.0,10.414,88.8415
200901010330,200901010400,-9999.0,1,0.0,1.459,10.025,0.398945,0.084622,0.629083,0.0,0.0,0.0,10.405,88.1454
200901010400,200901010430,-9999.0,1,0.0,1.587,10.189,0.40409,0.040777,0.64232,0.0,0.0,0.0,10.401,87.2457
200901010430,200901010500,-9999.0,1,0.0,1.745,10.319,0.408195,0.057173,0.652954,0.0,0.0,0.0,10.376,86.0946
200901010500,200901010530,-9999.0,1,0.0,1.665,10.209,0.40472,0.041426,0.643948,0.0,0.0,0.0,10.355,86.6309
200901010530,200901010600,-9999.0,1,0.0,1.623,10.079,0.400635,0.086363,0.633419,0.0,0.0,0.0,10.341,86.8531
200901010600,200901010630,-9999.0,1,0.0,1.869,10.418,0.411335,0.012202,0.661137,0.0,0.0,0.0,10.285,85.2027
200901010630,200901010700,-9999.0,1,0.0,1.769,10.218,0.405004,0.041718,0.644681,0.0,0.0,0.0,10.224,85.8091
200901010700,200901010730,-9999.0,1,0.0,1.693,10.09,0.40098,0.086718,0.634305,0.0,0.0,0.0,10.171,86.2989
200901010730,200901010800,-9999.0,1,0.0,1.857,10.318,0.408163,0.05714,0.652872,0.0,0.0,0.0,10.125,85.2026
200901010800,200901010830,-9999.0,1,0.0,1.445,9.782,0.391387,0.092902,0.609831,0.0,0.705353,0.0,10.09,88.0671
200901010830,200901010900,-9999.0,1,0.0,1.501,9.975,0.397383,0.054291,0.625086,0.0,77.2135,0.0,10.042,87.7597
200901010900,200901010930,-9999.0,1,0.0,1.55,10.252,0.406077,0.042823,0.647458,0.0,199.504,0.0,10.105,87.5933
200901010930,200901011000,-9999.0,1,205.691,1.56,10.659,0.419035,1.666,0.681364,2.64181,312.66,395.56,10.235,87.8487
200901011000,200901011030,-9999.0,1,219.065,2.116,11.809,0.456835,2.09963,0.784024,2.77109,414.744,421.279,10.541,84.7298
200901011030,200901011100,-1.11428,0,217.444,2.781,12.732,0.48843,1.60527,0.874022,2.75563,504.009,418.162,10.969,81.1089
200901011100,200901011130,-2.5207,0,277.225,3.076,13.264,0.507145,3.0311,0.929087,3.29069,578.929,533.125,11.39,79.8222
200901011130,200901011200,-2.97565,0,300.734,2.872,13.69,0.522393,3.50187,0.974904,3.48299,638.221,578.334,11.828,81.6749
200901011200,200901011230,-9999.0,1,287.676,2.477,13.902,0.530069,2.9688,0.998287,3.37735,680.871,553.224,12.249,84.4105
200901011230,200901011300,-1.68106,0,233.103,2.416,14.066,0.536045,2.22146,1.01664,2.90266,706.149,448.275,12.539,84.9558
200901011300,200901011330,-2.01943,0,290.991,2.096,14.097,0.537179,2.56101,1.02014,3.40444,713.623,559.598,12.738,86.974
200901011330,200901011400,-2.16876,0,281.914,2.094,14.025,0.534548,2.7076,1.01203,3.32981,703.165,542.142,12.966,86.9272
200901011400,200901011430,-1.70672,0,279.019,1.891,14.073,0.536301,2.24739,1.01743,3.3057,674.953,536.575,13.171,88.2283
200901011430,200901011500,-1.83838,0,263.262,1.745,14.038,0.535022,2.37772,1.01349,3.17188,629.471,506.274,13.376,89.1155
200901011500,200901011530,-1.44903,0,232.735,1.58,13.951,0.531851,1.98507,1.00375,2.89926,567.496,447.567,13.48,90.0877
200901011530,200901011600,-2.56506,0,291.515,1.748,14.182,0.540294,3.10987,1.02977,3.4087,490.089,560.605,13.573,89.1968
200901011600,200901011630,-2.07147,0,197.594,1.843,14.183,0.54033,2.61632,1.02988,2.56159,398.575,379.988,13.737,88.6117
200901011630,200901011700,-1.29628,0,0.0,1.822,14.004,0.533782,1.83433,1.00967,0.0,294.519,0.0,13.707,88.6072
200901011700,200901011730,-0.238304,0,136.514,1.642,13.887,0.529523,0.771928,0.996619,1.90436,179.702,262.527,13.533,89.6557
200901011730,200901011800,0.24367,0,0.0,1.751,13.858,0.528471,0.288861,0.993402,0.0,56.3407,0.0,13.422,88.9478
200901011800,200901011830,0.536894,0,0.0,1.278,13.509,0.515886,-0.017429,0.955247,0.0,0.0,0.0,13.289,91.7462
200901011830,200901011900,0.842301,0,0.0,1.1,13.312,0.508851,-0.330135,0.934172,0.0,0.0,0.0,13.104,92.8046
200901011900,200901011930,1.05525,0,0.0,0.953,12.983,0.497214,-0.555152,0.899706,0.0,0.0,0.0,12.919,93.6323
200901011930,200901012000,0.837454,0,0.0,0.761,12.903,0.494406,-0.340267,0.891463,0.0,0.0,0.0,12.678,94.8893
200901012000,200901012030,1.1867,0,0.0,0.826,12.939,0.495668,-0.688205,0.895166,0.0,0.0,0.0,12.551,94.4673
200901012030,200901012100,-9999.0,1,0.0,0.693,12.672,0.486343,-0.136017,0.86796,0.0,0.0,0.0,12.425,95.2727
200901012100,200901012130,-9999.0,1,0.0,0.615,12.502,0.480453,-0.142117,0.850946,0.0,0.0,0.0,12.207,95.7574
200901012130,200901012200,-9999.0,1,0.0,0.576,12.53,0.481421,-0.141116,0.853732,0.0,0.0,0.0,12.001,96.0343
200901012200,200901012230,-9999.0,1,0.0,0.583,12.425,0.477798,-0.144867,0.843317,0.0,0.0,0.0,11.813,95.9611
200901012230,200901012300,-9999.0,1,0.0,0.669,12.481,0.479728,-0.142868,0.84886,0.0,0.0,0.0,11.687,95.3789
200901012300,200901012330,-9999.0,1,0.0,0.674,11.973,0.462368,-0.159628,0.799511,0.0,0.0,0.0,11.531,95.1885
200901012330,200901020000,-9999.0,1,0.0,0.477,11.456,0.445047,-0.146561,0.751415,0.0,0.0,0.0,11.346,96.4769
200901020000,200901020030,-9999.0,1,0.0,0.542,11.378,0.442464,-0.129562,0.744342,0.0,0.0,0.0,11.222,95.9749
200901020030,200901020100,-9999.0,1,0.0,0.449,10.327,0.408448,-0.022546,0.653613,0.0,0.0,0.0,11.174,96.4245
200901020100,200901020130,-9999.0,1,0.0,0.301,10.502,0.41401,-0.030111,0.668137,0.0,0.0,0.0,11.082,97.6338
200901020130,200901020200,-9999.0,1,0.0,0.282,10.599,0.417111,-0.070852,0.676287,0.0,0.0,0.0,10.996,97.7908
200901020200,200901020230,-9999.0,1,0.0,0.304,10.484,0.413436,-0.030703,0.666633,0.0,0.0,0.0,10.968,97.6014
200901020230,200901020300,-9999.0,1,0.0,0.364,10.636,0.418297,-0.133717,0.679415,0.0,0.0,0.0,10.923,97.1563
200901020300,200901020330,-9999.0,1,0.0,0.471,10.671,0.41942,-0.125338,0.682383,0.0,0.0,0.0,10.86,96.3354
200901020330,200901020400,-9999.0,1,0.0,0.382,10.168,0.40343,0.038966,0.640614,0.0,0.0,0.0,10.807,96.9288
200901020400,200901020430,-9999.0,1,0.0,0.305,10.387,0.41035,-0.02153,0.658567,0.0,0.0,0.0,10.704,97.5797
200901020430,200901020500,-9999.0,1,0.0,0.351,10.591,0.416855,-0.034904,0.675612,0.0,0.0,0.0,10.627,97.252
200901020500,200901020530,-9999.0,1,0.0,0.539,10.381,0.41016,-0.004688,0.65807,0.0,0.0,0.0,10.606,95.7212
200901020530,200901020600,-9999.0,1,0.0,0.644,10.704,0.420481,-0.105962,0.68519,0.0,0.0,0.0,10.583,94.9954
200901020600,200901020630,-9999.0,1,0.0,0.522,10.628,0.41804,-0.140244,0.678738,0.0,0.0,0.0,10.61,95.9268
200901020630,200901020700,-9999.0,1,0.0,0.453,10.578,0.416438,-0.061668,0.674517,0.0,0.0,0.0,10.648,96.4519
200901020700,200901020730,-9999.0,1,0.0,0.449,10.79,0.423253,-0.1727,0.692543,0.0,0.0,0.0,10.698,96.5324
200901020730,200901020800,-9999.0,1,0.0,0.485,10.697,0.420256,-0.124476,0.684593,0.0,0.0,0.0,10.722,96.2339
200901020800,200901020830,-9999.0,1,0.0,0.523,10.658,0.419003,-0.125769,0.681279,0.0,0.834196,0.0,10.731,95.9275
200901020830,200901020900,-9999.0,1,0.0,0.661,11.095,0.433161,-0.135456,0.719079,0.0,78.5445,0.0,10.745,94.9948
200901020900,200901020930,-9999.0,1,139.379,0.922,11.445,0.444682,1.61444,0.750415,1.93741,200.91,268.036,10.807,93.1837
200901020930,200901021000,-9999.0,1,170.308,0.905,12.014,0.463756,1.68746,0.803416,2.27984,314.134,327.515,11.032,93.5582
200901021000,200901021030,-9999.0,1,202.152,1.09,12.74,0.488709,1.94922,0.874833,2.60693,416.279,388.753,11.368,92.5977
200901021030,200901021100,-9999.0,1,222.186,1.572,13.046,0.499432,2.29048,0.906236,2.8007,505.599,427.28,11.789,89.5365
200901021100,200901021130,-9999.0,1,289.573,2.209,13.893,0.529741,2.96846,0.997285,3.39287,580.564,556.871,12.17,86.0862
200901021130,200901021200,-9999.0,1,261.587,2.272,14.102,0.537362,2.67928,1.0207,3.15738,639.892,503.052,12.572,85.8834
