TIMESTAMP_START,TIMESTAMP_END,NEE,NEE_VUT_REF_QC,SW_IN_F,VPD_F_MDS,TA_F_MDS,RECO_NT_VUT_REF,GPP_NT_VUT_REF,RECO_DT_VUT_REF,GPP_DT_VUT_REF,SW_IN_POT,PPFD_IN,TS_F_MDS_1,RH
200901010000,200901010030,-9999.0,2,0.0,3.361,6.372,0.02726,0.335444,0.204735,0.0,0.0,0.0,2.696,64.9795
200901010030,200901010100,-9999.0,2,0.0,3.652,6.956,0.027999,0.316486,0.222712,0.0,0.0,0.0,2.687,63.4515
200901010100,200901010130,-9999.0,2,0.0,3.155,6.249,0.027105,0.335444,0.201089,0.0,0.0,0.0,2.706,66.8505
200901010130,200901010200,-9999.0,2,0.0,3.929,7.282,0.028412,0.334256,0.233238,0.0,0.0,0.0,2.729,61.5465
200901010200,200901010230,-9999.0,2,0.0,3.963,7.142,0.028235,0.340399,0.228674,0.0,0.0,0.0,2.743,60.8375
200901010230,200901010300,-9999.0,2,0.0,3.778,7.128,0.028217,0.340399,0.228221,0.0,0.0,0.0,2.76,62.628
200901010300,200901010330,-9999.0,2,0.0,4.041,6.92,0.027953,0.353284,0.221571,0.0,0.0,0.0,2.785,59.4595
200901010330,200901010400,-9999.0,2,0.0,3.941,6.171,0.027007,0.335444,0.198803,0.0,0.0,0.0,2.779,58.367
200901010400,200901010430,-9999.0,2,0.0,4.283,7.298,0.028433,0.334256,0.233764,0.0,0.0,0.0,2.743,58.129
200901010430,200901010500,-9999.0,2,0.0,4.04,6.796,0.027796,0.335444,0.217676,0.0,0.0,0.0,2.688,59.1185
200901010500,200901010530,-9999.0,2,0.0,4.422,7.585,0.028797,0.263834,0.243345,0.0,0.0,0.0,2.677,57.6115
200901010530,200901010600,-9999.0,2,0.0,3.988,6.332,0.02721,0.335444,0.203544,0.0,0.0,0.0,2.629,58.3345
200901010600,200901010630,-9999.0,2,0.0,3.743,6.222,0.027071,0.335444,0.200296,0.0,0.0,0.0,2.578,60.5985
200901010630,200901010700,-9999.0,2,0.0,4.254,7.077,0.028152,0.340399,0.226577,0.0,0.0,0.0,2.503,57.772
200901010700,200901010730,-9999.0,2,0.0,4.549,7.756,0.029015,0.263834,0.249188,0.0,0.0,0.0,2.433,56.8975
200901010730,200901010800,-9999.0,2,0.0,4.737,8.024,0.029357,0.263095,0.258551,0.0,0.0,0.0,2.404,55.9275
200901010800,200901010830,-9999.0,2,4.915,3.904,6.87,0.02789,0.342588,0.219994,0.016195,0.0530245,9.452,2.408,60.6905
200901010830,200901010900,-9999.0,1,27.253,3.83,6.792,0.027791,0.296435,0.217551,0.087237,67.5714,52.41,2.452,61.227
200901010900,200901010930,-9999.0,1,79.024,3.534,6.865,0.027883,0.074383,0.219837,0.237285,190.249,151.97,2.526,64.407
200901010930,200901011000,-9999.0,1,108.025,3.489,7.196,0.028303,0.123592,0.230426,0.313486,303.937,207.74,2.623,65.65
200901011000,200901011030,-9999.0,1,127.364,3.282,7.971,0.029289,0.335522,0.256679,0.361521,406.69,244.93,2.762,69.358
200901011030,200901011100,-9999.0,1,175.328,3.467,8.04,0.029377,0.471261,0.259118,0.472051,496.751,337.17,2.925,67.7795
200901011100,200901011130,-0.548701,0,240.807,3.238,8.638,0.030142,0.548702,0.280967,0.605782,572.577,463.09,3.134,71.109
200901011130,200901011200,-1.29105,0,294.882,3.119,8.629,0.030131,1.29105,0.280628,0.703664,632.872,567.08,3.362,72.1465
200901011200,200901011230,-0.926536,0,277.519,3.254,8.233,0.029624,0.926537,0.266029,0.673351,676.604,533.69,3.575,70.156
200901011230,200901011300,-1.0501,0,309.488,2.361,7.65,0.02888,1.0501,0.245554,0.7284,703.025,595.17,3.765,77.464
200901011300,200901011330,-0.943004,0,365.596,2.04,7.617,0.028838,0.943005,0.24443,0.817431,711.683,703.07,3.949,80.4865
200901011330,200901011400,-0.700988,0,499.382,2.432,7.845,0.029129,0.700989,0.252269,0.997624,702.429,960.35,4.106,77.0965
200901011400,200901011430,-0.362108,0,262.059,2.664,7.935,0.029243,0.362109,0.255413,0.64549,675.422,503.96,4.211,75.063
200901011430,200901011500,-0.40977,0,305.495,2.572,7.426,0.028595,0.409771,0.238002,0.721705,631.124,587.49,4.185,75.074
200901011500,200901011530,-0.645233,0,467.355,2.975,8.412,0.029853,0.645234,0.272558,0.958074,570.293,898.76,4.298,73.044
