TIMESTAMP_START,TIMESTAMP_END,NEE,NEE_VUT_REF_QC,SW_IN_F,VPD_F_MDS,TA_F_MDS,RECO_NT_VUT_REF,GPP_NT_VUT_REF,RECO_DT_VUT_REF,GPP_DT_VUT_REF,SW_IN_POT,PPFD_IN,TS_F_MDS_1,RH
200801010000,200801010030,-9999.0,1,3.895,0.707,-13.96,0.167659,-0.134144,0.017265,0.0,0.0,7.49,2.837,65.96
200801010030,200801010100,-9999.0,1,3.916,0.632,-13.83,0.169089,-0.133676,0.017431,0.0,0.0,7.53,2.822,69.86
200801010100,200801010130,-9999.0,1,3.895,1.445,-8.98,0.222465,-0.07885,0.023724,0.0,0.0,7.49,1.297,53.37
200801010130,200801010200,-9999.0,1,3.812,4.327,-1.22,0.304955,-0.037914,0.033815,0.0,0.0,7.33,2.003,22.57
200801010200,200801010230,-9999.0,1,3.806,2.435,-6.02,0.254554,-0.662995,0.027603,0.0,0.0,7.32,1.221,37.53
200801010230,200801010300,-9999.0,1,3.832,1.822,-7.86,0.234677,-0.073752,0.025193,0.0,0.0,7.37,1.551,46.13
200801010300,200801010330,-9999.0,1,3.822,2.98,-4.26,0.273301,-0.176809,0.029897,0.0,0.0,7.35,1.551,33.13
200801010330,200801010400,-9999.0,1,3.786,3.199,-4.36,0.272244,-0.194636,0.029767,0.0,0.0,7.28,1.47,27.67
200801010400,200801010430,-9999.0,1,3.817,1.893,-8.54,0.227272,-0.084187,0.024301,0.0,0.0,7.34,1.532,40.97
200801010430,200801010500,-9999.0,1,3.869,1.085,-12.16,0.187497,-0.123976,0.019577,0.0,0.0,7.44,2.91,54.88
200801010500,200801010530,-9999.0,1,3.9,0.969,-12.39,0.18496,-0.126632,0.019279,0.0,0.0,7.5,2.948,58.92
200801010530,200801010600,-9999.0,1,3.91,0.749,-14.23,0.16469,-0.146317,0.016922,0.0,0.0,7.52,2.993,63.09
200801010600,200801010630,-9999.0,1,3.91,1.32,-10.86,0.201827,-0.113274,0.021266,0.0,0.0,7.52,3.046,50.56
200801010630,200801010700,-9999.0,1,3.905,1.247,-11.81,0.191357,-0.125903,0.02003,0.0,0.0,7.51,3.106,49.58
200801010700,200801010730,-9999.0,1,3.884,2.058,-8.39,0.228908,-0.090044,0.024498,0.0,0.0,7.47,1.638,36.57
200801010730,200801010800,-9999.0,1,3.884,1.737,-9.56,0.216114,-0.104483,0.022965,0.0,0.0,7.47,1.512,41.32
200801010800,200801010830,-9999.0,1,6.235,1.845,-9.05,0.221699,-0.100499,0.023633,0.0,0.0,11.99,1.389,40.11
200801010830,200801010900,-9999.0,1,24.497,1.697,-9.6,0.215675,-0.106963,0.022912,0.0,65.333,47.11,1.512,42.48
200801010900,200801010930,-9999.0,1,72.618,1.08,-12.22,0.186835,0.542292,0.019499,0.0,187.734,139.65,5.658,54.85
200801010930,200801011000,-9999.0,1,293.238,1.63,-9.51,0.216662,0.227199,0.02303,0.0,301.167,563.92,5.073,45.15
200801011000,200801011030,-9999.0,1,395.881,3.151,-3.9,0.2771,-0.175909,0.030364,0.0,403.688,761.31,6.434,31.17
200801011030,200801011100,-9999.0,1,481.052,6.173,2.47,0.341972,0.239587,0.03846,0.0,493.546,925.1,3.514,15.43
200801011100,200801011130,-9999.0,1,557.752,6.992,4.13,0.358084,0.1934,0.040502,0.0,569.202,1072.6,3.578,14.83
200801011130,200801011200,-9999.0,1,589.893,6.986,4.77,0.364204,0.27221,0.041281,0.0,629.361,1134.41,2.232,18.64
200801011200,200801011230,-9999.0,1,609.632,6.344,4.03,0.357123,0.176792,0.04038,0.0,672.995,1172.37,5.137,22.18
200801011230,200801011300,-9999.0,1,613.902,6.062,3.74,0.354329,0.178197,0.040026,0.0,699.356,1180.58,5.221,24.11
200801011300,200801011330,-9999.0,1,685.043,6.465,4.4,0.360672,0.173224,0.040832,0.0,707.994,1317.39,5.412,22.73
200801011330,200801011400,-9999.0,1,618.727,6.33,4.31,0.35981,0.220123,0.040722,0.0,698.761,1189.86,3.287,23.87
200801011400,200801011430,0.239688,0,605.852,6.827,5.26,0.368854,0.122348,0.041874,0.0,671.815,1165.1,5.965,23.17
200801011430,200801011500,-9999.0,1,476.549,6.29,4.62,0.362774,0.49246,0.041099,0.0,627.617,916.44,6.477,25.98
200801011500,200801011530,-9999.0,1,391.706,5.991,4.32,0.359906,-0.125542,0.040734,0.0,566.923,753.28,1.135,27.99
200801011530,200801011600,1.63535,0,367.208,5.855,4.13,0.358084,-1.28476,0.040502,0.0,490.772,706.17,1.135,28.68
200801011600,200801011630,-9999.0,1,289.494,5.475,3.74,0.354329,0.154186,0.040026,0.0,400.466,556.72,0.755,31.45
200801011630,200801011700,-9999.0,1,205.509,5.237,3.25,0.349585,0.093753,0.039424,0.0,297.551,395.21,0.977,32.12
200801011700,200801011730,-9999.0,1,97.344,4.545,2.09,0.338235,0.162545,0.037989,0.0,183.788,187.2,3.112,36.03
200801011730,200801011800,-9999.0,1,38.662,3.867,1.04,0.32782,0.079059,0.036677,0.0,61.1392,74.35,2.938,41.31
200801011800,200801011830,-9999.0,1,8.143,3.37,0.13,0.318685,0.084864,0.03553,0.0,0.0,15.66,2.411,45.37
200801011830,200801011900,-9999.0,1,3.687,2.582,-1.76,0.299405,-0.047015,0.033124,0.0,0.0,7.09,2.387,51.93
200801011900,200801011930,-9999.0,1,3.702,2.02,-3.54,0.280886,-0.050299,0.030831,0.0,0.0,7.12,1.653,57.06
200801011930,200801012000,-9999.0,1,3.713,3.86,-0.65,0.310778,0.049774,0.034541,0.0,0.0,7.14,2.332,33.75
200801012000,200801012030,-9999.0,1,3.718,3.289,-2.54,0.291332,-0.0698,0.032122,0.0,0.0,7.15,2.446,35.12
200801012030,200801012100,-9999.0,1,3.739,3.208,-2.93,0.28727,-0.077679,0.031619,0.0,0.0,7.19,2.446,34.84
200801012100,200801012130,-9999.0,1,3.697,4.744,0.39,0.321305,0.084717,0.035859,0.0,0.0,7.11,2.324,24.52
200801012130,200801012200,0.20775,0,3.661,4.509,1.45,0.331903,0.115127,0.03719,0.0,0.0,7.04,2.541,33.55
200801012200,200801012230,0.187083,0,3.656,4.613,1.66,0.333986,0.137992,0.037453,0.0,0.0,7.03,2.198,33.04
200801012230,200801012300,-9999.0,1,3.64,4.811,1.98,0.33715,0.04822,0.037852,0.0,0.0,7.0,2.054,31.74
200801012300,200801012330,-9999.0,1,3.635,4.887,2.13,0.338629,0.052252,0.038038,0.0,0.0,6.99,1.935,31.4
200801012330,200801020000,-9999.0,1,3.64,5.076,1.67,0.334085,0.058861,0.037465,0.0,0.0,7.0,1.87,26.37
200801020000,200801020030,-9999.0,1,3.619,5.828,1.98,0.33715,0.046384,0.037852,0.0,0.0,6.96,1.704,17.31
200801020030,200801020100,-9999.0,1,3.63,4.737,0.84,0.32582,0.079782,0.036425,0.0,0.0,6.98,1.99,27.05
200801020100,200801020130,-9999.0,1,3.63,5.174,1.29,0.330312,0.099416,0.03699,0.0,0.0,6.98,1.832,22.87
200801020130,200801020200,-9999.0,1,3.645,3.706,-1.04,0.306798,-0.000903,0.034045,0.0,0.0,7.01,1.853,34.56
200801020200,200801020230,-9999.0,1,3.682,2.93,-2.86,0.288,-0.070643,0.03171,0.0,0.0,7.08,1.788,40.79
200801020230,200801020300,-9999.0,1,3.708,2.985,-2.8,0.288626,-0.077871,0.031787,0.0,0.0,7.13,1.789,39.95
200801020300,200801020330,-9999.0,1,3.718,3.348,-2.08,0.296101,-0.067938,0.032714,0.0,0.0,7.15,1.892,36.17
200801020330,200801020400,-9999.0,1,3.723,2.546,-4.07,0.275308,-0.166789,0.030144,0.0,0.0,7.16,1.499,43.68
200801020400,200801020430,-9999.0,1,3.739,2.496,-4.22,0.273724,-0.168433,0.029949,0.0,0.0,7.19,1.51,44.16
200801020430,200801020500,-9999.0,1,3.718,4.468,-0.09,0.316462,0.081331,0.035252,0.0,0.0,7.15,2.608,26.39
200801020500,200801020530,-9999.0,1,3.676,3.463,0.0,0.317372,0.082288,0.035366,0.0,0.0,7.07,2.624,43.32
200801020530,200801020600,0.441729,0,3.656,1.285,-0.34,0.313929,-0.137769,0.034935,0.0,0.0,7.03,2.378,78.44
200801020600,200801020630,0.852417,0,3.645,1.414,-0.16,0.315754,-0.546541,0.035163,0.0,0.0,7.01,2.569,76.58
200801020630,200801020700,-0.356917,0,3.635,2.894,0.72,0.324619,0.672117,0.036274,0.0,0.0,6.99,2.775,55.05
200801020700,200801020730,0.124958,0,3.624,2.161,0.55,0.322913,0.188446,0.03606,0.0,0.0,6.97,2.761,66.01
200801020730,200801020800,0.188729,0,3.609,3.207,1.77,0.335075,0.137496,0.03759,0.0,0.0,6.94,3.147,53.81
200801020800,200801020830,-0.262229,0,4.872,2.394,1.53,0.332697,0.585944,0.03729,0.0,0.0,9.37,3.058,64.92
200801020830,200801020900,-0.258417,0,20.909,3.044,2.57,0.342952,0.592966,0.038584,0.0,62.4517,40.21,3.355,58.6
200801020900,200801020930,0.206333,0,39.822,3.269,1.62,0.33359,0.118324,0.037403,0.0,185.191,76.58,3.085,52.41
200801020930,200801021000,-0.180437,0,101.499,2.556,0.69,0.324318,0.49532,0.036237,0.0,299.024,195.19,2.948,60.21
200801021000,200801021030,0.169958,0,266.032,3.548,2.23,0.339614,0.161061,0.038163,0.0,402.001,511.6,3.256,50.55
200801021030,200801021100,0.0516458,0,184.491,2.774,1.51,0.332498,0.271859,0.037265,0.0,492.361,354.79,0.662,59.29
200801021100,200801021130,-1.09458,0,275.73,0.611,0.17,0.319089,1.40396,0.035581,0.0,568.559,530.25,3.716,90.13
200801021130,200801021200,-9999.0,1,246.735,0.124,0.04,0.317777,0.190771,0.035416,0.0,629.29,474.49,1.827,97.98
200801021200,200801021230,-9999.0,1,235.591,0.036,1.11,0.328518,0.339013,0.036764,0.0,673.515,453.06,1.665,99.45
200801021230,200801021300,-9999.0,1,113.901,0.003,0.33,0.320701,0.231388,0.035783,0.0,700.477,219.04,0.336,99.95
200801021300,200801021330,-9999.0,1,121.389,0.0,0.06,0.317979,0.178991,0.035442,0.0,709.716,233.44,0.336,100.0
200801021330,200801021400,-9999.0,1,181.225,0.0,-0.03,0.317069,0.009958,0.035328,0.0,701.073,348.51,0.336,100.0
200801021400,200801021430,-9999.0,1,125.18,0.0,-0.08,0.316563,0.177504,0.035265,0.0,674.695,240.73,0.336,100.0
