TIMESTAMP_START,TIMESTAMP_END,NEE,NEE_VUT_REF_QC,SW_IN_F,VPD_F_MDS,TA_F_MDS,RECO_NT_VUT_REF,GPP_NT_VUT_REF,RECO_DT_VUT_REF,GPP_DT_VUT_REF,SW_IN_POT,PPFD_IN,TS_F_MDS_1,RH
200401010000,200401010030,-9999.0,1,0.42,0.243,-7.49,0.317755,-0.159066,0.311947,0.001406,0.0,-0.05,0.481,93.02
200401010030,200401010100,0.423,0,1.15,0.276,-7.74,0.313716,-0.109284,0.309315,0.003849,0.0,-0.05,0.486,91.91
200401010100,200401010130,0.3785,0,1.39,0.244,-8.15,0.30709,-0.07141,0.304971,0.004652,0.0,-0.05,0.491,92.61
200401010130,200401010200,0.4674,0,0.45,0.156,-8.82,0.296263,-0.171137,0.297805,0.001506,0.0,-0.05,0.489,95.02
200401010200,200401010230,0.4334,0,0.0,0.109,-9.64,0.283021,-0.150379,0.288918,0.0,0.0,-0.05,0.509,96.29
200401010230,200401010300,0.3742,0,0.0,0.086,-10.38,0.271089,-0.103111,0.28079,0.0,0.0,-0.05,0.503,96.9
200401010300,200401010330,0.4428,0,0.0,0.064,-10.99,0.261275,-0.181525,0.274013,0.0,0.0,-0.05,0.495,97.58
200401010330,200401010400,0.4366,0,0.0,0.055,-11.43,0.254212,-0.182388,0.269083,0.0,0.0,-0.05,0.504,97.86
200401010400,200401010430,0.3652,0,0.0,0.048,-11.84,0.247645,-0.117555,0.264457,0.0,0.0,-0.05,0.507,98.06
200401010430,200401010500,-9999.0,1,0.0,0.04,-12.21,0.241732,-0.313455,0.260257,0.0,0.0,-0.05,0.504,98.31
200401010500,200401010530,-9999.0,1,0.0,0.04,-12.6,0.235517,-0.330306,0.255805,0.0,0.0,-0.05,0.506,98.29
200401010530,200401010600,-9999.0,1,0.0,0.045,-12.85,0.231542,-0.348958,0.252936,0.0,0.0,-0.05,0.502,98.0
200401010600,200401010630,-9999.0,1,0.0,0.038,-13.51,0.22109,-0.375266,0.245313,0.0,0.0,0.02,0.496,98.24
200401010630,200401010700,-9999.0,1,0.0,0.051,-13.64,0.219039,-0.377317,0.243803,0.0,0.0,-0.05,0.495,97.61
200401010700,200401010730,-9999.0,1,0.0,0.057,-13.58,0.219985,-0.376371,0.2445,0.0,0.0,-0.05,0.491,97.32
200401010730,200401010800,-9999.0,1,0.0,0.059,-13.81,0.216361,-0.395314,0.241824,0.0,0.0,-0.05,0.483,97.17
200401010800,200401010830,-9999.0,1,0.0,0.055,-14.04,0.212746,-0.399914,0.239139,0.0,0.0,0.02,0.483,97.33
200401010830,200401010900,-9999.0,1,0.0,0.048,-14.06,0.212432,-0.400228,0.238905,0.0,0.0,-0.05,0.477,97.69
200401010900,200401010930,-9999.0,2,0.05,0.052,-14.46,0.206168,-0.34855,0.234215,0.000167,0.0,1.3,0.476,97.37
200401010930,200401011000,-9999.0,1,6.67,0.059,-14.38,0.207418,-0.341632,0.235155,0.022307,0.367579,11.49,0.467,97.05
200401011000,200401011030,-9999.0,1,53.41,0.062,-14.51,0.205387,-0.252523,0.233627,0.177564,28.527,32.61,0.462,96.89
200401011030,200401011100,-9999.0,2,30.04,0.068,-13.99,0.213531,-0.423489,0.239724,0.100166,67.5544,59.74,0.464,96.71
200401011100,200401011130,-9999.0,2,40.902,0.065,-13.86,0.215574,-0.428286,0.241241,0.136196,97.0105,85.72,0.454,96.9
200401011130,200401011200,-9999.0,2,49.084,0.091,-13.59,0.219828,-0.399932,0.244384,0.163272,116.391,106.5,0.452,95.77
200401011200,200401011230,-9999.0,2,52.916,0.07,-13.66,0.218724,-0.393996,0.24357,0.175933,125.365,117.09,0.462,96.71
200401011230,200401011300,-9999.0,2,52.331,0.048,-13.7,0.218093,-0.443447,0.243105,0.174001,123.778,114.87,0.47,97.76
200401011300,200401011330,-9999.0,2,47.34,0.055,-14.59,0.204139,-0.558341,0.232685,0.157505,111.658,100.83,0.467,97.21
200401011330,200401011400,-9999.0,2,56.27,0.053,-14.8,0.200868,-0.812932,0.230209,0.187005,89.2119,77.35,0.464,97.24
200401011400,200401011430,-9999.0,1,75.57,0.088,-14.61,0.203827,-0.321728,0.23245,0.250533,56.8239,50.36,0.447,95.52
200401011430,200401011500,-9999.0,1,36.97,0.115,-14.84,0.200246,-0.466805,0.229736,0.123165,15.8192,25.32,0.437,94.02
200401011500,200401011530,-9999.0,1,3.78,0.119,-14.36,0.207731,-0.341319,0.23539,0.012646,0.0,8.25,0.439,94.09
200401011530,200401011600,-9999.0,2,0.81,0.122,-14.76,0.20149,-0.303199,0.230681,0.002711,0.0,0.96,0.426,93.74
200401011600,200401011630,-9999.0,2,0.43,0.104,-15.08,0.196521,-0.312236,0.226896,0.001439,0.0,-0.05,0.414,94.5
200401011630,200401011700,-9999.0,2,0.63,0.091,-15.2,0.194664,-0.314093,0.225473,0.002109,0.0,0.02,0.416,95.13
200401011700,200401011730,-9999.0,2,0.53,0.097,-15.47,0.190496,-0.318261,0.222263,0.001774,0.0,-0.05,0.406,94.69
200401011730,200401011800,-9999.0,2,0.12,0.135,-14.66,0.203048,-0.328722,0.23186,0.000402,0.0,-0.05,0.408,93.1
200401011800,200401011830,-9999.0,1,0.22,0.093,-14.29,0.208826,-0.278941,0.236212,0.000736,0.0,-0.05,0.407,95.41
200401011830,200401011900,-9999.0,2,0.15,0.084,-14.52,0.205231,-0.349487,0.233509,0.000502,0.0,-0.05,0.405,95.74
200401011900,200401011930,-9999.0,2,0.12,0.08,-14.64,0.203359,-0.328411,0.232096,0.000402,0.0,-0.05,0.399,95.91
200401011930,200401012000,-9999.0,2,0.0,0.068,-16.0,0.182366,-0.365054,0.215933,0.0,0.0,-0.05,0.401,96.13
200401012000,200401012030,-9999.0,1,0.58,0.101,-17.22,0.163943,-0.541226,0.201223,0.001941,0.0,-0.05,0.371,93.6
200401012030,200401012100,-9999.0,2,0.61,0.112,-16.86,0.169334,-0.440316,0.205582,0.002042,0.0,-0.05,0.36,93.14
200401012100,200401012130,-9999.0,2,0.43,0.13,-15.93,0.183436,-0.363984,0.216771,0.001439,0.0,-0.05,0.344,92.63
200401012130,200401012200,-9999.0,2,0.4,0.099,-15.06,0.196831,-0.311926,0.227133,0.001339,0.0,-0.05,0.338,94.76
200401012200,200401012230,-9999.0,2,0.43,0.076,-15.32,0.19281,-0.315947,0.224048,0.001439,0.0,0.02,0.334,95.89
200401012230,200401012300,-9999.0,2,0.27,0.094,-16.42,0.175976,-0.401324,0.21089,0.000904,0.0,-0.05,0.332,94.47
200401012300,200401012330,-9999.0,2,0.47,0.066,-16.05,0.181603,-0.374997,0.215334,0.001573,0.0,0.02,0.299,96.22
200401012330,200401020000,-9999.0,2,0.61,0.062,-16.24,0.178709,-0.377891,0.213054,0.002042,0.0,-0.05,0.285,96.4
200401020000,200401020030,-9999.0,2,0.0,0.134,-16.13,0.180383,-0.376217,0.214374,0.0,0.0,-0.05,0.281,92.28
200401020030,200401020100,-9999.0,2,0.0,0.159,-16.82,0.169935,-0.439715,0.206066,0.0,0.0,-0.05,0.273,90.3
200401020100,200401020130,-9999.0,1,0.07,0.186,-17.57,0.158742,-0.535527,0.196971,0.000234,0.0,-0.05,0.269,87.86
200401020130,200401020200,-9999.0,1,0.0,0.177,-18.45,0.145855,-0.546314,0.186225,0.0,0.0,0.02,0.273,87.59
200401020200,200401020230,-9999.0,1,0.0,0.199,-17.57,0.158742,-0.533656,0.196971,0.0,0.0,0.02,0.247,87.01
200401020230,200401020300,-9999.0,2,0.0,0.145,-16.77,0.170688,-0.438962,0.20667,0.0,0.0,-0.05,0.236,91.17
200401020300,200401020330,-9999.0,2,0.0,0.116,-16.44,0.175673,-0.401627,0.210649,0.0,0.0,0.02,0.239,93.13
200401020330,200401020400,-9999.0,2,0.0,0.12,-16.72,0.171441,-0.438209,0.207273,0.0,0.0,-0.05,0.234,92.74
200401020400,200401020430,-9999.0,2,0.03,0.151,-16.49,0.174915,-0.402385,0.210047,0.0001,0.0,-0.05,0.222,91.03
200401020430,200401020500,-9999.0,1,0.0,0.126,-16.92,0.168433,-0.516226,0.204857,0.0,0.0,-0.05,0.22,92.24
200401020500,200401020530,-9999.0,1,0.0,0.119,-17.79,0.155494,-0.529207,0.194291,0.0,0.0,-0.05,0.196,92.11
200401020530,200401020600,-9999.0,1,0.0,0.099,-17.99,0.152556,-0.531083,0.191851,0.0,0.0,-0.05,0.166,93.34
200401020600,200401020630,-9999.0,1,0.0,0.129,-17.92,0.153583,-0.52571,0.192706,0.0,0.0,0.02,0.131,91.37
200401020630,200401020700,-9999.0,2,0.0,0.149,-16.4,0.176279,-0.401021,0.21113,0.0,0.0,-0.05,0.121,91.23
200401020700,200401020730,-9999.0,2,0.0,0.187,-15.37,0.192038,-0.316719,0.223453,0.0,0.0,-0.05,0.135,89.89
200401020730,200401020800,-9999.0,2,0.0,0.114,-16.05,0.181603,-0.374997,0.215334,0.0,0.0,-0.05,0.164,93.46
200401020800,200401020830,-9999.0,1,0.0,0.104,-16.95,0.167983,-0.504827,0.204494,0.0,0.0,-0.05,0.179,93.58
200401020830,200401020900,-9999.0,1,0.0,0.058,-17.86,0.154465,-0.517701,0.193438,0.0,0.0,-0.05,0.146,96.1
200401020900,200401020930,-9999.0,2,0.21,0.108,-16.39,0.176431,-0.400869,0.21125,0.000703,0.0,1.77,0.116,93.64
200401020930,200401021000,-9999.0,2,2.84,0.112,-15.92,0.183589,-0.363831,0.216891,0.009503,0.403016,11.69,0.094,93.65
200401021000,200401021030,-9999.0,1,41.21,0.141,-15.25,0.193891,-0.415738,0.224879,0.137217,28.9737,35.18,0.079,92.42
200401021030,200401021100,-9999.0,1,89.24,0.229,-14.87,0.19978,-0.357276,0.229382,0.295343,68.3334,68.71,0.075,-9999.0
200401021100,200401021130,-9999.0,3,65.225,0.084,-15.16,0.195283,-0.448577,0.225948,0.21652,98.1356,96.11,0.107,-9999.0
200401021130,200401021200,-9999.0,3,35.637,0.026,-15.11,0.196057,-0.423703,0.226541,0.118744,117.87,122.63,0.128,98.63
200401021200,200401021230,-9999.0,3,38.426,0.087,-14.64,0.203359,-0.409361,0.232096,0.127992,127.2,124.25,0.162,-9999.0
200401021230,200401021300,-9999.0,3,38.055,0.046,-13.9,0.214945,-0.446595,0.240775,0.126762,125.965,113.79,0.183,-9999.0
200401021300,200401021330,-9999.0,3,34.532,0.065,-13.85,0.215732,-0.546748,0.241358,0.115078,114.187,103.8,0.198,-9999.0
200401021330,200401021400,-9999.0,3,61.035,0.066,-13.6,0.21967,-0.79413,0.244268,0.202718,92.0662,83.22,0.213,96.9
200401021400,200401021430,-9999.0,1,80.21,0.064,-13.7,0.218093,-0.334377,0.243105,0.26576,59.9821,54.54,0.2,96.97
200401021430,200401021500,-9999.0,1,41.86,0.066,-13.8,0.216518,-0.366182,0.241941,0.139369,18.7569,27.48,0.201,96.87
200401021500,200401021530,-9999.0,2,5.33,0.054,-15.36,0.192192,-0.316565,0.223572,0.017828,0.0,7.92,0.197,97.08
200401021530,200401021600,-9999.0,1,0.68,0.135,-14.26,0.209296,-0.278471,0.236563,0.002276,0.0,0.29,0.177,93.32
200401021600,200401021630,-9999.0,1,0.65,0.149,-14.39,0.207262,-0.341788,0.235038,0.002175,0.0,-0.05,0.17,92.58
