TIMESTAMP_START,TIMESTAMP_END,NEE,NEE_VUT_REF_QC,SW_IN_F,VPD_F_MDS,TA_F_MDS,RECO_NT_VUT_REF,GPP_NT_VUT_REF,RECO_DT_VUT_REF,GPP_DT_VUT_REF,SW_IN_POT,PPFD_IN,TS_F_MDS_1,RH
200101010000,200101010030,-9999.0,1,0.137,0.13,-3.498,0.249089,-0.128622,0.345568,0.0,0.0,-0.519413,-0.646,97.238
200101010030,200101010100,-9999.0,1,0.072,0.129,-3.412,0.250891,-0.221484,0.346389,0.0,0.0,-0.474971,-0.646,97.29
200101010100,200101010130,-9999.0,1,0.077,0.114,-3.371,0.251752,-0.250973,0.34678,0.0,0.0,-0.549967,-0.644,97.602
200101010130,200101010200,-9999.0,1,0.086,0.108,-3.319,0.252846,-0.123857,0.347276,0.0,0.0,-0.54256,-0.643,97.738
200101010200,200101010230,-9999.0,1,0.053,0.109,-3.292,0.253415,-0.123298,0.347533,0.0,0.0,-0.556448,-0.643,97.734
200101010230,200101010300,-9999.0,1,0.052,0.112,-3.244,0.254427,-0.121603,0.34799,0.0,0.0,-0.546263,-0.643,97.663
200101010300,200101010330,-9999.0,1,0.0,0.118,-3.187,0.255632,-0.121233,0.348531,0.0,0.0,-0.481452,-0.645,97.555
200101010330,200101010400,-9999.0,1,0.0,0.118,-3.153,0.256352,-0.120526,0.348854,0.0,0.0,-0.527746,-0.643,97.569
200101010400,200101010430,-9999.0,1,0.06,0.117,-3.083,0.257837,-0.117306,0.349518,0.0,0.0,-0.453676,-0.639,97.591
200101010430,200101010500,-9999.0,1,0.054,0.117,-3.06,0.258325,-0.116763,0.349736,0.0,0.0,-0.442566,-0.639,97.601
200101010500,200101010530,-9999.0,1,0.107,0.115,-3.037,0.258815,-0.116283,0.349954,0.0,0.0,-0.424974,-0.639,97.646
200101010530,200101010600,-9999.0,1,0.133,0.115,-2.991,0.259794,-0.115321,0.350389,0.0,0.0,-0.45738,-0.639,97.654
200101010600,200101010630,-9999.0,1,0.223,0.113,-2.947,0.260732,-0.115172,0.350806,0.0,0.0,-0.548115,-0.637,97.699
200101010630,200101010700,-9999.0,1,0.202,0.108,-2.897,0.2618,-0.114123,0.351278,0.0,0.0,-0.487008,-0.639,97.808
200101010700,200101010730,-9999.0,1,0.175,0.109,-2.817,0.263513,-0.112036,0.352033,0.0,0.0,-0.45738,-0.637,97.808
200101010730,200101010800,-9999.0,1,0.124,0.106,-2.717,0.265661,-0.109986,0.352975,0.0,0.0,-0.353682,-0.636,97.877
200101010800,200101010830,-9999.0,1,0.129,0.105,-2.681,0.266436,-0.109225,0.353314,0.0,0.0,-0.455528,-0.634,97.914
200101010830,200101010900,-9999.0,1,0.261,0.084,-2.621,0.26773,-0.107239,0.353878,0.0,0.0,-0.202766,-0.635,98.34
200101010900,200101010930,-9999.0,1,0.442,0.072,-2.552,0.269221,-0.105018,0.354526,0.0,0.0,0.408309,-0.634,98.578
200101010930,200101011000,-9999.0,1,1.694,0.071,-2.593,0.268334,-0.106646,0.354141,0.0,3.51772,3.23036,-0.635,98.6
200101011000,200101011030,-9999.0,1,5.968,0.073,-2.498,0.27039,-0.099534,0.355032,0.0,42.9113,11.4993,-0.631,98.574
200101011030,200101011100,-9999.0,1,6.577,0.078,-2.397,0.272583,-0.092972,0.355978,0.0,84.4082,14.2315,-0.632,98.473
200101011100,200101011130,-9999.0,1,9.63,0.078,-2.337,0.27389,-0.090855,0.356538,0.0,116.121,20.6626,-0.632,98.492
200101011130,200101011200,-9999.0,1,12.158,0.073,-2.241,0.275986,-0.088111,0.357434,0.0,137.507,26.1818,-0.631,98.601
200101011200,200101011230,-9999.0,1,15.069,0.065,-2.121,0.278615,-0.083462,0.358552,0.0,148.201,32.2953,-0.629,98.755
200101011230,200101011300,-9999.0,1,15.87,0.055,-1.991,0.281475,-0.081194,0.35976,0.0,148.019,33.922,-0.631,98.956
200101011300,200101011330,-9999.0,1,13.135,0.052,-1.872,0.284104,-0.076922,0.360863,0.0,136.965,28.3242,-0.628,99.019
200101011330,200101011400,-9999.0,1,10.727,0.05,-1.781,0.286122,-0.074549,0.361705,0.0,115.228,22.894,-0.629,99.063
