TIMESTAMP_START,TIMESTAMP_END,NEE,NEE_VUT_REF_QC,SW_IN_F,VPD_F_MDS,TA_F_MDS,RECO_NT_VUT_REF,GPP_NT_VUT_REF,RECO_DT_VUT_REF,GPP_DT_VUT_REF,SW_IN_POT,PPFD_IN,TS_F_MDS_1,RH
201201010000,201201010030,-9999.0,3,0.0,0.185,0.66,1.07355,-0.146117,0.693125,0.0,0.0,-9999.0,0.9,-9999.0
201201010030,201201010100,-9999.0,3,0.0,0.187,0.66,1.07299,-0.368764,0.692664,0.0,0.0,-9999.0,0.9,-9999.0
201201010100,201201010130,-9999.0,3,0.0,0.203,0.7,1.07231,-0.193717,0.692111,0.0,0.0,-9999.0,0.9,-9999.0
201201010130,201201010200,-9999.0,3,0.0,0.225,0.728,1.07164,-0.442531,0.691559,0.0,0.0,-9999.0,0.9,-9999.0
201201010200,201201010230,-9999.0,3,0.0,0.251,0.74,1.07108,-0.484747,0.691099,0.0,0.0,-9999.0,0.9,-9999.0
201201010230,201201010300,-9999.0,3,0.0,0.279,0.704,1.0126,-0.551145,0.643623,0.0,0.0,-9999.0,0.9,-9999.0
201201010300,201201010330,-9999.0,3,0.0,0.277,0.57,0.95609,-0.414375,0.598431,0.0,0.0,-9999.0,0.9,-9999.0
201201010330,201201010400,-9999.0,3,0.0,0.253,0.4,0.901426,-0.506297,0.555392,0.0,0.0,-9999.0,0.902,-9999.0
201201010400,201201010430,-9999.0,3,0.0,0.205,0.224,0.848612,-0.161317,0.514468,0.0,0.0,-9999.0,0.904,-9999.0
201201010430,201201010500,-9999.0,3,0.0,0.153,0.058,0.797552,0.552619,0.475546,0.0,0.0,-9999.0,0.906,-9999.0
201201010500,201201010530,-9999.0,3,0.0,0.099,-0.102,0.748436,0.644282,0.43873,0.0,0.0,-9999.0,0.91,-9999.0
201201010530,201201010600,-9999.0,3,0.0,0.072,-0.172,0.743234,1.12742,0.434868,0.0,0.0,-9999.0,0.916,-9999.0
201201010600,201201010630,-9999.0,3,0.0,0.06,-0.198,0.738054,-0.813356,0.431029,0.0,0.0,-9999.0,0.922,-9999.0
201201010630,201201010700,-9999.0,3,0.0,0.06,-0.2,0.732895,-0.63566,0.427213,0.0,0.0,-9999.0,0.93,-9999.0
201201010700,201201010730,-9999.0,3,0.0,0.06,-0.2,0.727758,-0.737738,0.42342,0.0,0.0,-9999.0,0.938,-9999.0
201201010730,201201010800,-9999.0,3,0.0,0.06,-0.2,0.722642,-0.572851,0.41965,0.0,0.0,-9999.0,0.948,-9999.0
201201010800,201201010830,-9999.0,3,0.0,0.06,-0.198,0.717548,-0.692289,0.415904,0.0,0.0,-9999.0,0.958,-9999.0
201201010830,201201010900,-9999.0,3,0.0,0.06,-0.196,0.709459,-0.627039,0.409969,0.0,0.0,-9999.0,0.966,-9999.0
201201010900,201201010930,-9999.0,3,0.0,0.06,-0.18,0.701426,-0.383124,0.404093,0.0,0.0,-9999.0,0.974,-9999.0
201201010930,201201011000,-9999.0,3,0.984,0.061,-0.126,0.693447,-0.127297,0.398275,0.03654,7.40247,-9999.0,0.982,-9999.0
201201011000,201201011030,-9999.0,3,20.469,0.061,0.054,0.685522,0.118893,0.392514,0.746923,51.4791,-9999.0,0.988,-9999.0
201201011030,201201011100,-9999.0,3,36.393,0.063,0.344,0.677566,0.423384,0.386748,1.30946,92.6726,-9999.0,0.992,-9999.0
201201011100,201201011130,-9999.0,3,48.401,0.064,0.704,0.669752,0.668364,0.381102,1.72338,123.962,-9999.0,0.996,-9999.0
201201011130,201201011200,-9999.0,3,56.437,0.066,1.108,0.70301,0.756873,0.405251,1.9956,144.811,-9999.0,0.986,-9999.0
201201011200,201201011230,-9999.0,3,60.301,0.09,1.435,0.737328,0.89663,0.430492,2.12515,154.863,-9999.0,0.947,-9999.0
201201011230,201201011300,-9999.0,3,59.929,0.199,1.135,0.77253,1.58395,0.456712,2.11271,153.947,-9999.0,0.87,-9999.0
201201011300,201201011330,-9999.0,3,55.327,0.215,1.167,0.808706,1.01344,0.483993,1.95822,142.078,-9999.0,0.873,-9999.0
201201011330,201201011400,-9999.0,3,46.572,0.228,1.172,0.845956,0.905657,0.512427,1.66089,119.46,-9999.0,0.875,-9999.0
201201011400,201201011430,-9999.0,3,21.311,0.235,1.162,0.884086,0.428544,0.541883,0.777066,86.4779,-9999.0,0.878,-9999.0
201201011430,201201011500,-9999.0,3,10.888,0.248,1.156,0.871334,0.400808,0.531993,0.400721,43.6977,-9999.0,0.88,-9999.0
