TIMESTAMP_START,TIMESTAMP_END,NEE,NEE_VUT_REF_QC,SW_IN_F,VPD_F_MDS,TA_F_MDS,RECO_NT_VUT_REF,GPP_NT_VUT_REF,RECO_DT_VUT_REF,GPP_DT_VUT_REF,SW_IN_POT,PPFD_IN,TS_F_MDS_1,RH
200901010000,200901010030,-9999.0,1,0.0,0.55,-11.39,0.0,-0.231939,0.051914,0.0,0.0,-0.01,0.32,78.49
200901010030,200901010100,-9999.0,1,0.0,0.579,-11.55,0.0,-0.231939,0.051567,0.0,0.0,-0.01,0.32,77.08
200901010100,200901010130,0.191433,0,0.0,0.558,-12.17,0.0,-0.191433,0.050215,0.0,0.0,-0.01,0.31,76.76
200901010130,200901010200,-9999.0,1,0.0,0.359,-15.13,0.0,-1.34134,0.043587,0.0,0.0,-0.01,0.32,80.97
200901010200,200901010230,-9999.0,1,0.0,0.331,-14.49,0.0,-0.614209,0.045043,0.0,0.0,-0.02,0.32,83.35
200901010230,200901010300,-9999.0,1,0.0,0.736,-11.22,0.0,-0.160741,0.052281,0.0,0.0,-0.01,0.32,71.6
200901010300,200901010330,-9999.0,1,0.0,0.729,-11.95,0.0,-0.229054,0.050696,0.0,0.0,-0.01,0.32,70.2
200901010330,200901010400,-9999.0,1,0.0,0.617,-12.69,0.0,-0.287391,0.049071,0.0,0.0,-0.01,0.32,73.21
200901010400,200901010430,-9999.0,1,0.0,0.683,-11.82,0.0,-0.228043,0.05098,0.0,0.0,-0.01,0.32,72.36
200901010430,200901010500,-9999.0,1,0.0,0.662,-11.91,0.0,-0.228043,0.050783,0.0,0.0,-0.01,0.32,73.02
200901010500,200901010530,-9999.0,1,0.0,0.566,-11.87,0.0,-0.222041,0.050871,0.0,0.0,-0.01,0.32,77.0
200901010530,200901010600,-9999.0,1,0.0,0.488,-12.15,0.0,-0.228046,0.050259,0.0,0.0,-0.01,0.32,79.72
200901010600,200901010630,-9999.0,1,0.0,0.533,-11.79,0.0,-0.222041,0.051045,0.0,0.0,-0.01,0.32,78.49
200901010630,200901010700,-9999.0,1,0.0,0.517,-11.89,0.0,-0.222041,0.050827,0.0,0.0,-0.01,0.32,78.97
200901010700,200901010730,-0.022876,0,0.0,0.55,-11.13,0.0,0.022876,0.052475,0.0,0.0,-0.01,0.32,78.94
200901010730,200901010800,0.20178,0,0.0,0.552,-10.06,0.0,-0.20178,0.054761,0.0,0.0,-0.01,0.32,80.6
200901010800,200901010830,-9999.0,1,0.0,0.391,-10.13,0.0,-0.098903,0.054613,0.0,0.0,-0.01,0.32,86.17
200901010830,200901010900,-9999.0,1,0.0,0.442,-10.64,0.0,-0.150213,0.053527,0.0,0.0,-0.01,0.32,83.71
200901010900,200901010930,-9999.0,1,0.0,0.421,-11.71,0.0,-0.222041,0.051219,0.0,0.0,-0.01,0.32,83.11
200901010930,200901011000,-9999.0,1,0.0,0.397,-12.12,0.0,-0.228046,0.050324,0.0,0.0,-0.01,0.32,83.55
200901011000,200901011030,-9999.0,1,0.0,0.413,-13.31,0.0,-0.30164,0.047695,0.0,0.0,0.12,0.32,81.14
200901011030,200901011100,-9999.0,1,0.0,0.206,-16.8,0.0,-0.207464,0.039736,0.0,0.0,1.15,0.32,87.41
200901011100,200901011130,-9999.0,1,0.0,0.548,-12.35,0.0,-0.240511,0.04982,0.0,0.0,3.36,0.32,76.85
200901011130,200901011200,0.30745,0,1.64,0.629,-12.25,0.0,-0.30745,0.05004,0.001802,0.0,6.13,0.32,73.65
200901011200,200901011230,0.172711,0,2.91,0.672,-12.03,0.0,-0.172711,0.050521,0.003197,0.0,8.08,0.32,72.34
200901011230,200901011300,0.231881,0,3.02,0.579,-12.84,0.0,-0.231881,0.048739,0.003318,0.0,7.94,0.32,74.54
200901011300,200901011330,-0.115713,0,1.89,0.643,-12.0,0.0,0.115713,0.050587,0.002077,0.0,5.87,0.32,73.58
200901011330,200901011400,-9999.0,1,0.35,0.508,-13.08,0.0,-0.264567,0.048207,0.000385,0.0,2.93,0.32,77.25
200901011400,200901011430,-9999.0,1,0.0,0.467,-13.77,0.0,-0.350593,0.046667,0.0,0.0,0.84,0.32,77.84
200901011430,200901011500,-9999.0,1,0.0,0.524,-13.45,0.0,-0.295771,0.047383,0.0,0.0,0.02,0.32,75.78
200901011500,200901011530,-9999.0,1,0.0,0.363,-16.07,0.0,-0.203478,0.041428,0.0,0.0,-0.02,0.32,79.2
200901011530,200901011600,-9999.0,1,0.0,0.183,-19.91,0.0,-0.203478,0.032409,0.0,0.0,-0.02,0.33,85.4
200901011600,200901011630,-9999.0,1,0.0,0.203,-18.24,0.0,-0.203478,0.036363,0.0,0.0,-0.02,0.33,86.01
200901011630,200901011700,-9999.0,1,0.0,0.514,-12.95,0.0,-0.253032,0.048496,0.0,0.0,-0.02,0.33,77.22
