TIMESTAMP_START,TIMESTAMP_END,NEE,NEE_VUT_REF_QC,SW_IN_F,VPD_F_MDS,TA_F_MDS,RECO_NT_VUT_REF,GPP_NT_VUT_REF,RECO_DT_VUT_REF,GPP_DT_VUT_REF,SW_IN_POT,PPFD_IN,TS_F_MDS_1,RH
200601010000,200601010030,-9999.0,1,0.0,0.188,-6.463,0.32876,-0.059385,0.897928,0.0,0.0,-9999.0,-0.98,95.0
200601010030,200601010100,-9999.0,1,0.0,0.187,-6.533,0.326636,-0.061413,0.895919,0.0,0.0,-9999.0,-0.98,95.0
200601010100,200601010130,-9999.0,1,0.0,0.186,-6.63,0.323703,-0.05457,0.893129,0.0,0.0,-9999.0,-0.97,95.0
200601010130,200601010200,-9999.0,1,0.0,0.184,-6.793,0.318801,-0.052499,0.888431,0.0,0.0,-9999.0,-0.97,95.0
200601010200,200601010230,-9999.0,1,0.0,0.182,-6.903,0.315512,-0.046961,0.885252,0.0,0.0,-9999.0,-0.97,95.0
200601010230,200601010300,-9999.0,1,0.0,0.181,-6.98,0.31322,-0.047676,0.883023,0.0,0.0,-9999.0,-0.96,95.0
200601010300,200601010330,-9999.0,1,0.0,0.179,-7.09,0.309958,-0.050795,0.879833,0.0,0.0,-9999.0,-0.96,95.0
200601010330,200601010400,-9999.0,1,0.0,0.177,-7.263,0.30486,-0.046707,0.874804,0.0,0.0,-9999.0,-0.95,95.0
200601010400,200601010430,-9999.0,1,0.0,0.21,-7.437,0.299772,-0.042548,0.869729,0.0,0.0,-9999.0,-0.95,94.0
200601010430,200601010500,-9999.0,1,0.0,0.208,-7.543,0.296692,-0.045051,0.86663,0.0,0.0,-9999.0,-0.95,94.0
200601010500,200601010530,-9999.0,1,0.0,0.206,-7.65,0.293598,-0.035398,0.863495,0.0,0.0,-9999.0,-0.94,94.0
200601010530,200601010600,-9999.0,1,0.0,0.204,-7.763,0.290347,-0.03064,0.860178,0.0,0.0,-9999.0,-0.94,94.0
200601010600,200601010630,-9999.0,1,0.0,0.204,-7.76,0.290433,-0.027891,0.860266,0.0,0.0,-9999.0,-0.93,94.0
200601010630,200601010700,-9999.0,1,0.0,0.206,-7.657,0.293396,-0.034288,0.863289,0.0,0.0,-9999.0,-0.93,94.0
200601010700,200601010730,-9999.0,1,0.5,0.208,-7.567,0.295996,-0.044869,0.865927,0.044706,0.0,-9999.0,-0.93,94.0
200601010730,200601010800,-9999.0,1,0.0,0.208,-7.513,0.297562,-0.043369,0.867507,0.0,0.0,-9999.0,-0.92,94.0
200601010800,200601010830,-9999.0,1,0.5,0.209,-7.483,0.298433,-0.040947,0.868385,0.044706,0.0,-9999.0,-0.92,94.0
