TIMESTAMP_START,TIMESTAMP_END,NEE,NEE_VUT_REF_QC,SW_IN_F,VPD_F_MDS,TA_F_MDS,RECO_NT_VUT_REF,GPP_NT_VUT_REF,RECO_DT_VUT_REF,GPP_DT_VUT_REF,SW_IN_POT,PPFD_IN,RH
201401010000,201401010030,0.170344,0,0.0,0.334,7.553,1.53957,1.36923,1.33129,0.0,0.0,0.0,96.7889
201401010030,201401010100,-9999.0,1,0.0,1.01,8.094,1.57226,0.013861,1.38413,0.0,0.0,-9999.0,-9999.0
201401010100,201401010130,-9999.0,1,0.0,0.396,7.684,1.54748,0.087394,1.344,0.0,0.0,0.0,96.2303
201401010130,201401010200,-1.93124,0,0.0,0.372,7.571,1.54066,3.4719,1.33304,0.0,0.0,0.0,96.4259
201401010200,201401010230,-2.54602,0,0.0,0.348,7.462,1.53408,4.0801,1.32251,0.0,0.0,0.0,96.6355
201401010230,201401010300,1.4558,0,0.0,0.34,7.444,1.53299,0.077188,1.32077,0.0,0.0,0.0,96.7073
201401010300,201401010330,-9999.0,1,0.0,0.317,7.357,1.52774,0.087025,1.3124,0.0,0.0,0.0,96.9175
201401010330,201401010400,2.66846,0,0.0,0.277,7.066,1.51017,-1.15829,1.28459,0.0,0.0,0.0,97.2479
201401010400,201401010430,2.84222,0,0.0,0.31,7.096,1.51198,-1.33024,1.28744,0.0,0.0,0.0,96.9242
201401010430,201401010500,1.17014,0,0.0,0.358,7.094,1.51186,0.341722,1.28725,0.0,0.0,0.0,96.4509
201401010500,201401010530,-0.79194,0,0.0,0.474,6.986,1.50535,2.29729,1.277,0.0,0.0,0.0,95.2622
201401010530,201401010600,-0.108049,0,0.0,0.515,6.764,1.49196,1.60001,1.25604,0.0,0.0,0.0,94.7809
201401010600,201401010630,1.60577,0,0.0,0.404,6.526,1.47761,-0.128158,1.23376,0.0,0.0,0.0,95.8396
201401010630,201401010700,1.92375,0,0.0,0.317,6.287,1.46322,-0.460534,1.21159,0.0,0.0,0.0,96.6736
201401010700,201401010730,1.84618,0,0.0,0.318,6.524,1.47749,-0.368688,1.23358,0.0,0.0,0.0,96.7167
201401010730,201401010800,1.88702,0,0.0,0.355,6.879,1.49889,-0.388128,1.26687,0.0,0.0,0.0,96.424
201401010800,201401010830,4.55359,0,0.0,0.392,7.173,1.51663,-3.03696,1.29478,0.0,0.0,0.0,96.1366
201401010830,201401010900,1.22108,0,3.746,0.419,7.296,1.52405,0.302973,1.30655,0.03591,8.64285,11.2426,95.9027
201401010900,201401010930,1.85115,0,16.039,0.46,7.308,1.52478,-0.326373,1.3077,0.149685,88.0147,32.0427,95.5037
201401010930,201401011000,0.843243,0,38.431,0.553,7.466,1.53432,0.691074,1.32289,0.342173,175.793,73.3097,94.6547
201401011000,201401011030,1.40382,0,51.171,0.747,7.821,1.55576,0.151941,1.35734,0.443992,253.418,98.0084,92.9512
201401011030,201401011100,1.86482,0,60.811,1.034,8.204,1.57891,-0.285908,1.39499,0.517652,319.56,119.499,90.5015
201401011100,201401011130,1.47097,0,119.413,1.184,8.5,1.59681,0.125841,1.42443,0.911645,373.089,227.088,89.3384
201401011130,201401011200,2.15972,0,92.107,1.263,8.702,1.60903,-0.550689,1.44468,0.738685,413.089,178.227,88.7787
201401011200,201401011230,2.59301,0,87.87,1.368,8.943,1.62361,-0.969397,1.46903,0.71027,438.874,173.862,88.0423
201401011230,201401011300,2.17232,0,106.665,1.488,9.218,1.64026,-0.532064,1.49704,0.833014,450.004,206.606,87.2324
201401011300,201401011330,0.563887,0,76.728,1.688,9.589,1.66271,1.09883,1.53523,0.633359,446.289,154.351,85.8715
201401011330,201401011400,-7.08374,0,70.579,1.936,9.963,1.68536,8.7691,1.57418,0.5895,427.792,143.641,84.2007
201401011400,201401011430,-9999.0,1,66.61,1.528,9.798,1.67537,0.143757,1.55694,0.560635,394.829,138.136,87.3953
201401011430,201401011500,-9999.0,1,38.724,1.257,9.763,1.67325,-0.028202,1.55329,0.344574,347.964,82.291,89.6043
201401011500,201401011530,-9999.0,1,45.755,1.213,9.818,1.67658,-0.068452,1.55902,0.401348,288.0,93.3046,90.0036
201401011530,201401011600,-9999.0,1,32.556,1.43,10.01,1.6882,-0.315587,1.57911,0.293403,215.962,66.0618,88.3686
201401011600,201401011630,-4.16881,0,25.392,1.504,10.044,1.69026,5.85907,1.58267,0.232297,133.083,49.6079,87.7936
