TIMESTAMP_START,TIMESTAMP_END,NEE,NEE_VUT_REF_QC,SW_IN_F,VPD_F_MDS,TA_F_MDS,RECO_NT_VUT_REF,GPP_NT_VUT_REF,RECO_DT_VUT_REF,GPP_DT_VUT_REF,SW_IN_POT,PPFD_IN,TS_F_MDS_1,RH
200801010000,200801010030,-9999.0,1,0.0,0.206,4.183,0.989051,-0.484877,0.516152,0.0,0.0,0.5,3.909,97.5
200801010030,200801010100,-9999.0,1,0.0,0.746,4.239,0.993672,-0.340786,0.520754,0.0,0.0,-9999.0,3.084,-9999.0
200801010100,200801010130,-9999.0,1,0.0,0.198,4.17,0.98798,-0.483331,0.515087,0.0,0.0,0.0,4.032,97.6
200801010130,200801010200,-9999.0,1,0.0,0.188,4.068,0.979596,-0.497172,0.506795,0.0,0.0,0.0,4.032,97.7
200801010200,200801010230,-9999.0,1,0.0,0.18,4.101,0.982304,-0.494458,0.509467,0.0,0.0,0.0,3.897,97.8
200801010230,200801010300,-9999.0,1,0.0,0.179,4.021,0.975745,-0.53269,0.503008,0.0,0.0,0.0,4.057,97.8
200801010300,200801010330,-9999.0,1,0.0,0.172,4.078,0.980416,-0.53994,0.507604,0.0,0.0,0.0,3.806,97.9
200801010330,200801010400,-9999.0,1,0.0,0.161,3.808,0.958394,-0.617836,0.486111,0.0,0.0,0.0,3.668,98.0
200801010400,200801010430,-9999.0,1,0.0,0.153,3.871,0.963509,-0.642731,0.491063,0.0,0.0,0.0,3.607,98.1
200801010430,200801010500,-9999.0,1,0.0,0.153,3.87,0.963428,-0.653053,0.490985,0.0,0.0,0.0,3.598,98.1
200801010500,200801010530,-9999.0,1,0.0,0.145,3.832,0.960341,-0.656146,0.487993,0.0,0.0,0.0,3.297,98.2
200801010530,200801010600,-9999.0,1,0.0,0.141,3.491,0.932873,-0.593496,0.461757,0.0,0.0,0.0,3.387,98.2
200801010600,200801010630,-9999.0,1,0.0,0.132,3.319,0.919179,-0.505186,0.448934,0.0,0.0,0.0,3.303,98.3
200801010630,200801010700,-9999.0,1,0.0,0.124,3.346,0.921321,-0.49972,0.450928,0.0,0.0,0.0,3.421,98.4
