TIMESTAMP_START,TIMESTAMP_END,NEE,NEE_VUT_REF_QC,SW_IN_F,VPD_F_MDS,TA_F_MDS,RECO_NT_VUT_REF,GPP_NT_VUT_REF,RECO_DT_VUT_REF,GPP_DT_VUT_REF,SW_IN_POT,PPFD_IN,TS_F_MDS_1,RH
200801010000,200801010030,-9999.0,1,0.0,0.646,2.557,0.452579,0.984997,4.21016,0.0,0.0,0.0,5.772,91.2
200801010030,200801010100,-9999.0,1,0.0,0.584,2.29,0.445151,1.05532,4.18627,0.0,0.0,0.0,5.713,91.9
200801010100,200801010130,-9999.0,1,0.0,0.534,2.122,0.440498,1.07505,4.17118,0.0,0.0,0.0,5.6,92.5
200801010130,200801010200,-9999.0,1,0.0,0.417,1.566,0.42522,0.329639,4.12087,0.0,0.0,0.0,5.58,93.9
200801010200,200801010230,-9999.0,1,0.0,0.347,1.22,0.415806,-0.303259,4.08928,0.0,0.0,0.0,5.57,94.8
200801010230,200801010300,-9999.0,1,0.0,0.388,1.264,0.416999,0.374952,4.09331,0.0,0.0,0.0,5.55,94.2
200801010300,200801010330,-9999.0,1,0.0,0.359,1.151,0.413937,-0.571407,4.08295,0.0,0.0,0.0,5.53,94.6
200801010330,200801010400,-9999.0,1,0.0,0.318,0.835,0.405418,-1.50237,4.05387,0.0,0.0,0.0,5.5,95.1
200801010400,200801010430,-9999.0,1,0.0,0.239,0.424,0.394433,-0.886816,4.01577,0.0,0.0,0.0,5.48,96.2
200801010430,200801010500,-9999.0,1,0.0,0.194,0.319,0.391644,-0.836488,4.00598,0.0,0.0,0.0,5.46,96.9
200801010500,200801010530,-9999.0,1,0.0,0.19,0.05,0.384531,-0.76836,3.98082,0.0,0.0,0.0,5.43,96.9
200801010530,200801010600,-9999.0,1,0.0,0.186,-0.238,0.37697,-0.775842,3.95374,0.0,0.0,0.0,5.41,96.9
200801010600,200801010630,-9999.0,1,0.0,0.209,-0.308,0.37514,-0.777651,3.94713,0.0,0.0,0.0,5.4,96.5
200801010630,200801010700,-9999.0,1,0.0,0.121,-0.801,0.362349,-4.41269,3.90034,0.0,0.0,0.0,5.39,97.9
200801010700,200801010730,-9999.0,1,0.0,0.085,-0.998,0.357285,-4.4177,3.88151,0.0,0.0,0.0,5.38,98.5
200801010730,200801010800,-9999.0,1,0.0,0.072,-1.287,0.349906,-4.42498,3.85376,0.0,0.0,0.0,5.36,98.7
200801010800,200801010830,-9999.0,1,0.0,0.049,-1.461,0.345491,-4.42934,3.83698,0.0,0.0,0.0,5.35,99.1
200801010830,200801010900,14.6561,0,0.0,0.039,-1.384,0.347442,-14.3241,3.84441,0.0,11.5504,0.0,5.33,99.3
200801010900,200801010930,-0.0341404,0,16.39,0.033,-1.455,0.345643,0.364395,3.83756,1.78585,102.327,97.25,5.31,99.4
200801010930,200801011000,-0.256193,0,43.4,0.033,-1.509,0.344277,0.5851,3.83234,3.90551,200.955,132.83,5.3,99.4
200801011000,200801011030,-0.418021,0,55.67,0.033,-1.447,0.345845,0.748475,3.83833,4.64248,289.428,163.84,5.29,99.4
200801011030,200801011100,-3.41651,0,74.11,0.033,-1.411,0.346757,3.74786,3.84181,5.56701,366.234,187.45,5.28,99.4
200801011100,200801011130,-9999.0,1,99.64,0.033,-1.341,0.348533,4.34818,3.84856,6.58074,430.058,222.85,5.28,99.4
200801011130,200801011200,-9999.0,1,119.15,0.033,-1.593,0.342156,6.14042,3.82421,7.2043,479.807,270.33,5.25,99.4
200801011200,200801011230,-9999.0,1,121.44,0.032,-1.714,0.339111,6.13741,3.81247,7.27065,514.632,281.8,5.24,99.4
200801011230,200801011300,-9999.0,1,121.25,0.038,-1.754,0.338106,6.13642,3.80859,7.26519,533.935,276.62,5.21,99.3
200801011300,200801011330,-9999.0,1,131.39,0.043,-1.86,0.33545,5.94486,3.79827,7.54442,537.386,294.96,5.18,99.2
200801011330,200801011400,-9999.0,1,132.06,0.042,-2.089,0.32974,5.93923,3.77592,7.56205,524.928,295.98,5.17,99.2
200801011400,200801011430,-9999.0,1,130.72,0.048,-1.96,0.332952,5.82037,3.78853,7.52669,496.771,311.84,5.16,99.1
200801011430,200801011500,-9999.0,1,120.97,0.048,-1.899,0.334475,6.13284,3.79447,7.25714,453.4,271.25,5.16,99.1
200801011500,200801011530,-8.21068,0,122.11,0.049,-1.638,0.341022,8.53638,3.81985,7.28982,395.554,278.85,5.17,99.1
200801011530,200801011600,-9999.0,1,109.49,0.051,-1.046,0.356055,6.15413,3.87691,6.9093,324.225,202.4,5.15,99.1
200801011600,200801011630,-9999.0,1,58.33,0.039,-1.184,0.352529,1.36827,3.86367,4.78822,240.633,169.85,5.16,99.3
200801011630,200801011700,-9999.0,1,29.5,0.034,-1.154,0.353294,0.573923,3.86655,2.91594,146.208,106.11,5.17,99.4
200801011700,200801011730,-9999.0,1,6.15,0.022,-1.396,0.347137,-4.42771,3.84326,0.728315,43.1993,64.64,5.2,99.6
200801011730,200801011800,-9999.0,1,0.0,0.022,-1.662,0.340418,-4.43434,3.81752,0.0,0.0,0.0,5.24,99.6
200801011800,200801011830,-9999.0,1,0.0,0.021,-2.024,0.331357,-4.44327,3.78228,0.0,0.0,0.0,5.26,99.6
200801011830,200801011900,-9999.0,1,0.0,0.026,-2.119,0.328995,-4.44559,3.77299,0.0,0.0,0.0,5.27,99.5
200801011900,200801011930,-9999.0,1,0.0,0.026,-2.127,0.328796,-4.44579,3.7722,0.0,0.0,0.0,5.25,99.5
200801011930,200801012000,-9999.0,1,0.0,0.031,-2.139,0.328498,-4.44608,3.77103,0.0,0.0,0.0,5.25,99.4
200801012000,200801012030,-0.603536,0,0.0,0.036,-2.196,0.327085,0.915502,3.76545,0.0,0.0,0.0,5.25,99.3
200801012030,200801012100,-9999.0,1,0.0,0.036,-2.196,0.327085,-4.44747,3.76545,0.0,0.0,0.0,5.25,99.3
200801012100,200801012130,-9999.0,1,0.0,0.036,-2.25,0.325748,-4.44879,3.76015,0.0,0.0,0.0,5.24,99.3
200801012130,200801012200,-9999.0,1,0.0,0.041,-2.417,0.321629,-4.45284,3.74373,0.0,0.0,0.0,5.23,99.2
200801012200,200801012230,-9999.0,1,0.0,0.041,-2.45,0.320817,-4.45364,3.74048,0.0,0.0,0.0,5.23,99.2
200801012230,200801012300,-9999.0,1,0.0,0.045,-2.733,0.313891,-4.46046,3.71252,0.0,0.0,0.0,5.21,99.1
200801012300,200801012330,-9999.0,1,0.0,0.049,-2.89,0.310075,-4.46421,3.69695,0.0,0.0,0.0,5.21,99.0
200801012330,200801020000,-9999.0,1,0.0,0.05,-2.788,0.312552,-4.46177,3.70707,0.0,0.0,0.0,5.19,99.0
200801020000,200801020030,-9999.0,1,0.0,0.05,-2.778,0.312796,-4.46153,3.70806,0.0,0.0,0.0,5.18,99.0
200801020030,200801020100,-9999.0,1,0.0,0.05,-2.75,0.313477,-4.46086,3.71084,0.0,0.0,0.0,5.16,99.0
