TIMESTAMP_START,TIMESTAMP_END,NEE,NEE_VUT_REF_QC,SW_IN_F,VPD_F_MDS,TA_F_MDS,RECO_NT_VUT_REF,GPP_NT_VUT_REF,RECO_DT_VUT_REF,GPP_DT_VUT_REF,SW_IN_POT,PPFD_IN,TS_F_MDS_1,RH
200501010000,200501010030,-9999.0,1,0.0,4.125,9.28,1.43381,0.025413,1.12654,0.0,0.0,0.0,7.373,64.75
200501010030,200501010100,-9999.0,1,0.0,3.83,9.11,1.42324,0.013485,1.12105,0.0,0.0,0.01,7.387,66.9
200501010100,200501010130,-9999.0,1,0.0,3.833,9.14,1.42511,0.015347,1.12202,0.0,0.0,0.01,7.42,66.94
200501010130,200501010200,1.47196,0,0.0,3.729,9.13,1.42449,-0.047463,1.1217,0.0,0.0,0.0,7.437,67.81
200501010200,200501010230,1.89509,0,0.0,3.904,9.41,1.4419,-0.453194,1.13073,0.0,0.0,0.01,7.45,66.93
200501010230,200501010300,1.81961,0,0.0,4.011,9.58,1.45249,-0.367133,1.1362,0.0,0.0,0.0,7.463,66.41
200501010300,200501010330,1.70138,0,0.0,4.034,9.62,1.45498,-0.246412,1.13749,0.0,0.0,0.0,7.483,66.31
200501010330,200501010400,1.60439,0,0.0,3.818,9.48,1.44626,-0.158139,1.13298,0.0,0.0,0.0,7.503,67.81
200501010400,200501010430,1.35146,0,0.0,3.835,9.6,1.45373,0.102262,1.13684,0.0,0.0,0.0,7.523,67.93
200501010430,200501010500,1.14898,0,0.0,3.953,9.76,1.46371,0.314713,1.14199,0.0,0.0,0.0,7.543,67.3
200501010500,200501010530,1.73332,0,0.0,3.899,9.73,1.46184,-0.271497,1.14102,0.0,0.0,0.01,7.56,67.68
200501010530,200501010600,1.42721,0,0.0,3.884,9.72,1.46122,0.03399,1.1407,0.0,0.0,0.0,7.58,67.78
200501010600,200501010630,1.39314,0,0.0,3.707,9.57,1.45186,0.058714,1.13588,0.0,0.0,0.0,7.6,68.94
200501010630,200501010700,1.39825,0,0.0,3.648,9.52,1.44875,0.050491,1.13427,0.0,0.0,0.0,7.617,69.33
200501010700,200501010730,1.31151,0,0.0,3.769,9.67,1.4581,0.146573,1.13909,0.0,0.0,0.0,7.633,68.63
200501010730,200501010800,1.37271,0,0.044,3.867,9.76,1.46371,0.090984,1.14199,0.001671,0.0,0.05,7.65,68.01
200501010800,200501010830,0.733406,0,2.767,3.683,9.58,1.45249,0.719071,1.1362,0.104556,1.17298,7.14,7.663,69.16
200501010830,200501010900,-0.572593,0,31.7,3.808,9.74,1.46246,2.03504,1.14135,1.13411,71.1726,67.96,7.673,68.45
200501010900,200501010930,-2.52678,0,101.1,4.279,10.18,1.48996,4.0167,1.15546,3.20763,175.399,215.5,7.687,65.58
200501010930,200501011000,-4.3323,0,170.7,4.432,10.45,1.50687,5.83911,1.1641,4.86379,270.025,362.3,7.7,64.99
200501011000,200501011030,-5.03438,0,238.9,4.881,11.07,1.5458,6.5801,1.18386,6.18886,353.432,491.9,7.723,63.0
200501011030,200501011100,-6.15821,0,300.3,5.257,11.6,1.57919,7.73729,1.20068,7.1915,424.192,604.0,7.743,61.53
200501011100,200501011130,-8.12936,0,351.4,5.424,11.84,1.59435,9.72358,1.20827,7.91723,481.095,698.1,7.777,60.93
200501011130,200501011200,-7.74329,0,390.3,6.144,12.62,1.64371,9.38684,1.23283,8.41459,523.167,764.0,7.81,57.96
200501011200,200501011230,-6.63897,0,416.1,6.403,12.97,1.66592,8.30471,1.2438,8.72147,549.689,807.0,7.863,57.18
200501011230,200501011300,-8.14752,0,426.3,6.767,13.32,1.68816,9.83548,1.25474,8.83814,560.205,823.0,7.917,55.77
200501011300,200501011330,-7.33945,0,422.6,6.551,13.16,1.67799,9.01725,1.24974,8.79611,554.538,820.0,7.967,56.73
200501011330,200501011400,-6.48747,0,404.4,6.848,13.48,1.69834,8.1856,1.25972,8.58445,532.782,786.0,8.017,55.7
200501011400,200501011430,-6.40046,0,372.9,7.108,13.78,1.71744,8.11767,1.26906,8.19753,495.312,728.0,8.07,54.91
200501011430,200501011500,-5.54672,0,328.0,6.92,13.63,1.70789,7.25439,1.26439,7.59586,442.767,648.7,8.123,55.67
200501011500,200501011530,-4.74084,0,272.5,6.797,13.51,1.70025,6.44088,1.26066,6.75698,376.047,549.9,8.173,56.12
200501011530,200501011600,-3.21904,0,208.8,6.378,13.18,1.67926,4.89811,1.25037,5.63495,296.294,431.3,8.227,57.93
200501011600,200501011630,-1.90418,0,141.0,5.924,12.68,1.64752,3.55153,1.23472,4.20024,204.872,298.2,8.273,59.62
200501011630,200501011700,-0.323721,0,69.33,5.24,12.02,1.60572,1.92931,1.21395,2.31985,103.345,145.5,8.307,62.7
200501011700,200501011730,0.59931,0,10.57,4.611,11.45,1.56973,0.97032,1.19593,0.393445,11.0798,28.46,8.33,65.92
200501011730,200501011800,1.17846,0,0.795,4.173,11.11,1.54832,0.369772,1.18514,0.030156,0.0,1.758,8.353,68.45
200501011800,200501011830,1.39364,0,0.0,4.089,10.98,1.54014,0.146421,1.181,0.0,0.0,0.0,8.36,68.82
200501011830,200501011900,1.62992,0,0.0,4.01,10.88,1.53386,-0.096139,1.17782,0.0,0.0,0.0,8.367,69.22
200501011900,200501011930,1.74994,0,0.0,4.005,10.91,1.53574,-0.214276,1.17877,0.0,0.0,0.0,8.373,69.32
200501011930,200501012000,1.86442,0,0.0,4.087,11.03,1.54329,-0.321217,1.18259,0.0,0.0,0.0,8.377,68.94
200501012000,200501012030,1.78995,0,0.0,4.118,11.04,1.54391,-0.246118,1.18291,0.0,0.0,0.0,8.38,68.72
200501012030,200501012100,1.20534,0,0.0,4.125,11.01,1.54203,0.336607,1.18196,0.0,0.0,0.0,8.387,68.61
