TIMESTAMP_START,TIMESTAMP_END,NEE,NEE_VUT_REF_QC,SW_IN_F,VPD_F_MDS,TA_F_MDS,RECO_NT_VUT_REF,GPP_NT_VUT_REF,RECO_DT_VUT_REF,GPP_DT_VUT_REF,SW_IN_POT,PPFD_IN,TS_F_MDS_1,RH
201001010000,201001010030,-9999.0,1,0.0,6.212,25.09,8.22854,0.38193,11.2816,0.0,0.0,-9999.0,25.2,80.5
201001010030,201001010100,-9999.0,1,0.0,5.635,24.89,8.13038,0.348784,11.1271,0.0,0.0,-9999.0,25.17,82.1
201001010100,201001010130,-9999.0,1,0.0,5.254,24.78,8.07665,0.29858,11.0427,0.0,0.0,-9999.0,25.15,83.2
201001010130,201001010200,9.63,0,0.0,5.326,24.81,8.09128,-1.51816,11.0657,0.0,0.0,-9999.0,25.13,83.0
201001010200,201001010230,-9999.0,1,0.0,5.232,24.71,8.04256,0.254972,10.9892,0.0,0.0,-9999.0,25.11,83.2
201001010230,201001010300,-9999.0,1,0.0,4.531,24.2,7.79651,0.11562,10.6038,0.0,0.0,-9999.0,25.09,85.0
201001010300,201001010330,-9999.0,1,0.0,3.414,23.48,7.45611,-0.125787,10.0737,0.0,0.0,-9999.0,25.07,88.2
201001010330,201001010400,-9999.0,1,0.0,3.603,23.69,7.55455,-0.079051,10.2266,0.0,0.0,-9999.0,25.05,87.7
201001010400,201001010430,-9999.0,1,0.0,4.004,24.02,7.71065,0.101528,10.4697,0.0,0.0,-9999.0,25.03,86.6
201001010430,201001010500,-9999.0,1,0.0,3.869,23.95,7.67739,0.062558,10.4179,0.0,0.0,-9999.0,25.0,87.0
201001010500,201001010530,-9999.0,1,0.0,3.69,23.95,7.67739,0.027618,10.4179,0.0,0.0,-9999.0,24.98,87.6
201001010530,201001010600,-9999.0,1,0.0,3.644,24.01,7.70589,0.065014,10.4623,0.0,0.0,-9999.0,24.95,87.8
201001010600,201001010630,-9999.0,1,0.52,3.719,24.08,7.73921,0.097587,10.5143,0.060966,0.0,-9999.0,24.93,87.6
201001010630,201001010700,-9999.0,1,6.2,3.659,24.22,7.80608,0.251131,10.6188,0.718959,22.6819,-9999.0,24.9,87.9
201001010700,201001010730,-9999.0,1,25.12,3.408,23.88,7.64421,0.838892,10.3662,2.81062,172.305,-9999.0,24.88,88.5
201001010730,201001010800,-9999.0,1,31.52,3.244,23.8,7.60639,1.357,10.3073,3.48529,338.07,-9999.0,24.84,89.0
201001010800,201001010830,-9999.0,1,46.62,3.167,23.55,7.48885,2.61442,10.1245,5.01598,497.172,-9999.0,24.76,89.1
201001010830,201001010900,-9999.0,1,174.6,3.353,24.05,7.72492,16.3517,10.492,15.2917,646.89,-9999.0,24.73,88.8
201001010900,201001010930,-9999.0,1,258.8,4.1,24.92,8.14506,18.8784,11.1502,20.1948,784.661,-9999.0,24.74,87.0
201001010930,201001011000,-9999.0,1,302.7,5.94,25.59,8.47669,21.1764,11.6733,22.3499,908.128,-9999.0,24.76,81.9
201001011000,201001011030,-3.14,0,226.3,5.857,25.54,8.4517,11.5177,11.6338,18.4345,1015.18,-9999.0,24.78,82.1
201001011030,201001011100,-15.71,0,493.8,6.671,25.95,8.65776,24.2384,11.9603,29.5428,1103.98,-9999.0,24.82,80.1
201001011100,201001011130,-20.88,0,549.5,7.153,26.22,8.79489,29.5082,12.1781,31.1525,1173.02,-9999.0,24.85,79.0
201001011130,201001011200,-28.58,0,541.2,7.78,26.4,8.88693,37.2749,12.3247,30.9234,1221.1,-9999.0,24.88,77.4
201001011200,201001011230,-17.46,0,521.9,9.14,26.69,9.03627,26.2628,12.5629,30.3765,1247.42,-9999.0,24.93,73.9
201001011230,201001011300,-14.16,0,456.7,9.065,26.55,8.96401,22.9106,12.4476,28.368,1251.51,-9999.0,24.97,73.9
201001011300,201001011330,-16.76,0,760.0,10.726,27.1,9.24961,25.7161,12.9043,33.93,1233.31,-9999.0,25.01,70.1
201001011330,201001011400,-13.29,0,891.0,11.229,27.25,9.32831,22.3024,13.0305,34.3892,1193.13,-9999.0,25.06,68.97
201001011400,201001011430,-19.21,0,848.0,11.441,27.28,9.34408,28.2337,13.0558,33.2066,1131.66,-9999.0,25.12,68.44
201001011430,201001011500,-16.12,0,597.0,10.883,27.24,9.32305,25.1287,13.022,30.3808,1049.95,-9999.0,25.16,69.91
201001011500,201001011530,-17.81,0,653.1,10.852,27.3,9.35462,26.8412,13.0727,31.6321,949.389,-9999.0,25.22,70.1
201001011530,201001011600,-7.89,0,433.2,10.935,27.18,9.29154,16.8761,12.9715,26.0143,831.71,-9999.0,25.32,69.66
201001011600,201001011630,-8.57,0,400.2,10.561,26.95,9.17126,17.4699,12.7788,25.5369,698.922,-9999.0,25.39,70.3
201001011630,201001011700,-3.54,0,306.4,9.81,26.82,9.10363,12.3913,12.6706,22.521,553.298,-9999.0,25.41,72.2
201001011700,201001011730,-5.03,0,215.2,9.164,26.54,8.95886,13.7769,12.4393,17.7973,397.328,-9999.0,25.41,73.6
201001011730,201001011800,2.63,0,101.3,7.811,26.17,8.76941,5.97965,12.1376,9.92976,233.682,-9999.0,25.4,77.0
201001011800,201001011830,4.34,0,21.41,6.85,25.73,8.54687,4.10743,11.7844,2.41213,66.3092,-9999.0,25.39,79.3
201001011830,201001011900,20.05,0,0.0,6.118,25.36,8.36206,-11.7381,11.4922,0.0,0.0,-9999.0,25.38,81.1
201001011900,201001011930,12.67,0,0.0,5.844,25.04,8.20394,-4.47473,11.2429,0.0,0.0,-9999.0,25.37,81.6
201001011930,201001012000,-3.92,0,0.0,5.443,24.88,8.12548,12.0572,11.1194,0.0,0.0,-9999.0,25.36,82.7
201001012000,201001012030,-9999.0,1,0.0,4.989,24.73,8.05229,0.411112,11.0044,0.0,0.0,-9999.0,25.34,84.0
201001012030,201001012100,-9999.0,1,0.0,4.983,24.71,8.04256,0.351313,10.9892,0.0,0.0,-9999.0,25.31,84.0
201001012100,201001012130,-0.19,0,0.0,5.163,24.79,8.08153,8.2946,11.0503,0.0,0.0,-9999.0,25.28,83.5
201001012130,201001012200,19.13,0,0.0,4.79,24.69,8.03284,-11.0616,10.9739,0.0,0.0,-9999.0,25.26,84.6
201001012200,201001012230,-9999.0,1,0.0,5.063,24.77,8.07178,0.391473,11.035,0.0,0.0,-9999.0,25.24,83.8
201001012230,201001012300,-9999.0,1,0.0,4.999,24.66,8.01826,0.360958,10.951,0.0,0.0,-9999.0,25.21,83.9
201001012300,201001012330,-9999.0,1,0.0,4.652,24.53,7.95525,0.368245,10.8522,0.0,0.0,-9999.0,25.18,84.9
201001012330,201001020000,-9999.0,1,0.0,4.571,24.57,7.97461,0.443734,10.8826,0.0,0.0,-9999.0,25.16,85.2
201001020000,201001020030,-9999.0,1,0.0,4.725,24.68,8.02797,0.407152,10.9663,0.0,0.0,-9999.0,25.13,84.8
201001020030,201001020100,-1.0,0,0.0,5.282,24.67,8.02311,9.06121,10.9586,0.0,0.0,-9999.0,25.1,83.0
201001020100,201001020130,16.26,0,0.0,5.447,24.7,8.03769,-8.18795,10.9815,0.0,0.0,-9999.0,25.08,82.5
201001020130,201001020200,-2.58,0,0.0,5.192,24.58,7.97945,10.6087,10.8901,0.0,0.0,-9999.0,25.05,83.2
201001020200,201001020230,-2.38,0,0.0,5.185,24.56,7.96977,10.4015,10.875,0.0,0.0,-9999.0,25.03,83.2
201001020230,201001020300,22.37,0,0.0,4.931,24.43,7.90697,-14.3953,10.7766,0.0,0.0,-9999.0,25.0,83.9
201001020300,201001020330,20.65,0,0.0,4.911,24.26,7.82525,-12.7364,10.6487,0.0,0.0,-9999.0,24.98,83.8
201001020330,201001020400,-5.04,0,0.0,4.95,24.29,7.83963,12.9644,10.6712,0.0,0.0,-9999.0,24.96,83.7
201001020400,201001020430,9.05,0,0.0,4.848,24.25,7.82045,-1.13998,10.6412,0.0,0.0,-9999.0,24.93,84.0
201001020430,201001020500,18.75,0,0.0,4.899,24.22,7.80608,-10.8507,10.6188,0.0,0.0,-9999.0,24.9,83.8
201001020500,201001020530,-6.88,0,0.0,4.963,24.23,7.81087,14.7828,10.6262,0.0,0.0,-9999.0,24.88,83.6
201001020530,201001020600,4.91,0,0.0,5.032,24.26,7.82525,3.00361,10.6487,0.0,0.0,-9999.0,24.86,83.4
201001020600,201001020630,17.15,0,0.0,4.813,24.13,7.76305,-9.28298,10.5515,0.0,0.0,-9999.0,24.82,84.0
201001020630,201001020700,29.04,0,6.53,4.572,24.02,7.71065,-21.2123,10.4697,0.756746,22.7977,-9999.0,24.8,84.7
201001020700,201001020730,-17.37,0,57.19,4.819,24.15,7.77261,25.2442,10.5665,6.03926,172.607,-9999.0,24.78,84.0
201001020730,201001020800,-9999.0,1,130.7,5.157,24.37,7.87807,10.7531,10.7313,12.2269,338.472,-9999.0,24.75,83.1
201001020800,201001020830,-9999.0,1,155.7,5.425,24.73,8.05229,12.7971,11.0044,14.0215,497.671,-9999.0,24.73,82.6
201001020830,201001020900,-24.27,0,353.7,6.671,25.53,8.44671,32.6441,11.6259,24.5797,647.479,-9999.0,24.71,79.6
201001020900,201001020930,-9999.0,1,267.2,7.239,25.79,8.57704,19.4686,11.8322,20.6259,785.334,-9999.0,24.71,78.2
201001020930,201001021000,-18.44,0,439.0,8.36,26.18,8.7745,27.0534,12.1457,27.7753,908.876,-9999.0,24.71,75.4
201001021000,201001021030,-13.0,0,342.8,7.933,26.14,8.75414,21.5986,12.1133,24.1254,1015.99,-9999.0,24.73,76.6
201001021030,201001021100,-13.42,0,661.3,9.352,26.63,9.00526,22.2004,12.5134,33.9229,1104.85,-9999.0,24.77,73.2
201001021100,201001021130,-20.93,0,660.2,9.676,26.77,9.0777,29.7626,12.6291,33.8982,1173.92,-9999.0,24.81,72.5
201001021130,201001021200,-15.41,0,475.4,9.63,26.69,9.03627,24.2128,12.5629,28.9712,1222.04,-9999.0,24.86,72.5
201001021200,201001021230,-27.63,0,846.0,10.612,27.09,9.24437,36.5824,12.8959,35.6376,1248.37,-9999.0,24.9,70.4
201001021230,201001021300,-15.15,0,728.0,10.579,26.98,9.1869,24.0611,12.8038,33.767,1252.47,-9999.0,24.95,70.3
201001021300,201001021330,-35.04,0,758.0,10.914,27.34,9.37569,44.0863,13.1065,33.3774,1234.26,-9999.0,25.01,70.0
201001021330,201001021400,-14.53,0,573.8,10.696,27.11,9.25485,23.4899,12.9126,30.2677,1194.05,-9999.0,25.07,70.2
201001021400,201001021430,-27.73,0,708.0,10.95,27.35,9.38096,36.7801,13.115,32.4219,1132.54,-9999.0,25.13,69.92
201001021430,201001021500,-5.47,0,451.5,10.069,26.9,9.14522,14.3512,12.7371,28.0761,1050.78,-9999.0,25.18,71.6
201001021500,201001021530,-11.81,0,494.6,10.576,27.09,9.24437,20.7624,12.8959,28.4651,950.162,-9999.0,25.23,70.5
201001021530,201001021600,-8.99,0,458.4,10.739,27.12,9.26008,17.9536,12.921,27.1148,832.412,-9999.0,25.3,70.1
201001021600,201001021630,-5.16,0,450.2,10.223,27.04,9.21823,14.0936,12.854,27.7641,699.544,-9999.0,25.35,71.4
201001021630,201001021700,-8.86,0,302.3,9.885,26.95,9.17126,17.7599,12.7788,22.3314,553.831,-9999.0,25.36,72.2
201001021700,201001021730,-2.34,0,166.7,8.673,26.53,8.95371,11.0832,12.4311,14.7693,397.766,-9999.0,25.36,75.0
201001021730,201001021800,2.34,0,85.6,8.112,26.23,8.79998,6.29186,12.1862,8.61069,234.02,-9999.0,25.37,76.2
201001021800,201001021830,11.64,0,14.43,7.239,25.79,8.57704,-3.17052,11.8322,1.64723,66.5237,-9999.0,25.36,78.2
201001021830,201001021900,-9999.0,1,0.0,6.385,25.38,8.37199,0.734595,11.5078,0.0,0.0,-9999.0,25.35,80.3
201001021900,201001021930,-9999.0,1,0.0,6.228,25.22,8.29269,0.688885,11.3827,0.0,0.0,-9999.0,25.33,80.6
201001021930,201001022000,-9999.0,1,0.0,5.592,24.95,8.15976,0.572787,11.1733,0.0,0.0,-9999.0,25.32,82.3
201001022000,201001022030,-9999.0,1,0.0,5.104,24.7,8.03769,0.496078,10.9815,0.0,0.0,-9999.0,25.29,83.6
