TIMESTAMP_START,TIMESTAMP_END,NEE,NEE_VUT_REF_QC,SW_IN_F,VPD_F_MDS,TA_F_MDS,RECO_NT_VUT_REF,GPP_NT_VUT_REF,RECO_DT_VUT_REF,GPP_DT_VUT_REF,SW_IN_POT,PPFD_IN,TS_F_MDS_1,RH
201201010000,201201010030,-9999.0,1,0.0,5.924,24.21,5.81116,-0.828685,2.26991,0.0,0.0,0.0,23.92,80.4
201201010030,201201010100,-9999.0,1,0.0,4.895,23.8,5.73794,-1.42188,2.214,0.0,0.0,0.0,23.88,83.4
201201010100,201201010130,-9999.0,1,0.0,4.125,23.09,5.61131,-1.43058,2.11892,0.0,0.0,0.0,23.84,85.4
201201010130,201201010200,-9999.0,1,0.0,2.695,22.81,5.56145,-0.420784,2.08204,0.0,0.0,0.0,23.79,90.3
201201010200,201201010230,-9999.0,1,0.0,2.376,22.91,5.57925,-1.25263,2.09517,0.0,0.0,0.0,23.75,91.5
201201010230,201201010300,-9999.0,1,0.0,2.527,23.17,5.62557,-1.7759,2.12952,0.0,0.0,0.0,23.71,91.1
201201010300,201201010330,-9999.0,1,0.0,1.657,22.71,5.54365,0.443073,2.06895,0.0,0.0,0.0,23.66,94.0
201201010330,201201010400,-9999.0,1,0.0,0.84,21.38,5.30745,-1.42582,1.89913,0.0,0.0,0.0,23.61,96.7
201201010400,201201010430,-9999.0,1,0.0,1.445,24.742,5.90627,-0.524601,2.34357,0.0,0.0,0.0,23.56,98.1
201201010430,201201010500,-9999.0,1,0.0,1.445,24.739,5.90573,-0.525149,2.34315,0.0,0.0,0.0,23.51,99.9
201201010500,201201010530,-9999.0,1,0.0,0.373,20.98,5.23663,-1.20258,1.8496,0.0,0.0,0.0,23.46,98.5
201201010530,201201010600,-9999.0,1,0.0,0.525,21.08,5.25433,-1.18483,1.86192,0.0,0.0,0.0,23.4,97.9
201201010600,201201010630,-9999.0,1,0.0,1.445,24.727,5.90359,-0.527343,2.34148,0.0,5.30953,3.065,23.35,98.7
201201010630,201201010700,-9999.0,1,12.49,1.45,24.729,5.90395,-0.422077,2.34175,0.693884,127.439,24.4,23.31,99.6
201201010700,201201010730,-9999.0,2,70.06,1.019,21.38,5.30745,-12.5081,1.89913,3.72454,294.508,97.6,23.27,96.0
201201010730,201201010800,-9999.0,1,95.8,2.56,21.8,5.38192,18.3965,1.9519,4.99671,455.661,135.0,23.23,90.2
201201010800,201201010830,-9999.0,2,154.4,1.696,21.53,5.33404,13.3448,1.91789,7.72102,608.142,217.0,23.2,93.4
201201010830,201201010900,-9999.0,1,279.6,6.54,27.157,6.33914,18.0444,2.69338,12.8496,749.34,425.4,23.19,99.6
