TIMESTAMP_START,TIMESTAMP_END,NEE,NEE_VUT_REF_QC,SW_IN_F,VPD_F_MDS,TA_F_MDS,RECO_NT_VUT_REF,GPP_NT_VUT_REF,RECO_DT_VUT_REF,GPP_DT_VUT_REF,SW_IN_POT,PPFD_IN,TS_F_MDS_1,RH
200901010000,200901010030,-9999.0,3,0.0,2.718,0.675,0.264127,0.154367,0.121623,0.0,0.0,0.0,0.165,57.647
200901010030,200901010100,-9999.0,3,0.0,3.387,1.693,0.285968,0.054648,0.124434,0.0,0.0,0.0,0.157,50.9474
200901010100,200901010130,-9999.0,3,0.0,3.033,1.44,0.280466,0.060262,0.123741,0.0,0.0,0.0,0.081,55.2776
200901010130,200901010200,-9999.0,3,0.0,4.008,2.894,0.312736,0.087137,0.127677,0.0,0.0,0.0,0.077,46.7171
200901010200,200901010230,-9999.0,3,0.0,4.234,3.076,0.316884,0.088437,0.128162,0.0,0.0,0.0,0.0,44.4407
200901010230,200901010300,-9999.0,3,0.0,3.756,2.606,0.30622,0.050553,0.126906,0.0,0.0,0.0,-0.028,49.0465
200901010300,200901010330,-9999.0,3,0.0,3.8,2.518,0.304241,0.061052,0.12667,0.0,0.0,0.0,0.01,48.1252
200901010330,200901010400,-9999.0,3,0.0,3.885,2.62,0.306536,0.050869,0.126944,0.0,0.0,0.0,0.012,47.3451
200901010400,200901010430,-9999.0,3,0.0,3.575,2.338,0.300212,0.080781,0.126185,0.0,0.0,0.0,0.025,50.5626
200901010430,200901010500,-9999.0,3,0.0,3.501,2.284,0.299007,0.079576,0.126039,0.0,0.0,0.0,0.05,51.3991
200901010500,200901010530,-9999.0,3,0.0,3.57,2.365,0.300815,0.07376,0.126258,0.0,0.0,0.0,0.054,50.7284
200901010530,200901010600,-9999.0,3,0.0,3.772,2.652,0.307257,0.05159,0.12703,0.0,0.0,0.0,0.051,48.9967
200901010600,200901010630,-9999.0,3,0.0,3.55,2.37,0.300926,0.073871,0.126271,0.0,0.0,0.0,0.033,51.0268
200901010630,200901010700,-9999.0,3,0.0,3.609,2.254,0.298339,0.081734,0.125958,0.0,0.0,0.0,0.051,49.7855
200901010700,200901010730,-9999.0,3,0.0,3.608,2.006,0.292841,0.061521,0.125286,0.0,0.0,0.0,0.081,48.9073
200901010730,200901010800,-9999.0,3,0.0,3.365,1.659,0.285226,0.053906,0.124341,0.0,0.0,0.0,0.104,51.1518
200901010800,200901010830,-9999.0,3,0.0,3.457,1.714,0.286427,0.055107,0.124491,0.0,0.0,0.0,0.121,50.0172
200901010830,200901010900,-9999.0,3,0.0,3.295,1.426,0.280163,0.059959,0.123702,0.0,0.0,0.0,0.109,51.3526
200901010900,200901010930,-9999.0,3,0.0,3.315,1.37,0.278953,0.058749,0.123548,0.0,0.0,0.0,0.123,50.8708
200901010930,200901011000,-9999.0,3,0.0,3.243,1.238,0.276108,0.055904,0.123185,0.0,0.0,0.0,0.106,51.4746
200901011000,200901011030,-9999.0,3,0.0,2.882,0.582,0.262172,0.152412,0.121364,0.0,0.0,7.65,0.074,54.7835
